year,month,rank_ME,rank_PDA,nstocks,ret_vw
1967,1,1,1,73,20.7172
1967,1,1,2,43,17.4004
1967,1,1,3,24,15.8099
1967,1,1,4,37,20.7842
1967,1,1,5,89,20.0260
1967,1,2,1,28,14.2141
1967,1,2,2,42,18.2904
1967,1,2,3,27,16.7469
1967,1,2,4,29,11.9778
1967,1,2,5,44,19.8259
1967,1,3,1,69,10.3577
1967,1,3,2,79,8.8741
1967,1,3,3,91,7.8740
1967,1,3,4,81,5.1265
1967,1,3,5,53,10.6215
1967,2,1,1,73,6.0343
1967,2,1,2,43,5.5058
1967,2,1,3,24,4.5157
1967,2,1,4,37,1.5120
1967,2,1,5,89,5.1180
1967,2,2,1,28,2.8840
1967,2,2,2,42,1.7157
1967,2,2,3,27,0.3774
1967,2,2,4,29,4.4889
1967,2,2,5,44,2.7345
1967,2,3,1,69,4.5007
1967,2,3,2,79,-0.0447
1967,2,3,3,91,1.1410
1967,2,3,4,81,-0.3114
1967,2,3,5,53,2.2004
1967,3,1,1,73,5.7953
1967,3,1,2,43,7.4030
1967,3,1,3,24,8.4368
1967,3,1,4,37,6.2433
1967,3,1,5,89,5.8321
1967,3,2,1,28,6.4809
1967,3,2,2,42,3.1531
1967,3,2,3,27,6.1351
1967,3,2,4,29,5.8699
1967,3,2,5,44,10.3531
1967,3,3,1,69,4.9184
1967,3,3,2,79,4.2758
1967,3,3,3,91,5.1979
1967,3,3,4,81,4.2506
1967,3,3,5,53,4.9892
1967,4,1,1,73,4.6107
1967,4,1,2,43,7.7877
1967,4,1,3,24,5.5274
1967,4,1,4,37,3.8706
1967,4,1,5,89,5.6306
1967,4,2,1,28,3.9850
1967,4,2,2,42,3.8500
1967,4,2,3,27,3.3412
1967,4,2,4,29,5.1946
1967,4,2,5,44,5.0273
1967,4,3,1,69,7.2356
1967,4,3,2,79,4.7863
1967,4,3,3,91,1.9159
1967,4,3,4,81,3.3129
1967,4,3,5,53,7.5924
1967,5,1,1,73,-0.5463
1967,5,1,2,43,1.1615
1967,5,1,3,24,4.3464
1967,5,1,4,37,2.3030
1967,5,1,5,89,-0.0796
1967,5,2,1,28,-0.3408
1967,5,2,2,42,-0.8465
1967,5,2,3,27,-1.9496
1967,5,2,4,29,-2.0128
1967,5,2,5,44,-2.9036
1967,5,3,1,69,-5.3732
1967,5,3,2,79,-5.5599
1967,5,3,3,91,-3.4268
1967,5,3,4,81,-3.4457
1967,5,3,5,53,-4.8788
1967,6,1,1,71,11.4649
1967,6,1,2,43,12.8182
1967,6,1,3,24,15.2831
1967,6,1,4,37,7.7562
1967,6,1,5,89,14.4468
1967,6,2,1,28,6.2422
1967,6,2,2,42,5.1447
1967,6,2,3,27,4.6131
1967,6,2,4,29,4.3201
1967,6,2,5,44,10.6402
1967,6,3,1,68,3.6994
1967,6,3,2,79,1.8913
1967,6,3,3,91,1.8039
1967,6,3,4,81,0.8555
1967,6,3,5,53,3.8556
1967,7,1,1,106,11.4042
1967,7,1,2,34,8.4914
1967,7,1,3,37,8.5964
1967,7,1,4,45,7.9335
1967,7,1,5,86,11.4463
1967,7,2,1,58,9.2444
1967,7,2,2,35,7.2625
1967,7,2,3,27,7.5327
1967,7,2,4,37,8.7834
1967,7,2,5,37,8.2553
1967,7,3,1,50,3.1471
1967,7,3,2,96,4.2595
1967,7,3,3,96,5.9780
1967,7,3,4,79,5.3027
1967,7,3,5,73,5.5984
1967,8,1,1,106,2.2744
1967,8,1,2,34,-1.0794
1967,8,1,3,37,-1.4219
1967,8,1,4,45,2.2675
1967,8,1,5,86,-0.4693
1967,8,2,1,58,0.4805
1967,8,2,2,35,-1.1484
1967,8,2,3,27,0.1271
1967,8,2,4,37,0.1212
1967,8,2,5,37,-1.1121
1967,8,3,1,50,-1.2311
1967,8,3,2,96,-0.7936
1967,8,3,3,96,-0.2985
1967,8,3,4,79,-0.6257
1967,8,3,5,72,-0.8385
1967,9,1,1,106,5.8703
1967,9,1,2,34,10.1873
1967,9,1,3,37,6.9927
1967,9,1,4,45,6.1757
1967,9,1,5,86,7.0899
1967,9,2,1,58,4.7876
1967,9,2,2,35,6.9349
1967,9,2,3,27,3.5944
1967,9,2,4,37,4.0554
1967,9,2,5,37,1.6143
1967,9,3,1,49,4.8883
1967,9,3,2,96,2.5874
1967,9,3,3,96,3.7027
1967,9,3,4,79,3.9604
1967,9,3,5,72,3.8529
1967,10,1,1,106,-2.1323
1967,10,1,2,34,-5.9527
1967,10,1,3,37,-3.5564
1967,10,1,4,45,0.4266
1967,10,1,5,86,-0.2914
1967,10,2,1,58,-2.3491
1967,10,2,2,35,-3.3684
1967,10,2,3,27,-5.2172
1967,10,2,4,37,-5.5943
1967,10,2,5,37,-1.2276
1967,10,3,1,49,2.7944
1967,10,3,2,96,-3.8297
1967,10,3,3,96,-2.8699
1967,10,3,4,79,-2.6915
