year,month,rank_ME,rank_POA,nstocks,ret_vw
1967,1,1,1,71,20.4611
1967,1,1,2,38,18.8310
1967,1,1,3,31,17.1338
1967,1,1,4,54,17.2012
1967,1,1,5,105,19.7073
1967,1,2,1,34,15.5678
1967,1,2,2,35,13.1980
1967,1,2,3,36,16.5544
1967,1,2,4,33,19.7426
1967,1,2,5,43,18.9388
1967,1,3,1,69,7.8983
1967,1,3,2,83,6.7501
1967,1,3,3,94,9.9441
1967,1,3,4,83,8.7237
1967,1,3,5,55,8.1133
1967,2,1,1,71,5.4865
1967,2,1,2,38,6.8065
1967,2,1,3,31,2.8972
1967,2,1,4,54,3.8765
1967,2,1,5,105,4.5607
1967,2,2,1,34,3.7998
1967,2,2,2,35,1.2179
1967,2,2,3,36,4.2914
1967,2,2,4,33,0.5423
1967,2,2,5,43,2.2828
1967,2,3,1,69,1.9632
1967,2,3,2,83,-0.0175
1967,2,3,3,94,1.0620
1967,2,3,4,83,2.0199
1967,2,3,5,55,1.2737
1967,3,1,1,71,5.0616
1967,3,1,2,38,4.9850
1967,3,1,3,31,4.4969
1967,3,1,4,54,8.8723
1967,3,1,5,105,7.5400
1967,3,2,1,34,6.8546
1967,3,2,2,35,3.0586
1967,3,2,3,36,6.0396
1967,3,2,4,33,8.3681
1967,3,2,5,43,9.7970
1967,3,3,1,69,4.5019
1967,3,3,2,83,3.7446
1967,3,3,3,94,4.5349
1967,3,3,4,83,7.4105
1967,3,3,5,55,4.3340
1967,4,1,1,71,2.9884
1967,4,1,2,38,6.5766
1967,4,1,3,31,7.1444
1967,4,1,4,54,5.6826
1967,4,1,5,105,4.8782
1967,4,2,1,34,4.0827
1967,4,2,2,35,1.9296
1967,4,2,3,36,3.5300
1967,4,2,4,33,5.3089
1967,4,2,5,43,6.3662
1967,4,3,1,69,3.6579
1967,4,3,2,83,2.8869
1967,4,3,3,94,5.4789
1967,4,3,4,83,6.1500
1967,4,3,5,55,8.0768
1967,5,1,1,71,2.8498
1967,5,1,2,38,-0.1450
1967,5,1,3,31,-1.0258
1967,5,1,4,54,1.5767
1967,5,1,5,105,-0.2782
1967,5,2,1,34,-0.2669
1967,5,2,2,35,-1.3096
1967,5,2,3,36,-2.3257
1967,5,2,4,33,-2.8495
1967,5,2,5,43,-1.7102
1967,5,3,1,69,-4.5723
1967,5,3,2,83,-3.6681
1967,5,3,3,94,-5.0404
1967,5,3,4,83,-4.7439
1967,5,3,5,55,-5.1673
1967,6,1,1,70,14.3714
1967,6,1,2,37,7.7477
1967,6,1,3,31,8.3534
1967,6,1,4,54,10.5143
1967,6,1,5,105,14.6962
1967,6,2,1,34,7.1892
1967,6,2,2,35,4.5642
1967,6,2,3,36,8.3233
1967,6,2,4,33,5.5681
1967,6,2,5,43,9.1710
1967,6,3,1,68,3.6023
1967,6,3,2,83,0.2574
1967,6,3,3,94,0.9839
1967,6,3,4,83,3.8950
1967,6,3,5,55,3.6692
1967,7,1,1,102,13.4361
1967,7,1,2,43,7.8511
1967,7,1,3,36,11.0291
1967,7,1,4,55,9.8299
1967,7,1,5,105,8.1378
1967,7,2,1,45,9.1016
1967,7,2,2,39,6.0130
1967,7,2,3,36,8.0898
1967,7,2,4,46,10.5082
1967,7,2,5,41,8.2465
1967,7,3,1,70,1.4395
1967,7,3,2,86,6.3370
1967,7,3,3,95,4.6602
1967,7,3,4,87,7.2496
1967,7,3,5,72,5.0322
1967,8,1,1,102,2.1230
1967,8,1,2,43,5.8081
1967,8,1,3,36,-0.1844
1967,8,1,4,55,-0.7161
1967,8,1,5,105,-1.0874
1967,8,2,1,45,-0.8755
1967,8,2,2,39,0.2244
1967,8,2,3,36,2.9707
1967,8,2,4,46,-0.3277
1967,8,2,5,41,-2.4306
1967,8,3,1,70,-1.3539
1967,8,3,2,86,-0.9565
1967,8,3,3,95,-0.7437
1967,8,3,4,87,0.3227
1967,8,3,5,71,-0.1051
1967,9,1,1,102,4.8125
1967,9,1,2,43,8.6015
1967,9,1,3,36,6.7255
1967,9,1,4,55,10.7402
1967,9,1,5,105,7.9965
1967,9,2,1,45,2.0582
1967,9,2,2,39,4.3568
1967,9,2,3,36,7.5131
1967,9,2,4,46,4.6652
1967,9,2,5,41,3.0589
1967,9,3,1,70,3.3642
1967,9,3,2,85,3.3925
1967,9,3,3,95,4.2760
1967,9,3,4,87,3.6494
1967,9,3,5,71,3.9870
1967,10,1,1,102,-1.9631
