year,month,rank_ME,rank_PTA,nstocks,ret_vw
1967,1,1,1,98,16.9688
1967,1,1,2,55,17.0225
1967,1,1,3,49,20.3497
1967,1,1,4,49,18.8171
1967,1,1,5,84,21.0494
1967,1,2,1,38,16.8413
1967,1,2,2,40,16.1162
1967,1,2,3,29,19.5094
1967,1,2,4,39,15.1852
1967,1,2,5,45,17.5862
1967,1,3,1,61,11.3745
1967,1,3,2,88,7.1860
1967,1,3,3,89,8.2850
1967,1,3,4,86,7.4446
1967,1,3,5,72,10.3771
1967,2,1,1,98,5.9146
1967,2,1,2,55,5.3329
1967,2,1,3,49,4.9668
1967,2,1,4,49,3.3630
1967,2,1,5,84,4.7103
1967,2,2,1,38,4.6659
1967,2,2,2,40,0.7920
1967,2,2,3,29,0.8329
1967,2,2,4,39,4.4972
1967,2,2,5,45,1.1769
1967,2,3,1,61,-0.1362
1967,2,3,2,88,-0.0168
1967,2,3,3,89,3.2577
1967,2,3,4,86,0.9933
1967,2,3,5,72,2.2301
1967,3,1,1,99,6.6352
1967,3,1,2,55,7.8753
1967,3,1,3,49,7.5648
1967,3,1,4,49,7.4337
1967,3,1,5,84,4.2568
1967,3,2,1,38,5.0820
1967,3,2,2,40,4.1700
1967,3,2,3,29,11.3100
1967,3,2,4,39,6.5226
1967,3,2,5,45,8.5587
1967,3,3,1,61,4.6908
1967,3,3,2,88,4.0152
1967,3,3,3,89,4.5309
1967,3,3,4,86,4.9617
1967,3,3,5,72,5.5372
1967,4,1,1,99,5.6039
1967,4,1,2,55,3.6731
1967,4,1,3,49,5.5113
1967,4,1,4,49,5.6127
1967,4,1,5,84,3.7412
1967,4,2,1,38,2.1849
1967,4,2,2,40,5.1898
1967,4,2,3,29,2.6329
1967,4,2,4,39,5.6958
1967,4,2,5,45,5.0665
1967,4,3,1,61,5.7806
1967,4,3,2,88,5.7607
1967,4,3,3,89,5.6596
1967,4,3,4,86,1.1970
1967,4,3,5,72,4.4857
1967,5,1,1,99,1.6067
1967,5,1,2,55,2.1821
1967,5,1,3,49,-0.6678
1967,5,1,4,49,-0.2507
1967,5,1,5,84,1.1493
1967,5,2,1,38,0.2275
1967,5,2,2,40,-1.4700
1967,5,2,3,29,-3.5410
1967,5,2,4,39,-2.3899
1967,5,2,5,45,-1.8619
1967,5,3,1,61,-3.1714
1967,5,3,2,88,-5.0692
1967,5,3,3,89,-4.6006
1967,5,3,4,86,-4.5319
1967,5,3,5,72,-3.9018
1967,6,1,1,98,10.1924
1967,6,1,2,55,9.5232
1967,6,1,3,49,10.3925
1967,6,1,4,49,14.3138
1967,6,1,5,83,16.6441
1967,6,2,1,38,9.9559
1967,6,2,2,40,3.7067
1967,6,2,3,29,6.1241
1967,6,2,4,39,8.1157
1967,6,2,5,45,7.9685
1967,6,3,1,61,2.6612
1967,6,3,2,88,1.3072
1967,6,3,3,89,2.7673
1967,6,3,4,86,1.6509
1967,6,3,5,71,4.4554
1967,7,1,1,103,10.5703
1967,7,1,2,49,9.3096
1967,7,1,3,68,10.6889
1967,7,1,4,64,11.5875
1967,7,1,5,103,8.3594
1967,7,2,1,51,8.7462
1967,7,2,2,46,6.4249
1967,7,2,3,37,8.1919
1967,7,2,4,46,9.2056
1967,7,2,5,42,9.0634
1967,7,3,1,75,6.0852
1967,7,3,2,84,5.5918
