year,month,rank_ME,rank_TA,nstocks,ret_vw
1967,1,1,1,107,17.9958
1967,1,1,2,67,16.5826
1967,1,1,3,43,23.1593
1967,1,1,4,53,18.6920
1967,1,1,5,66,18.8757
1967,1,2,1,42,17.6981
1967,1,2,2,38,16.5588
1967,1,2,3,37,16.1235
1967,1,2,4,36,15.3438
1967,1,2,5,38,18.5223
1967,1,3,1,54,11.4149
1967,1,3,2,80,6.5537
1967,1,3,3,87,8.3221
1967,1,3,4,88,7.3164
1967,1,3,5,87,10.3234
1967,2,1,1,107,7.1907
1967,2,1,2,67,3.8537
1967,2,1,3,43,4.6605
1967,2,1,4,53,1.5823
1967,2,1,5,66,6.1020
1967,2,2,1,42,4.0499
1967,2,2,2,38,1.4381
1967,2,2,3,37,3.1848
1967,2,2,4,36,1.5546
1967,2,2,5,38,1.6435
1967,2,3,1,54,0.6062
1967,2,3,2,80,-0.1472
1967,2,3,3,87,0.3804
1967,2,3,4,88,3.3427
1967,2,3,5,87,2.5134
1967,3,1,1,108,7.8025
1967,3,1,2,67,7.8383
1967,3,1,3,43,4.9587
1967,3,1,4,53,7.7100
1967,3,1,5,66,4.0522
1967,3,2,1,42,5.2148
1967,3,2,2,38,5.0502
1967,3,2,3,37,8.7092
1967,3,2,4,36,8.2754
1967,3,2,5,38,7.8425
1967,3,3,1,54,3.4798
1967,3,3,2,80,4.7528
1967,3,3,3,87,3.5051
1967,3,3,4,88,4.9239
1967,3,3,5,87,6.7408
1967,4,1,1,108,5.6313
1967,4,1,2,67,2.3601
1967,4,1,3,43,6.8222
1967,4,1,4,53,3.8947
1967,4,1,5,66,5.5714
1967,4,2,1,42,1.8049
1967,4,2,2,38,5.5964
1967,4,2,3,37,4.1774
1967,4,2,4,36,2.9347
1967,4,2,5,38,6.7565
1967,4,3,1,54,5.4189
1967,4,3,2,80,3.1713
1967,4,3,3,87,5.5862
1967,4,3,4,88,4.2629
1967,4,3,5,87,5.2854
1967,5,1,1,108,2.2152
1967,5,1,2,67,0.4009
1967,5,1,3,43,1.1504
1967,5,1,4,53,1.0442
1967,5,1,5,66,-0.9207
1967,5,2,1,42,-0.6987
1967,5,2,2,38,-1.9830
1967,5,2,3,37,-2.0255
1967,5,2,4,36,-2.6476
1967,5,2,5,38,-1.5614
1967,5,3,1,54,-2.1827
1967,5,3,2,80,-3.7340
1967,5,3,3,87,-6.4849
1967,5,3,4,88,-3.5397
1967,5,3,5,87,-4.1481
1967,6,1,1,107,11.2473
1967,6,1,2,67,9.1827
1967,6,1,3,43,14.7855
1967,6,1,4,52,8.7393
1967,6,1,5,66,17.4442
1967,6,2,1,42,10.0570
1967,6,2,2,38,4.4235
1967,6,2,3,37,7.3202
1967,6,2,4,36,7.4055
1967,6,2,5,38,6.7657
1967,6,3,1,54,4.1476
1967,6,3,2,80,1.8035
1967,6,3,3,86,1.2956
1967,6,3,4,88,2.4352
1967,6,3,5,87,3.2482
1967,7,1,1,115,10.1215
1967,7,1,2,66,10.8605
1967,7,1,3,64,10.2350
1967,7,1,4,73,11.1541
1967,7,1,5,69,7.8317
1967,7,2,1,54,8.5474
1967,7,2,2,46,8.0280
1967,7,2,3,39,8.5930
1967,7,2,4,31,8.0040
1967,7,2,5,52,8.2671
1967,7,3,1,61,6.9814
1967,7,3,2,79,1.9699
1967,7,3,3,88,5.8089
1967,7,3,4,103,7.5538
1967,7,3,5,91,3.7480
1967,8,1,1,115,1.2950
1967,8,1,2,66,1.7819
1967,8,1,3,64,1.5705
1967,8,1,4,73,-0.4701
1967,8,1,5,69,-0.9447
1967,8,2,1,54,-0.0916
1967,8,2,2,46,0.8936
1967,8,2,3,39,-0.3411
1967,8,2,4,31,2.9904
1967,8,2,5,52,-2.9511
1967,8,3,1,61,-0.2492
1967,8,3,2,79,-1.0814
1967,8,3,3,88,-0.8447
1967,8,3,4,102,0.4843
1967,8,3,5,91,-1.4029
1967,9,1,1,115,5.9305
1967,9,1,2,66,6.5603
1967,9,1,3,64,7.9830
1967,9,1,4,73,9.4188
1967,9,1,5,69,7.8984
1967,9,2,1,54,4.7740
1967,9,2,2,46,3.8926
1967,9,2,3,39,5.5254
1967,9,2,4,31,1.2770
1967,9,2,5,52,5.0697
1967,9,3,1,61,1.5043
1967,9,3,2,79,2.5512
1967,9,3,3,87,3.7802
1967,9,3,4,102,4.0936
1967,9,3,5,91,5.4776
1967,10,1,1,115,-1.4449
1967,10,1,2,66,-2.2569
1967,10,1,3,64,-1.6829
1967,10,1,4,73,-1.7369
1967,10,1,5,69,-1.5142
1967,10,2,1,54,-2.2250
1967,10,2,2,46,-3.9932
1967,10,2,3,39,-2.5358
1967,10,2,4,31,-6.9321
1967,10,2,5,52,-2.0652
1967,10,3,1,61,-4.0889
1967,10,3,2,79,-2.1834
1967,10,3,3,87,-4.3034
1967,10,3,4,102,-4.1156
1967,10,3,5,91,1.0488
1967,11,1,1,114,-0.3914
1967,11,1,2,66,1.3510
1967,11,1,3,64,-1.4098
1967,11,1,4,73,1.5475
1967,11,1,5,68,0.1273
1967,11,2,1,54,2.1559
1967,11,2,2,46,1.1009
1967,11,2,3,39,0.1652
1967,11,2,4,31,-1.9577
1967,11,2,5,52,0.7644
1967,11,3,1,61,1.9102
1967,11,3,2,79,-0.7893
1967,11,3,3,88,0.9257
1967,11,3,4,102,-0.3147
1967,11,3,5,91,1.7308
1967,12,1,1,113,10.2106
1967,12,1,2,66,11.3263
1967,12,1,3,64,8.0911
1967,12,1,4,73,5.6449
1967,12,1,5,68,9.5055
1967,12,2,1,54,10.0732
1967,12,2,2,46,3.9638
1967,12,2,3,39,5.8384
1967,12,2,4,31,7.0933
1967,12,2,5,52,7.3379
1967,12,3,1,61,1.6725
1967,12,3,2,79,3.9296
1967,12,3,3,88,2.7690
1967,12,3,4,102,1.8520
1967,12,3,5,91,2.0081
1968,1,1,1,113,3.9583
1968,1,1,2,66,2.2603
1968,1,1,3,64,3.8284
1968,1,1,4,73,3.5067
1968,1,1,5,68,-0.8778
1968,1,2,1,54,1.3211
1968,1,2,2,46,0.1025
1968,1,2,3,39,1.0059
1968,1,2,4,31,-1.3300
1968,1,2,5,52,-2.8415
1968,1,3,1,61,-3.0487
1968,1,3,2,79,-1.8119
1968,1,3,3,88,-3.6637
1968,1,3,4,102,-6.1160
1968,1,3,5,91,-7.8455
1968,2,1,1,113,-5.4925
1968,2,1,2,66,-5.6860
1968,2,1,3,64,-6.2054
1968,2,1,4,73,-5.7816
1968,2,1,5,68,-6.8841
1968,2,2,1,53,-6.6777
1968,2,2,2,45,-2.1731
1968,2,2,3,39,-3.1911
1968,2,2,4,31,-4.4718
1968,2,2,5,52,-6.0770
1968,2,3,1,61,-2.7661
1968,2,3,2,79,-2.4688
1968,2,3,3,88,-3.6398
1968,2,3,4,102,-3.1045
1968,2,3,5,90,-3.5243
1968,3,1,1,114,-2.5242
1968,3,1,2,66,-0.0107
1968,3,1,3,64,0.2520
1968,3,1,4,73,-1.5460
1968,3,1,5,68,-0.5826
1968,3,2,1,53,-2.1712
1968,3,2,2,45,-1.5921
1968,3,2,3,39,0.3661
1968,3,2,4,31,-1.6281
1968,3,2,5,52,-0.9275
1968,3,3,1,61,1.1236
1968,3,3,2,79,0.6517
1968,3,3,3,88,-0.2707
1968,3,3,4,102,0.6826
1968,3,3,5,90,3.0030
1968,4,1,1,114,17.4749
1968,4,1,2,66,18.4893
1968,4,1,3,64,15.3042
1968,4,1,4,73,17.0389
1968,4,1,5,68,17.4380
1968,4,2,1,53,16.6050
1968,4,2,2,45,8.4901
1968,4,2,3,39,13.8298
1968,4,2,4,31,12.7627
1968,4,2,5,52,16.5563
1968,4,3,1,61,9.6690
1968,4,3,2,79,5.8334
1968,4,3,3,88,8.1535
1968,4,3,4,102,10.9541
1968,4,3,5,90,11.9381
1968,5,1,1,114,9.6573
1968,5,1,2,66,10.1060
