year,month,rank_ME,rank_ACI,nstocks,ret_vw
1967,1,1,1,31,19.4624
1967,1,1,2,15,12.1338
1967,1,1,3,10,21.4614
1967,1,1,4,15,16.3178
1967,1,1,5,32,18.2728
1967,1,2,1,39,16.1186
1967,1,2,2,23,18.6871
1967,1,2,3,24,18.2789
1967,1,2,4,18,18.3355
1967,1,2,5,34,15.3739
1967,1,3,1,58,7.7638
1967,1,3,2,84,6.8732
1967,1,3,3,83,6.9628
1967,1,3,4,81,11.6518
1967,1,3,5,54,8.4383
1967,2,1,1,31,4.8873
1967,2,1,2,15,4.4673
1967,2,1,3,10,6.6807
1967,2,1,4,15,1.9717
1967,2,1,5,32,2.2396
1967,2,2,1,39,0.3846
1967,2,2,2,23,2.1838
1967,2,2,3,24,1.9074
1967,2,2,4,18,2.3466
1967,2,2,5,34,2.7730
1967,2,3,1,58,2.0869
1967,2,3,2,84,1.0986
1967,2,3,3,83,2.2987
1967,2,3,4,81,-0.6963
1967,2,3,5,54,-0.6651
1967,3,1,1,31,8.6002
1967,3,1,2,15,4.9733
1967,3,1,3,10,3.4504
1967,3,1,4,15,8.8422
1967,3,1,5,32,6.5298
1967,3,2,1,39,4.9947
1967,3,2,2,23,10.1769
1967,3,2,3,24,5.1691
1967,3,2,4,18,6.5794
1967,3,2,5,34,7.1889
1967,3,3,1,58,4.8706
1967,3,3,2,84,5.2296
1967,3,3,3,83,3.5812
1967,3,3,4,81,4.8790
1967,3,3,5,54,5.1079
1967,4,1,1,31,4.6687
1967,4,1,2,15,12.3268
1967,4,1,3,10,0.8138
1967,4,1,4,15,0.9147
1967,4,1,5,32,5.1513
1967,4,2,1,39,5.5662
1967,4,2,2,23,1.3256
1967,4,2,3,24,2.3325
1967,4,2,4,18,4.8542
1967,4,2,5,34,5.8973
1967,4,3,1,58,5.7067
1967,4,3,2,84,3.9432
1967,4,3,3,83,2.8465
1967,4,3,4,81,7.0471
1967,4,3,5,54,6.8584
1967,5,1,1,31,-0.2007
1967,5,1,2,15,-2.7739
1967,5,1,3,10,0.7929
1967,5,1,4,15,0.4060
1967,5,1,5,32,-0.2455
1967,5,2,1,39,-0.2856
1967,5,2,2,23,-2.6949
1967,5,2,3,24,-3.5693
1967,5,2,4,18,-2.3468
1967,5,2,5,34,-2.6291
1967,5,3,1,58,-2.0904
1967,5,3,2,84,-3.6519
1967,5,3,3,83,-4.8375
1967,5,3,4,81,-6.1753
1967,5,3,5,54,-4.5568
1967,6,1,1,31,8.2304
1967,6,1,2,15,9.3858
1967,6,1,3,10,12.8051
1967,6,1,4,15,10.5651
1967,6,1,5,32,11.5734
1967,6,2,1,39,9.1834
1967,6,2,2,23,8.8769
1967,6,2,3,24,4.1175
1967,6,2,4,18,7.5254
1967,6,2,5,34,7.4012
1967,6,3,1,58,3.7580
1967,6,3,2,84,2.1464
1967,6,3,3,83,2.7999
1967,6,3,4,81,1.0426
1967,6,3,5,54,1.7963
1967,7,1,1,49,8.9762
1967,7,1,2,27,8.7767
1967,7,1,3,20,12.3114
1967,7,1,4,22,12.7986
1967,7,1,5,34,6.7931
1967,7,2,1,39,10.7331
1967,7,2,2,24,6.9380
1967,7,2,3,35,8.8991
1967,7,2,4,26,11.0737
1967,7,2,5,27,6.3375
1967,7,3,1,54,5.9774
1967,7,3,2,84,1.2532
1967,7,3,3,83,6.5292
1967,7,3,4,82,3.9978
1967,7,3,5,79,8.8974
1967,8,1,1,49,0.3500
1967,8,1,2,27,0.3152
1967,8,1,3,20,-1.5971
1967,8,1,4,22,-1.3074
1967,8,1,5,34,2.3828
1967,8,2,1,39,1.5386
1967,8,2,2,24,-0.4897
1967,8,2,3,35,-0.2090
1967,8,2,4,26,0.3029
1967,8,2,5,27,0.6212
1967,8,3,1,54,-0.0362
1967,8,3,2,83,-0.8206
1967,8,3,3,83,-1.1449
1967,8,3,4,82,-0.6597
1967,8,3,5,79,0.0554
1967,9,1,1,49,5.7908
1967,9,1,2,27,2.7212
1967,9,1,3,20,5.5754
1967,9,1,4,22,5.9600
1967,9,1,5,34,4.3989
1967,9,2,1,39,2.8081
1967,9,2,2,24,1.4155
1967,9,2,3,35,6.0407
1967,9,2,4,26,3.6612
1967,9,2,5,27,4.0426
1967,9,3,1,54,5.5379
1967,9,3,2,83,3.0180
1967,9,3,3,83,3.1787
1967,9,3,4,82,5.1841
1967,9,3,5,79,2.4118
1967,10,1,1,49,-4.9956
1967,10,1,2,27,-3.8608
1967,10,1,3,20,3.8687
1967,10,1,4,22,-4.9856
1967,10,1,5,34,-4.1727
1967,10,2,1,39,-5.5527
1967,10,2,2,24,-4.6281
1967,10,2,3,35,-5.2024
1967,10,2,4,26,-0.0432
1967,10,2,5,27,-6.0499
1967,10,3,1,53,-3.6283
1967,10,3,2,83,-1.2115
1967,10,3,3,83,-4.0939
1967,10,3,4,82,-0.5085
1967,10,3,5,79,-3.9775
1967,11,1,1,49,-1.2093
1967,11,1,2,27,4.2228
1967,11,1,3,20,0.4200
1967,11,1,4,22,-0.6057
1967,11,1,5,34,1.0525
1967,11,2,1,39,-1.0394
1967,11,2,2,24,2.0830
1967,11,2,3,35,-0.6098
1967,11,2,4,26,0.3897
1967,11,2,5,27,-0.9443
1967,11,3,1,54,-1.1698
1967,11,3,2,83,-0.0446
1967,11,3,3,83,0.7424
1967,11,3,4,82,1.5129
1967,11,3,5,79,-0.5746
1967,12,1,1,48,8.1435
1967,12,1,2,27,6.1268
1967,12,1,3,20,9.3499
1967,12,1,4,22,7.8772
1967,12,1,5,34,8.0238
1967,12,2,1,39,3.6614
1967,12,2,2,24,5.5033
1967,12,2,3,35,5.5218
1967,12,2,4,26,4.8146
1967,12,2,5,27,4.7521
1967,12,3,1,54,6.0536
1967,12,3,2,83,2.4922
1967,12,3,3,83,2.0751
1967,12,3,4,82,3.3149
1967,12,3,5,79,-0.4040
1968,1,1,1,48,0.1914
1968,1,1,2,27,1.5559
1968,1,1,3,20,-1.8394
1968,1,1,4,22,4.6379
1968,1,1,5,34,0.9008
1968,1,2,1,39,1.3378
1968,1,2,2,24,-1.2877
1968,1,2,3,35,-1.5203
1968,1,2,4,26,3.1579
1968,1,2,5,27,-1.9204
1968,1,3,1,54,-4.6203
1968,1,3,2,83,-4.1254
1968,1,3,3,83,-3.2780
1968,1,3,4,82,-5.3689
1968,1,3,5,79,-6.4986
1968,2,1,1,48,-3.9384
1968,2,1,2,27,-3.5635
1968,2,1,3,20,-1.6866
1968,2,1,4,22,-6.5932
1968,2,1,5,34,-2.8097
1968,2,2,1,39,-3.1754
1968,2,2,2,24,-3.5796
1968,2,2,3,34,-5.4568
1968,2,2,4,26,-4.7043
1968,2,2,5,27,-2.1832
1968,2,3,1,54,-4.6948
1968,2,3,2,83,-3.2774
1968,2,3,3,83,-2.5548
1968,2,3,4,82,-2.8375
1968,2,3,5,78,-3.2744
1968,3,1,1,48,-0.1831
1968,3,1,2,27,0.0379
1968,3,1,3,20,0.0165
1968,3,1,4,22,-1.5349
1968,3,1,5,34,2.6865
1968,3,2,1,39,1.1770
1968,3,2,2,24,-2.8480
1968,3,2,3,34,-1.4718
1968,3,2,4,26,-3.2688
1968,3,2,5,27,-2.8282
1968,3,3,1,54,0.3161
1968,3,3,2,83,-0.4517
1968,3,3,3,83,1.7397
1968,3,3,4,82,2.8023
1968,3,3,5,78,-0.3741
1968,4,1,1,48,16.0801
1968,4,1,2,27,12.0154
1968,4,1,3,20,13.1796
1968,4,1,4,22,15.9869
1968,4,1,5,34,13.6818
1968,4,2,1,39,10.7198
1968,4,2,2,24,10.3985
1968,4,2,3,34,16.1457
1968,4,2,4,26,13.8657
1968,4,2,5,27,10.9512
1968,4,3,1,54,11.2294
1968,4,3,2,83,6.8540
1968,4,3,3,83,8.6269
1968,4,3,4,82,10.0280
1968,4,3,5,78,11.6625
1968,5,1,1,48,9.0891
1968,5,1,2,27,10.2837
1968,5,1,3,20,7.7987
1968,5,1,4,22,10.5669
1968,5,1,5,34,8.0339
1968,5,2,1,39,5.8836
1968,5,2,2,24,8.0651
1968,5,2,3,34,6.7429
1968,5,2,4,26,5.7766
1968,5,2,5,27,6.0787
1968,5,3,1,54,3.1760
1968,5,3,2,83,2.3389
1968,5,3,3,83,0.3378
1968,5,3,4,82,2.9697
1968,5,3,5,78,-0.6978
1968,6,1,1,48,1.7997
1968,6,1,2,27,0.6759
1968,6,1,3,20,-0.1564
1968,6,1,4,22,4.1196
1968,6,1,5,34,0.2603
1968,6,2,1,39,0.5205
1968,6,2,2,24,-0.4117
1968,6,2,3,34,2.0231
1968,6,2,4,26,-0.8384
1968,6,2,5,26,1.5119
1968,6,3,1,54,0.5289
1968,6,3,2,83,0.7456
1968,6,3,3,83,0.7970
1968,6,3,4,82,0.2859
1968,6,3,5,78,-1.2354
1968,7,1,1,59,-1.7076
1968,7,1,2,29,-3.7644
1968,7,1,3,27,-1.5218
1968,7,1,4,27,-2.8595
1968,7,1,5,44,-2.9672
1968,7,2,1,41,-4.1544
1968,7,2,2,37,-2.1064
1968,7,2,3,25,-1.8815
1968,7,2,4,33,-2.8403
1968,7,2,5,32,-6.0570
1968,7,3,1,50,-2.3803
1968,7,3,2,80,-3.7618
1968,7,3,3,100,-0.9829
1968,7,3,4,87,-1.4507
1968,7,3,5,79,-3.1723
1968,8,1,1,59,3.9455
1968,8,1,2,29,3.2792
1968,8,1,3,27,6.1717
1968,8,1,4,27,4.7634
1968,8,1,5,44,1.8816
1968,8,2,1,40,5.2296
1968,8,2,2,37,4.4701
1968,8,2,3,25,2.6476
1968,8,2,4,33,4.7348
1968,8,2,5,32,5.9603
1968,8,3,1,50,3.0375
1968,8,3,2,80,1.1392
1968,8,3,3,99,1.0626
1968,8,3,4,87,1.9427
1968,8,3,5,79,2.9821
1968,9,1,1,59,6.8887
1968,9,1,2,29,6.1195
1968,9,1,3,27,7.8951
1968,9,1,4,27,6.1658
1968,9,1,5,44,7.5399
1968,9,2,1,40,7.9074
1968,9,2,2,37,8.4643
1968,9,2,3,25,5.5588
1968,9,2,4,33,3.6028
1968,9,2,5,32,6.2952
1968,9,3,1,50,5.2269
1968,9,3,2,80,3.1856
1968,9,3,3,99,4.8643
1968,9,3,4,87,3.0684
1968,9,3,5,79,5.8945
1968,10,1,1,59,2.2371
1968,10,1,2,29,-0.4495
1968,10,1,3,27,2.8351
1968,10,1,4,27,0.4814
1968,10,1,5,44,2.0910
1968,10,2,1,40,2.2819
1968,10,2,2,36,1.3088
1968,10,2,3,25,3.0077
1968,10,2,4,33,-0.0375
1968,10,2,5,32,1.8342
1968,10,3,1,50,0.1490
1968,10,3,2,80,-0.7186
1968,10,3,3,98,1.5817
1968,10,3,4,87,1.4856
1968,10,3,5,79,0.5945
1968,11,1,1,59,7.9057
1968,11,1,2,29,6.1157
1968,11,1,3,26,5.6845
1968,11,1,4,27,4.8524
1968,11,1,5,44,5.2133
1968,11,2,1,40,6.3298
1968,11,2,2,37,6.5704
1968,11,2,3,25,8.9746
1968,11,2,4,33,8.3347
1968,11,2,5,32,6.1981
1968,11,3,1,50,6.1209
1968,11,3,2,80,4.5809
1968,11,3,3,98,5.1792
1968,11,3,4,87,4.9765
1968,11,3,5,79,6.5656
1968,12,1,1,58,0.2711
1968,12,1,2,29,-0.9009
1968,12,1,3,27,1.4200
1968,12,1,4,27,1.4227
1968,12,1,5,44,-0.9621
1968,12,2,1,40,-0.7165
1968,12,2,2,37,-0.7061
1968,12,2,3,25,-2.5741
1968,12,2,4,33,-1.7016
1968,12,2,5,32,-1.4277
1968,12,3,1,50,-2.8993
1968,12,3,2,80,-4.1035
1968,12,3,3,98,-4.7890
1968,12,3,4,87,-3.6181
1968,12,3,5,79,-4.0343
1969,1,1,1,58,-1.6827
1969,1,1,2,29,-0.1990
1969,1,1,3,27,-1.9930
1969,1,1,4,27,0.1524
1969,1,1,5,44,-1.3999
1969,1,2,1,40,-2.0431
1969,1,2,2,37,-1.2355
1969,1,2,3,25,-0.0514
1969,1,2,4,33,-0.8405
1969,1,2,5,32,-2.6808
1969,1,3,1,50,-1.0904
1969,1,3,2,80,-2.4946
1969,1,3,3,98,-0.5516
1969,1,3,4,87,-0.7636
1969,1,3,5,78,-1.0845
1969,2,1,1,58,-8.7690
1969,2,1,2,29,-9.0819
1969,2,1,3,27,-10.3675
1969,2,1,4,27,-7.4704
1969,2,1,5,44,-7.7987
1969,2,2,1,40,-9.7221
1969,2,2,2,37,-6.8401
1969,2,2,3,25,-7.4920
1969,2,2,4,33,-6.5336
1969,2,2,5,32,-6.9631
1969,2,3,1,50,-6.9686
1969,2,3,2,80,-3.0375
1969,2,3,3,98,-3.9778
1969,2,3,4,87,-4.7077
1969,2,3,5,78,-4.9965
1969,3,1,1,58,3.5458
1969,3,1,2,29,0.2819
1969,3,1,3,27,3.0211
1969,3,1,4,26,1.4292
1969,3,1,5,44,1.1571
1969,3,2,1,40,3.6894
1969,3,2,2,37,2.3366
1969,3,2,3,25,3.1065
1969,3,2,4,33,0.8256
1969,3,2,5,32,4.1086
1969,3,3,1,50,2.1232
1969,3,3,2,80,4.6865
1969,3,3,3,98,3.9758
1969,3,3,4,87,2.8898
1969,3,3,5,78,3.5019
