year,month,rank_ME,rank_CEI,nstocks,ret_vw
1967,1,1,1,47,16.2726
1967,1,1,2,28,15.2727
1967,1,1,3,20,18.9192
1967,1,1,4,23,16.6026
1967,1,1,5,43,20.0079
1967,1,2,1,67,15.8506
1967,1,2,2,45,12.1303
1967,1,2,3,36,14.2758
1967,1,2,4,51,15.9981
1967,1,2,5,43,20.9689
1967,1,3,1,64,12.7579
1967,1,3,2,104,6.8168
1967,1,3,3,123,4.8318
1967,1,3,4,102,7.3780
1967,1,3,5,96,9.3427
1967,2,1,1,47,3.1382
1967,2,1,2,28,1.9898
1967,2,1,3,20,6.6179
1967,2,1,4,23,3.0810
1967,2,1,5,43,4.2869
1967,2,2,1,66,3.2013
1967,2,2,2,45,1.3491
1967,2,2,3,36,1.4404
1967,2,2,4,51,0.4483
1967,2,2,5,43,2.6094
1967,2,3,1,64,-1.9923
1967,2,3,2,104,-0.8050
1967,2,3,3,123,0.4089
1967,2,3,4,102,0.9076
1967,2,3,5,96,4.0662
1967,3,1,1,47,6.8808
1967,3,1,2,28,8.1660
1967,3,1,3,20,5.8874
1967,3,1,4,23,7.4991
1967,3,1,5,43,6.6747
1967,3,2,1,66,6.2612
1967,3,2,2,45,3.8836
1967,3,2,3,36,6.7107
1967,3,2,4,51,5.9139
1967,3,2,5,43,4.4391
1967,3,3,1,64,4.8081
1967,3,3,2,104,4.3258
1967,3,3,3,123,2.8193
1967,3,3,4,102,3.9009
1967,3,3,5,96,5.3698
1967,4,1,1,47,4.1121
1967,4,1,2,28,4.4644
1967,4,1,3,20,2.3055
1967,4,1,4,23,5.0791
1967,4,1,5,43,3.2926
1967,4,2,1,65,2.9159
1967,4,2,2,45,3.3679
1967,4,2,3,36,4.5728
1967,4,2,4,51,4.7477
1967,4,2,5,43,1.8875
1967,4,3,1,64,7.7329
1967,4,3,2,104,2.5329
1967,4,3,3,123,2.6618
1967,4,3,4,102,4.0187
1967,4,3,5,95,6.5328
1967,5,1,1,47,-0.9876
1967,5,1,2,28,1.4870
1967,5,1,3,20,-1.5293
1967,5,1,4,23,2.0724
1967,5,1,5,43,2.7247
1967,5,2,1,65,-0.9188
1967,5,2,2,45,-2.5739
1967,5,2,3,35,-0.8362
1967,5,2,4,51,-1.1152
1967,5,2,5,43,-2.2115
1967,5,3,1,64,-5.3572
1967,5,3,2,104,-2.8610
1967,5,3,3,123,-4.7661
1967,5,3,4,101,-4.9839
1967,5,3,5,95,-4.5728
1967,6,1,1,47,7.3322
1967,6,1,2,28,11.1219
1967,6,1,3,20,10.4528
1967,6,1,4,23,7.2054
1967,6,1,5,43,10.1942
1967,6,2,1,64,8.1359
1967,6,2,2,45,5.6903
1967,6,2,3,34,3.6283
1967,6,2,4,51,9.0184
1967,6,2,5,41,5.7389
1967,6,3,1,64,0.7639
1967,6,3,2,104,2.6339
1967,6,3,3,123,0.2326
1967,6,3,4,98,2.2294
1967,6,3,5,95,4.0701
1967,7,1,1,55,9.5896
1967,7,1,2,30,8.5092
1967,7,1,3,17,8.8221
1967,7,1,4,33,11.5457
1967,7,1,5,41,8.5145
1967,7,2,1,60,7.8964
1967,7,2,2,53,8.4947
1967,7,2,3,48,7.4918
1967,7,2,4,45,5.5432
1967,7,2,5,40,10.2379
1967,7,3,1,70,7.7108
1967,7,3,2,101,6.2454
1967,7,3,3,117,6.6461
1967,7,3,4,104,1.4245
1967,7,3,5,104,4.2018
1967,8,1,1,55,-0.3732
1967,8,1,2,30,0.4552
1967,8,1,3,17,0.3071
1967,8,1,4,32,1.9449
1967,8,1,5,40,0.9231
1967,8,2,1,60,0.7002
1967,8,2,2,53,1.1368
1967,8,2,3,47,-0.3141
1967,8,2,4,45,-1.3562
1967,8,2,5,40,1.3068
1967,8,3,1,70,0.9421
1967,8,3,2,99,-1.5351
1967,8,3,3,117,-0.5762
1967,8,3,4,103,-1.0652
1967,8,3,5,104,-0.7270
1967,9,1,1,55,6.2329
1967,9,1,2,30,6.0384
1967,9,1,3,17,5.3538
1967,9,1,4,32,4.2600
1967,9,1,5,40,5.7262
1967,9,2,1,60,2.7962
1967,9,2,2,53,4.0878
1967,9,2,3,46,3.7598
1967,9,2,4,45,3.0722
1967,9,2,5,40,3.8158
1967,9,3,1,70,3.8633
1967,9,3,2,99,1.8091
1967,9,3,3,117,3.4294
1967,9,3,4,102,3.5771
1967,9,3,5,104,2.6670
1967,10,1,1,55,-4.4033
1967,10,1,2,30,-1.8266
1967,10,1,3,17,-0.9504
1967,10,1,4,31,-3.1962
1967,10,1,5,40,-2.6916
1967,10,2,1,59,-4.0809
1967,10,2,2,52,-2.6490
1967,10,2,3,46,-0.3562
1967,10,2,4,45,-4.5298
