year,month,rank_ME,rank_DAC,nstocks,ret_vw
1967,1,1,1,70,20.1518
1967,1,1,2,49,19.8037
1967,1,1,3,29,15.4286
1967,1,1,4,49,21.0232
1967,1,1,5,70,19.0969
1967,1,2,1,27,14.3092
1967,1,2,2,38,16.7682
1967,1,2,3,31,16.8497
1967,1,2,4,31,15.4561
1967,1,2,5,43,19.2224
1967,1,3,1,73,10.4284
1967,1,3,2,81,7.6969
1967,1,3,3,81,9.6383
1967,1,3,4,77,4.9867
1967,1,3,5,61,10.7919
1967,2,1,1,70,5.6170
1967,2,1,2,49,6.5201
1967,2,1,3,29,3.9993
1967,2,1,4,49,2.6984
1967,2,1,5,70,4.7594
1967,2,2,1,27,2.5973
1967,2,2,2,38,2.5153
1967,2,2,3,31,0.7585
1967,2,2,4,31,0.6841
1967,2,2,5,43,4.2849
1967,2,3,1,73,2.6220
1967,2,3,2,81,0.9129
1967,2,3,3,81,-0.0926
1967,2,3,4,77,0.2933
1967,2,3,5,61,2.2253
1967,3,1,1,70,5.7731
1967,3,1,2,49,8.2786
1967,3,1,3,29,6.9377
1967,3,1,4,49,5.8354
1967,3,1,5,70,6.0085
1967,3,2,1,27,4.9177
1967,3,2,2,38,4.5556
1967,3,2,3,31,4.1310
1967,3,2,4,31,10.1457
1967,3,2,5,43,8.5181
1967,3,3,1,73,5.2611
1967,3,3,2,81,4.1089
1967,3,3,3,81,5.4742
1967,3,3,4,77,3.8509
1967,3,3,5,61,5.2619
1967,4,1,1,70,4.3931
1967,4,1,2,49,7.7133
1967,4,1,3,29,4.8148
1967,4,1,4,49,4.3696
1967,4,1,5,70,6.0507
1967,4,2,1,27,4.6603
1967,4,2,2,38,2.7212
1967,4,2,3,31,2.7230
1967,4,2,4,31,4.6518
1967,4,2,5,43,6.1072
1967,4,3,1,73,8.3434
1967,4,3,2,81,2.8653
1967,4,3,3,81,3.0621
1967,4,3,4,77,2.3233
1967,4,3,5,61,6.8509
1967,5,1,1,70,-1.2193
1967,5,1,2,49,1.8088
1967,5,1,3,29,5.6326
1967,5,1,4,49,1.0544
1967,5,1,5,70,-0.1959
1967,5,2,1,27,-1.6348
1967,5,2,2,38,0.8080
1967,5,2,3,31,-1.8175
1967,5,2,4,31,-4.1959
1967,5,2,5,43,-1.9671
1967,5,3,1,73,-5.8805
1967,5,3,2,81,-4.9187
1967,5,3,3,81,-2.5488
1967,5,3,4,77,-4.2421
1967,5,3,5,61,-3.8839
