year,month,rank_ME,rank_dBE,nstocks,ret_vw
1967,1,1,1,34,16.9949
1967,1,1,2,20,17.7568
1967,1,1,3,19,16.4754
1967,1,1,4,26,15.3616
1967,1,1,5,20,26.1515
1967,1,2,1,25,16.4791
1967,1,2,2,15,12.2940
1967,1,2,3,21,18.1896
1967,1,2,4,17,12.2592
1967,1,2,5,20,17.8875
1967,1,3,1,49,7.2303
1967,1,3,2,62,1.9678
1967,1,3,3,59,7.7219
1967,1,3,4,60,9.0018
1967,1,3,5,68,7.6169
1967,2,1,1,34,5.4417
1967,2,1,2,20,4.2613
1967,2,1,3,19,2.6609
1967,2,1,4,26,4.0046
1967,2,1,5,20,3.2355
1967,2,2,1,25,4.1342
1967,2,2,2,15,-0.8579
1967,2,2,3,21,2.2872
1967,2,2,4,17,2.1380
1967,2,2,5,20,2.5637
1967,2,3,1,49,-1.5541
1967,2,3,2,62,-1.5057
1967,2,3,3,59,0.4835
1967,2,3,4,60,-0.6339
1967,2,3,5,68,5.4985
1967,3,1,1,34,9.6744
1967,3,1,2,20,9.7783
1967,3,1,3,19,1.5053
1967,3,1,4,26,9.1448
1967,3,1,5,20,11.7540
1967,3,2,1,25,2.8327
1967,3,2,2,15,4.9787
1967,3,2,3,21,6.5100
1967,3,2,4,17,9.4988
1967,3,2,5,20,4.2524
1967,3,3,1,49,1.9953
1967,3,3,2,62,3.5666
1967,3,3,3,59,4.3390
1967,3,3,4,60,3.6492
1967,3,3,5,68,4.4835
1967,4,1,1,34,3.7691
1967,4,1,2,20,3.2420
1967,4,1,3,19,3.1605
1967,4,1,4,26,11.5190
1967,4,1,5,20,5.5962
1967,4,2,1,25,4.2985
1967,4,2,2,15,-0.1581
1967,4,2,3,21,1.4035
1967,4,2,4,17,2.5574
1967,4,2,5,20,5.9760
1967,4,3,1,49,0.8797
1967,4,3,2,62,2.2308
1967,4,3,3,59,1.1318
1967,4,3,4,60,6.9811
1967,4,3,5,68,5.4889
1967,5,1,1,34,4.8590
1967,5,1,2,20,-3.1116
1967,5,1,3,19,-1.2034
1967,5,1,4,26,0.3720
1967,5,1,5,20,-0.6255
1967,5,2,1,25,-3.0726
1967,5,2,2,15,-1.7546
1967,5,2,3,21,-3.8066
1967,5,2,4,17,1.1910
1967,5,2,5,20,-3.6948
1967,5,3,1,49,-3.3019
1967,5,3,2,62,-3.6777
1967,5,3,3,59,-5.4740
1967,5,3,4,60,-6.1098
1967,5,3,5,68,-4.4582
1967,6,1,1,34,14.1631
1967,6,1,2,20,8.0197
1967,6,1,3,19,6.9540
1967,6,1,4,26,15.4516
1967,6,1,5,20,22.3765
1967,6,2,1,25,7.3445
1967,6,2,2,15,1.1959
1967,6,2,3,21,11.3874
1967,6,2,4,17,10.8225
1967,6,2,5,20,4.4647
1967,6,3,1,49,1.8787
1967,6,3,2,62,-1.3012
1967,6,3,3,58,3.0554
1967,6,3,4,60,-0.0851
1967,6,3,5,68,3.9830
1967,7,1,1,57,10.3088
1967,7,1,2,25,8.4813
1967,7,1,3,25,12.1183
1967,7,1,4,35,10.1214
1967,7,1,5,37,10.4265
1967,7,2,1,27,4.1921
1967,7,2,2,25,7.7688
1967,7,2,3,28,11.6161
1967,7,2,4,19,6.0512
1967,7,2,5,28,8.3131
1967,7,3,1,50,4.8644
1967,7,3,2,73,2.0253
1967,7,3,3,67,6.5226
1967,7,3,4,83,4.9385
1967,7,3,5,74,3.2618
1967,8,1,1,57,1.8646
1967,8,1,2,25,-2.5804
1967,8,1,3,25,1.0661
1967,8,1,4,35,0.5741
1967,8,1,5,37,-0.6455
1967,8,2,1,27,-0.7037
1967,8,2,2,25,-0.2283
1967,8,2,3,28,-0.2387
1967,8,2,4,19,3.6205
1967,8,2,5,28,-2.3060
1967,8,3,1,50,0.0989
1967,8,3,2,73,-0.8713
1967,8,3,3,66,0.3037
1967,8,3,4,83,-1.5465
1967,8,3,5,74,-1.7963
1967,9,1,1,57,3.7713
1967,9,1,2,25,4.9889
1967,9,1,3,25,5.5796
1967,9,1,4,35,11.6100
1967,9,1,5,37,12.4394
1967,9,2,1,27,0.7323
1967,9,2,2,25,1.3856
1967,9,2,3,28,4.9490
1967,9,2,4,19,7.0486
1967,9,2,5,28,5.3994
1967,9,3,1,50,0.3100
1967,9,3,2,73,2.0352
1967,9,3,3,66,3.6690
1967,9,3,4,83,4.0539
1967,9,3,5,74,5.6975
1967,10,1,1,57,-2.8497
1967,10,1,2,25,-2.9773
1967,10,1,3,25,-3.7585
1967,10,1,4,35,-3.3057
1967,10,1,5,37,-0.3449
1967,10,2,1,27,-2.9256
1967,10,2,2,25,-2.3943
1967,10,2,3,28,-3.6271
1967,10,2,4,19,-5.0116
1967,10,2,5,28,-4.5670
1967,10,3,1,51,-5.1250
1967,10,3,2,73,-3.0622
1967,10,3,3,66,-4.5096
1967,10,3,4,83,-3.8661
1967,10,3,5,74,1.7357
1967,11,1,1,57,-1.5779
1967,11,1,2,25,0.7931
1967,11,1,3,25,-1.3419
1967,11,1,4,35,1.4389
1967,11,1,5,37,0.3393
1967,11,2,1,27,2.5714
1967,11,2,2,25,-0.5406
1967,11,2,3,28,-1.7131
1967,11,2,4,19,3.3240
1967,11,2,5,28,0.6426
1967,11,3,1,51,0.9459
1967,11,3,2,73,0.3181
1967,11,3,3,66,-1.0414
1967,11,3,4,83,1.3696
1967,11,3,5,74,2.2421
1967,12,1,1,56,12.3052
1967,12,1,2,25,8.6638
1967,12,1,3,25,3.6987
1967,12,1,4,35,9.6180
1967,12,1,5,37,9.5518
1967,12,2,1,27,8.8479
1967,12,2,2,25,4.2467
1967,12,2,3,28,5.3951
1967,12,2,4,19,4.5880
1967,12,2,5,28,10.3805
1967,12,3,1,51,1.5788
1967,12,3,2,73,1.5168
1967,12,3,3,66,3.9426
1967,12,3,4,83,2.9289
1967,12,3,5,74,2.1648
1968,1,1,1,57,4.7127
1968,1,1,2,25,0.7712
1968,1,1,3,25,5.3082
1968,1,1,4,34,1.7490
1968,1,1,5,37,5.0193
1968,1,2,1,27,4.3315
1968,1,2,2,25,1.5011
1968,1,2,3,28,0.8621
1968,1,2,4,19,-2.9958
1968,1,2,5,28,-1.2117
1968,1,3,1,51,0.3529
1968,1,3,2,73,-0.5033
1968,1,3,3,66,-4.3371
1968,1,3,4,83,-5.6953
1968,1,3,5,74,-8.3053
1968,2,1,1,57,-4.5701
1968,2,1,2,25,-3.9176
1968,2,1,3,25,-4.4585
1968,2,1,4,34,-8.0591
1968,2,1,5,36,-10.9251
1968,2,2,1,27,-3.5939
1968,2,2,2,25,-0.1058
1968,2,2,3,27,-3.7908
1968,2,2,4,19,-6.9818
1968,2,2,5,28,-4.0847
1968,2,3,1,51,-2.0302
1968,2,3,2,73,-1.7365
1968,2,3,3,66,-2.1737
1968,2,3,4,83,-3.7470
1968,2,3,5,73,-3.0376
1968,3,1,1,57,-3.4403
1968,3,1,2,25,0.2872
1968,3,1,3,25,-1.7082
1968,3,1,4,34,-0.8025
1968,3,1,5,37,-1.5352
1968,3,2,1,27,-3.1563
1968,3,2,2,25,-2.2645
1968,3,2,3,27,0.0873
1968,3,2,4,19,-0.3411
1968,3,2,5,28,-2.0672
1968,3,3,1,51,-2.5032
1968,3,3,2,73,-0.7762
1968,3,3,3,66,-0.9588
1968,3,3,4,83,0.1890
1968,3,3,5,73,3.3279
1968,4,1,1,57,17.3559
1968,4,1,2,25,16.5322
1968,4,1,3,25,11.5921
1968,4,1,4,34,22.9112
1968,4,1,5,37,18.4110
1968,4,2,1,27,8.5421
1968,4,2,2,25,10.8061
1968,4,2,3,27,10.0062
1968,4,2,4,19,18.4870
1968,4,2,5,28,16.7237
1968,4,3,1,51,4.7182
1968,4,3,2,73,4.3204
1968,4,3,3,66,9.8182
1968,4,3,4,83,9.7804
1968,4,3,5,73,10.9551
1968,5,1,1,57,11.0190
1968,5,1,2,25,9.9097
1968,5,1,3,25,8.7198
1968,5,1,4,34,11.6304
1968,5,1,5,37,11.2073
1968,5,2,1,27,6.0955
1968,5,2,2,25,5.7878
1968,5,2,3,27,5.1572
1968,5,2,4,19,9.2270
1968,5,2,5,28,11.6521
1968,5,3,1,51,1.5615
1968,5,3,2,73,-1.6000
1968,5,3,3,66,0.3681
1968,5,3,4,83,1.6591
1968,5,3,5,73,5.0416
1968,6,1,1,57,-0.2798
1968,6,1,2,25,5.8987
1968,6,1,3,25,3.3827
1968,6,1,4,34,2.3473
1968,6,1,5,37,-1.3145
1968,6,2,1,27,1.8550
1968,6,2,2,25,3.3356
1968,6,2,3,27,1.9355
1968,6,2,4,19,0.9955
1968,6,2,5,28,0.0133
1968,6,3,1,51,5.2071
1968,6,3,2,73,3.0805
1968,6,3,3,66,0.6022
1968,6,3,4,83,0.2628
1968,6,3,5,73,-0.9995
1968,7,1,1,111,0.8318
1968,7,1,2,64,-5.0086
1968,7,1,3,75,-4.5159
1968,7,1,4,88,-4.0389
1968,7,1,5,73,-4.7775
1968,7,2,1,49,0.2784
1968,7,2,2,37,-1.3338
1968,7,2,3,45,-1.8678
1968,7,2,4,47,-3.0604
1968,7,2,5,56,-8.0060
1968,7,3,1,66,-0.3996
1968,7,3,2,95,-0.5041
1968,7,3,3,93,-0.0161
1968,7,3,4,100,-1.8318
1968,7,3,5,110,-5.4777
1968,8,1,1,111,5.9282
1968,8,1,2,64,4.2699
1968,8,1,3,75,2.1698
1968,8,1,4,88,4.7332
1968,8,1,5,73,4.3142
1968,8,2,1,49,4.4687
1968,8,2,2,37,2.4438
1968,8,2,3,45,4.6403
1968,8,2,4,47,3.9293
1968,8,2,5,56,2.7057
1968,8,3,1,65,2.0220
1968,8,3,2,95,1.1421
1968,8,3,3,93,1.3737
1968,8,3,4,100,2.0624
1968,8,3,5,110,0.8355
1968,9,1,1,111,6.6363
1968,9,1,2,64,6.9437
1968,9,1,3,75,7.8279
1968,9,1,4,88,7.1992
1968,9,1,5,73,7.2430
1968,9,2,1,49,4.5620
1968,9,2,2,37,3.7584
1968,9,2,3,45,7.9843
1968,9,2,4,47,8.3630
1968,9,2,5,56,5.8790
1968,9,3,1,65,4.5935
1968,9,3,2,95,3.8233
1968,9,3,3,93,5.3630
1968,9,3,4,100,3.7107
1968,9,3,5,110,1.9138
1968,10,1,1,111,-0.4709
1968,10,1,2,64,2.2328
1968,10,1,3,75,1.1508
1968,10,1,4,88,1.1858
1968,10,1,5,73,-2.3542
1968,10,2,1,49,-0.7876
1968,10,2,2,37,4.2192
1968,10,2,3,45,1.7882
1968,10,2,4,46,1.0907
1968,10,2,5,56,-0.2135
1968,10,3,1,65,1.6218
1968,10,3,2,95,3.2509
1968,10,3,3,93,1.7918
1968,10,3,4,100,1.6911
1968,10,3,5,110,-3.0828
1968,11,1,1,111,6.1601
1968,11,1,2,64,6.4040
1968,11,1,3,75,7.8444
1968,11,1,4,88,7.2141
1968,11,1,5,73,9.4385
1968,11,2,1,49,8.0193
1968,11,2,2,37,8.0338
1968,11,2,3,45,9.5229
1968,11,2,4,47,6.3810
1968,11,2,5,56,9.1287
1968,11,3,1,65,5.3605
1968,11,3,2,95,5.9202
1968,11,3,3,93,3.6214
1968,11,3,4,100,6.1784
1968,11,3,5,110,6.7886
1968,12,1,1,111,4.7733
1968,12,1,2,64,0.4161
1968,12,1,3,75,1.1509
1968,12,1,4,88,1.6375
1968,12,1,5,73,0.9797
1968,12,2,1,49,-2.8091
1968,12,2,2,37,-0.4059
1968,12,2,3,45,-0.3507
1968,12,2,4,47,-1.1905
1968,12,2,5,56,-1.3389
1968,12,3,1,65,-2.1656
1968,12,3,2,95,-4.2032
1968,12,3,3,93,-4.8413
1968,12,3,4,100,-2.9627
1968,12,3,5,110,-4.6514
1969,1,1,1,111,-0.6169
1969,1,1,2,64,-1.9820
1969,1,1,3,75,-2.9556
1969,1,1,4,88,0.3685
1969,1,1,5,73,-1.7353
1969,1,2,1,49,0.5881
1969,1,2,2,37,-0.1900
1969,1,2,3,45,-0.7177
1969,1,2,4,47,-2.3810
1969,1,2,5,56,-1.5247
1969,1,3,1,65,1.0373
1969,1,3,2,95,1.0104
1969,1,3,3,93,-0.4088
1969,1,3,4,100,-1.2373
1969,1,3,5,110,-2.7656
1969,2,1,1,110,-10.4966
1969,2,1,2,64,-10.3549
1969,2,1,3,75,-9.1930
1969,2,1,4,88,-10.2914
1969,2,1,5,73,-10.6540
1969,2,2,1,49,-7.2739
1969,2,2,2,37,-6.7458
1969,2,2,3,45,-7.8068
1969,2,2,4,47,-7.4289
1969,2,2,5,56,-10.7568
1969,2,3,1,65,-5.3248
1969,2,3,2,95,-4.9685
1969,2,3,3,93,-3.6471
1969,2,3,4,100,-4.9787
1969,2,3,5,110,-4.4629
1969,3,1,1,110,4.4740
1969,3,1,2,64,0.5214
1969,3,1,3,75,1.1788
1969,3,1,4,88,2.9531
1969,3,1,5,73,2.9988
1969,3,2,1,49,1.6581
1969,3,2,2,37,1.7007
1969,3,2,3,45,3.3010
1969,3,2,4,47,4.9842
1969,3,2,5,56,1.5803
1969,3,3,1,65,1.3260
1969,3,3,2,95,0.5935
1969,3,3,3,93,5.8004
1969,3,3,4,100,3.9148
1969,3,3,5,110,3.1196
1969,4,1,1,110,-1.4094
1969,4,1,2,64,-1.3295
1969,4,1,3,75,1.7730
1969,4,1,4,88,0.9055
1969,4,1,5,73,-1.4662
1969,4,2,1,49,2.6393
1969,4,2,2,37,0.0121
1969,4,2,3,45,0.6028
1969,4,2,4,47,4.0237
1969,4,2,5,55,1.3214
1969,4,3,1,65,0.6554
1969,4,3,2,95,3.6608
1969,4,3,3,93,1.5165
1969,4,3,4,100,1.3135
1969,4,3,5,110,3.1315
1969,5,1,1,109,2.4983
1969,5,1,2,63,-0.2296
1969,5,1,3,75,1.9843
