year,month,rank_ME,rank_dCOA,nstocks,ret_vw
1967,1,1,1,99,16.1198
1967,1,1,2,44,18.5973
1967,1,1,3,43,22.4885
1967,1,1,4,70,17.6545
1967,1,1,5,98,19.7673
1967,1,2,1,51,15.1943
1967,1,2,2,36,11.6981
1967,1,2,3,41,17.0635
1967,1,2,4,38,17.2356
1967,1,2,5,49,21.8771
1967,1,3,1,61,6.8351
1967,1,3,2,100,6.8948
1967,1,3,3,93,9.4159
1967,1,3,4,92,11.5926
1967,1,3,5,72,7.9224
1967,2,1,1,99,4.1003
1967,2,1,2,44,4.8810
1967,2,1,3,43,3.7045
1967,2,1,4,70,3.4243
1967,2,1,5,97,6.8352
1967,2,2,1,51,3.0217
1967,2,2,2,36,2.4764
1967,2,2,3,41,2.1763
1967,2,2,4,38,2.1283
1967,2,2,5,49,1.2499
1967,2,3,1,61,0.5176
1967,2,3,2,100,1.1024
1967,2,3,3,93,0.6744
1967,2,3,4,92,2.7788
1967,2,3,5,72,1.6513
1967,3,1,1,99,7.7664
1967,3,1,2,44,4.4072
1967,3,1,3,43,5.9340
1967,3,1,4,70,6.5191
1967,3,1,5,98,7.1337
1967,3,2,1,51,4.6461
1967,3,2,2,36,5.5858
1967,3,2,3,41,8.9293
1967,3,2,4,38,8.5653
1967,3,2,5,49,8.0325
1967,3,3,1,61,4.0729
1967,3,3,2,100,4.2780
1967,3,3,3,93,4.2221
1967,3,3,4,92,7.1997
1967,3,3,5,72,4.1909
1967,4,1,1,99,4.7634
1967,4,1,2,44,3.3626
1967,4,1,3,43,5.0214
1967,4,1,4,70,5.2038
1967,4,1,5,98,5.6223
1967,4,2,1,51,2.1422
1967,4,2,2,36,5.2046
1967,4,2,3,41,4.1198
1967,4,2,4,38,6.9471
1967,4,2,5,49,3.8354
1967,4,3,1,61,1.5923
1967,4,3,2,100,4.1119
1967,4,3,3,93,4.8116
1967,4,3,4,92,6.5112
1967,4,3,5,72,8.6235
1967,5,1,1,99,1.0475
1967,5,1,2,44,2.1577
1967,5,1,3,43,0.9804
1967,5,1,4,70,-0.8683
1967,5,1,5,98,0.9182
1967,5,2,1,51,-1.1827
1967,5,2,2,36,-0.6246
1967,5,2,3,41,-2.5308
1967,5,2,4,38,-1.5478
1967,5,2,5,49,-3.4971
1967,5,3,1,61,-5.0568
1967,5,3,2,100,-3.0070
1967,5,3,3,93,-5.3560
1967,5,3,4,92,-5.0827
1967,5,3,5,72,-5.4337
1967,6,1,1,99,10.1498
1967,6,1,2,44,12.0395
1967,6,1,3,43,10.8177
1967,6,1,4,70,9.5156
1967,6,1,5,98,16.9642
1967,6,2,1,51,6.6390
1967,6,2,2,36,3.9857
1967,6,2,3,41,8.9632
1967,6,2,4,38,8.0252
1967,6,2,5,49,8.4016
1967,6,3,1,61,3.1584
1967,6,3,2,100,2.5498
1967,6,3,3,93,-0.6091
1967,6,3,4,92,3.3377
1967,6,3,5,71,4.6549
1967,7,1,1,132,13.5452
1967,7,1,2,51,10.2626
1967,7,1,3,56,7.9470
1967,7,1,4,66,6.7749
1967,7,1,5,105,10.2574
1967,7,2,1,57,8.4927
1967,7,2,2,45,11.3744
1967,7,2,3,39,5.9704
1967,7,2,4,47,8.0467
1967,7,2,5,60,7.5355
1967,7,3,1,65,-0.9452
1967,7,3,2,98,7.4442
1967,7,3,3,95,3.7667
1967,7,3,4,93,7.0335
1967,7,3,5,90,4.0804
