year,month,rank_ME,rank_dFNL,nstocks,ret_vw
1967,1,1,1,92,19.3196
1967,1,1,2,40,21.0571
1967,1,1,3,35,14.9643
1967,1,1,4,49,20.5617
1967,1,1,5,94,17.6536
1967,1,2,1,55,15.7020
1967,1,2,2,40,13.3142
1967,1,2,3,34,17.3430
1967,1,2,4,41,16.8582
1967,1,2,5,48,18.5342
1967,1,3,1,76,8.1790
1967,1,3,2,113,7.7800
1967,1,3,3,103,7.1849
1967,1,3,4,94,7.8686
1967,1,3,5,82,8.2364
1967,2,1,1,92,4.5924
1967,2,1,2,40,6.9280
1967,2,1,3,35,2.8498
1967,2,1,4,49,3.8738
1967,2,1,5,93,5.9167
1967,2,2,1,55,1.9703
1967,2,2,2,40,1.9850
1967,2,2,3,34,-0.3045
1967,2,2,4,41,3.0253
1967,2,2,5,48,2.3713
1967,2,3,1,76,1.2254
1967,2,3,2,113,0.9120
1967,2,3,3,103,0.3732
1967,2,3,4,94,-0.3653
1967,2,3,5,82,2.0383
1967,3,1,1,92,5.7205
1967,3,1,2,40,4.1230
1967,3,1,3,35,9.6460
1967,3,1,4,49,5.8376
1967,3,1,5,94,7.4345
1967,3,2,1,55,9.3245
1967,3,2,2,40,4.1879
1967,3,2,3,34,5.3716
1967,3,2,4,41,3.7270
1967,3,2,5,48,7.9339
1967,3,3,1,76,5.0998
1967,3,3,2,113,3.3201
1967,3,3,3,103,4.7976
1967,3,3,4,94,3.4287
1967,3,3,5,82,5.8240
1967,4,1,1,92,5.0716
1967,4,1,2,40,4.0461
1967,4,1,3,35,1.7756
1967,4,1,4,49,5.1146
1967,4,1,5,94,6.7386
1967,4,2,1,55,4.0828
1967,4,2,2,40,3.7956
1967,4,2,3,34,4.8398
1967,4,2,4,41,2.0470
1967,4,2,5,48,4.5101
1967,4,3,1,76,3.6401
1967,4,3,2,113,3.8816
1967,4,3,3,103,4.8006
1967,4,3,4,94,4.2509
1967,4,3,5,82,5.1772
1967,5,1,1,92,0.6347
1967,5,1,2,40,-1.3711
1967,5,1,3,35,4.1023
1967,5,1,4,49,1.0980
1967,5,1,5,94,0.7014
1967,5,2,1,55,-2.0474
1967,5,2,2,40,0.2152
1967,5,2,3,34,-2.4575
1967,5,2,4,41,-3.4116
1967,5,2,5,48,-3.3670
1967,5,3,1,76,-4.1809
1967,5,3,2,113,-4.2390
1967,5,3,3,103,-4.8878
1967,5,3,4,94,-3.6885
1967,5,3,5,82,-5.4889
1967,6,1,1,92,12.4315
1967,6,1,2,40,8.8401
1967,6,1,3,35,6.7241
1967,6,1,4,49,10.9291
1967,6,1,5,94,16.5247
1967,6,2,1,55,8.5695
1967,6,2,2,40,4.1482
1967,6,2,3,34,7.8303
1967,6,2,4,41,6.7723
1967,6,2,5,48,7.0784
1967,6,3,1,76,4.2290
1967,6,3,2,113,1.5619
1967,6,3,3,102,1.6565
1967,6,3,4,94,1.0575
1967,6,3,5,82,2.4051
1967,7,1,1,126,11.4221
1967,7,1,2,53,8.2068
1967,7,1,3,45,11.1957
1967,7,1,4,57,8.0176
1967,7,1,5,95,10.5018
1967,7,2,1,67,10.1132
1967,7,2,2,40,5.3851
1967,7,2,3,50,8.6052
1967,7,2,4,39,6.8631
1967,7,2,5,53,8.0985
1967,7,3,1,68,5.6776
1967,7,3,2,111,5.5059
1967,7,3,3,105,1.6515
1967,7,3,4,113,6.3005
1967,7,3,5,95,4.9137
1967,8,1,1,126,2.2863
1967,8,1,2,53,-0.3467
1967,8,1,3,45,-1.0980
1967,8,1,4,57,0.9876
1967,8,1,5,95,-0.5390
1967,8,2,1,67,0.2468
1967,8,2,2,40,1.0022
1967,8,2,3,50,-0.1305
1967,8,2,4,39,1.1032
1967,8,2,5,53,-2.2102
1967,8,3,1,68,-0.5435
1967,8,3,2,110,-0.8202
1967,8,3,3,105,-1.0253
1967,8,3,4,113,-0.1462
1967,8,3,5,95,-1.1839
1967,9,1,1,126,6.6701
1967,9,1,2,53,8.8852
1967,9,1,3,45,10.3644
1967,9,1,4,57,5.0163
1967,9,1,5,95,7.3270
1967,9,2,1,67,4.4441
1967,9,2,2,40,7.2416
1967,9,2,3,50,2.6951
1967,9,2,4,39,2.4018
1967,9,2,5,53,3.2083
1967,9,3,1,68,2.1344
1967,9,3,2,110,5.9479
1967,9,3,3,105,1.4963
1967,9,3,4,113,1.8659
1967,9,3,5,95,2.5803
1967,10,1,1,126,-2.1656
1967,10,1,2,53,-3.3182
1967,10,1,3,45,-2.8683
1967,10,1,4,57,-0.3474
1967,10,1,5,95,-0.8165
1967,10,2,1,66,-3.3674
1967,10,2,2,40,-3.7535
1967,10,2,3,50,-3.4201
1967,10,2,4,39,-3.9479
1967,10,2,5,53,-3.9369
1967,10,3,1,67,-5.0370
1967,10,3,2,110,-1.2838
1967,10,3,3,105,-3.9370
1967,10,3,4,114,-2.9802
1967,10,3,5,95,-2.4585
1967,11,1,1,126,0.3861
1967,11,1,2,53,-1.7178
1967,11,1,3,45,-1.5729
1967,11,1,4,57,0.6917
1967,11,1,5,95,2.3121
1967,11,2,1,66,1.9233
1967,11,2,2,40,-1.7240
1967,11,2,3,49,-0.9179
1967,11,2,4,39,0.8298
1967,11,2,5,53,2.1984
1967,11,3,1,68,0.5859
1967,11,3,2,110,0.0494
1967,11,3,3,105,0.3474
1967,11,3,4,114,1.1688
1967,11,3,5,95,1.7739
1967,12,1,1,125,11.4218
1967,12,1,2,53,8.1975
1967,12,1,3,45,7.4353
1967,12,1,4,57,8.4181
1967,12,1,5,94,7.8296
1967,12,2,1,66,7.6397
1967,12,2,2,40,3.9576
1967,12,2,3,49,4.4643
1967,12,2,4,39,8.6368
1967,12,2,5,53,7.3493
1967,12,3,1,68,4.6290
1967,12,3,2,110,2.4492
1967,12,3,3,105,2.8531
1967,12,3,4,114,2.4642
1967,12,3,5,95,2.2211
1968,1,1,1,126,2.2678
1968,1,1,2,53,1.3232
1968,1,1,3,45,8.9473
1968,1,1,4,57,2.6700
1968,1,1,5,93,2.6855
1968,1,2,1,66,-1.9772
1968,1,2,2,40,1.4705
1968,1,2,3,49,1.4441
1968,1,2,4,39,0.2164
1968,1,2,5,53,-2.2505
1968,1,3,1,68,-2.5501
1968,1,3,2,110,-3.9602
1968,1,3,3,105,-1.7547
1968,1,3,4,114,-4.6050
1968,1,3,5,95,-8.5789
1968,2,1,1,125,-5.5657
1968,2,1,2,53,-5.0781
1968,2,1,3,45,-7.0131
1968,2,1,4,56,-6.1517
1968,2,1,5,93,-7.4459
1968,2,2,1,65,-6.1894
1968,2,2,2,40,-2.7730
1968,2,2,3,49,-3.7290
1968,2,2,4,38,-2.4821
1968,2,2,5,53,-7.2512
1968,2,3,1,68,-3.9508
1968,2,3,2,110,-2.0965
1968,2,3,3,104,-3.0992
1968,2,3,4,114,-3.3291
1968,2,3,5,95,-4.2466
1968,3,1,1,126,-0.6221
1968,3,1,2,53,-1.5842
1968,3,1,3,45,-1.3465
1968,3,1,4,56,-1.8970
1968,3,1,5,93,-0.5011
1968,3,2,1,65,-0.2571
1968,3,2,2,40,0.4158
1968,3,2,3,49,-2.4615
1968,3,2,4,38,-1.5860
1968,3,2,5,53,-2.7869
1968,3,3,1,68,1.2887
1968,3,3,2,110,1.6886
1968,3,3,3,104,-0.9355
1968,3,3,4,114,-0.3901
1968,3,3,5,95,1.1694
1968,4,1,1,125,14.6081
1968,4,1,2,53,17.3643
1968,4,1,3,45,17.5385
1968,4,1,4,56,17.9912
1968,4,1,5,93,20.3949
1968,4,2,1,65,14.4289
1968,4,2,2,40,12.6497
1968,4,2,3,49,9.6701
1968,4,2,4,38,12.2717
1968,4,2,5,53,16.0230
1968,4,3,1,68,8.0637
1968,4,3,2,110,8.5859
1968,4,3,3,104,5.8907
1968,4,3,4,114,8.8409
1968,4,3,5,95,12.7458
1968,5,1,1,125,12.1465
1968,5,1,2,53,10.6169
1968,5,1,3,45,9.8247
1968,5,1,4,56,11.5247
1968,5,1,5,93,11.1958
1968,5,2,1,65,7.7037
1968,5,2,2,40,7.5378
1968,5,2,3,49,5.3651
1968,5,2,4,38,8.4429
1968,5,2,5,53,7.7234
1968,5,3,1,67,3.3318
1968,5,3,2,110,1.7257
1968,5,3,3,104,0.1335
1968,5,3,4,114,1.0459
1968,5,3,5,95,3.1891
1968,6,1,1,125,0.3206
1968,6,1,2,53,1.1534
1968,6,1,3,45,0.9158
1968,6,1,4,56,1.1946
1968,6,1,5,93,0.1903
1968,6,2,1,65,-0.2402
1968,6,2,2,40,-0.1034
1968,6,2,3,49,2.7185
1968,6,2,4,38,2.3290
1968,6,2,5,53,-1.5331
1968,6,3,1,67,1.7306
1968,6,3,2,110,0.2123
1968,6,3,3,104,2.2896
1968,6,3,4,114,1.8215
1968,6,3,5,95,0.6442
1968,7,1,1,229,-3.1532
1968,7,1,2,84,-1.1672
1968,7,1,3,73,-3.1943
1968,7,1,4,65,-4.7915
1968,7,1,5,100,-4.4381
1968,7,2,1,64,-3.8670
1968,7,2,2,61,-2.8388
1968,7,2,3,43,-2.5427
1968,7,2,4,59,-1.4985
1968,7,2,5,64,-7.5791
1968,7,3,1,71,-4.2750
1968,7,3,2,108,-3.0678
1968,7,3,3,112,0.8328
1968,7,3,4,102,-1.6679
1968,7,3,5,104,-5.4181
1968,8,1,1,229,6.3476
1968,8,1,2,84,5.0446
1968,8,1,3,73,4.9169
1968,8,1,4,65,2.2446
1968,8,1,5,100,2.1164
1968,8,2,1,64,5.7529
1968,8,2,2,61,2.9936
