year,month,rank_ME,rank_dII,nstocks,ret_vw
1967,1,1,1,45,18.7785
1967,1,1,2,35,17.7279
1967,1,1,3,22,18.1255
1967,1,1,4,27,16.5760
1967,1,1,5,44,19.3473
1967,1,2,1,37,17.2517
1967,1,2,2,38,17.4842
1967,1,2,3,22,15.8302
1967,1,2,4,36,14.4000
1967,1,2,5,43,14.7331
1967,1,3,1,85,10.1471
1967,1,3,2,96,5.3426
1967,1,3,3,107,6.4079
1967,1,3,4,93,9.0374
1967,1,3,5,74,7.9857
1967,2,1,1,45,4.7457
1967,2,1,2,35,4.0514
1967,2,1,3,22,3.6972
1967,2,1,4,27,2.9336
1967,2,1,5,44,4.1268
1967,2,2,1,37,1.1722
1967,2,2,2,38,1.3959
1967,2,2,3,22,2.0389
1967,2,2,4,36,3.1032
1967,2,2,5,43,2.8695
1967,2,3,1,85,-0.0129
1967,2,3,2,96,0.4569
1967,2,3,3,107,1.0495
1967,2,3,4,93,1.2660
1967,2,3,5,74,0.0332
1967,3,1,1,45,7.8253
1967,3,1,2,35,6.3870
1967,3,1,3,22,10.9058
1967,3,1,4,27,6.5593
1967,3,1,5,44,4.4828
1967,3,2,1,37,5.4448
1967,3,2,2,38,7.9488
1967,3,2,3,22,3.1493
1967,3,2,4,36,5.1312
1967,3,2,5,43,6.6498
1967,3,3,1,85,4.6199
1967,3,3,2,96,4.3401
1967,3,3,3,107,3.4662
1967,3,3,4,93,4.6041
1967,3,3,5,74,4.3084
1967,4,1,1,45,4.9029
1967,4,1,2,35,4.5617
1967,4,1,3,22,6.1509
1967,4,1,4,27,3.3441
1967,4,1,5,44,5.6800
1967,4,2,1,37,3.0239
1967,4,2,2,38,3.5146
1967,4,2,3,22,4.0294
1967,4,2,4,36,2.1219
1967,4,2,5,43,5.3172
1967,4,3,1,85,4.9848
1967,4,3,2,96,3.2467
1967,4,3,3,107,1.9641
1967,4,3,4,93,7.2839
1967,4,3,5,74,4.8494
1967,5,1,1,45,-1.8279
1967,5,1,2,35,-0.3796
1967,5,1,3,22,-1.0577
1967,5,1,4,27,3.0129
1967,5,1,5,44,-0.0180
1967,5,2,1,37,-2.5441
1967,5,2,2,38,0.0663
1967,5,2,3,22,-5.0193
1967,5,2,4,36,-2.4313
1967,5,2,5,43,-3.0863
1967,5,3,1,85,-2.8926
1967,5,3,2,96,-3.7233
1967,5,3,3,107,-5.4907
1967,5,3,4,93,-5.0341
1967,5,3,5,74,-4.2278
1967,6,1,1,45,12.9030
1967,6,1,2,35,9.5562
1967,6,1,3,22,11.5632
1967,6,1,4,27,8.4128
1967,6,1,5,44,13.5492
1967,6,2,1,37,6.4026
1967,6,2,2,38,5.8067
1967,6,2,3,22,6.8436
1967,6,2,4,36,7.2389
1967,6,2,5,43,6.3719
1967,6,3,1,85,2.3668
1967,6,3,2,96,1.6981
1967,6,3,3,107,1.5294
1967,6,3,4,93,2.1214
1967,6,3,5,74,1.5601
1967,7,1,1,68,7.8883
1967,7,1,2,36,7.6580
1967,7,1,3,36,12.2141
1967,7,1,4,25,10.6653
1967,7,1,5,54,9.6158
1967,7,2,1,50,9.8518
1967,7,2,2,35,5.9941
1967,7,2,3,35,8.9492
1967,7,2,4,34,8.8876
1967,7,2,5,43,6.4956
1967,7,3,1,79,5.3902
1967,7,3,2,103,6.3535
1967,7,3,3,98,1.7091
1967,7,3,4,109,3.5826
1967,7,3,5,96,6.7044
1967,8,1,1,68,-0.0334
1967,8,1,2,36,1.5352
1967,8,1,3,36,-0.7587
1967,8,1,4,25,-2.0235
1967,8,1,5,54,3.0079
1967,8,2,1,50,0.6172
1967,8,2,2,35,0.6035
1967,8,2,3,35,1.5741
1967,8,2,4,34,0.9025
1967,8,2,5,43,-1.1172
1967,8,3,1,78,-0.5904
1967,8,3,2,103,-0.4680
1967,8,3,3,98,-1.1900
1967,8,3,4,109,-0.5453
1967,8,3,5,96,-0.9521
1967,9,1,1,68,3.9435
1967,9,1,2,36,4.6131
1967,9,1,3,36,6.4024
1967,9,1,4,25,5.1849
1967,9,1,5,54,6.5972
1967,9,2,1,50,4.1009
1967,9,2,2,35,2.0621
1967,9,2,3,35,4.5230
1967,9,2,4,34,1.4328
1967,9,2,5,43,4.6945
1967,9,3,1,78,2.8501
1967,9,3,2,103,3.2876
1967,9,3,3,98,2.7603
1967,9,3,4,109,5.0429
1967,9,3,5,96,1.6930
1967,10,1,1,68,-1.9782
1967,10,1,2,36,-3.7713
1967,10,1,3,36,-0.4130
1967,10,1,4,25,-1.6396
1967,10,1,5,54,-3.3304
1967,10,2,1,50,-4.7732
1967,10,2,2,35,-2.7440
1967,10,2,3,35,-1.4674
1967,10,2,4,33,-4.3103
1967,10,2,5,43,-6.6848
1967,10,3,1,77,-4.6308
1967,10,3,2,103,-2.7813
1967,10,3,3,99,-2.6933
1967,10,3,4,109,-0.7311
1967,10,3,5,96,-3.8359
1967,11,1,1,68,0.1836
1967,11,1,2,36,2.1715
1967,11,1,3,36,1.9390
1967,11,1,4,25,0.1209
1967,11,1,5,54,1.1232
1967,11,2,1,50,-0.0622
1967,11,2,2,34,-0.2331
1967,11,2,3,35,1.9244
1967,11,2,4,33,-0.7898
1967,11,2,5,43,1.4804
1967,11,3,1,78,0.0230
1967,11,3,2,103,0.0217
1967,11,3,3,99,1.1697
1967,11,3,4,109,1.0643
1967,11,3,5,96,1.4778
1967,12,1,1,66,7.9773
1967,12,1,2,36,4.7042
1967,12,1,3,36,8.6861
1967,12,1,4,25,8.4951
1967,12,1,5,54,8.1880
1967,12,2,1,50,4.7840
1967,12,2,2,34,5.9649
1967,12,2,3,35,3.8318
1967,12,2,4,33,5.8639
1967,12,2,5,43,4.6670
1967,12,3,1,78,3.9151
1967,12,3,2,103,3.3311
1967,12,3,3,99,1.9144
1967,12,3,4,109,2.7298
