year,month,rank_ME,rank_dLNO,nstocks,ret_vw
1967,1,1,1,126,16.6747
1967,1,1,2,65,20.6189
1967,1,1,3,52,20.6451
1967,1,1,4,35,20.9985
1967,1,1,5,64,16.3086
1967,1,2,1,52,15.9589
1967,1,2,2,50,16.2725
1967,1,2,3,34,16.1528
1967,1,2,4,31,17.2499
1967,1,2,5,38,19.1468
1967,1,3,1,53,10.8000
1967,1,3,2,73,8.2453
1967,1,3,3,95,6.9245
1967,1,3,4,93,8.6668
1967,1,3,5,90,8.2171
1967,2,1,1,126,5.1816
1967,2,1,2,65,5.0796
1967,2,1,3,51,4.8600
1967,2,1,4,35,3.2847
1967,2,1,5,64,5.2513
1967,2,2,1,52,2.3101
1967,2,2,2,50,3.6640
1967,2,2,3,34,1.1997
1967,2,2,4,31,1.8186
1967,2,2,5,38,2.5273
1967,2,3,1,53,0.7170
1967,2,3,2,73,0.6026
1967,2,3,3,95,1.5093
1967,2,3,4,93,0.0717
1967,2,3,5,90,2.5095
1967,3,1,1,126,7.4869
1967,3,1,2,65,7.6578
1967,3,1,3,52,4.5535
1967,3,1,4,35,7.4998
1967,3,1,5,64,5.0763
1967,3,2,1,52,7.1496
1967,3,2,2,50,5.3109
1967,3,2,3,34,11.0076
1967,3,2,4,31,6.2904
1967,3,2,5,38,6.0710
1967,3,3,1,53,5.9517
1967,3,3,2,73,4.3294
1967,3,3,3,95,4.1101
1967,3,3,4,93,4.5571
1967,3,3,5,90,4.8834
1967,4,1,1,126,5.4315
1967,4,1,2,65,4.7342
1967,4,1,3,52,4.1640
1967,4,1,4,35,5.3450
1967,4,1,5,64,4.9498
1967,4,2,1,52,4.6918
1967,4,2,2,50,3.6211
1967,4,2,3,34,3.9813
1967,4,2,4,31,5.9564
1967,4,2,5,38,4.3860
1967,4,3,1,53,3.9390
1967,4,3,2,73,6.8478
1967,4,3,3,95,2.8710
1967,4,3,4,93,5.0150
1967,4,3,5,90,5.1364
1967,5,1,1,126,1.5772
1967,5,1,2,65,0.4368
1967,5,1,3,52,-0.2523
1967,5,1,4,35,0.2677
1967,5,1,5,64,1.0856
1967,5,2,1,52,-0.9599
1967,5,2,2,50,-2.3670
1967,5,2,3,34,-0.0441
1967,5,2,4,31,-1.8541
1967,5,2,5,38,-3.9490
1967,5,3,1,53,-1.1444
1967,5,3,2,73,-3.6556
1967,5,3,3,95,-3.9574
1967,5,3,4,93,-5.8723
1967,5,3,5,90,-4.1559
1967,6,1,1,126,10.7881
1967,6,1,2,65,12.2361
1967,6,1,3,52,11.0590
1967,6,1,4,35,13.9191
1967,6,1,5,64,14.8598
1967,6,2,1,52,9.6103
1967,6,2,2,50,7.5045
1967,6,2,3,34,6.9666
1967,6,2,4,31,6.3055
1967,6,2,5,38,6.3409
1967,6,3,1,53,5.0050
1967,6,3,2,73,2.7663
1967,6,3,3,95,1.7574
1967,6,3,4,92,1.7894
1967,6,3,5,90,2.3051
1967,7,1,1,158,9.3779
1967,7,1,2,62,10.0437
1967,7,1,3,58,10.2244
1967,7,1,4,61,9.4409
1967,7,1,5,59,11.8524
1967,7,2,1,56,7.7286
1967,7,2,2,50,10.0618
1967,7,2,3,39,8.5296
1967,7,2,4,39,7.4571
1967,7,2,5,52,8.6478
1967,7,3,1,49,5.2870
1967,7,3,2,85,5.7003
1967,7,3,3,93,8.6491
1967,7,3,4,99,1.0987
1967,7,3,5,99,4.1884
1967,8,1,1,158,1.9224
1967,8,1,2,62,1.8941
1967,8,1,3,58,-2.0534
1967,8,1,4,61,1.3822
1967,8,1,5,59,-0.3574
1967,8,2,1,56,0.8442
1967,8,2,2,50,0.5332
1967,8,2,3,39,0.0368
1967,8,2,4,39,-1.5202
1967,8,2,5,52,-2.0826
1967,8,3,1,48,-0.4173
1967,8,3,2,85,-0.2761
1967,8,3,3,93,-0.7802
1967,8,3,4,99,-1.0236
1967,8,3,5,99,-0.7223
1967,9,1,1,158,6.7200
1967,9,1,2,62,8.5011
1967,9,1,3,58,9.4324
1967,9,1,4,61,4.3979
1967,9,1,5,59,7.9228
1967,9,2,1,56,3.7629
1967,9,2,2,50,6.6416
1967,9,2,3,39,2.3527
1967,9,2,4,39,3.5528
1967,9,2,5,52,4.9197
1967,9,3,1,48,0.8501
1967,9,3,2,85,3.4452
1967,9,3,3,93,3.4198
1967,9,3,4,99,3.6606
1967,9,3,5,99,4.9027
1967,10,1,1,158,-1.7913
1967,10,1,2,62,-0.6460
1967,10,1,3,58,-0.5624
1967,10,1,4,61,-3.4944
1967,10,1,5,59,-3.2741
1967,10,2,1,56,-3.4342
1967,10,2,2,50,-3.4628
1967,10,2,3,39,-6.0873
1967,10,2,4,39,-3.1335
1967,10,2,5,52,-2.5774
1967,10,3,1,48,-2.2346
1967,10,3,2,84,-3.8496
1967,10,3,3,93,-3.1963
1967,10,3,4,99,-2.6197
1967,10,3,5,99,-0.2289
1967,11,1,1,158,-1.0410
1967,11,1,2,62,0.1463
1967,11,1,3,58,-2.2231
1967,11,1,4,61,2.9447
1967,11,1,5,59,4.0804
1967,11,2,1,56,3.4209
1967,11,2,2,50,0.7648
1967,11,2,3,39,0.8167
1967,11,2,4,39,-0.9503
1967,11,2,5,52,-0.5941
1967,11,3,1,48,1.0356
1967,11,3,2,85,0.4865
