year,month,rank_ME,rank_dLTI,nstocks,ret_vw
1967,1,1,1,43,17.3257
1967,1,1,2,40,19.5902
1967,1,1,3,1,19.6512
1967,1,1,4,22,22.9839
1967,1,1,5,36,19.2541
1967,1,2,1,22,17.4460
1967,1,2,2,42,14.0203
1967,1,2,3,9,15.9439
1967,1,2,4,17,22.6869
1967,1,2,5,24,17.3034
1967,1,3,1,49,11.5010
1967,1,3,2,52,8.1420
1967,1,3,3,52,5.1505
1967,1,3,4,54,9.9186
1967,1,3,5,51,8.1588
1967,2,1,1,42,2.1620
1967,2,1,2,40,3.4405
1967,2,1,3,1,6.1224
1967,2,1,4,22,2.8215
1967,2,1,5,36,4.6536
1967,2,2,1,22,3.3069
1967,2,2,2,42,1.6712
1967,2,2,3,9,0.2670
1967,2,2,4,17,3.4748
1967,2,2,5,24,2.9634
1967,2,3,1,49,-1.1941
1967,2,3,2,52,-0.3299
1967,2,3,3,52,1.5219
1967,2,3,4,54,0.8076
1967,2,3,5,51,1.1519
1967,3,1,1,43,8.3204
1967,3,1,2,40,5.7091
1967,3,1,3,1,-9.6154
1967,3,1,4,22,7.1747
1967,3,1,5,36,7.2520
1967,3,2,1,22,6.7537
1967,3,2,2,42,6.4746
1967,3,2,3,9,2.2304
1967,3,2,4,17,7.6375
1967,3,2,5,24,7.4505
1967,3,3,1,49,5.0692
1967,3,3,2,52,3.8381
1967,3,3,3,52,3.7037
1967,3,3,4,54,5.1950
1967,3,3,5,51,5.8229
1967,4,1,1,43,5.1469
1967,4,1,2,40,5.0155
1967,4,1,3,1,8.5106
1967,4,1,4,22,3.5682
1967,4,1,5,36,4.8262
1967,4,2,1,22,5.0890
1967,4,2,2,42,1.8835
1967,4,2,3,9,2.9202
1967,4,2,4,17,5.5082
1967,4,2,5,24,6.6908
1967,4,3,1,49,9.6403
1967,4,3,2,52,3.7946
1967,4,3,3,52,0.7060
1967,4,3,4,54,6.3134
1967,4,3,5,51,6.1334
1967,5,1,1,43,-0.9147
1967,5,1,2,40,3.9415
1967,5,1,3,1,-9.8039
1967,5,1,4,22,-1.7075
1967,5,1,5,36,0.9697
1967,5,2,1,22,-3.5751
1967,5,2,2,42,-0.6610
1967,5,2,3,9,-1.5929
1967,5,2,4,17,-4.6953
1967,5,2,5,24,3.2514
1967,5,3,1,49,-5.5607
1967,5,3,2,52,-3.7219
1967,5,3,3,52,-5.1388
1967,5,3,4,54,-4.8929
1967,5,3,5,51,-4.3867
1967,6,1,1,43,11.4523
1967,6,1,2,40,13.6225
1967,6,1,3,1,-2.1739
1967,6,1,4,22,6.5986
1967,6,1,5,36,14.4458
1967,6,2,1,22,7.9524
1967,6,2,2,42,7.3753
1967,6,2,3,9,4.8959
1967,6,2,4,17,10.6491
1967,6,2,5,24,7.7644
1967,6,3,1,49,1.0426
1967,6,3,2,52,0.6063
1967,6,3,3,52,2.0783
1967,6,3,4,54,2.6074
1967,6,3,5,51,2.9915
1967,7,1,1,35,10.5990
1967,7,1,2,61,8.5263
1967,7,1,3,5,13.4030
1967,7,1,4,27,10.7882
1967,7,1,5,35,7.2325
1967,7,2,1,31,11.3994
1967,7,2,2,35,8.2464
1967,7,2,3,8,13.3886
1967,7,2,4,26,6.3694
1967,7,2,5,31,6.9561
1967,7,3,1,52,8.8775
1967,7,3,2,53,2.5486
1967,7,3,3,56,4.6103
1967,7,3,4,58,5.3978
1967,7,3,5,43,9.0112
1967,8,1,1,35,1.6634
1967,8,1,2,61,1.2921
1967,8,1,3,5,-4.9409
1967,8,1,4,27,1.1087
1967,8,1,5,35,-0.6513
1967,8,2,1,31,1.2817
1967,8,2,2,35,-2.2385
1967,8,2,3,8,1.5756
1967,8,2,4,26,-0.8434
1967,8,2,5,31,0.5832
1967,8,3,1,52,0.8246
1967,8,3,2,53,-1.3561
1967,8,3,3,56,-0.7616
1967,8,3,4,58,-0.1193
1967,8,3,5,43,-0.0527
1967,9,1,1,35,6.9166
1967,9,1,2,61,4.1410
1967,9,1,3,5,3.7970
1967,9,1,4,27,5.4186
1967,9,1,5,35,8.7047
1967,9,2,1,31,4.9315
1967,9,2,2,35,2.7386
1967,9,2,3,8,4.0491
1967,9,2,4,26,1.7382
1967,9,2,5,31,5.8934
1967,9,3,1,52,3.8279
1967,9,3,2,53,3.4821
1967,9,3,3,56,3.2632
1967,9,3,4,58,3.3619
1967,9,3,5,43,2.7460
1967,10,1,1,35,-0.5040
1967,10,1,2,61,-2.7289
1967,10,1,3,5,-3.4452
1967,10,1,4,27,-0.1978
1967,10,1,5,35,-1.8461
1967,10,2,1,31,-4.2384
1967,10,2,2,35,-2.4376
1967,10,2,3,8,-5.3437
1967,10,2,4,26,-3.5560
1967,10,2,5,31,-5.1162
1967,10,3,1,52,-3.2280
1967,10,3,2,53,-2.6297
1967,10,3,3,56,-4.0933
1967,10,3,4,58,-3.8523
1967,10,3,5,43,-5.3452
1967,11,1,1,35,2.6690
1967,11,1,2,61,-2.8973
1967,11,1,3,5,-0.2198
1967,11,1,4,27,3.7987
1967,11,1,5,35,-0.5902
1967,11,2,1,31,-1.0277
1967,11,2,2,35,1.2938
1967,11,2,3,8,1.0429
1967,11,2,4,26,-0.0605
1967,11,2,5,31,1.7081
1967,11,3,1,52,0.9051
1967,11,3,2,53,-0.3118
1967,11,3,3,56,0.3964
1967,11,3,4,58,-0.4805
1967,11,3,5,43,1.4046
1967,12,1,1,34,7.9890
1967,12,1,2,61,12.2346
1967,12,1,3,5,9.3573
1967,12,1,4,27,9.9533
1967,12,1,5,35,7.2678
1967,12,2,1,31,5.9853
1967,12,2,2,35,6.5363
1967,12,2,3,8,11.9022
1967,12,2,4,26,8.0146
1967,12,2,5,31,7.7091
1967,12,3,1,52,1.8862
1967,12,3,2,53,1.7786
1967,12,3,3,56,3.1012
1967,12,3,4,58,5.2654
1967,12,3,5,43,0.5954
1968,1,1,1,35,-1.1982
1968,1,1,2,61,4.0607
1968,1,1,3,5,2.3112
1968,1,1,4,27,-1.1882
1968,1,1,5,35,1.8727
1968,1,2,1,31,0.3911
1968,1,2,2,35,0.3838
1968,1,2,3,8,-2.8858
1968,1,2,4,26,3.0126
1968,1,2,5,31,-3.6804
1968,1,3,1,52,-6.2376
1968,1,3,2,53,-2.0996
1968,1,3,3,56,-5.3523
1968,1,3,4,58,-3.4207
1968,1,3,5,43,-6.1506
1968,2,1,1,35,-3.4802
1968,2,1,2,61,-4.8623
1968,2,1,3,5,-3.4444
1968,2,1,4,27,-5.6265
1968,2,1,5,34,-7.0752
1968,2,2,1,31,-6.6568
1968,2,2,2,35,-3.1118
1968,2,2,3,8,0.6829
1968,2,2,4,26,-4.4267
1968,2,2,5,31,-4.3737
1968,2,3,1,51,-4.4971
1968,2,3,2,53,-2.4219
1968,2,3,3,56,-1.4053
1968,2,3,4,58,-4.6840
1968,2,3,5,43,-2.8992
1968,3,1,1,35,-1.3177
1968,3,1,2,61,-4.1283
1968,3,1,3,5,-0.4584
1968,3,1,4,27,-0.3253
1968,3,1,5,35,-1.2910
1968,3,2,1,31,-1.8261
1968,3,2,2,35,-1.5809
1968,3,2,3,8,0.7757
1968,3,2,4,26,-0.2015
1968,3,2,5,31,-5.6983
1968,3,3,1,51,2.8762
1968,3,3,2,53,0.4620
1968,3,3,3,56,0.6483
1968,3,3,4,58,-0.8978
1968,3,3,5,43,0.7970
1968,4,1,1,35,15.9360
1968,4,1,2,61,15.2497
1968,4,1,3,5,18.3562
1968,4,1,4,27,18.3836
1968,4,1,5,35,17.3578
1968,4,2,1,31,14.0740
1968,4,2,2,35,13.2270
1968,4,2,3,8,9.4317
1968,4,2,4,26,14.0826
1968,4,2,5,31,15.9191
1968,4,3,1,51,9.5940
1968,4,3,2,53,5.7795
1968,4,3,3,56,9.2552
1968,4,3,4,58,6.8855
1968,4,3,5,43,12.6472
1968,5,1,1,35,10.9549
1968,5,1,2,61,9.5150
1968,5,1,3,5,7.0866
1968,5,1,4,27,9.8252
1968,5,1,5,35,11.6224
1968,5,2,1,31,9.4124
1968,5,2,2,35,7.7102
1968,5,2,3,8,6.8576
1968,5,2,4,26,4.6174
1968,5,2,5,31,7.2160
1968,5,3,1,51,2.8331
1968,5,3,2,53,-0.9042
1968,5,3,3,56,0.8059
1968,5,3,4,58,2.8218
1968,5,3,5,43,0.8391
1968,6,1,1,35,0.9323
1968,6,1,2,61,-0.2772
1968,6,1,3,5,3.5973
1968,6,1,4,27,2.3374
1968,6,1,5,35,0.3095
1968,6,2,1,31,-0.5864
1968,6,2,2,34,0.4357
1968,6,2,3,8,4.3427
1968,6,2,4,26,0.3429
1968,6,2,5,31,0.0208
1968,6,3,1,51,-0.8204
1968,6,3,2,53,1.7852
1968,6,3,3,56,0.7512
1968,6,3,4,58,2.2953
1968,6,3,5,43,0.6308
1968,7,1,1,67,-4.6622
1968,7,1,2,78,-2.5642
1968,7,1,3,3,-6.7994
1968,7,1,4,39,-1.4925
1968,7,1,5,70,-3.3354
1968,7,2,1,31,-5.7278
1968,7,2,2,54,-2.7773
1968,7,2,3,8,-1.2893
1968,7,2,4,26,-3.5077
1968,7,2,5,31,-4.9071
1968,7,3,1,50,-2.7521
1968,7,3,2,69,0.4190
1968,7,3,3,43,0.0350
1968,7,3,4,53,-2.1721
1968,7,3,5,56,-3.7639
1968,8,1,1,67,4.1696
1968,8,1,2,78,4.3544
1968,8,1,3,3,17.4783
1968,8,1,4,39,1.1227
1968,8,1,5,70,3.4953
1968,8,2,1,31,5.0708
1968,8,2,2,54,3.3394
1968,8,2,3,7,5.6652
1968,8,2,4,26,5.6929
1968,8,2,5,31,3.6225
1968,8,3,1,50,1.6566
1968,8,3,2,69,1.3207
1968,8,3,3,43,1.5686
1968,8,3,4,53,2.8850
1968,8,3,5,55,1.6313
1968,9,1,1,67,9.5646
1968,9,1,2,78,6.5134
1968,9,1,3,3,15.7979
1968,9,1,4,39,6.7631
1968,9,1,5,70,8.5271
1968,9,2,1,31,6.4669
1968,9,2,2,54,6.7586
1968,9,2,3,7,7.2220
1968,9,2,4,26,6.4523
1968,9,2,5,31,5.3535
1968,9,3,1,50,6.8191
1968,9,3,2,69,3.6404
1968,9,3,3,43,4.3435
1968,9,3,4,53,5.2377
1968,9,3,5,55,4.2861
1968,10,1,1,67,-1.3002
1968,10,1,2,78,3.3744
1968,10,1,3,3,1.1154
1968,10,1,4,39,-0.8155
1968,10,1,5,70,0.4238
1968,10,2,1,31,-0.2770
1968,10,2,2,54,2.0708
1968,10,2,3,7,4.3010
1968,10,2,4,26,-1.8530
1968,10,2,5,31,0.3911
1968,10,3,1,50,1.6686
1968,10,3,2,69,2.3812
1968,10,3,3,43,3.8070
1968,10,3,4,53,1.7224
1968,10,3,5,55,-0.3864
1968,11,1,1,67,8.6424
1968,11,1,2,77,6.9722
1968,11,1,3,3,8.2052
1968,11,1,4,39,5.3651
1968,11,1,5,70,7.4946
1968,11,2,1,31,8.4404
1968,11,2,2,54,6.7435
1968,11,2,3,7,6.1003
1968,11,2,4,26,11.0507
1968,11,2,5,31,10.5071
1968,11,3,1,50,4.0660
1968,11,3,2,69,2.2424
1968,11,3,3,43,4.7523
1968,11,3,4,53,5.5412
1968,11,3,5,55,5.9754
1968,12,1,1,67,1.5070
1968,12,1,2,78,2.1250
1968,12,1,3,3,0.4770
1968,12,1,4,39,0.7672
1968,12,1,5,69,4.1966
1968,12,2,1,31,-3.1747
1968,12,2,2,54,-0.5131
1968,12,2,3,7,0.2582
1968,12,2,4,26,-1.0586
1968,12,2,5,31,0.9795
1968,12,3,1,50,-2.2798
1968,12,3,2,69,-3.1415
1968,12,3,3,43,-5.7983
1968,12,3,4,53,-3.5569
1968,12,3,5,55,-4.1549
1969,1,1,1,67,-1.6902
1969,1,1,2,78,-0.8271
1969,1,1,3,3,-3.7479
1969,1,1,4,39,0.2460
1969,1,1,5,69,-1.5889
1969,1,2,1,31,-2.6953
1969,1,2,2,54,0.8490
1969,1,2,3,7,-2.3015
1969,1,2,4,26,-1.8173
1969,1,2,5,31,-1.8313
1969,1,3,1,50,-1.1951
1969,1,3,2,69,0.4199
1969,1,3,3,43,-0.4760
1969,1,3,4,53,-1.2381
1969,1,3,5,55,-1.4818
1969,2,1,1,66,-9.3837
1969,2,1,2,78,-9.9503
1969,2,1,3,3,-8.4731
1969,2,1,4,38,-10.4442
1969,2,1,5,69,-10.5441
1969,2,2,1,31,-7.9466
1969,2,2,2,54,-9.0369
