year,month,rank_ME,rank_dNCA,nstocks,ret_vw
1967,1,1,1,135,17.2943
1967,1,1,2,68,20.6699
1967,1,1,3,41,16.4353
1967,1,1,4,44,20.9943
1967,1,1,5,71,17.4649
1967,1,2,1,61,15.8270
1967,1,2,2,56,16.0226
1967,1,2,3,32,14.9751
1967,1,2,4,32,15.0940
1967,1,2,5,49,17.6572
1967,1,3,1,62,10.8360
1967,1,3,2,93,6.7304
1967,1,3,3,119,7.0814
1967,1,3,4,120,7.1468
1967,1,3,5,102,8.6131
1967,2,1,1,135,5.9331
1967,2,1,2,68,4.0806
1967,2,1,3,40,0.6176
1967,2,1,4,44,3.9325
1967,2,1,5,71,5.7792
1967,2,2,1,61,1.3161
1967,2,2,2,56,2.5657
1967,2,2,3,32,1.0576
1967,2,2,4,32,2.2152
1967,2,2,5,49,2.5833
1967,2,3,1,62,0.4580
1967,2,3,2,93,-1.0129
1967,2,3,3,119,-0.1560
1967,2,3,4,120,0.7942
1967,2,3,5,102,3.2192
1967,3,1,1,135,7.5032
1967,3,1,2,68,6.0694
1967,3,1,3,41,5.6590
1967,3,1,4,44,5.9073
1967,3,1,5,71,6.3576
1967,3,2,1,61,6.7500
1967,3,2,2,56,8.0098
1967,3,2,3,32,4.9744
1967,3,2,4,32,5.9390
1967,3,2,5,49,5.9489
1967,3,3,1,62,5.4770
1967,3,3,2,93,4.0575
1967,3,3,3,119,4.3273
1967,3,3,4,120,3.2897
1967,3,3,5,102,5.8812
1967,4,1,1,135,4.4804
1967,4,1,2,68,5.5011
1967,4,1,3,41,4.7196
1967,4,1,4,44,5.9869
1967,4,1,5,71,4.4003
1967,4,2,1,61,4.0608
1967,4,2,2,56,3.7948
1967,4,2,3,32,3.3980
1967,4,2,4,32,3.0470
1967,4,2,5,49,4.9162
1967,4,3,1,62,2.7905
1967,4,3,2,93,3.6995
1967,4,3,3,119,4.6120
1967,4,3,4,120,4.2186
1967,4,3,5,102,5.5094
1967,5,1,1,135,1.3426
1967,5,1,2,68,-1.3941
1967,5,1,3,41,0.9533
1967,5,1,4,44,2.0697
1967,5,1,5,71,1.2447
1967,5,2,1,61,-1.2602
1967,5,2,2,56,-3.2333
1967,5,2,3,32,0.6563
1967,5,2,4,32,-1.4021
1967,5,2,5,49,-3.6367
