year,month,rank_ME,rank_dNCO,nstocks,ret_vw
1967,1,1,1,123,18.2138
1967,1,1,2,57,18.7861
1967,1,1,3,42,18.6610
1967,1,1,4,51,21.7107
1967,1,1,5,70,16.8709
1967,1,2,1,54,15.7104
1967,1,2,2,55,16.3647
1967,1,2,3,27,15.7479
1967,1,2,4,30,14.6547
1967,1,2,5,40,17.2771
1967,1,3,1,64,10.9552
1967,1,3,2,85,9.2027
1967,1,3,3,115,5.6627
1967,1,3,4,109,7.1203
1967,1,3,5,101,8.4966
1967,2,1,1,123,7.0830
1967,2,1,2,57,2.9404
1967,2,1,3,41,0.8299
1967,2,1,4,51,3.5019
1967,2,1,5,70,5.9789
1967,2,2,1,54,1.3576
1967,2,2,2,55,2.6520
1967,2,2,3,27,3.2683
1967,2,2,4,30,1.5092
1967,2,2,5,40,2.3150
1967,2,3,1,64,0.4600
1967,2,3,2,85,-0.8883
1967,2,3,3,115,0.4382
1967,2,3,4,109,0.4376
1967,2,3,5,101,3.1639
1967,3,1,1,123,7.0603
1967,3,1,2,57,6.3667
1967,3,1,3,42,6.5652
1967,3,1,4,51,6.0941
1967,3,1,5,70,6.2246
1967,3,2,1,54,7.3398
1967,3,2,2,55,6.9576
1967,3,2,3,27,5.1632
1967,3,2,4,30,5.6248
1967,3,2,5,40,5.5817
1967,3,3,1,64,4.6818
1967,3,3,2,85,3.4022
1967,3,3,3,115,4.0624
1967,3,3,4,109,3.4525
1967,3,3,5,101,6.0256
1967,4,1,1,123,3.8084
1967,4,1,2,57,5.9605
1967,4,1,3,42,5.4679
1967,4,1,4,51,5.8759
1967,4,1,5,70,4.4814
1967,4,2,1,54,2.7836
1967,4,2,2,55,4.5296
1967,4,2,3,27,4.7606
1967,4,2,4,30,3.0080
1967,4,2,5,40,4.8456
1967,4,3,1,64,2.8091
1967,4,3,2,85,7.0227
1967,4,3,3,115,2.3933
1967,4,3,4,109,4.3550
1967,4,3,5,101,5.7073
1967,5,1,1,123,2.1374
1967,5,1,2,57,-0.6111
1967,5,1,3,42,-0.9665
1967,5,1,4,51,0.9609
1967,5,1,5,70,1.1893
1967,5,2,1,54,0.1194
1967,5,2,2,55,-3.3388
1967,5,2,3,27,-0.8538
1967,5,2,4,30,-2.1153
1967,5,2,5,40,-2.8048
1967,5,3,1,64,-1.6589
1967,5,3,2,85,-4.5112
1967,5,3,3,115,-3.6602
1967,5,3,4,109,-5.6154
1967,5,3,5,101,-4.5941
1967,6,1,1,123,10.7860
1967,6,1,2,57,12.3534
1967,6,1,3,42,7.0060
1967,6,1,4,51,13.4702
1967,6,1,5,70,16.8164
1967,6,2,1,54,8.3479
1967,6,2,2,55,7.9758
1967,6,2,3,27,5.3914
1967,6,2,4,30,3.4096
1967,6,2,5,40,6.1908
1967,6,3,1,64,3.8926
1967,6,3,2,85,2.9136
1967,6,3,3,115,0.7921
1967,6,3,4,109,0.8457
1967,6,3,5,100,3.1290
1967,7,1,1,159,10.3090
1967,7,1,2,60,8.8848
1967,7,1,3,55,8.0088
1967,7,1,4,48,8.4807
1967,7,1,5,74,11.8220
1967,7,2,1,64,7.4057
1967,7,2,2,43,10.4190
1967,7,2,3,51,6.2838
1967,7,2,4,32,7.5804
1967,7,2,5,49,7.6342
1967,7,3,1,57,5.2397
1967,7,3,2,103,5.3939
1967,7,3,3,110,8.3481
1967,7,3,4,122,1.6493
1967,7,3,5,107,3.8422
1967,8,1,1,159,1.7627
1967,8,1,2,60,0.7064
1967,8,1,3,55,0.4654
1967,8,1,4,48,-1.3865
1967,8,1,5,74,-0.3683
1967,8,2,1,64,1.5051
1967,8,2,2,43,0.8665
1967,8,2,3,51,-0.7763
1967,8,2,4,32,0.5241
1967,8,2,5,49,-3.4447
1967,8,3,1,56,-0.5757
1967,8,3,2,103,-1.3551
1967,8,3,3,110,-0.2399
1967,8,3,4,122,-0.9532
1967,8,3,5,107,-0.6409
1967,9,1,1,159,6.8780
1967,9,1,2,60,7.2961
1967,9,1,3,55,8.7353
1967,9,1,4,48,7.0209
1967,9,1,5,74,7.1371
1967,9,2,1,64,4.9246
1967,9,2,2,43,3.2901
1967,9,2,3,51,2.7288
1967,9,2,4,32,2.2872
1967,9,2,5,49,4.6962
1967,9,3,1,56,2.8210
1967,9,3,2,103,3.6303
1967,9,3,3,110,2.7075
1967,9,3,4,122,3.6896
1967,9,3,5,107,3.3384
1967,10,1,1,159,-2.0982
1967,10,1,2,60,1.4264
1967,10,1,3,55,-2.4055
1967,10,1,4,48,-2.9684
1967,10,1,5,74,-2.1285
1967,10,2,1,64,-2.9103
1967,10,2,2,43,-2.5421
1967,10,2,3,51,-5.8832
1967,10,2,4,32,-3.6185
1967,10,2,5,49,-1.6482
1967,10,3,1,55,-5.3575
1967,10,3,2,103,-2.9246
1967,10,3,3,110,-4.6390
1967,10,3,4,123,-3.5787
1967,10,3,5,107,1.5103
1967,11,1,1,159,-1.6686
1967,11,1,2,60,-1.3787
1967,11,1,3,55,0.3758
1967,11,1,4,48,4.0102
1967,11,1,5,74,2.5786
1967,11,2,1,64,1.8560
1967,11,2,2,43,0.8994
1967,11,2,3,51,0.6225
1967,11,2,4,32,-2.9831
1967,11,2,5,49,1.0335
1967,11,3,1,56,0.8420
1967,11,3,2,103,0.3324
1967,11,3,3,110,-0.3521
1967,11,3,4,123,1.2675
1967,11,3,5,107,1.4241
1967,12,1,1,158,10.1757
1967,12,1,2,60,8.8364
1967,12,1,3,55,9.9634
1967,12,1,4,48,7.3399
1967,12,1,5,73,6.7712
1967,12,2,1,64,6.2601
1967,12,2,2,43,8.2714
1967,12,2,3,51,5.6450
1967,12,2,4,32,3.6215
1967,12,2,5,49,8.4148
1967,12,3,1,56,4.1707
1967,12,3,2,103,2.6754
1967,12,3,3,110,2.5519
1967,12,3,4,123,2.9166
1967,12,3,5,107,1.9781
1968,1,1,1,159,2.6036
1968,1,1,2,60,2.3117
1968,1,1,3,55,1.8092
1968,1,1,4,47,2.1673
1968,1,1,5,73,5.0095
1968,1,2,1,64,0.3499
1968,1,2,2,43,0.0160
1968,1,2,3,51,0.8531
1968,1,2,4,32,-0.1262
