year,month,rank_ME,rank_dNOA,nstocks,ret_vw
1967,1,1,1,31,16.3868
1967,1,1,2,17,17.8606
1967,1,1,3,18,14.3781
1967,1,1,4,17,17.7147
1967,1,1,5,31,24.4118
1967,1,2,1,24,13.6248
1967,1,2,2,15,16.4950
1967,1,2,3,13,21.8345
1967,1,2,4,15,16.0990
1967,1,2,5,16,21.4710
1967,1,3,1,30,11.5410
1967,1,3,2,45,8.4069
1967,1,3,3,52,7.2680
1967,1,3,4,44,6.6036
1967,1,3,5,49,8.4967
1967,2,1,1,31,5.2245
1967,2,1,2,17,6.3883
1967,2,1,3,18,3.5785
1967,2,1,4,17,-1.9508
1967,2,1,5,31,6.5403
1967,2,2,1,24,2.7021
1967,2,2,2,15,6.2646
1967,2,2,3,13,0.1302
1967,2,2,4,15,1.4657
1967,2,2,5,16,3.0651
1967,2,3,1,30,-0.2684
1967,2,3,2,45,-0.5962
1967,2,3,3,52,1.2525
1967,2,3,4,44,0.0152
1967,2,3,5,49,5.4824
1967,3,1,1,31,8.5730
1967,3,1,2,17,9.3372
1967,3,1,3,18,10.0899
1967,3,1,4,17,4.5777
1967,3,1,5,31,10.5240
1967,3,2,1,24,5.3958
1967,3,2,2,15,10.0942
1967,3,2,3,13,5.0927
1967,3,2,4,15,8.6530
1967,3,2,5,16,4.5146
1967,3,3,1,30,5.0298
1967,3,3,2,45,4.0775
1967,3,3,3,52,3.7665
1967,3,3,4,44,3.7270
1967,3,3,5,49,5.6322
1967,4,1,1,31,2.2022
1967,4,1,2,17,6.8217
1967,4,1,3,18,3.7736
1967,4,1,4,17,5.6276
1967,4,1,5,31,10.3677
1967,4,2,1,24,2.4023
1967,4,2,2,15,4.2508
1967,4,2,3,13,3.9077
1967,4,2,4,15,3.0496
1967,4,2,5,16,4.4783
1967,4,3,1,30,3.2084
1967,4,3,2,45,7.0428
1967,4,3,3,52,1.2098
1967,4,3,4,44,4.7363
1967,4,3,5,49,6.9155
1967,5,1,1,31,-1.6744
1967,5,1,2,17,5.1052
1967,5,1,3,18,0.8323
1967,5,1,4,17,1.5577
1967,5,1,5,31,-1.7070
1967,5,2,1,24,-0.8833
1967,5,2,2,15,-4.1393
1967,5,2,3,13,-1.1041
1967,5,2,4,15,-1.5779
1967,5,2,5,16,-3.2588
1967,5,3,1,30,-3.3101
1967,5,3,2,45,-5.4739
1967,5,3,3,52,-5.0166
1967,5,3,4,44,-6.1656
1967,5,3,5,49,-4.2013
1967,6,1,1,31,9.6851
1967,6,1,2,17,14.5306
1967,6,1,3,18,6.6358
1967,6,1,4,17,9.4110
1967,6,1,5,31,24.1467
1967,6,2,1,24,11.0477
1967,6,2,2,15,13.3734
1967,6,2,3,13,4.4146
1967,6,2,4,15,7.3543
1967,6,2,5,16,5.5703
1967,6,3,1,30,5.3582
1967,6,3,2,45,1.0558
1967,6,3,3,51,1.2474
1967,6,3,4,44,-0.1548
1967,6,3,5,49,5.5700
1967,7,1,1,62,9.9565
1967,7,1,2,17,8.8264
1967,7,1,3,25,15.1012
1967,7,1,4,29,10.0999
1967,7,1,5,38,10.7324
1967,7,2,1,34,8.9052
1967,7,2,2,24,10.6358
1967,7,2,3,17,7.3905
1967,7,2,4,9,8.6732
1967,7,2,5,26,7.7461
1967,7,3,1,35,6.1636
1967,7,3,2,54,0.7625
1967,7,3,3,61,5.1921
1967,7,3,4,62,8.1563
1967,7,3,5,58,3.7940
1967,8,1,1,62,3.4196
1967,8,1,2,17,-1.3395
1967,8,1,3,25,0.9293
1967,8,1,4,29,-0.7862
1967,8,1,5,38,-2.3555
1967,8,2,1,34,-0.0795
1967,8,2,2,24,1.0167
1967,8,2,3,17,-0.2258
1967,8,2,4,9,2.1564
1967,8,2,5,26,-2.0148
1967,8,3,1,35,0.8394
1967,8,3,2,53,-1.6194
1967,8,3,3,61,-0.7247
1967,8,3,4,62,-0.5399
1967,8,3,5,58,-1.0696
1967,9,1,1,62,4.8215
1967,9,1,2,17,10.9736
1967,9,1,3,25,10.1661
1967,9,1,4,29,8.8805
1967,9,1,5,38,9.4562
1967,9,2,1,34,3.9841
1967,9,2,2,24,5.1150
1967,9,2,3,17,3.6806
1967,9,2,4,9,6.1122
1967,9,2,5,26,5.7968
1967,9,3,1,35,4.7148
1967,9,3,2,53,3.2570
1967,9,3,3,61,3.3677
1967,9,3,4,62,4.6577
1967,9,3,5,58,5.4019
1967,10,1,1,62,-3.6018
1967,10,1,2,17,-5.0343
1967,10,1,3,25,-3.1242
1967,10,1,4,29,-0.9208
1967,10,1,5,38,-1.0099
1967,10,2,1,34,-4.5359
1967,10,2,2,24,-2.3691
1967,10,2,3,17,0.4359
1967,10,2,4,9,-6.3630
1967,10,2,5,26,-6.0199
1967,10,3,1,35,-5.9442
1967,10,3,2,53,-2.2407
1967,10,3,3,61,-3.0827
1967,10,3,4,62,-4.2896
1967,10,3,5,58,3.0107
1967,11,1,1,62,-1.4404
1967,11,1,2,17,-3.6122
1967,11,1,3,25,0.8939
1967,11,1,4,29,-0.0293
1967,11,1,5,38,2.0162
1967,11,2,1,34,1.1928
1967,11,2,2,24,-0.2318
1967,11,2,3,17,3.6265
1967,11,2,4,9,-5.8919
1967,11,2,5,26,1.7621
1967,11,3,1,35,-0.5223
1967,11,3,2,53,-0.3796
1967,11,3,3,61,0.6069
1967,11,3,4,62,0.8990
1967,11,3,5,58,1.1205
1967,12,1,1,61,11.9544
1967,12,1,2,17,14.3120
1967,12,1,3,25,12.5067
1967,12,1,4,29,3.9369
1967,12,1,5,38,7.6933
1967,12,2,1,34,7.1806
1967,12,2,2,24,3.5720
1967,12,2,3,17,7.3657
1967,12,2,4,9,10.1253
1967,12,2,5,26,11.4115
1967,12,3,1,35,5.0853
1967,12,3,2,53,2.6313
1967,12,3,3,61,2.8878
1967,12,3,4,62,0.9993
1967,12,3,5,58,1.6526
1968,1,1,1,62,6.6452
1968,1,1,2,17,0.9312
1968,1,1,3,25,0.7687
1968,1,1,4,28,2.5297
1968,1,1,5,38,3.9644
1968,1,2,1,34,3.0995
1968,1,2,2,24,-0.0106
1968,1,2,3,17,0.1439
1968,1,2,4,9,-5.3464
1968,1,2,5,26,-1.0929
1968,1,3,1,35,-3.9757
1968,1,3,2,53,-1.0145
1968,1,3,3,61,-5.5437
1968,1,3,4,62,-6.2244
1968,1,3,5,58,-7.8890
1968,2,1,1,61,-4.5824
1968,2,1,2,17,-4.4417
1968,2,1,3,25,-6.3928
1968,2,1,4,28,-7.7669
1968,2,1,5,38,-10.8225
1968,2,2,1,33,-4.2340
1968,2,2,2,24,-2.5212
1968,2,2,3,17,-5.1482
1968,2,2,4,9,-0.2785
1968,2,2,5,26,-6.0747
1968,2,3,1,35,-2.2600
1968,2,3,2,53,-1.5784
1968,2,3,3,61,-3.2269
1968,2,3,4,62,-2.9629
1968,2,3,5,57,-3.2697
1968,3,1,1,62,-2.5433
1968,3,1,2,17,-1.0932
1968,3,1,3,25,-1.0128
1968,3,1,4,28,1.3271
1968,3,1,5,38,-2.8956
1968,3,2,1,33,-0.2777
1968,3,2,2,24,-0.0205
1968,3,2,3,17,1.0178
1968,3,2,4,9,-4.0324
1968,3,2,5,26,-4.4461
1968,3,3,1,35,0.0903
1968,3,3,2,53,0.3530
1968,3,3,3,61,1.1087
1968,3,3,4,62,-1.2812
1968,3,3,5,57,3.5443
1968,4,1,1,62,16.4654
1968,4,1,2,17,13.1236
1968,4,1,3,25,22.2222
1968,4,1,4,28,14.5513
1968,4,1,5,38,24.2948
1968,4,2,1,33,13.3781
1968,4,2,2,24,10.8689
1968,4,2,3,17,13.0587
1968,4,2,4,9,16.2348
1968,4,2,5,26,19.7914
1968,4,3,1,35,9.1418
1968,4,3,2,53,3.7720
1968,4,3,3,61,10.4408
1968,4,3,4,62,11.5141
1968,4,3,5,57,11.5494
1968,5,1,1,62,11.0825
1968,5,1,2,17,11.5443
1968,5,1,3,25,9.3995
1968,5,1,4,28,12.9600
1968,5,1,5,38,11.3110
1968,5,2,1,33,7.8265
1968,5,2,2,24,5.4778
1968,5,2,3,17,8.8189
1968,5,2,4,9,13.3518
1968,5,2,5,26,9.8793
1968,5,3,1,35,1.5919
1968,5,3,2,53,-0.9980
1968,5,3,3,61,2.3442
1968,5,3,4,62,0.5100
1968,5,3,5,57,4.7011
1968,6,1,1,62,0.1800
1968,6,1,2,17,4.5005
1968,6,1,3,25,1.9774
1968,6,1,4,28,0.8845
1968,6,1,5,38,0.3674
1968,6,2,1,33,0.9546
1968,6,2,2,24,1.9445
1968,6,2,3,17,1.3978
1968,6,2,4,9,-0.3753
1968,6,2,5,26,-0.2744
1968,6,3,1,35,-0.0874
1968,6,3,2,53,2.4473
1968,6,3,3,61,-0.4526
1968,6,3,4,62,-0.0817
1968,6,3,5,57,-1.2356
1968,7,1,1,161,-2.4597
1968,7,1,2,68,-0.3979
1968,7,1,3,50,-6.4686
1968,7,1,4,47,-3.6021
1968,7,1,5,77,-5.2102
1968,7,2,1,49,-2.7527
1968,7,2,2,40,-0.8689
1968,7,2,3,35,-2.0326
1968,7,2,4,37,-5.5500
1968,7,2,5,47,-6.6261
1968,7,3,1,50,-1.7453
1968,7,3,2,76,-2.7192
1968,7,3,3,93,-0.1393
1968,7,3,4,87,-2.7697
1968,7,3,5,88,-5.5831
1968,8,1,1,161,5.8735
1968,8,1,2,68,3.7761
1968,8,1,3,50,6.1216
1968,8,1,4,47,3.6846
1968,8,1,5,77,2.0582
