year,month,rank_ME,rank_dPIA,nstocks,ret_vw
1967,1,1,1,115,17.9849
1967,1,1,2,54,17.3930
1967,1,1,3,45,17.4814
1967,1,1,4,46,18.7497
1967,1,1,5,90,20.6132
1967,1,2,1,47,16.4664
1967,1,2,2,47,14.9107
1967,1,2,3,40,14.7843
1967,1,2,4,28,16.8297
1967,1,2,5,51,20.4972
1967,1,3,1,57,10.3990
1967,1,3,2,85,6.9421
1967,1,3,3,100,7.2459
1967,1,3,4,101,9.8699
1967,1,3,5,75,8.1420
1967,2,1,1,115,6.3062
1967,2,1,2,54,2.7567
1967,2,1,3,45,2.6580
1967,2,1,4,46,3.7461
1967,2,1,5,89,6.0616
1967,2,2,1,47,1.5932
1967,2,2,2,47,2.7520
1967,2,2,3,40,4.1065
1967,2,2,4,28,0.4644
1967,2,2,5,51,1.7974
1967,2,3,1,57,0.6867
1967,2,3,2,85,-0.2161
1967,2,3,3,100,1.7319
1967,2,3,4,101,0.0759
1967,2,3,5,75,3.5916
1967,3,1,1,115,8.4421
1967,3,1,2,54,4.3351
1967,3,1,3,45,5.9618
1967,3,1,4,46,4.4166
1967,3,1,5,90,7.7574
1967,3,2,1,47,5.0076
1967,3,2,2,47,7.5573
1967,3,2,3,40,7.0997
1967,3,2,4,28,8.3327
1967,3,2,5,51,7.8330
1967,3,3,1,57,4.1868
1967,3,3,2,85,4.4075
1967,3,3,3,100,4.1244
1967,3,3,4,101,4.6439
1967,3,3,5,75,5.6645
1967,4,1,1,115,4.3921
1967,4,1,2,54,5.6464
1967,4,1,3,45,2.2626
1967,4,1,4,46,5.8681
1967,4,1,5,90,5.7185
1967,4,2,1,47,3.8264
1967,4,2,2,47,4.5334
1967,4,2,3,40,3.2719
1967,4,2,4,28,5.7815
1967,4,2,5,51,4.3395
1967,4,3,1,57,2.8593
1967,4,3,2,85,3.8465
1967,4,3,3,100,2.2819
1967,4,3,4,101,6.4503
1967,4,3,5,75,7.3348
1967,5,1,1,115,1.5258
1967,5,1,2,54,-0.1104
1967,5,1,3,45,1.5054
1967,5,1,4,46,1.0675
1967,5,1,5,90,0.2438
1967,5,2,1,47,-0.7741
1967,5,2,2,47,-2.7283
1967,5,2,3,40,-0.2841
1967,5,2,4,28,-2.8899
1967,5,2,5,51,-3.1591
1967,5,3,1,57,-0.3125
1967,5,3,2,85,-3.9225
1967,5,3,3,100,-4.8727
1967,5,3,4,101,-5.4252
1967,5,3,5,75,-4.8604
1967,6,1,1,115,11.6174
1967,6,1,2,54,9.3647
1967,6,1,3,45,7.6542
1967,6,1,4,46,11.7638
1967,6,1,5,90,17.2629
1967,6,2,1,47,6.9714
1967,6,2,2,47,7.7585
1967,6,2,3,40,6.6605
1967,6,2,4,28,6.8639
1967,6,2,5,51,8.0649
1967,6,3,1,57,4.1986
1967,6,3,2,85,2.6307
1967,6,3,3,100,1.4945
1967,6,3,4,101,0.9757
1967,6,3,5,74,4.0546
1967,7,1,1,139,11.3374
1967,7,1,2,68,10.8592
1967,7,1,3,62,9.7091
1967,7,1,4,67,10.8978
1967,7,1,5,69,7.8700
1967,7,2,1,66,8.5371
1967,7,2,2,43,10.1398
1967,7,2,3,37,8.0866
1967,7,2,4,34,6.8491
1967,7,2,5,66,7.9912
1967,7,3,1,47,7.4115
1967,7,3,2,99,3.3736
1967,7,3,3,99,5.9964
1967,7,3,4,102,5.8082
1967,7,3,5,94,4.0869
1967,8,1,1,139,1.7029
1967,8,1,2,68,2.1464
1967,8,1,3,62,0.3190
1967,8,1,4,67,-0.3375
1967,8,1,5,69,-0.9862
1967,8,2,1,66,1.3936
1967,8,2,2,43,0.8674
1967,8,2,3,37,-1.0810
1967,8,2,4,34,1.2265
1967,8,2,5,66,-3.0824
1967,8,3,1,47,-1.6652
1967,8,3,2,98,-0.9782
1967,8,3,3,99,-0.7353
1967,8,3,4,102,0.4330
1967,8,3,5,94,-1.1966
1967,9,1,1,139,6.3742
1967,9,1,2,68,7.6157
1967,9,1,3,62,10.3639
1967,9,1,4,67,8.7832
1967,9,1,5,69,5.3212
1967,9,2,1,66,4.4570
1967,9,2,2,43,5.8581
1967,9,2,3,37,2.3998
1967,9,2,4,34,4.0069
1967,9,2,5,66,4.9565
1967,9,3,1,47,0.8484
1967,9,3,2,98,3.0282
1967,9,3,3,99,3.3423
1967,9,3,4,102,3.4037
1967,9,3,5,94,5.7253
1967,10,1,1,139,-0.9836
1967,10,1,2,68,-1.9984
1967,10,1,3,62,-5.0780
1967,10,1,4,67,-0.0678
1967,10,1,5,69,-2.4724
1967,10,2,1,65,-3.7731
1967,10,2,2,43,-3.0523
1967,10,2,3,37,-3.1543
1967,10,2,4,34,-5.9831
1967,10,2,5,66,-2.9513
1967,10,3,1,47,-3.1206
1967,10,3,2,98,-3.1358
1967,10,3,3,98,-3.4112
1967,10,3,4,102,-4.8024
1967,10,3,5,94,2.2073
1967,11,1,1,139,0.0146
1967,11,1,2,68,-0.7417
1967,11,1,3,62,1.5355
1967,11,1,4,67,1.2767
1967,11,1,5,69,0.8456
1967,11,2,1,65,0.8035
1967,11,2,2,43,-0.4047
1967,11,2,3,37,0.5126
1967,11,2,4,33,-0.1116
1967,11,2,5,66,1.6284
1967,11,3,1,47,0.2143
1967,11,3,2,98,0.2916
1967,11,3,3,99,-0.2187
1967,11,3,4,102,1.0841
1967,11,3,5,94,0.7915
1967,12,1,1,138,10.7685
1967,12,1,2,67,8.4685
1967,12,1,3,62,9.9979
1967,12,1,4,67,5.8114
1967,12,1,5,69,8.5171
1967,12,2,1,65,6.0472
1967,12,2,2,43,5.6824
1967,12,2,3,37,5.2940
1967,12,2,4,33,6.9622
1967,12,2,5,66,7.8472
1967,12,3,1,47,4.7916
1967,12,3,2,98,2.1110
1967,12,3,3,99,3.5253
1967,12,3,4,102,2.3708
1967,12,3,5,94,2.2716
1968,1,1,1,139,2.7576
1968,1,1,2,67,3.7604
1968,1,1,3,62,3.1907
1968,1,1,4,67,2.3454
1968,1,1,5,68,3.0410
1968,1,2,1,65,3.1712
1968,1,2,2,43,0.1037
1968,1,2,3,37,-1.2986
1968,1,2,4,33,-2.3945
1968,1,2,5,66,-4.1453
1968,1,3,1,47,-0.7235
1968,1,3,2,98,-0.9084
