year,month,rank_ME,rank_dWC,nstocks,ret_vw
1967,1,1,1,94,19.7124
1967,1,1,2,43,19.3275
1967,1,1,3,44,16.9011
1967,1,1,4,68,17.9552
1967,1,1,5,105,18.8566
1967,1,2,1,39,14.1253
1967,1,2,2,37,13.4302
1967,1,2,3,45,16.7212
1967,1,2,4,41,16.8188
1967,1,2,5,53,21.6074
1967,1,3,1,72,9.8573
1967,1,3,2,95,7.0212
1967,1,3,3,93,8.3773
1967,1,3,4,88,9.3109
1967,1,3,5,70,9.0687
1967,2,1,1,93,5.6186
1967,2,1,2,43,1.7252
1967,2,1,3,44,4.0834
1967,2,1,4,68,5.1907
1967,2,1,5,105,5.4659
1967,2,2,1,39,2.1510
1967,2,2,2,37,2.8556
1967,2,2,3,45,2.5284
1967,2,2,4,41,1.6878
1967,2,2,5,53,1.8062
1967,2,3,1,72,-0.1120
1967,2,3,2,95,0.9433
1967,2,3,3,93,1.3872
1967,2,3,4,88,2.7336
1967,2,3,5,70,1.4005
1967,3,1,1,94,4.1575
1967,3,1,2,43,8.8130
1967,3,1,3,44,7.7731
1967,3,1,4,68,6.5003
1967,3,1,5,105,7.4184
1967,3,2,1,39,5.0673
1967,3,2,2,37,4.9710
1967,3,2,3,45,7.7080
1967,3,2,4,41,9.2859
1967,3,2,5,53,8.0928
1967,3,3,1,72,4.0975
1967,3,3,2,95,4.5080
1967,3,3,3,93,3.4449
1967,3,3,4,88,7.6416
1967,3,3,5,70,4.6930
1967,4,1,1,94,4.4593
1967,4,1,2,43,4.2105
1967,4,1,3,44,5.4886
1967,4,1,4,68,4.5447
1967,4,1,5,105,5.6998
1967,4,2,1,39,2.8519
1967,4,2,2,37,2.8355
1967,4,2,3,45,3.8974
1967,4,2,4,41,5.2139
1967,4,2,5,53,5.7793
1967,4,3,1,72,5.3796
1967,4,3,2,95,4.2034
1967,4,3,3,93,3.4777
1967,4,3,4,88,3.6973
1967,4,3,5,70,8.4460
1967,5,1,1,94,0.8306
1967,5,1,2,43,2.4973
1967,5,1,3,44,1.9037
1967,5,1,4,68,-0.1539
1967,5,1,5,105,0.2558
1967,5,2,1,39,-0.7957
1967,5,2,2,37,-1.0894
1967,5,2,3,45,-1.6949
1967,5,2,4,41,-3.0547
1967,5,2,5,53,-2.9341
1967,5,3,1,72,-4.8767
1967,5,3,2,95,-4.5123
1967,5,3,3,93,-4.4790
1967,5,3,4,88,-4.2536
1967,5,3,5,70,-4.8863
1967,6,1,1,94,11.8512
1967,6,1,2,43,8.9725
1967,6,1,3,44,8.7068
1967,6,1,4,68,8.8702
1967,6,1,5,105,18.4059
1967,6,2,1,39,6.4270
1967,6,2,2,37,5.7893
1967,6,2,3,45,9.8626
1967,6,2,4,41,5.6669
1967,6,2,5,53,7.8428
1967,6,3,1,71,3.3692
1967,6,3,2,95,2.3085
1967,6,3,3,93,-0.0982
1967,6,3,4,88,2.9928
1967,6,3,5,70,3.9650
1967,7,1,1,123,12.6632
1967,7,1,2,49,8.8550
1967,7,1,3,53,11.1864
1967,7,1,4,82,9.8556
1967,7,1,5,103,8.0814
1967,7,2,1,58,7.1560
1967,7,2,2,49,10.7174
1967,7,2,3,44,6.7256
1967,7,2,4,47,9.2890
1967,7,2,5,50,7.9950
1967,7,3,1,71,1.0007
1967,7,3,2,97,5.6536
1967,7,3,3,94,5.7361
1967,7,3,4,92,6.8594
1967,7,3,5,87,4.4146
1967,8,1,1,123,1.9548
1967,8,1,2,49,3.9155
1967,8,1,3,53,0.6763
1967,8,1,4,82,-0.5569
1967,8,1,5,103,-1.1291
1967,8,2,1,58,0.1820
1967,8,2,2,49,-0.7566
1967,8,2,3,44,2.5443
1967,8,2,4,47,-0.2476
1967,8,2,5,50,-2.7171
1967,8,3,1,71,-0.8867
1967,8,3,2,97,-1.3537
1967,8,3,3,94,-0.4149
