year,month,rank_ME,rank_IA,nstocks,ret_vw
1967,1,1,1,103,17.7893
1967,1,1,2,44,16.6339
1967,1,1,3,57,17.1848
1967,1,1,4,59,20.3513
1967,1,1,5,96,19.3139
1967,1,2,1,51,14.3038
1967,1,2,2,44,15.2384
1967,1,2,3,42,15.3727
1967,1,2,4,45,14.7808
1967,1,2,5,49,20.2221
1967,1,3,1,78,8.2350
1967,1,3,2,111,4.9788
1967,1,3,3,101,7.3331
1967,1,3,4,110,8.9413
1967,1,3,5,96,9.6058
1967,2,1,1,103,5.2845
1967,2,1,2,44,1.5624
1967,2,1,3,57,3.3767
1967,2,1,4,59,2.8227
1967,2,1,5,95,7.1692
1967,2,2,1,51,2.1769
1967,2,2,2,44,1.1943
1967,2,2,3,42,5.5630
1967,2,2,4,45,-1.0584
1967,2,2,5,49,2.1869
1967,2,3,1,78,-0.2633
1967,2,3,2,111,-0.7106
1967,2,3,3,101,-0.5537
1967,2,3,4,110,2.6157
1967,2,3,5,96,2.4718
1967,3,1,1,103,6.2964
1967,3,1,2,44,10.0113
1967,3,1,3,57,4.8160
1967,3,1,4,59,5.9510
1967,3,1,5,96,6.9082
1967,3,2,1,51,6.4334
1967,3,2,2,44,4.8504
1967,3,2,3,42,4.3897
1967,3,2,4,45,8.2113
1967,3,2,5,49,8.2593
1967,3,3,1,78,2.8330
1967,3,3,2,111,3.4879
1967,3,3,3,101,3.9102
1967,3,3,4,110,5.0441
1967,3,3,5,96,5.3645
1967,4,1,1,103,3.2696
1967,4,1,2,44,5.6866
1967,4,1,3,57,3.1602
1967,4,1,4,59,6.4891
1967,4,1,5,96,6.1873
1967,4,2,1,51,3.7046
1967,4,2,2,44,1.4043
1967,4,2,3,42,5.1315
1967,4,2,4,45,3.8936
1967,4,2,5,49,4.9835
1967,4,3,1,78,1.9657
1967,4,3,2,111,1.1005
1967,4,3,3,101,2.9461
1967,4,3,4,110,7.4591
1967,4,3,5,96,6.8251
1967,5,1,1,103,1.3547
1967,5,1,2,44,0.6046
1967,5,1,3,57,-0.2707
1967,5,1,4,59,-0.1472
1967,5,1,5,96,1.5241
1967,5,2,1,51,-0.3001
1967,5,2,2,44,-2.4948
1967,5,2,3,42,-3.3288
1967,5,2,4,45,-1.0637
1967,5,2,5,49,-3.1980
1967,5,3,1,78,-2.7686
1967,5,3,2,111,-4.3742
1967,5,3,3,101,-3.8325
1967,5,3,4,110,-5.5117
1967,5,3,5,96,-4.7513
1967,6,1,1,103,9.2215
1967,6,1,2,44,13.3747
1967,6,1,3,57,6.8355
1967,6,1,4,59,10.8358
1967,6,1,5,96,17.7864
1967,6,2,1,51,4.8773
1967,6,2,2,44,6.1405
1967,6,2,3,42,9.1543
1967,6,2,4,45,4.9490
1967,6,2,5,49,8.8147
1967,6,3,1,78,1.4745
1967,6,3,2,111,1.7613
1967,6,3,3,101,0.7521
