year,month,rank_ME,rank_IAq_12,nstocks,ret_vw
1973,1,1,1,61,-4.7191
1973,1,1,2,18,-2.2124
1973,1,1,3,13,-1.8109
1973,1,1,4,12,-1.8613
1973,1,1,5,23,-3.4252
1973,1,2,1,16,-4.3436
1973,1,2,2,19,-8.5661
1973,1,2,3,14,-5.1720
1973,1,2,4,11,-6.7311
1973,1,2,5,9,-6.9999
1973,1,3,1,18,-3.5683
1973,1,3,2,20,-6.6676
1973,1,3,3,25,-4.4797
1973,1,3,4,30,-3.7616
1973,1,3,5,30,-4.5649
1973,2,1,1,83,-8.5350
1973,2,1,2,28,-7.1624
1973,2,1,3,17,-11.0318
1973,2,1,4,19,-11.3828
1973,2,1,5,39,-13.6267
1973,2,2,1,28,-7.3075
1973,2,2,2,25,-5.9207
1973,2,2,3,18,-2.9651
1973,2,2,4,16,-4.9177
1973,2,2,5,16,-9.5837
1973,2,3,1,24,-4.8265
1973,2,3,2,31,-2.8076
1973,2,3,3,42,-1.5696
1973,2,3,4,37,-2.5710
1973,2,3,5,44,-7.8491
1973,3,1,1,97,-1.1941
1973,3,1,2,36,-1.5549
1973,3,1,3,23,-3.3136
1973,3,1,4,21,-4.1845
1973,3,1,5,46,-5.2270
1973,3,2,1,32,-2.9738
1973,3,2,2,29,-2.8018
1973,3,2,3,19,-2.0649
1973,3,2,4,16,-5.2986
1973,3,2,5,21,-2.5138
1973,3,3,1,28,-0.9566
1973,3,3,2,40,-1.7743
1973,3,3,3,43,-2.5602
1973,3,3,4,42,-3.8530
1973,3,3,5,48,-3.5719
1973,4,1,1,111,-8.8796
1973,4,1,2,41,-8.2127
1973,4,1,3,24,-8.1075
1973,4,1,4,25,-7.5413
1973,4,1,5,55,-11.2384
1973,4,2,1,32,-3.4079
1973,4,2,2,31,-5.5172
1973,4,2,3,19,-10.9428
1973,4,2,4,17,-4.7090
1973,4,2,5,24,-10.0489
1973,4,3,1,30,-1.7326
1973,4,3,2,42,-4.1346
1973,4,3,3,45,-3.2067
1973,4,3,4,43,-0.5264
1973,4,3,5,54,-6.3467
1973,5,1,1,240,-8.9470
1973,5,1,2,95,-9.8578
1973,5,1,3,86,-8.3538
1973,5,1,4,73,-8.5752
1973,5,1,5,152,-15.6081
1973,5,2,1,76,-6.1669
1973,5,2,2,80,-6.7650
1973,5,2,3,68,-4.6495
1973,5,2,4,48,-6.3280
1973,5,2,5,85,-9.8961
1973,5,3,1,91,-2.2871
1973,5,3,2,124,-1.2195
1973,5,3,3,136,-0.0117
1973,5,3,4,135,0.1498
1973,5,3,5,142,-3.2157
1973,6,1,1,251,-2.2036
1973,6,1,2,105,-2.8511
1973,6,1,3,93,-2.4017
1973,6,1,4,88,-4.2825
1973,6,1,5,174,-6.9296
1973,6,2,1,80,-1.4965
1973,6,2,2,87,-1.8405
1973,6,2,3,71,-4.5438
1973,6,2,4,55,-5.2431
1973,6,2,5,91,-7.1684
1973,6,3,1,94,-2.4733
1973,6,3,2,132,-1.7668
1973,6,3,3,143,-2.2841
1973,6,3,4,144,-0.6690
1973,6,3,5,150,-3.5354
1973,7,1,1,260,12.2909
1973,7,1,2,110,11.9857
1973,7,1,3,94,11.6574
1973,7,1,4,95,12.0366
1973,7,1,5,177,19.4988
1973,7,2,1,81,6.9870
1973,7,2,2,89,7.9066
1973,7,2,3,71,8.8846
1973,7,2,4,58,5.5336
1973,7,2,5,99,14.0754
1973,7,3,1,97,5.3662
1973,7,3,2,133,3.5896
1973,7,3,3,145,2.5645
1973,7,3,4,148,1.1658
1973,7,3,5,156,7.9649
1973,8,1,1,282,-4.8862
1973,8,1,2,120,-3.9039
1973,8,1,3,106,-6.7722
1973,8,1,4,98,-6.6171
1973,8,1,5,188,-8.8133
1973,8,2,1,91,-3.2401
1973,8,2,2,90,-4.1326
1973,8,2,3,75,-4.1068
1973,8,2,4,65,-3.9331
1973,8,2,5,104,-3.1563
1973,8,3,1,101,-0.8569
1973,8,3,2,144,-2.2744
1973,8,3,3,162,-2.3953
1973,8,3,4,151,-2.5490
1973,8,3,5,163,-4.3715
1973,9,1,1,291,9.2685
1973,9,1,2,124,7.3042
1973,9,1,3,112,7.8286
1973,9,1,4,104,7.1380
1973,9,1,5,197,11.1608
1973,9,2,1,94,9.8897
1973,9,2,2,92,7.8791
1973,9,2,3,76,10.0696
1973,9,2,4,68,10.1447
1973,9,2,5,105,11.3533
1973,9,3,1,101,7.3499
1973,9,3,2,148,8.3752
1973,9,3,3,162,6.8315
1973,9,3,4,152,4.2582
1973,9,3,5,169,6.7305
1973,10,1,1,303,2.7989
1973,10,1,2,127,-0.0587
1973,10,1,3,115,-0.3620
1973,10,1,4,106,-1.7335
1973,10,1,5,206,-1.1521
1973,10,2,1,97,-0.4556
1973,10,2,2,94,-0.0670
1973,10,2,3,78,0.2469
1973,10,2,4,69,-0.6232
1973,10,2,5,109,-3.9964
1973,10,3,1,102,-1.0316
1973,10,3,2,150,-1.5527
1973,10,3,3,163,-1.9118
1973,10,3,4,154,-2.6586
1973,10,3,5,172,-2.4635
1973,11,1,1,320,-18.2408
1973,11,1,2,136,-18.3597
1973,11,1,3,123,-20.4830
1973,11,1,4,120,-20.0420
1973,11,1,5,219,-23.9761
1973,11,2,1,105,-14.9446
1973,11,2,2,101,-12.7944
1973,11,2,3,82,-16.4342
1973,11,2,4,74,-16.8242
1973,11,2,5,118,-23.7056
1973,11,3,1,105,-11.4338
1973,11,3,2,154,-12.0045
1973,11,3,3,173,-11.7881
1973,11,3,4,163,-13.2607
1973,11,3,5,177,-15.8840
1973,12,1,1,323,-3.8447
1973,12,1,2,144,-1.5710
1973,12,1,3,128,-2.6631
1973,12,1,4,126,-4.4287
1973,12,1,5,228,-7.1993
1973,12,2,1,112,1.0183
1973,12,2,2,103,-1.5972
1973,12,2,3,85,-0.1636
1973,12,2,4,76,-2.9708
1973,12,2,5,121,-1.6650
1973,12,3,1,106,2.2963
1973,12,3,2,155,3.1444
1973,12,3,3,174,2.1861
1973,12,3,4,164,1.3971
1973,12,3,5,180,0.5172
1974,1,1,1,311,19.0843
1974,1,1,2,139,15.2833
1974,1,1,3,120,16.8234
1974,1,1,4,125,14.1893
1974,1,1,5,225,15.7441
1974,1,2,1,104,9.8822
1974,1,2,2,98,9.4748
1974,1,2,3,77,6.5373
1974,1,2,4,73,8.9407
1974,1,2,5,124,9.1513
1974,1,3,1,100,5.6755
1974,1,3,2,151,2.4946
1974,1,3,3,173,2.5174
1974,1,3,4,159,2.5177
1974,1,3,5,174,-0.0594
1974,2,1,1,317,-0.8420
1974,2,1,2,138,-0.3379
1974,2,1,3,122,-2.2695
1974,2,1,4,133,-0.8162
1974,2,1,5,240,-2.7757
1974,2,2,1,104,2.7067
1974,2,2,2,99,-0.7012
1974,2,2,3,83,-0.2771
1974,2,2,4,78,-0.4353
1974,2,2,5,123,-1.9372
1974,2,3,1,104,2.0428
1974,2,3,2,155,0.4649
1974,2,3,3,178,-0.2563
1974,2,3,4,165,0.7636
1974,2,3,5,182,0.2599
1974,3,1,1,314,1.5009
1974,3,1,2,139,0.0619
1974,3,1,3,125,-1.0752
1974,3,1,4,134,0.6360
1974,3,1,5,253,0.5872
1974,3,2,1,106,-3.2339
1974,3,2,2,97,-1.9993
1974,3,2,3,81,-2.8660
1974,3,2,4,82,-1.2161
1974,3,2,5,125,0.3730
1974,3,3,1,104,-1.6234
1974,3,3,2,156,-2.9798
1974,3,3,3,180,-2.5168
1974,3,3,4,168,-3.4837
1974,3,3,5,178,-3.1658
1974,4,1,1,304,-5.1566
1974,4,1,2,133,-4.8767
1974,4,1,3,126,-7.1515
1974,4,1,4,136,-6.6473
1974,4,1,5,246,-6.7725
1974,4,2,1,102,-5.1193
1974,4,2,2,91,-7.1530
1974,4,2,3,80,-6.1242
1974,4,2,4,83,-6.6494
1974,4,2,5,125,-5.0211
1974,4,3,1,96,-4.7710
1974,4,3,2,149,-7.0845
1974,4,3,3,170,-7.4207
1974,4,3,4,167,-8.9316
1974,4,3,5,172,-5.7854
1974,5,1,1,381,-8.8753
1974,5,1,2,199,-5.9109
1974,5,1,3,158,-7.5885
1974,5,1,4,192,-7.1733
1974,5,1,5,315,-8.2375
1974,5,2,1,138,-8.1121
1974,5,2,2,142,-8.2293
1974,5,2,3,113,-8.0153
1974,5,2,4,132,-6.7295
1974,5,2,5,187,-9.0913
1974,5,3,1,151,-4.7440
1974,5,3,2,203,-3.2144
1974,5,3,3,239,-3.3278
1974,5,3,4,247,-3.9252
1974,5,3,5,254,-3.3707
1974,6,1,1,386,-2.5454
1974,6,1,2,207,-1.1838
1974,6,1,3,165,-3.3290
1974,6,1,4,193,-2.8854
1974,6,1,5,316,-4.3188
