year,month,rank_ME,rank_IG2,nstocks,ret_vw
1967,1,1,1,49,19.9570
1967,1,1,2,31,15.3880
1967,1,1,3,23,19.0102
1967,1,1,4,24,19.7951
1967,1,1,5,43,18.6726
1967,1,2,1,41,17.3380
1967,1,2,2,28,16.0701
1967,1,2,3,26,19.2090
1967,1,2,4,28,17.9258
1967,1,2,5,41,15.6027
1967,1,3,1,67,9.1596
1967,1,3,2,86,6.1024
1967,1,3,3,86,6.9365
1967,1,3,4,82,10.6034
1967,1,3,5,61,9.1794
1967,2,1,1,49,5.0389
1967,2,1,2,31,5.8845
1967,2,1,3,23,-0.2563
1967,2,1,4,24,3.7734
1967,2,1,5,43,4.7592
1967,2,2,1,41,2.1361
1967,2,2,2,28,0.6250
1967,2,2,3,26,3.4530
1967,2,2,4,28,3.5839
1967,2,2,5,41,2.4875
1967,2,3,1,67,0.6854
1967,2,3,2,86,0.2357
1967,2,3,3,86,2.1601
1967,2,3,4,82,1.8654
1967,2,3,5,61,-0.1167
1967,3,1,1,49,5.3465
1967,3,1,2,31,8.2792
1967,3,1,3,23,14.5524
1967,3,1,4,24,1.6546
1967,3,1,5,43,6.8670
1967,3,2,1,41,6.5652
1967,3,2,2,28,7.3706
1967,3,2,3,26,7.3137
1967,3,2,4,28,4.4945
1967,3,2,5,41,7.7283
1967,3,3,1,67,3.5560
1967,3,3,2,86,4.1150
1967,3,3,3,86,3.7465
1967,3,3,4,82,5.4878
1967,3,3,5,61,5.0414
1967,4,1,1,49,4.8290
1967,4,1,2,31,4.8967
1967,4,1,3,23,4.6634
1967,4,1,4,24,3.9962
1967,4,1,5,43,6.1206
1967,4,2,1,41,4.0199
1967,4,2,2,28,3.6450
1967,4,2,3,26,2.2897
1967,4,2,4,28,2.4438
1967,4,2,5,41,5.6288
1967,4,3,1,67,5.8607
1967,4,3,2,86,1.6992
1967,4,3,3,86,2.6052
1967,4,3,4,82,8.4235
1967,4,3,5,61,4.9005
1967,5,1,1,49,-1.9885
1967,5,1,2,31,0.3014
1967,5,1,3,23,-1.6599
1967,5,1,4,24,3.2300
1967,5,1,5,43,-0.0638
1967,5,2,1,41,-1.0785
1967,5,2,2,28,-0.9671
1967,5,2,3,26,-2.1146
1967,5,2,4,28,-5.0795
1967,5,2,5,41,-2.2202
1967,5,3,1,67,-2.5207
1967,5,3,2,86,-4.3236
1967,5,3,3,86,-3.8078
1967,5,3,4,82,-5.8472
1967,5,3,5,61,-4.8999
1967,6,1,1,49,12.1419
1967,6,1,2,31,9.4853
1967,6,1,3,23,12.6836
1967,6,1,4,24,9.7063
1967,6,1,5,43,13.6610
1967,6,2,1,41,8.1601
1967,6,2,2,28,5.9330
1967,6,2,3,26,7.1875
1967,6,2,4,28,6.2610
1967,6,2,5,41,7.2767
1967,6,3,1,67,2.5336
1967,6,3,2,86,2.1465
1967,6,3,3,86,2.6197
1967,6,3,4,82,2.0939
1967,6,3,5,61,1.8505
1967,7,1,1,69,8.9374
1967,7,1,2,28,10.4947
1967,7,1,3,36,10.3643
1967,7,1,4,27,11.8062
1967,7,1,5,53,8.4190
1967,7,2,1,44,9.8607
1967,7,2,2,40,7.0472
1967,7,2,3,23,13.4495
1967,7,2,4,33,8.4565
1967,7,2,5,41,6.8162
1967,7,3,1,70,5.8181
1967,7,3,2,81,3.8922
1967,7,3,3,93,4.0058
1967,7,3,4,90,4.2544
1967,7,3,5,80,8.2778
1967,8,1,1,69,0.3680
1967,8,1,2,28,-0.4436
1967,8,1,3,36,-0.2510
1967,8,1,4,27,0.4088
1967,8,1,5,53,2.1340
1967,8,2,1,44,1.7672
1967,8,2,2,40,0.9528
1967,8,2,3,23,1.2331
1967,8,2,4,33,-0.0056
1967,8,2,5,41,-0.9820
1967,8,3,1,70,0.1928
1967,8,3,2,81,-0.8507
1967,8,3,3,93,-0.7295
1967,8,3,4,89,-0.9455
1967,8,3,5,80,-0.3985
1967,9,1,1,69,4.3067
1967,9,1,2,28,6.4281
1967,9,1,3,36,4.5039
