year,month,rank_ME,rank_IG,nstocks,ret_vw
1967,1,1,1,62,18.3620
1967,1,1,2,32,17.3149
1967,1,1,3,23,19.0755
1967,1,1,4,31,17.5921
1967,1,1,5,67,19.7023
1967,1,2,1,51,17.9432
1967,1,2,2,37,15.4231
1967,1,2,3,31,17.1178
1967,1,2,4,33,15.2667
1967,1,2,5,42,16.5263
1967,1,3,1,67,7.0858
1967,1,3,2,92,7.1141
1967,1,3,3,90,8.6900
1967,1,3,4,93,9.0633
1967,1,3,5,69,9.2549
1967,2,1,1,62,4.7405
1967,2,1,2,32,5.1141
1967,2,1,3,23,-0.1919
1967,2,1,4,31,3.0586
1967,2,1,5,67,5.2749
1967,2,2,1,51,2.3303
1967,2,2,2,37,3.3946
1967,2,2,3,31,0.7290
1967,2,2,4,33,-0.5914
1967,2,2,5,42,4.0329
1967,2,3,1,67,1.7462
1967,2,3,2,92,0.1696
1967,2,3,3,90,1.8118
1967,2,3,4,93,2.1018
1967,2,3,5,69,-0.4265
1967,3,1,1,62,7.5714
1967,3,1,2,32,6.6186
1967,3,1,3,23,5.2122
1967,3,1,4,31,5.5938
1967,3,1,5,67,5.6887
1967,3,2,1,51,8.8282
1967,3,2,2,37,4.4390
1967,3,2,3,31,7.2429
1967,3,2,4,33,6.4758
1967,3,2,5,42,7.9475
1967,3,3,1,67,4.4799
1967,3,3,2,92,4.2822
1967,3,3,3,90,4.3382
1967,3,3,4,93,5.1237
1967,3,3,5,69,5.2030
1967,4,1,1,62,6.8284
1967,4,1,2,32,6.1206
1967,4,1,3,23,-0.5730
1967,4,1,4,31,6.2627
1967,4,1,5,67,3.9877
1967,4,2,1,51,3.4872
1967,4,2,2,37,3.5437
1967,4,2,3,31,6.1795
1967,4,2,4,33,5.2087
1967,4,2,5,42,3.7389
1967,4,3,1,67,4.6448
1967,4,3,2,92,2.3940
1967,4,3,3,90,4.2177
1967,4,3,4,93,7.0173
1967,4,3,5,69,5.9709
1967,5,1,1,62,1.0311
1967,5,1,2,32,-0.0449
1967,5,1,3,23,-1.3839
1967,5,1,4,31,0.5255
1967,5,1,5,67,0.5233
1967,5,2,1,51,-3.8137
1967,5,2,2,37,-0.7762
1967,5,2,3,31,-2.7504
1967,5,2,4,33,-1.5120
1967,5,2,5,42,-1.8780
1967,5,3,1,67,-4.3575
1967,5,3,2,92,-4.3064
1967,5,3,3,90,-4.5528
1967,5,3,4,93,-5.0208
1967,5,3,5,69,-4.4653
1967,6,1,1,62,13.9747
1967,6,1,2,32,9.0469
1967,6,1,3,23,8.8556
1967,6,1,4,31,11.3894
1967,6,1,5,67,11.0510
1967,6,2,1,51,10.4651
1967,6,2,2,37,6.5413
1967,6,2,3,31,5.2589
1967,6,2,4,33,6.1544
1967,6,2,5,42,5.6615
1967,6,3,1,67,2.5453
1967,6,3,2,92,2.4168
1967,6,3,3,90,0.8853
1967,6,3,4,93,2.5192
1967,6,3,5,69,3.8305
1967,7,1,1,80,9.4192
1967,7,1,2,44,11.6990
1967,7,1,3,37,12.1864
1967,7,1,4,43,10.5627
1967,7,1,5,58,6.8835
1967,7,2,1,52,6.0869
1967,7,2,2,41,9.3837
1967,7,2,3,42,9.2365
1967,7,2,4,32,10.0535
1967,7,2,5,50,8.0566
1967,7,3,1,58,5.2324
1967,7,3,2,92,3.2305
1967,7,3,3,97,5.2254
1967,7,3,4,107,5.9657
1967,7,3,5,77,4.9862
1967,8,1,1,80,1.3688
1967,8,1,2,44,-0.2748
1967,8,1,3,37,1.2671
1967,8,1,4,43,-0.8236
1967,8,1,5,58,2.2563
1967,8,2,1,52,1.9475
1967,8,2,2,41,-0.4253
1967,8,2,3,42,0.5572
1967,8,2,4,32,-0.4077
1967,8,2,5,50,-1.6832
1967,8,3,1,58,-0.1104
1967,8,3,2,91,-0.6207
1967,8,3,3,97,-1.3659
1967,8,3,4,107,0.0896
1967,8,3,5,77,-0.7573
1967,9,1,1,80,7.0758
1967,9,1,2,44,5.6698
1967,9,1,3,37,5.8767
1967,9,1,4,43,5.5460
1967,9,1,5,58,4.9537
1967,9,2,1,52,4.1369
1967,9,2,2,41,2.2604
1967,9,2,3,42,3.7439
1967,9,2,4,32,4.8754
1967,9,2,5,50,4.9726
1967,9,3,1,58,3.8068
1967,9,3,2,91,3.4774
1967,9,3,3,97,4.0455
1967,9,3,4,107,4.3373
1967,9,3,5,77,1.4381
1967,10,1,1,80,-2.4122
1967,10,1,2,44,-0.8226
1967,10,1,3,37,-3.3421
1967,10,1,4,43,-4.4949
1967,10,1,5,58,-2.1489
1967,10,2,1,52,-5.2214
1967,10,2,2,41,-3.3492
1967,10,2,3,41,-6.0440
1967,10,2,4,32,1.2731
1967,10,2,5,50,-5.8890
1967,10,3,1,58,-5.5444
1967,10,3,2,90,-3.0887
1967,10,3,3,97,-0.4544
1967,10,3,4,107,-3.1686
1967,10,3,5,77,-1.8075
1967,11,1,1,80,-0.8051
1967,11,1,2,44,-0.4487
1967,11,1,3,37,3.1011
1967,11,1,4,43,2.1983
1967,11,1,5,58,-1.0852
1967,11,2,1,51,0.5856
1967,11,2,2,41,-0.0216
1967,11,2,3,41,1.0508
1967,11,2,4,32,1.4868
1967,11,2,5,50,-0.4246
1967,11,3,1,58,-1.2636
1967,11,3,2,91,0.6781
1967,11,3,3,97,0.7403
1967,11,3,4,107,-0.2175
1967,11,3,5,77,1.9096
1967,12,1,1,79,8.7611
1967,12,1,2,44,5.9670
1967,12,1,3,37,10.2701
1967,12,1,4,42,8.7805
1967,12,1,5,58,6.4503
1967,12,2,1,51,4.1750
1967,12,2,2,41,5.8121
1967,12,2,3,41,8.2069
1967,12,2,4,32,3.1336
1967,12,2,5,50,7.0410
1967,12,3,1,58,4.6835
1967,12,3,2,91,1.8938
1967,12,3,3,97,3.1263
1967,12,3,4,107,1.9969
1967,12,3,5,77,2.4827
1968,1,1,1,79,1.2233
1968,1,1,2,44,1.6494
1968,1,1,3,36,0.7226
1968,1,1,4,43,1.6948
1968,1,1,5,58,5.2597
1968,1,2,1,51,3.0690
1968,1,2,2,41,-0.8756
1968,1,2,3,41,-0.4812
1968,1,2,4,32,-1.0277
1968,1,2,5,50,-3.4003
1968,1,3,1,58,-3.8541
1968,1,3,2,91,-2.9810
1968,1,3,3,97,-4.5567
1968,1,3,4,107,-6.2865
1968,1,3,5,77,-7.5485
1968,2,1,1,79,-5.5514
1968,2,1,2,44,-6.0200
1968,2,1,3,36,-4.6865
1968,2,1,4,43,-3.1195
1968,2,1,5,57,-5.5734
1968,2,2,1,50,-2.0071
1968,2,2,2,40,-4.6603
1968,2,2,3,41,-3.3145
1968,2,2,4,32,-4.7465
1968,2,2,5,50,-7.4455
1968,2,3,1,58,-3.9547
1968,2,3,2,91,-2.7042
1968,2,3,3,97,-3.1210
1968,2,3,4,107,-2.3283
1968,2,3,5,76,-5.5844
1968,3,1,1,79,1.5047
1968,3,1,2,44,-1.5052
1968,3,1,3,36,-0.3676
1968,3,1,4,43,-0.5971
1968,3,1,5,57,-1.6137
1968,3,2,1,50,-0.8236
1968,3,2,2,40,-1.4943
1968,3,2,3,41,0.2389
1968,3,2,4,32,-2.6149
1968,3,2,5,50,-1.8160
1968,3,3,1,58,-1.2991
1968,3,3,2,91,0.6307
1968,3,3,3,97,2.1563
1968,3,3,4,107,1.2026
1968,3,3,5,76,2.0427
1968,4,1,1,79,16.1663
1968,4,1,2,43,18.9787
1968,4,1,3,36,17.1544
1968,4,1,4,43,13.6745
1968,4,1,5,57,13.0242
1968,4,2,1,50,12.1524
1968,4,2,2,40,14.2491
1968,4,2,3,41,16.2480
1968,4,2,4,32,11.1998
1968,4,2,5,50,12.9276
1968,4,3,1,58,9.6888
1968,4,3,2,91,8.2041
1968,4,3,3,97,8.6124
1968,4,3,4,107,10.0073
1968,4,3,5,76,12.6526
1968,5,1,1,79,8.9302
1968,5,1,2,43,8.8129
1968,5,1,3,36,9.1769
1968,5,1,4,43,10.7762
1968,5,1,5,57,10.3108
1968,5,2,1,50,5.5437
1968,5,2,2,40,6.6577
1968,5,2,3,41,6.5665
1968,5,2,4,32,7.3028
1968,5,2,5,50,8.0365
1968,5,3,1,58,2.6740
1968,5,3,2,91,1.1470
1968,5,3,3,97,2.2902
1968,5,3,4,106,0.9791
1968,5,3,5,76,2.4496
1968,6,1,1,79,0.7713
1968,6,1,2,43,-0.5023
1968,6,1,3,36,1.1458
1968,6,1,4,43,2.1445
1968,6,1,5,57,1.3300
1968,6,2,1,50,0.8478
1968,6,2,2,40,0.2680
1968,6,2,3,41,1.5612
1968,6,2,4,31,-0.2001
1968,6,2,5,50,0.0629
1968,6,3,1,58,-0.4807
1968,6,3,2,91,0.5286
1968,6,3,3,97,0.6919
1968,6,3,4,106,0.2707
1968,6,3,5,76,-0.0538
1968,7,1,1,129,-2.4874
1968,7,1,2,45,-1.6936
1968,7,1,3,55,-2.7838
1968,7,1,4,49,-5.6676
1968,7,1,5,113,-3.8756
1968,7,2,1,51,-2.3856
1968,7,2,2,50,-4.7308
1968,7,2,3,45,-4.4316
1968,7,2,4,43,-2.7603
