year,month,rank_ME,rank_IVC,nstocks,ret_vw
1967,1,1,1,105,19.8584
1967,1,1,2,31,13.8973
1967,1,1,3,43,17.7324
1967,1,1,4,71,19.0328
1967,1,1,5,99,19.5599
1967,1,2,1,52,15.2331
1967,1,2,2,33,13.8860
1967,1,2,3,30,15.7701
1967,1,2,4,42,16.3759
1967,1,2,5,51,21.1648
1967,1,3,1,55,7.4773
1967,1,3,2,102,6.7709
1967,1,3,3,108,9.5672
1967,1,3,4,84,10.1603
1967,1,3,5,66,8.1057
1967,2,1,1,105,5.5494
1967,2,1,2,31,3.4639
1967,2,1,3,43,3.7162
1967,2,1,4,71,2.4478
1967,2,1,5,98,6.9543
1967,2,2,1,52,1.4949
1967,2,2,2,33,2.8666
1967,2,2,3,30,1.7719
1967,2,2,4,42,3.9484
1967,2,2,5,51,1.1457
1967,2,3,1,55,0.2989
1967,2,3,2,102,0.9051
1967,2,3,3,108,1.2272
1967,2,3,4,84,3.5512
1967,2,3,5,66,0.4122
1967,3,1,1,105,6.7308
1967,3,1,2,31,6.2072
1967,3,1,3,43,3.6477
1967,3,1,4,71,6.0550
1967,3,1,5,99,8.4224
1967,3,2,1,52,4.5222
1967,3,2,2,33,3.9704
1967,3,2,3,30,9.0750
1967,3,2,4,42,8.4580
1967,3,2,5,51,8.6868
1967,3,3,1,55,3.8910
1967,3,3,2,102,4.2133
1967,3,3,3,108,5.1328
1967,3,3,4,84,3.8650
1967,3,3,5,66,6.7192
1967,4,1,1,105,5.4026
1967,4,1,2,31,0.9354
1967,4,1,3,43,5.3497
1967,4,1,4,71,4.4730
1967,4,1,5,99,5.9390
1967,4,2,1,52,4.7203
1967,4,2,2,33,4.0984
1967,4,2,3,30,0.9005
1967,4,2,4,42,6.4793
1967,4,2,5,51,4.7009
1967,4,3,1,55,0.9297
1967,4,3,2,102,3.8913
1967,4,3,3,108,5.9647
1967,4,3,4,84,6.7124
1967,4,3,5,66,7.7308
1967,5,1,1,105,2.2007
1967,5,1,2,31,-1.3127
1967,5,1,3,43,1.8251
1967,5,1,4,71,-0.8544
1967,5,1,5,99,1.0746
1967,5,2,1,52,-2.4345
1967,5,2,2,33,-2.5014
1967,5,2,3,30,-2.0055
1967,5,2,4,42,0.4594
1967,5,2,5,51,-3.4023
1967,5,3,1,55,-3.7837
1967,5,3,2,102,-3.8912
1967,5,3,3,108,-5.4391
1967,5,3,4,84,-4.4034
1967,5,3,5,66,-5.7148
1967,6,1,1,105,13.1965
1967,6,1,2,31,8.2455
1967,6,1,3,43,8.6218
1967,6,1,4,71,9.2785
1967,6,1,5,99,16.8516
1967,6,2,1,52,5.1755
1967,6,2,2,33,7.3044
1967,6,2,3,30,4.1951
1967,6,2,4,42,8.5555
1967,6,2,5,51,9.0097
1967,6,3,1,55,3.4498
1967,6,3,2,102,1.7028
1967,6,3,3,108,0.3776
1967,6,3,4,84,4.4556
1967,6,3,5,65,4.8961
1967,7,1,1,121,11.6709
1967,7,1,2,57,10.2066
1967,7,1,3,55,12.0583
1967,7,1,4,77,8.5148
1967,7,1,5,89,8.2428
1967,7,2,1,52,8.6982
1967,7,2,2,44,9.8842
1967,7,2,3,38,8.7890
1967,7,2,4,40,6.9591
1967,7,2,5,67,7.7664
1967,7,3,1,70,0.6200
1967,7,3,2,91,6.1831
1967,7,3,3,103,3.6151
1967,7,3,4,88,7.5962
1967,7,3,5,84,5.8510
1967,8,1,1,121,2.5689
1967,8,1,2,57,2.2321
1967,8,1,3,55,0.8688
1967,8,1,4,77,-0.6462
1967,8,1,5,89,-1.6492
1967,8,2,1,52,0.1680
1967,8,2,2,44,2.2948
1967,8,2,3,38,-0.4510
1967,8,2,4,40,0.7867
1967,8,2,5,67,-2.9139
1967,8,3,1,70,-2.3064
1967,8,3,2,91,-0.8505
1967,8,3,3,103,-0.0684
1967,8,3,4,87,0.2345
1967,8,3,5,84,-0.1103
1967,9,1,1,121,7.1469
1967,9,1,2,57,7.2086
1967,9,1,3,55,8.8443
1967,9,1,4,77,9.1706
1967,9,1,5,89,6.2075
1967,9,2,1,52,3.4199
1967,9,2,2,44,4.3195
1967,9,2,3,38,6.8565
1967,9,2,4,40,1.6532
1967,9,2,5,67,4.8460
1967,9,3,1,70,1.3824
1967,9,3,2,91,4.9417
1967,9,3,3,103,3.3174
1967,9,3,4,87,4.2490
1967,9,3,5,84,3.3864
1967,10,1,1,121,-2.0043
1967,10,1,2,57,-1.3928
1967,10,1,3,55,-2.4520
1967,10,1,4,77,-2.5198
1967,10,1,5,89,-1.9719
1967,10,2,1,52,-2.9272
1967,10,2,2,44,-6.6583
1967,10,2,3,37,-1.5404
1967,10,2,4,40,-2.0661
1967,10,2,5,67,-3.8624
1967,10,3,1,70,-3.8401
1967,10,3,2,91,-1.0522
1967,10,3,3,103,-3.2417
1967,10,3,4,86,-3.9145
1967,10,3,5,84,0.0787
1967,11,1,1,121,0.6045
1967,11,1,2,57,1.8879
1967,11,1,3,55,0.0700
1967,11,1,4,77,0.3881
1967,11,1,5,89,-0.3762
1967,11,2,1,52,-0.0957
1967,11,2,2,44,-0.3923
1967,11,2,3,36,-0.4990
1967,11,2,4,40,2.0362
1967,11,2,5,67,2.1338
1967,11,3,1,70,0.7705
1967,11,3,2,91,0.1616
1967,11,3,3,103,0.5317
1967,11,3,4,87,1.1458
1967,11,3,5,84,0.2100
1967,12,1,1,121,10.3328
