year,month,rank_ME,rank_IVG,nstocks,ret_vw
1967,1,1,1,104,19.8578
1967,1,1,2,41,14.6617
1967,1,1,3,55,19.7603
1967,1,1,4,55,15.7511
1967,1,1,5,94,20.7319
1967,1,2,1,56,15.2615
1967,1,2,2,27,13.1362
1967,1,2,3,38,16.2084
1967,1,2,4,34,16.5449
1967,1,2,5,51,20.3921
1967,1,3,1,51,9.3446
1967,1,3,2,103,6.6299
1967,1,3,3,91,8.4959
1967,1,3,4,96,8.4817
1967,1,3,5,74,8.9024
1967,2,1,1,104,5.4726
1967,2,1,2,41,5.1183
1967,2,1,3,55,2.5213
1967,2,1,4,55,5.5373
1967,2,1,5,93,4.9583
1967,2,2,1,56,1.6148
1967,2,2,2,27,1.3711
1967,2,2,3,38,3.7945
1967,2,2,4,34,1.9544
1967,2,2,5,51,1.9342
1967,2,3,1,51,-0.0169
1967,2,3,2,103,-0.9146
1967,2,3,3,91,0.6963
1967,2,3,4,96,3.3326
1967,2,3,5,74,2.2403
1967,3,1,1,104,6.6867
1967,3,1,2,41,5.8152
1967,3,1,3,55,3.2198
1967,3,1,4,55,8.3966
1967,3,1,5,94,7.9259
1967,3,2,1,56,4.4896
1967,3,2,2,27,5.5690
1967,3,2,3,38,9.9116
1967,3,2,4,34,7.6190
1967,3,2,5,51,7.8143
1967,3,3,1,51,4.2059
1967,3,3,2,103,4.5316
1967,3,3,3,91,4.3943
1967,3,3,4,96,5.3839
1967,3,3,5,74,4.1726
1967,4,1,1,104,5.3177
1967,4,1,2,41,4.0942
1967,4,1,3,55,3.7024
1967,4,1,4,55,1.9925
1967,4,1,5,94,7.3443
1967,4,2,1,56,4.4356
1967,4,2,2,27,3.2198
1967,4,2,3,38,3.6400
1967,4,2,4,34,5.5272
1967,4,2,5,51,4.8363
1967,4,3,1,51,2.6672
1967,4,3,2,103,2.4394
1967,4,3,3,91,4.6692
1967,4,3,4,96,5.8678
1967,4,3,5,74,7.0150
1967,5,1,1,104,2.3164
1967,5,1,2,41,-0.0701
1967,5,1,3,55,1.3601
1967,5,1,4,55,0.8753
1967,5,1,5,94,-0.5215
1967,5,2,1,56,-2.5659
1967,5,2,2,27,-2.0746
1967,5,2,3,38,1.0671
1967,5,2,4,34,-4.1774
1967,5,2,5,51,-2.2604
1967,5,3,1,51,-1.9481
1967,5,3,2,103,-3.3099
1967,5,3,3,91,-5.6690
1967,5,3,4,96,-4.4605
1967,5,3,5,74,-5.7152
1967,6,1,1,104,13.2586
1967,6,1,2,41,8.3087
