year,month,rank_ME,rank_NDF,nstocks,ret_vw
1972,7,1,1,145,-5.1389
1972,7,1,2,111,-2.5743
1972,7,1,3,97,-4.4614
1972,7,1,4,57,-3.1292
1972,7,1,5,125,-4.1952
1972,7,2,1,57,-4.0642
1972,7,2,2,54,-5.8301
1972,7,2,3,49,-1.6146
1972,7,2,4,52,-2.2504
1972,7,2,5,60,-3.1747
1972,7,3,1,76,-0.1059
1972,7,3,2,85,-0.6329
1972,7,3,3,99,0.1749
1972,7,3,4,95,1.5523
1972,7,3,5,79,-2.0842
1972,8,1,1,145,0.7911
1972,8,1,2,110,-1.3285
1972,8,1,3,97,1.0192
1972,8,1,4,57,-1.5270
1972,8,1,5,124,0.8139
1972,8,2,1,57,1.9260
1972,8,2,2,54,0.1502
1972,8,2,3,49,1.9989
1972,8,2,4,52,4.0943
1972,8,2,5,60,1.4819
1972,8,3,1,76,2.2432
1972,8,3,2,85,3.0273
1972,8,3,3,99,2.2481
1972,8,3,4,95,4.9091
1972,8,3,5,79,4.8443
1972,9,1,1,145,-3.8627
1972,9,1,2,111,-3.4508
1972,9,1,3,97,-4.7230
1972,9,1,4,57,-4.2151
1972,9,1,5,124,-4.7897
1972,9,2,1,57,-4.0635
1972,9,2,2,54,-0.6118
1972,9,2,3,49,-3.2674
1972,9,2,4,52,-3.2908
1972,9,2,5,60,-1.9575
1972,9,3,1,76,-3.5234
1972,9,3,2,85,-1.5694
1972,9,3,3,99,0.6255
1972,9,3,4,95,-0.5312
1972,9,3,5,79,-0.0855
1972,10,1,1,145,-1.8064
1972,10,1,2,111,-1.3620
1972,10,1,3,97,-0.3702
1972,10,1,4,57,-2.1681
1972,10,1,5,123,-4.9963
1972,10,2,1,57,-1.4303
1972,10,2,2,54,-1.1236
1972,10,2,3,49,-0.8768
1972,10,2,4,52,-0.1030
1972,10,2,5,60,-0.7989
1972,10,3,1,76,0.8086
1972,10,3,2,85,1.1240
1972,10,3,3,99,1.7050
1972,10,3,4,95,-0.3069
1972,10,3,5,79,1.8884
1972,11,1,1,145,5.2038
1972,11,1,2,111,3.9305
1972,11,1,3,97,4.8483
1972,11,1,4,57,6.4738
1972,11,1,5,124,5.5335
1972,11,2,1,57,7.6361
1972,11,2,2,54,6.8426
1972,11,2,3,49,4.3067
1972,11,2,4,52,7.7785
1972,11,2,5,60,5.7964
1972,11,3,1,76,5.6731
1972,11,3,2,85,3.0238
1972,11,3,3,99,4.6519
1972,11,3,4,95,4.5971
1972,11,3,5,78,6.2328
1972,12,1,1,145,-2.2190
1972,12,1,2,111,-0.9081
1972,12,1,3,97,-0.9451
1972,12,1,4,57,-2.1839
1972,12,1,5,124,-2.8765
1972,12,2,1,57,-1.7058
1972,12,2,2,54,-0.2241
1972,12,2,3,49,0.9520
1972,12,2,4,52,-1.1264
1972,12,2,5,60,-0.6919
