year,month,rank_ME,rank_NOA,nstocks,ret_vw
1967,1,1,1,43,18.4354
1967,1,1,2,24,20.6004
1967,1,1,3,30,16.3361
1967,1,1,4,21,24.1799
1967,1,1,5,37,15.8877
1967,1,2,1,17,15.0499
1967,1,2,2,20,16.2117
1967,1,2,3,21,20.1317
1967,1,2,4,19,16.2825
1967,1,2,5,24,20.6633
1967,1,3,1,54,9.1797
1967,1,3,2,51,6.3120
1967,1,3,3,50,8.5771
1967,1,3,4,55,9.1637
1967,1,3,5,45,7.7759
1967,2,1,1,43,5.4272
1967,2,1,2,24,7.4374
1967,2,1,3,30,1.5259
1967,2,1,4,21,-0.3346
1967,2,1,5,36,7.4863
1967,2,2,1,17,3.3217
1967,2,2,2,20,6.1056
1967,2,2,3,21,0.5811
1967,2,2,4,19,1.3271
1967,2,2,5,24,2.2499
1967,2,3,1,54,0.9418
1967,2,3,2,51,3.2320
1967,2,3,3,50,-0.5037
1967,2,3,4,55,0.4697
1967,2,3,5,45,1.9811
1967,3,1,1,43,13.0135
1967,3,1,2,24,8.4795
1967,3,1,3,30,4.5199
1967,3,1,4,21,8.3268
1967,3,1,5,37,6.5620
1967,3,2,1,17,7.8045
1967,3,2,2,20,7.8306
1967,3,2,3,21,8.2956
1967,3,2,4,19,10.2279
1967,3,2,5,24,4.6487
1967,3,3,1,54,4.2177
1967,3,3,2,51,4.7308
1967,3,3,3,50,4.1801
1967,3,3,4,55,2.6311
1967,3,3,5,45,5.3658
1967,4,1,1,43,1.9751
1967,4,1,2,24,7.8062
1967,4,1,3,30,5.7833
1967,4,1,4,21,11.2136
1967,4,1,5,37,4.7884
1967,4,2,1,17,7.0369
1967,4,2,2,20,3.6199
1967,4,2,3,21,3.5218
1967,4,2,4,19,3.8990
1967,4,2,5,24,5.0659
1967,4,3,1,54,7.4910
1967,4,3,2,51,5.3057
1967,4,3,3,50,3.9669
1967,4,3,4,55,4.1150
1967,4,3,5,45,1.2035
1967,5,1,1,43,0.5080
1967,5,1,2,24,1.1655
1967,5,1,3,30,1.6761
1967,5,1,4,21,-2.5578
1967,5,1,5,37,-1.4277
1967,5,2,1,17,2.9880
1967,5,2,2,20,-3.0817
1967,5,2,3,21,0.2941
1967,5,2,4,19,-4.1121
1967,5,2,5,24,-3.1202
1967,5,3,1,54,-6.1614
1967,5,3,2,51,-3.6246
1967,5,3,3,50,-4.3005
1967,5,3,4,55,-4.6761
