year,month,rank_ME,rank_NXF,nstocks,ret_vw
1972,7,1,1,87,-2.9530
1972,7,1,2,94,-3.4154
1972,7,1,3,129,-3.4660
1972,7,1,4,106,-3.8172
1972,7,1,5,124,-4.8382
1972,7,2,1,48,-2.8016
1972,7,2,2,56,-2.5758
1972,7,2,3,49,-2.8810
1972,7,2,4,55,-3.1627
1972,7,2,5,66,-4.3734
1972,7,3,1,88,2.7119
1972,7,3,2,89,0.6197
1972,7,3,3,85,0.0353
1972,7,3,4,88,-1.2449
1972,7,3,5,78,-2.0774
1972,8,1,1,87,1.6446
1972,8,1,2,94,-0.5094
1972,8,1,3,128,-0.4031
1972,8,1,4,106,1.1055
1972,8,1,5,123,0.3339
1972,8,2,1,48,3.5965
1972,8,2,2,56,1.3575
1972,8,2,3,49,0.2069
1972,8,2,4,55,3.3434
1972,8,2,5,66,1.4454
1972,8,3,1,88,-0.4609
1972,8,3,2,89,4.7212
1972,8,3,3,85,6.1810
1972,8,3,4,88,4.4624
1972,8,3,5,78,3.7174
1972,9,1,1,87,-3.3081
1972,9,1,2,94,-4.1255
1972,9,1,3,129,-5.3102
1972,9,1,4,106,-4.9372
1972,9,1,5,123,-3.8602
1972,9,2,1,48,-3.7769
1972,9,2,2,56,-1.6529
1972,9,2,3,49,-2.8675
1972,9,2,4,55,-3.2362
1972,9,2,5,66,-2.7428
1972,9,3,1,88,1.0365
1972,9,3,2,89,-1.4263
1972,9,3,3,85,-0.8078
1972,9,3,4,88,-1.8984
1972,9,3,5,78,1.3789
1972,10,1,1,87,-0.6728
1972,10,1,2,94,-2.7704
1972,10,1,3,129,-2.0461
1972,10,1,4,106,-1.5126
1972,10,1,5,122,-4.6801
1972,10,2,1,48,-1.3737
1972,10,2,2,56,-1.4587
1972,10,2,3,49,-0.5347
1972,10,2,4,55,-0.9112
1972,10,2,5,66,-0.9593
1972,10,3,1,88,2.2187
1972,10,3,2,89,-1.2459
1972,10,3,3,85,1.5093
1972,10,3,4,88,0.1962
1972,10,3,5,78,1.3822
1972,11,1,1,87,4.1486
1972,11,1,2,94,5.9349
1972,11,1,3,129,3.3595
1972,11,1,4,106,6.6146
1972,11,1,5,123,5.4471
1972,11,2,1,48,4.5506
1972,11,2,2,56,7.3365
1972,11,2,3,49,7.4906
1972,11,2,4,55,6.1884
1972,11,2,5,66,6.7440
1972,11,3,1,88,1.8038
1972,11,3,2,89,4.5655
1972,11,3,3,85,6.2819
1972,11,3,4,88,4.9630
1972,11,3,5,77,6.3325
1972,12,1,1,87,-1.8602
1972,12,1,2,94,-1.3904
1972,12,1,3,129,-0.2589
