year,month,rank_ME,rank_OA,nstocks,ret_vw
1967,1,1,1,64,19.8158
1967,1,1,2,43,18.5328
1967,1,1,3,33,18.3801
1967,1,1,4,63,17.3343
1967,1,1,5,98,20.3348
1967,1,2,1,29,12.0749
1967,1,2,2,30,16.3212
1967,1,2,3,45,16.0847
1967,1,2,4,35,19.1219
1967,1,2,5,42,19.6109
1967,1,3,1,78,8.3474
1967,1,3,2,88,7.7096
1967,1,3,3,81,9.1024
1967,1,3,4,72,7.6601
1967,1,3,5,65,8.9215
1967,2,1,1,64,4.0243
1967,2,1,2,43,6.7300
1967,2,1,3,33,6.2034
1967,2,1,4,63,4.1326
1967,2,1,5,98,4.2098
1967,2,2,1,29,3.5261
1967,2,2,2,30,1.7470
1967,2,2,3,45,3.5847
1967,2,2,4,35,1.0794
1967,2,2,5,42,2.1282
1967,2,3,1,78,2.0748
1967,2,3,2,88,-0.0771
1967,2,3,3,81,2.0623
1967,2,3,4,72,1.8921
1967,2,3,5,65,1.5405
1967,3,1,1,64,4.6879
1967,3,1,2,43,5.4612
1967,3,1,3,33,4.6692
1967,3,1,4,63,8.3369
1967,3,1,5,98,8.1421
1967,3,2,1,29,6.4515
1967,3,2,2,30,4.1619
1967,3,2,3,45,5.2315
1967,3,2,4,35,9.2267
1967,3,2,5,42,9.2421
1967,3,3,1,78,4.6780
1967,3,3,2,88,3.8286
1967,3,3,3,81,5.0654
1967,3,3,4,72,7.4598
1967,3,3,5,65,4.6587
1967,4,1,1,64,3.5612
1967,4,1,2,43,5.2899
1967,4,1,3,33,6.6181
1967,4,1,4,63,5.7261
1967,4,1,5,98,4.9228
1967,4,2,1,29,3.4158
1967,4,2,2,30,2.7825
1967,4,2,3,45,2.7220
1967,4,2,4,35,6.6907
1967,4,2,5,42,5.9420
1967,4,3,1,78,5.5633
1967,4,3,2,88,3.6272
1967,4,3,3,81,2.1409
1967,4,3,4,72,4.2570
1967,4,3,5,65,9.1178
1967,5,1,1,64,2.3972
1967,5,1,2,43,0.9274
1967,5,1,3,33,0.5581
1967,5,1,4,63,0.5946
1967,5,1,5,98,0.1202
1967,5,2,1,29,-1.5296
1967,5,2,2,30,-1.2451
1967,5,2,3,45,-0.6323
1967,5,2,4,35,-3.5168
1967,5,2,5,42,-1.8750
1967,5,3,1,78,-4.0745
1967,5,3,2,88,-5.1644
1967,5,3,3,81,-3.7613
1967,5,3,4,72,-4.1259
1967,5,3,5,65,-5.2835
1967,6,1,1,64,14.0484
1967,6,1,2,43,9.9235
1967,6,1,3,33,10.1815
1967,6,1,4,63,8.8293
1967,6,1,5,98,16.8522
1967,6,2,1,29,7.6817
1967,6,2,2,30,3.0947
1967,6,2,3,45,8.0939
1967,6,2,4,35,7.5077
1967,6,2,5,42,8.4442
1967,6,3,1,77,3.6268
1967,6,3,2,88,0.4508
1967,6,3,3,81,1.4716
1967,6,3,4,72,5.1937
1967,6,3,5,65,2.8108
1967,7,1,1,90,13.5252
1967,7,1,2,40,7.7992
1967,7,1,3,55,10.6605
1967,7,1,4,59,9.9169
1967,7,1,5,98,8.3350
1967,7,2,1,44,7.2893
1967,7,2,2,39,7.7676
1967,7,2,3,40,9.4892
1967,7,2,4,41,8.6065
1967,7,2,5,43,9.3164
1967,7,3,1,74,1.7857
1967,7,3,2,92,6.0938
1967,7,3,3,80,9.3624
1967,7,3,4,84,4.5855
1967,7,3,5,80,4.3895
1967,8,1,1,90,1.6524
1967,8,1,2,40,4.3298
1967,8,1,3,55,2.6018
1967,8,1,4,59,-1.8540
1967,8,1,5,98,-0.6099
1967,8,2,1,44,-0.4166
1967,8,2,2,39,0.0766
1967,8,2,3,40,2.6338
1967,8,2,4,41,-0.5286
1967,8,2,5,43,-2.5342
1967,8,3,1,74,-1.6849
1967,8,3,2,92,-0.7878
1967,8,3,3,80,-0.1407
1967,8,3,4,83,0.4322
1967,8,3,5,80,-0.0797
1967,9,1,1,90,5.1932
1967,9,1,2,40,9.2742
1967,9,1,3,55,7.0083
1967,9,1,4,59,7.1163
1967,9,1,5,98,9.2373
1967,9,2,1,44,2.9223
1967,9,2,2,39,5.6668
1967,9,2,3,40,4.7745
1967,9,2,4,41,4.9319
1967,9,2,5,43,3.2172
1967,9,3,1,74,3.9607
1967,9,3,2,92,2.9649
1967,9,3,3,80,4.4026
1967,9,3,4,83,2.8194
1967,9,3,5,80,4.5605
1967,10,1,1,90,-1.6805
1967,10,1,2,40,-3.2272
1967,10,1,3,55,-2.9202
1967,10,1,4,59,-2.2210
1967,10,1,5,98,0.2991
1967,10,2,1,44,-0.7213
1967,10,2,2,39,-2.2217
1967,10,2,3,40,-3.7856
1967,10,2,4,41,-5.1793
1967,10,2,5,43,-3.4523
1967,10,3,1,73,0.2085
1967,10,3,2,92,-3.5161
1967,10,3,3,80,-3.1671
1967,10,3,4,83,-3.7947
1967,10,3,5,80,-2.1527
1967,11,1,1,90,1.4707
1967,11,1,2,40,-0.5565
1967,11,1,3,55,1.5793
1967,11,1,4,59,0.5273
1967,11,1,5,98,-0.2300
1967,11,2,1,44,1.3223
1967,11,2,2,39,0.3745
1967,11,2,3,40,0.1191
1967,11,2,4,41,0.8490
1967,11,2,5,43,0.9976
1967,11,3,1,74,0.9973
1967,11,3,2,92,0.5604
1967,11,3,3,80,-0.2116
1967,11,3,4,83,0.9716
1967,11,3,5,80,0.5328
1967,12,1,1,89,9.0873
1967,12,1,2,40,9.0528
1967,12,1,3,54,9.7427
1967,12,1,4,59,8.1963
1967,12,1,5,98,8.1160
1967,12,2,1,44,10.1639
1967,12,2,2,39,6.2811
1967,12,2,3,40,4.8070
1967,12,2,4,41,4.7326
1967,12,2,5,43,7.7440
1967,12,3,1,74,2.7334
1967,12,3,2,92,2.8785
1967,12,3,3,80,2.7449
1967,12,3,4,83,2.8150
1967,12,3,5,80,0.2582
1968,1,1,1,90,4.6554
1968,1,1,2,40,2.3932
1968,1,1,3,53,2.4501
1968,1,1,4,59,2.1028
1968,1,1,5,98,1.7846
1968,1,2,1,44,-0.1658
1968,1,2,2,39,-1.4362
1968,1,2,3,40,1.8141
1968,1,2,4,41,0.6336
1968,1,2,5,43,-3.2478
1968,1,3,1,74,-3.8216
1968,1,3,2,92,-3.1655
1968,1,3,3,80,-6.4284
1968,1,3,4,83,-7.6354
1968,1,3,5,80,-8.0444
1968,2,1,1,89,-4.9953
1968,2,1,2,40,-6.2612
1968,2,1,3,53,-3.5295
1968,2,1,4,59,-6.2015
1968,2,1,5,98,-8.7867
1968,2,2,1,43,-4.4875
1968,2,2,2,39,-3.2388
1968,2,2,3,40,-1.9892
1968,2,2,4,41,-5.0391
1968,2,2,5,43,-7.4302
1968,2,3,1,74,-2.7902
1968,2,3,2,92,-1.8665
1968,2,3,3,79,-4.0966
1968,2,3,4,83,-5.7381
1968,2,3,5,80,-4.2091
1968,3,1,1,90,-1.3127
1968,3,1,2,40,-0.1785
1968,3,1,3,53,-0.1922
1968,3,1,4,59,-0.2839
1968,3,1,5,98,-1.3092
1968,3,2,1,43,-2.0475
1968,3,2,2,39,-0.4151
1968,3,2,3,40,-0.7917
1968,3,2,4,41,-2.4846
1968,3,2,5,43,-2.2922
1968,3,3,1,74,0.9391
1968,3,3,2,92,1.2804
1968,3,3,3,79,2.3640
1968,3,3,4,83,0.7487
1968,3,3,5,80,0.8478
1968,4,1,1,90,18.7213
1968,4,1,2,40,15.0852
1968,4,1,3,53,16.6391
1968,4,1,4,59,13.6529
1968,4,1,5,98,20.6226
1968,4,2,1,43,14.2255
1968,4,2,2,39,13.6767
1968,4,2,3,40,11.8024
1968,4,2,4,41,11.5523
1968,4,2,5,43,17.1139
1968,4,3,1,74,6.3555
1968,4,3,2,92,8.6446
1968,4,3,3,79,11.5407
1968,4,3,4,83,12.8987
1968,4,3,5,80,13.5088
1968,5,1,1,90,13.8299
1968,5,1,2,40,9.0289
1968,5,1,3,53,7.9075
1968,5,1,4,59,11.2525
1968,5,1,5,98,11.1568
1968,5,2,1,43,9.3101
1968,5,2,2,39,6.6040
1968,5,2,3,40,6.2622
1968,5,2,4,41,7.7668
1968,5,2,5,43,6.7645
1968,5,3,1,74,2.6840
1968,5,3,2,92,1.0204
1968,5,3,3,79,1.0049
1968,5,3,4,83,3.0532
1968,5,3,5,80,1.3269
1968,6,1,1,90,-0.5051
1968,6,1,2,40,-2.0404
1968,6,1,3,53,3.7130
1968,6,1,4,59,3.0527
1968,6,1,5,98,-0.9387
1968,6,2,1,43,-1.2785
1968,6,2,2,39,1.5522
1968,6,2,3,40,2.1196
1968,6,2,4,40,-0.3017
1968,6,2,5,43,-1.3841
1968,6,3,1,74,0.6679
1968,6,3,2,92,0.4516
1968,6,3,3,79,1.3336
1968,6,3,4,83,0.3934
1968,6,3,5,80,-1.5860
1968,7,1,1,138,-1.0044
1968,7,1,2,70,-3.6828
1968,7,1,3,80,-3.6056
1968,7,1,4,85,-3.3740
1968,7,1,5,95,-6.1176
1968,7,2,1,46,-1.0462
1968,7,2,2,37,-2.7649
1968,7,2,3,48,-1.4177
1968,7,2,4,48,-2.1495
1968,7,2,5,58,-9.0916
1968,7,3,1,79,-2.0155
1968,7,3,2,96,0.9411
1968,7,3,3,83,-2.2289
1968,7,3,4,76,-5.8721
1968,7,3,5,87,-6.7747
1968,8,1,1,138,5.3564
1968,8,1,2,70,4.7275
1968,8,1,3,80,4.6272
1968,8,1,4,85,4.6311
1968,8,1,5,95,3.6572
1968,8,2,1,46,3.9963
1968,8,2,2,37,7.4115
1968,8,2,3,48,4.0167
1968,8,2,4,48,5.5700
1968,8,2,5,58,2.7526
1968,8,3,1,79,0.7660
1968,8,3,2,95,2.5146
1968,8,3,3,83,1.8262
1968,8,3,4,76,0.5583
1968,8,3,5,87,1.8660
1968,9,1,1,138,8.1172
1968,9,1,2,70,9.2163
1968,9,1,3,80,7.5852
1968,9,1,4,85,4.4609
1968,9,1,5,95,6.7781
1968,9,2,1,46,9.0956
1968,9,2,2,37,6.7353
1968,9,2,3,48,5.2258
1968,9,2,4,48,7.1778
1968,9,2,5,58,8.3310
1968,9,3,1,79,3.6127
1968,9,3,2,95,4.5608
1968,9,3,3,83,4.5890
1968,9,3,4,76,4.6995
1968,9,3,5,87,3.7141
1968,10,1,1,138,1.4633
1968,10,1,2,70,-0.9629
1968,10,1,3,80,-0.1946
1968,10,1,4,85,0.4551
1968,10,1,5,95,-0.7698
1968,10,2,1,45,1.3160
1968,10,2,2,37,0.4781
1968,10,2,3,48,1.8514
1968,10,2,4,48,0.0167
1968,10,2,5,58,0.7328
1968,10,3,1,79,-0.8611
1968,10,3,2,95,2.8701
1968,10,3,3,83,2.2571
1968,10,3,4,76,-0.0676
1968,10,3,5,87,-1.0759
1968,11,1,1,138,8.6978
1968,11,1,2,70,6.2209
1968,11,1,3,80,5.4884
1968,11,1,4,85,8.1862
1968,11,1,5,95,6.6012
1968,11,2,1,46,8.7482
1968,11,2,2,37,5.4998
1968,11,2,3,48,8.0352
1968,11,2,4,48,10.6233
1968,11,2,5,58,7.7372
1968,11,3,1,79,6.4279
1968,11,3,2,95,4.0708
1968,11,3,3,83,6.2777
1968,11,3,4,76,4.1086
1968,11,3,5,87,6.6048
1968,12,1,1,138,2.8025
1968,12,1,2,70,3.4880
1968,12,1,3,80,3.8873
1968,12,1,4,85,-0.8724
1968,12,1,5,95,0.8855
1968,12,2,1,46,-0.5237
1968,12,2,2,37,-1.4870
1968,12,2,3,48,-0.3073
1968,12,2,4,48,-0.2980
1968,12,2,5,58,-2.0286
1968,12,3,1,79,-5.0443
1968,12,3,2,95,-3.5511
1968,12,3,3,83,-4.4636
1968,12,3,4,76,-2.2394
1968,12,3,5,87,-4.6959
1969,1,1,1,138,-1.9707
1969,1,1,2,70,-0.4515
1969,1,1,3,80,-2.3708
1969,1,1,4,85,-2.5255
1969,1,1,5,95,-0.0237
1969,1,2,1,46,-1.6694
1969,1,2,2,37,-0.6602
1969,1,2,3,48,-1.3271
1969,1,2,4,48,-1.7641
1969,1,2,5,58,-1.7349
1969,1,3,1,79,-1.3827
1969,1,3,2,95,-0.4219
1969,1,3,3,83,-1.7892
1969,1,3,4,76,-0.3941
1969,1,3,5,87,-2.7338
1969,2,1,1,137,-11.5505
1969,2,1,2,70,-9.7250
1969,2,1,3,80,-9.2417
1969,2,1,4,85,-9.0693
1969,2,1,5,95,-10.2920
1969,2,2,1,46,-8.2887
1969,2,2,2,37,-8.0559
1969,2,2,3,48,-7.5522
1969,2,2,4,48,-9.0508
1969,2,2,5,58,-9.4160
1969,2,3,1,79,-3.7275
1969,2,3,2,95,-4.5901
1969,2,3,3,83,-4.1125
1969,2,3,4,76,-4.6492
1969,2,3,5,87,-6.5967
1969,3,1,1,137,4.5452
1969,3,1,2,70,2.0181
1969,3,1,3,80,2.5578
1969,3,1,4,85,1.5346
1969,3,1,5,95,2.7032
1969,3,2,1,46,4.2859
1969,3,2,2,37,5.4327
1969,3,2,3,48,3.5773
1969,3,2,4,48,2.3704
1969,3,2,5,58,1.8845
1969,3,3,1,79,3.5195
1969,3,3,2,95,5.7488
1969,3,3,3,83,3.3566
1969,3,3,4,76,2.7796
1969,3,3,5,87,1.0889
1969,4,1,1,137,-0.0960
1969,4,1,2,70,-1.5016
1969,4,1,3,80,0.1246
1969,4,1,4,85,-1.1846
1969,4,1,5,95,0.5215
1969,4,2,1,46,0.6081
1969,4,2,2,37,3.4110
1969,4,2,3,47,2.9718
1969,4,2,4,48,1.8860
1969,4,2,5,58,0.5066
1969,4,3,1,79,3.7634
1969,4,3,2,95,1.4204
1969,4,3,3,83,0.4336
1969,4,3,4,76,3.4592
1969,4,3,5,87,3.3468
1969,5,1,1,136,2.8277
1969,5,1,2,70,0.7679
1969,5,1,3,80,-0.5377
1969,5,1,4,84,0.1014
1969,5,1,5,95,1.5380
1969,5,2,1,46,0.6227
1969,5,2,2,37,-0.3947
1969,5,2,3,47,3.3831
1969,5,2,4,48,0.0313
1969,5,2,5,58,-1.9478
1969,5,3,1,78,0.0291
1969,5,3,2,95,1.4864
1969,5,3,3,83,1.1913
1969,5,3,4,76,-0.3720
1969,5,3,5,86,-1.3177
1969,6,1,1,137,-13.9876
1969,6,1,2,70,-15.7909
1969,6,1,3,80,-11.3288
1969,6,1,4,84,-12.9484
1969,6,1,5,95,-13.5112
1969,6,2,1,46,-11.5755
1969,6,2,2,37,-10.8505
1969,6,2,3,48,-9.0146
1969,6,2,4,48,-9.7457
1969,6,2,5,58,-11.7905
1969,6,3,1,78,-2.9389
1969,6,3,2,94,-7.2388
1969,6,3,3,83,-7.7553
1969,6,3,4,76,-5.4927
1969,6,3,5,87,-5.1605
1969,7,1,1,121,-9.2629
1969,7,1,2,71,-10.9087
1969,7,1,3,77,-9.2465
1969,7,1,4,102,-12.0746
1969,7,1,5,148,-12.9832
1969,7,2,1,42,-10.3298
1969,7,2,2,36,-8.2771
1969,7,2,3,51,-8.3173
1969,7,2,4,57,-9.1941
1969,7,2,5,77,-11.1094
1969,7,3,1,99,-6.5366
1969,7,3,2,102,-6.0750
1969,7,3,3,92,-4.9310
1969,7,3,4,82,-6.2771
1969,7,3,5,69,-8.4019
1969,8,1,1,121,4.3456
1969,8,1,2,70,3.1430
1969,8,1,3,77,1.5506
1969,8,1,4,102,5.0882
1969,8,1,5,148,3.9522
1969,8,2,1,42,7.3012
1969,8,2,2,36,5.6386
1969,8,2,3,51,5.6912
1969,8,2,4,57,6.8226
1969,8,2,5,77,7.3482
1969,8,3,1,99,4.4310
1969,8,3,2,102,5.1628
1969,8,3,3,92,6.3633
1969,8,3,4,82,4.5086
1969,8,3,5,69,9.1174
1969,9,1,1,121,-1.7714
1969,9,1,2,71,-3.2879
1969,9,1,3,77,-3.7363
1969,9,1,4,102,-4.9622
1969,9,1,5,148,-3.5441
1969,9,2,1,42,1.6070
1969,9,2,2,36,-1.4691
1969,9,2,3,51,2.9720
1969,9,2,4,57,-2.1799
1969,9,2,5,77,-0.5984
1969,9,3,1,99,-2.7826
1969,9,3,2,102,-3.8967
1969,9,3,3,92,-0.3731
1969,9,3,4,82,-1.6014
1969,9,3,5,69,0.2887
1969,10,1,1,121,11.8398
1969,10,1,2,71,10.7883
1969,10,1,3,77,9.3952
1969,10,1,4,102,10.3537
1969,10,1,5,148,11.0870
1969,10,2,1,42,8.8066
1969,10,2,2,36,6.5840
1969,10,2,3,51,8.2156
1969,10,2,4,57,7.3162
1969,10,2,5,77,9.1835
1969,10,3,1,99,3.5208
1969,10,3,2,102,3.8453
1969,10,3,3,92,6.4642
1969,10,3,4,82,6.2455
1969,10,3,5,68,7.9831
1969,11,1,1,121,-7.8491
