year,month,rank_ME,rank_PDA,nstocks,ret_vw
1967,1,1,1,73,20.7226
1967,1,1,2,43,17.4218
1967,1,1,3,24,15.8206
1967,1,1,4,37,20.7879
1967,1,1,5,89,20.0336
1967,1,2,1,28,14.2197
1967,1,2,2,42,18.2961
1967,1,2,3,27,16.7503
1967,1,2,4,29,11.9983
1967,1,2,5,44,19.8321
1967,1,3,1,69,10.3593
1967,1,3,2,79,8.8742
1967,1,3,3,91,7.8769
1967,1,3,4,81,5.1274
1967,1,3,5,53,10.6330
1967,2,1,1,73,6.0295
1967,2,1,2,43,5.5054
1967,2,1,3,24,4.5182
1967,2,1,4,37,1.5108
1967,2,1,5,89,5.1207
1967,2,2,1,28,2.8789
1967,2,2,2,42,1.7164
1967,2,2,3,27,0.3771
1967,2,2,4,29,4.4816
1967,2,2,5,44,2.7255
1967,2,3,1,69,4.5041
1967,2,3,2,79,-0.0542
1967,2,3,3,91,1.1363
1967,2,3,4,81,-0.3253
1967,2,3,5,53,2.1921
1967,3,1,1,73,5.7970
1967,3,1,2,43,7.4091
1967,3,1,3,24,8.4414
1967,3,1,4,37,6.2474
1967,3,1,5,89,5.8332
1967,3,2,1,28,6.4803
1967,3,2,2,42,3.1539
1967,3,2,3,27,6.1486
1967,3,2,4,29,5.8721
1967,3,2,5,44,10.3668
1967,3,3,1,69,4.9175
1967,3,3,2,79,4.2786
1967,3,3,3,91,5.2000
1967,3,3,4,81,4.2517
1967,3,3,5,53,4.9936
1967,4,1,1,73,4.6120
1967,4,1,2,43,7.7900
1967,4,1,3,24,5.5582
1967,4,1,4,37,3.8718
1967,4,1,5,89,5.6380
1967,4,2,1,28,3.9937
1967,4,2,2,42,3.8521
1967,4,2,3,27,3.3437
1967,4,2,4,29,5.2023
1967,4,2,5,44,5.0311
1967,4,3,1,69,7.2392
1967,4,3,2,79,4.7861
1967,4,3,3,91,1.9194
1967,4,3,4,81,3.3171
1967,4,3,5,53,7.5954
1967,5,1,1,73,-0.5527
1967,5,1,2,43,1.1557
1967,5,1,3,24,4.3447
1967,5,1,4,37,2.2984
1967,5,1,5,89,-0.0901
1967,5,2,1,28,-0.3548
1967,5,2,2,42,-0.8485
1967,5,2,3,27,-1.9593
1967,5,2,4,29,-2.0232
1967,5,2,5,44,-2.9113
1967,5,3,1,69,-5.3893
1967,5,3,2,79,-5.5834
1967,5,3,3,91,-3.4428
1967,5,3,4,81,-3.4775
1967,5,3,5,53,-4.8844
1967,6,1,1,73,12.7592
1967,6,1,2,43,12.8302
1967,6,1,3,24,15.2797
1967,6,1,4,37,7.7632
1967,6,1,5,89,14.4530
1967,6,2,1,28,6.2420
1967,6,2,2,42,5.1588
1967,6,2,3,27,4.6158
1967,6,2,4,29,4.3241
1967,6,2,5,44,10.6583
1967,6,3,1,68,3.6994
1967,6,3,2,79,1.8927
1967,6,3,3,91,1.8047
1967,6,3,4,81,0.8570
1967,6,3,5,53,3.8561
1967,7,1,1,106,11.4099
1967,7,1,2,34,8.5006
1967,7,1,3,37,8.5989
1967,7,1,4,45,7.9375
1967,7,1,5,86,11.4500
1967,7,2,1,58,9.2501
1967,7,2,2,35,7.2665
1967,7,2,3,27,7.5422
1967,7,2,4,37,8.7948
1967,7,2,5,37,8.2617
1967,7,3,1,50,3.1469
1967,7,3,2,96,4.2624
1967,7,3,3,96,5.9796
1967,7,3,4,79,5.3021
1967,7,3,5,73,5.5950
1967,8,1,1,106,2.2801
1967,8,1,2,34,-1.0837
1967,8,1,3,37,-1.4220
1967,8,1,4,45,2.2618
1967,8,1,5,86,-0.4636
1967,8,2,1,58,0.4813
1967,8,2,2,35,-1.1527
1967,8,2,3,27,0.1179
1967,8,2,4,37,0.1225
1967,8,2,5,37,-1.1131
1967,8,3,1,50,-1.2367
1967,8,3,2,96,-0.8030
1967,8,3,3,96,-0.3060
1967,8,3,4,79,-0.6471
1967,8,3,5,72,-0.8394
1967,9,1,1,106,5.8730
1967,9,1,2,34,10.1978
1967,9,1,3,37,6.9992
1967,9,1,4,45,6.1835
1967,9,1,5,86,7.0947
1967,9,2,1,58,4.7967
1967,9,2,2,35,6.9364
1967,9,2,3,27,3.5970
