year,month,rank_ME,rank_POA,nstocks,ret_vw
1967,1,1,1,71,20.4660
1967,1,1,2,38,18.8393
1967,1,1,3,31,17.1334
1967,1,1,4,54,17.2066
1967,1,1,5,106,19.9627
1967,1,2,1,34,15.5724
1967,1,2,2,35,13.2026
1967,1,2,3,36,16.5573
1967,1,2,4,33,19.7456
1967,1,2,5,43,18.9571
1967,1,3,1,69,7.8999
1967,1,3,2,83,6.7504
1967,1,3,3,94,9.9451
1967,1,3,4,83,8.7270
1967,1,3,5,55,8.1223
1967,2,1,1,71,5.4820
1967,2,1,2,38,6.8084
1967,2,1,3,31,2.8963
1967,2,1,4,54,3.8770
1967,2,1,5,106,4.4147
1967,2,2,1,34,3.7939
1967,2,2,2,35,1.2166
1967,2,2,3,36,4.2930
1967,2,2,4,33,0.5315
1967,2,2,5,43,2.2777
1967,2,3,1,69,1.9615
1967,2,3,2,83,-0.0339
1967,2,3,3,94,1.0550
1967,2,3,4,83,2.0202
1967,2,3,5,55,1.2661
1967,3,1,1,71,5.0621
1967,3,1,2,38,4.9951
1967,3,1,3,31,4.4886
1967,3,1,4,54,8.8794
1967,3,1,5,106,7.7319
1967,3,2,1,34,6.8577
1967,3,2,2,35,3.0663
1967,3,2,3,36,6.0417
1967,3,2,4,33,8.3880
1967,3,2,5,43,9.8018
1967,3,3,1,69,4.5034
1967,3,3,2,83,3.7458
1967,3,3,3,94,4.5371
1967,3,3,4,83,7.4135
1967,3,3,5,55,4.3337
1967,4,1,1,71,2.9888
1967,4,1,2,38,6.5826
1967,4,1,3,31,7.1450
1967,4,1,4,54,5.6989
1967,4,1,5,106,4.8608
1967,4,2,1,34,4.0880
1967,4,2,2,35,1.9332
1967,4,2,3,36,3.5332
1967,4,2,4,33,5.3125
1967,4,2,5,43,6.3727
1967,4,3,1,69,3.6594
1967,4,3,2,83,2.8891
1967,4,3,3,94,5.4800
1967,4,3,4,83,6.1583
1967,4,3,5,55,8.0797
1967,5,1,1,71,2.8461
1967,5,1,2,38,-0.1556
1967,5,1,3,31,-1.0268
1967,5,1,4,54,1.5675
1967,5,1,5,106,-0.1990
1967,5,2,1,34,-0.2700
1967,5,2,2,35,-1.3206
1967,5,2,3,36,-2.3327
1967,5,2,4,33,-2.8684
1967,5,2,5,43,-1.7148
1967,5,3,1,69,-4.5857
1967,5,3,2,83,-3.7050
1967,5,3,3,94,-5.0653
1967,5,3,4,83,-4.7593
1967,5,3,5,55,-5.1678
1967,6,1,1,71,15.5638
1967,6,1,2,38,7.6756
1967,6,1,3,31,8.3628
1967,6,1,4,54,10.5233
1967,6,1,5,106,15.1307
1967,6,2,1,34,7.1892
1967,6,2,2,35,4.5754
1967,6,2,3,36,8.3474
1967,6,2,4,33,5.5717
1967,6,2,5,43,9.1762
1967,6,3,1,68,3.6023
1967,6,3,2,83,0.2574
1967,6,3,3,94,0.9851
1967,6,3,4,83,3.8989
1967,6,3,5,55,3.6703
1967,7,1,1,103,13.6859
1967,7,1,2,43,7.8562
1967,7,1,3,36,11.0347
1967,7,1,4,55,9.8381
1967,7,1,5,105,8.1421
1967,7,2,1,45,9.1061
1967,7,2,2,39,6.0206
1967,7,2,3,36,8.0990
1967,7,2,4,46,10.5140
1967,7,2,5,41,8.2565
1967,7,3,1,70,1.4401
1967,7,3,2,86,6.3390
1967,7,3,3,95,4.6629
1967,7,3,4,87,7.2490
1967,7,3,5,72,5.0285
1967,8,1,1,103,1.9968
1967,8,1,2,43,5.8155
1967,8,1,3,36,-0.1869
1967,8,1,4,55,-0.7192
1967,8,1,5,105,-1.0869
1967,8,2,1,45,-0.8784
1967,8,2,2,39,0.2200
1967,8,2,3,36,2.9702
1967,8,2,4,46,-0.3263
1967,8,2,5,41,-2.4345
1967,8,3,1,70,-1.3591
1967,8,3,2,86,-0.9753
1967,8,3,3,95,-0.7500
1967,8,3,4,87,0.3199
1967,8,3,5,71,-0.1077
1967,9,1,1,103,4.7847
1967,9,1,2,43,8.6015
1967,9,1,3,36,6.7305
1967,9,1,4,55,10.7610
1967,9,1,5,105,7.9966
1967,9,2,1,45,2.0662
1967,9,2,2,39,4.3620
1967,9,2,3,36,7.5146
1967,9,2,4,46,4.6696
1967,9,2,5,41,3.0586
1967,9,3,1,70,3.3641
1967,9,3,2,86,3.3962
1967,9,3,3,95,4.2796
1967,9,3,4,87,3.6506
1967,9,3,5,71,3.9894
1967,10,1,1,103,-1.9581
1967,10,1,2,43,-1.7631
1967,10,1,3,36,-3.2275
1967,10,1,4,55,-1.4944
1967,10,1,5,105,-0.5732
1967,10,2,1,45,-2.1746
1967,10,2,2,39,-2.3230
1967,10,2,3,36,-2.6226
1967,10,2,4,46,-3.9386
1967,10,2,5,41,-3.9898
1967,10,3,1,70,-0.9088
1967,10,3,2,85,-2.3953
1967,10,3,3,95,-2.1806
1967,10,3,4,87,-3.6447
1967,10,3,5,71,-2.3697
1967,11,1,1,103,1.2382
1967,11,1,2,43,-1.2817
1967,11,1,3,36,3.5932
1967,11,1,4,55,0.8649
1967,11,1,5,105,-0.4456
1967,11,2,1,45,-0.2912
1967,11,2,2,39,1.2425
1967,11,2,3,36,1.9218
1967,11,2,4,46,-0.2686
1967,11,2,5,41,1.4497
1967,11,3,1,70,1.0980
1967,11,3,2,86,-0.0289
1967,11,3,3,95,1.5467
1967,11,3,4,87,-0.9214
1967,11,3,5,71,2.9620
1967,12,1,1,102,10.7282
1967,12,1,2,42,6.9335
1967,12,1,3,36,7.6525
1967,12,1,4,55,8.7217
1967,12,1,5,105,8.1500
1967,12,2,1,45,9.1912
1967,12,2,2,39,6.3128
1967,12,2,3,36,5.5510
1967,12,2,4,46,5.8355
1967,12,2,5,41,7.2851
1967,12,3,1,70,2.6930
1967,12,3,2,86,2.8502
1967,12,3,3,95,4.3192
1967,12,3,4,87,0.7043
1967,12,3,5,71,0.3902
1968,1,1,1,103,4.8456
1968,1,1,2,42,3.2253
1968,1,1,3,35,1.6749
1968,1,1,4,55,5.3655
1968,1,1,5,105,-0.2690
1968,1,2,1,45,0.8049
1968,1,2,2,39,0.4733
1968,1,2,3,36,-1.9883
1968,1,2,4,46,-0.5937
1968,1,2,5,41,-1.3829
1968,1,3,1,70,-2.1117
1968,1,3,2,86,-4.0526
1968,1,3,3,95,-6.7754
1968,1,3,4,87,-7.2854
1968,1,3,5,71,-8.5386
1968,2,1,1,102,-5.1999
1968,2,1,2,42,-6.8886
1968,2,1,3,35,-1.5239
1968,2,1,4,55,-6.9877
1968,2,1,5,105,-8.2712
1968,2,2,1,45,-4.7967
1968,2,2,2,38,-2.9653
1968,2,2,3,36,-2.8274
1968,2,2,4,46,-4.2473
1968,2,2,5,41,-7.3024
1968,2,3,1,70,-2.8793
1968,2,3,2,86,-1.8489
1968,2,3,3,94,-4.1056
1968,2,3,4,87,-4.6774
1968,2,3,5,71,-4.8692
1968,3,1,1,103,-1.2020
1968,3,1,2,42,-0.8646
1968,3,1,3,35,0.6978
1968,3,1,4,55,-0.0702
1968,3,1,5,105,-1.4869
1968,3,2,1,45,-1.2075
1968,3,2,2,38,-1.5169
