year,month,rank_ME,rank_PTA,nstocks,ret_vw
1967,1,1,1,99,16.9388
1967,1,1,2,55,17.0379
1967,1,1,3,49,20.3557
1967,1,1,4,49,18.8218
1967,1,1,5,85,21.3690
1967,1,2,1,38,16.8559
1967,1,2,2,40,16.1236
1967,1,2,3,29,19.5173
1967,1,2,4,39,15.1895
1967,1,2,5,45,17.5886
1967,1,3,1,61,11.3755
1967,1,3,2,88,7.1869
1967,1,3,3,89,8.2870
1967,1,3,4,86,7.4453
1967,1,3,5,72,10.3874
1967,2,1,1,98,5.9189
1967,2,1,2,55,5.3402
1967,2,1,3,49,4.9636
1967,2,1,4,49,3.3570
1967,2,1,5,85,4.5152
1967,2,2,1,38,4.6650
1967,2,2,2,40,0.7924
1967,2,2,3,29,0.8273
1967,2,2,4,39,4.4923
1967,2,2,5,45,1.1684
1967,2,3,1,61,-0.1535
1967,2,3,2,88,-0.0306
1967,2,3,3,89,3.2566
1967,2,3,4,86,0.9917
1967,2,3,5,72,2.2306
1967,3,1,1,99,6.6383
1967,3,1,2,55,7.8783
1967,3,1,3,49,7.5709
1967,3,1,4,49,7.4366
1967,3,1,5,85,4.5283
1967,3,2,1,38,5.0801
1967,3,2,2,40,4.1698
1967,3,2,3,29,11.3357
1967,3,2,4,39,6.5298
1967,3,2,5,45,8.5662
1967,3,3,1,61,4.6887
1967,3,3,2,88,4.0167
1967,3,3,3,89,4.5321
1967,3,3,4,86,4.9645
1967,3,3,5,72,5.5416
1967,4,1,1,99,5.6058
1967,4,1,2,55,3.6810
1967,4,1,3,49,5.5200
1967,4,1,4,49,5.6149
1967,4,1,5,85,3.7331
1967,4,2,1,38,2.1882
1967,4,2,2,40,5.1982
1967,4,2,3,29,2.6364
1967,4,2,4,39,5.7006
1967,4,2,5,45,5.0687
1967,4,3,1,61,5.7820
1967,4,3,2,88,5.7631
1967,4,3,3,89,5.6603
1967,4,3,4,86,1.2012
1967,4,3,5,72,4.4908
