year,month,rank_ME,rank_TA,nstocks,ret_vw
1967,1,1,1,108,17.9716
1967,1,1,2,67,16.5820
1967,1,1,3,43,23.1656
1967,1,1,4,53,18.6982
1967,1,1,5,67,19.2560
1967,1,2,1,42,17.7114
1967,1,2,2,38,16.5654
1967,1,2,3,37,16.1312
1967,1,2,4,36,15.3479
1967,1,2,5,38,18.5256
1967,1,3,1,54,11.4162
1967,1,3,2,80,6.5557
1967,1,3,3,87,8.3232
1967,1,3,4,88,7.3169
1967,1,3,5,87,10.3303
1967,2,1,1,107,7.1950
1967,2,1,2,67,3.8565
1967,2,1,3,43,4.6547
1967,2,1,4,53,1.5833
1967,2,1,5,67,5.8601
1967,2,2,1,42,4.0493
1967,2,2,2,38,1.4366
1967,2,2,3,37,3.1763
1967,2,2,4,36,1.5508
1967,2,2,5,38,1.6375
1967,2,3,1,54,0.5896
1967,2,3,2,80,-0.1634
1967,2,3,3,87,0.3719
1967,2,3,4,88,3.3457
1967,2,3,5,87,2.5140
1967,3,1,1,108,7.8055
1967,3,1,2,67,7.8436
1967,3,1,3,43,4.9645
1967,3,1,4,53,7.7133
1967,3,1,5,67,4.3616
1967,3,2,1,42,5.2163
1967,3,2,2,38,5.0526
1967,3,2,3,37,8.7217
1967,3,2,4,36,8.2906
1967,3,2,5,38,7.8462
1967,3,3,1,54,3.4781
1967,3,3,2,80,4.7555
1967,3,3,3,87,3.5055
1967,3,3,4,88,4.9266
1967,3,3,5,87,6.7437
1967,4,1,1,108,5.6343
1967,4,1,2,67,2.3684
1967,4,1,3,43,6.8260
1967,4,1,4,53,3.8987
1967,4,1,5,67,5.5408
1967,4,2,1,42,1.8101
1967,4,2,2,38,5.6002
1967,4,2,3,37,4.1821
1967,4,2,4,36,2.9373
1967,4,2,5,38,6.7620
1967,4,3,1,54,5.4208
1967,4,3,2,80,3.1743
1967,4,3,3,87,5.5865
1967,4,3,4,88,4.2642
1967,4,3,5,87,5.2943
1967,5,1,1,108,2.2131
1967,5,1,2,67,0.3952
1967,5,1,3,43,1.1424
1967,5,1,4,53,1.0275
1967,5,1,5,67,-0.7827
1967,5,2,1,42,-0.7040
1967,5,2,2,38,-1.9906
1967,5,2,3,37,-2.0349
1967,5,2,4,36,-2.6626
1967,5,2,5,38,-1.5678
1967,5,3,1,54,-2.1929
1967,5,3,2,80,-3.7660
1967,5,3,3,87,-6.5048
1967,5,3,4,88,-3.5579
1967,5,3,5,87,-4.1605
1967,6,1,1,108,12.1207
1967,6,1,2,67,9.1955
1967,6,1,3,43,14.7913
1967,6,1,4,53,8.6846
1967,6,1,5,67,18.0796
1967,6,2,1,42,10.0692
1967,6,2,2,38,4.4306
1967,6,2,3,37,7.3370
1967,6,2,4,36,7.4168
1967,6,2,5,38,6.7647
1967,6,3,1,54,4.1490
1967,6,3,2,80,1.8043
1967,6,3,3,86,1.2968
1967,6,3,4,88,2.4352
1967,6,3,5,87,3.2498
1967,7,1,1,115,10.1286
1967,7,1,2,66,10.8662
1967,7,1,3,64,10.2422
1967,7,1,4,73,11.1567
1967,7,1,5,70,8.2169
1967,7,2,1,54,8.5552
1967,7,2,2,46,8.0370
1967,7,2,3,39,8.5931
1967,7,2,4,31,8.0142
1967,7,2,5,52,8.2735
1967,7,3,1,61,6.9821
1967,7,3,2,79,1.9717
1967,7,3,3,88,5.8121
1967,7,3,4,103,7.5534
1967,7,3,5,91,3.7476
1967,8,1,1,115,1.2966
1967,8,1,2,66,1.7901
1967,8,1,3,64,1.5737
1967,8,1,4,73,-0.4706
1967,8,1,5,70,-1.0430
1967,8,2,1,54,-0.0964
1967,8,2,2,46,0.8943
1967,8,2,3,39,-0.3430
1967,8,2,4,31,2.9908
1967,8,2,5,52,-2.9499
1967,8,3,1,61,-0.2529
1967,8,3,2,79,-1.0946
1967,8,3,3,88,-0.8532
1967,8,3,4,102,0.4727
1967,8,3,5,91,-1.4077
1967,9,1,1,115,5.9336
1967,9,1,2,66,6.5605
1967,9,1,3,64,7.9841
1967,9,1,4,73,9.4245
1967,9,1,5,70,7.8055
1967,9,2,1,54,4.7816
1967,9,2,2,46,3.8991
1967,9,2,3,39,5.5270
1967,9,2,4,31,1.2822
1967,9,2,5,52,5.0691
1967,9,3,1,61,1.5044
1967,9,3,2,79,2.5526
1967,9,3,3,88,3.7874
1967,9,3,4,102,4.0923
1967,9,3,5,91,5.4796
1967,10,1,1,115,-1.4512
1967,10,1,2,66,-2.2586
1967,10,1,3,64,-1.6930
1967,10,1,4,73,-1.7411
1967,10,1,5,70,-1.5151
1967,10,2,1,54,-2.2268
1967,10,2,2,46,-4.0003
1967,10,2,3,39,-2.5393
1967,10,2,4,31,-6.9401
1967,10,2,5,52,-2.0704
