year,month,rank_ME,rank_Abr_12,nstocks,ret_vw
1972,1,1,1,142,12.0429
1972,1,1,2,111,11.7468
1972,1,1,3,79,13.6928
1972,1,1,4,85,14.9898
1972,1,1,5,150,16.5204
1972,1,2,1,69,7.5840
1972,1,2,2,51,6.0084
1972,1,2,3,59,9.1856
1972,1,2,4,54,6.5861
1972,1,2,5,68,9.6728
1972,1,3,1,76,2.2232
1972,1,3,2,109,1.6948
1972,1,3,3,105,1.5893
1972,1,3,4,109,2.8982
1972,1,3,5,94,4.3652
1972,2,1,1,164,4.5785
1972,2,1,2,121,3.6584
1972,2,1,3,91,6.4928
1972,2,1,4,106,4.2014
1972,2,1,5,178,4.1806
1972,2,2,1,85,2.2794
1972,2,2,2,73,3.5088
1972,2,2,3,71,2.3139
1972,2,2,4,71,5.8961
1972,2,2,5,97,3.4679
1972,2,3,1,103,5.1504
1972,2,3,2,145,5.1276
1972,2,3,3,139,3.7358
1972,2,3,4,145,2.1210
1972,2,3,5,117,4.3771
1972,3,1,1,228,-1.9428
1972,3,1,2,159,-0.0987
1972,3,1,3,131,-0.0762
1972,3,1,4,153,-0.7198
1972,3,1,5,232,-0.8986
1972,3,2,1,122,-0.9652
1972,3,2,2,95,1.0630
1972,3,2,3,99,0.6966
1972,3,2,4,97,-0.1272
1972,3,2,5,126,0.1244
1972,3,3,1,145,-0.9737
1972,3,3,2,191,0.8948
1972,3,3,3,195,0.5600
1972,3,3,4,193,1.6116
1972,3,3,5,161,0.7075
1972,4,1,1,275,-0.9379
1972,4,1,2,187,0.1850
1972,4,1,3,160,1.1403
1972,4,1,4,163,-0.0608
1972,4,1,5,279,1.5685
1972,4,2,1,141,-0.4489
1972,4,2,2,109,2.5781
1972,4,2,3,108,0.7228
1972,4,2,4,114,1.4315
1972,4,2,5,138,2.5198
1972,4,3,1,158,1.1233
1972,4,3,2,214,0.9690
1972,4,3,3,211,0.0372
1972,4,3,4,213,0.8139
1972,4,3,5,170,1.4337
1972,5,1,1,335,-3.2892
1972,5,1,2,225,-2.7627
1972,5,1,3,200,-1.7354
1972,5,1,4,197,-1.5188
1972,5,1,5,337,-2.0001
1972,5,2,1,169,-3.4874
1972,5,2,2,136,-2.2399
1972,5,2,3,142,-2.4666
1972,5,2,4,137,-2.0043
1972,5,2,5,165,-2.1044
1972,5,3,1,194,1.9929
1972,5,3,2,271,1.1394
1972,5,3,3,259,3.3045
1972,5,3,4,273,2.4944
1972,5,3,5,210,3.2612
1972,6,1,1,386,-4.1731
1972,6,1,2,256,-2.2766
1972,6,1,3,224,-3.1532
1972,6,1,4,223,-2.5880
1972,6,1,5,372,-4.2568
1972,6,2,1,183,-4.4830
1972,6,2,2,157,-3.9846
1972,6,2,3,154,-2.2137
1972,6,2,4,151,-3.8356
1972,6,2,5,184,-3.4493
1972,6,3,1,214,-2.4557
1972,6,3,2,290,-2.2748
1972,6,3,3,277,-1.0157
1972,6,3,4,300,-1.7784
1972,6,3,5,238,-3.0386
1972,7,1,1,406,-4.2153
1972,7,1,2,267,-2.9078
1972,7,1,3,233,-3.2922
1972,7,1,4,234,-2.3010
1972,7,1,5,378,-3.3744
1972,7,2,1,195,-4.3369
1972,7,2,2,165,-3.6116
1972,7,2,3,160,-3.0393
1972,7,2,4,161,-2.3209
1972,7,2,5,192,-2.7634
1972,7,3,1,222,-0.8939
1972,7,3,2,298,0.0171
1972,7,3,3,283,1.2271
1972,7,3,4,307,-0.7460
1972,7,3,5,244,-1.2769
1972,8,1,1,431,0.7097
1972,8,1,2,306,0.8338
1972,8,1,3,267,1.4106
1972,8,1,4,269,0.7736
1972,8,1,5,412,0.1401
1972,8,2,1,221,2.1656
1972,8,2,2,193,1.4588
1972,8,2,3,185,0.3205
1972,8,2,4,181,1.2384
1972,8,2,5,217,1.9198
1972,8,3,1,257,4.2779
1972,8,3,2,325,4.1762
1972,8,3,3,320,2.7237
1972,8,3,4,344,3.5480
1972,8,3,5,282,3.7201
1972,9,1,1,471,-4.8729
1972,9,1,2,333,-3.9347
1972,9,1,3,287,-4.6367
1972,9,1,4,294,-4.0961
1972,9,1,5,444,-4.6813
1972,9,2,1,234,-3.0575
1972,9,2,2,208,-2.9970
1972,9,2,3,197,-2.9271
1972,9,2,4,200,-2.7281
1972,9,2,5,235,-2.5764
1972,9,3,1,276,-0.9667
1972,9,3,2,341,-0.7322
1972,9,3,3,341,0.4003
1972,9,3,4,358,-1.2483
1972,9,3,5,293,-1.9570
1972,10,1,1,490,-2.8723
1972,10,1,2,348,-2.1447
1972,10,1,3,301,-2.6784
1972,10,1,4,303,-2.1717
1972,10,1,5,456,-2.5200
1972,10,2,1,238,-1.7889
1972,10,2,2,212,-2.4662
1972,10,2,3,206,-0.8449
1972,10,2,4,204,-1.7185
1972,10,2,5,243,-1.5768
1972,10,3,1,276,0.8318
1972,10,3,2,351,1.0959
1972,10,3,3,345,0.5976
1972,10,3,4,364,0.4438
1972,10,3,5,298,1.1811
1972,11,1,1,534,5.2296
1972,11,1,2,378,4.7211
1972,11,1,3,329,4.9684
1972,11,1,4,331,5.9250
1972,11,1,5,497,5.7782
1972,11,2,1,261,6.2636
1972,11,2,2,231,5.8998
1972,11,2,3,226,4.4021
1972,11,2,4,233,7.0058
1972,11,2,5,267,6.2825
1972,11,3,1,307,4.6115
1972,11,3,2,376,5.9988
1972,11,3,3,382,4.1177
1972,11,3,4,398,4.2557
1972,11,3,5,332,5.2972
1972,12,1,1,553,-3.0021
1972,12,1,2,397,-1.5731
1972,12,1,3,345,-1.8061
1972,12,1,4,353,-1.8834
1972,12,1,5,524,-1.5333
1972,12,2,1,274,-1.2421
1972,12,2,2,246,-0.5488
1972,12,2,3,236,-1.5459
1972,12,2,4,244,-1.6165
1972,12,2,5,288,-1.7039
1972,12,3,1,318,0.2803
1972,12,3,2,384,1.1140
1972,12,3,3,393,2.0133
1972,12,3,4,409,2.0313
1972,12,3,5,343,2.3918
1973,1,1,1,568,-3.4324
1973,1,1,2,400,-3.1321
1973,1,1,3,349,-3.7279
1973,1,1,4,355,-4.2283
1973,1,1,5,531,-4.5822
1973,1,2,1,269,-6.0167
1973,1,2,2,241,-6.2672
1973,1,2,3,235,-6.1399
1973,1,2,4,244,-5.5415
1973,1,2,5,290,-7.0605
1973,1,3,1,310,-1.1226
1973,1,3,2,379,-2.3228
1973,1,3,3,387,-0.8994
1973,1,3,4,401,-1.9836
1973,1,3,5,332,-4.1731
1973,2,1,1,561,-8.3946
1973,2,1,2,395,-7.0822
1973,2,1,3,336,-8.3070
1973,2,1,4,353,-7.6516
1973,2,1,5,529,-8.2780
1973,2,2,1,263,-8.5206
1973,2,2,2,237,-8.3101
1973,2,2,3,232,-7.7206
1973,2,2,4,241,-8.5934
1973,2,2,5,291,-8.9876
1973,2,3,1,303,-4.3439
1973,2,3,2,376,-4.3067
1973,2,3,3,382,-2.9240
1973,2,3,4,398,-3.7457
1973,2,3,5,317,-4.8593
1973,3,1,1,584,-3.4774
1973,3,1,2,422,-2.0433
1973,3,1,3,351,-0.7471
1973,3,1,4,375,-1.9241
1973,3,1,5,546,-2.1346
1973,3,2,1,282,-3.5337
1973,3,2,2,244,-2.9255
1973,3,2,3,250,-3.4904
1973,3,2,4,250,-2.9183
1973,3,2,5,307,-2.5504
1973,3,3,1,319,-1.5030
1973,3,3,2,392,-0.2357
1973,3,3,3,400,-0.2676
1973,3,3,4,412,0.4465
1973,3,3,5,340,-0.6288
1973,4,1,1,597,-7.2891
1973,4,1,2,418,-6.6427
1973,4,1,3,349,-6.5010
1973,4,1,4,377,-5.9216
1973,4,1,5,553,-7.9896
1973,4,2,1,278,-8.8602
1973,4,2,2,242,-7.0759
