year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1967,1,1,1,199,18.3984
1967,1,1,2,174,22.9570
1967,1,1,3,272,17.9827
1967,1,1,4,101,20.1505
1967,1,1,5,135,21.9224
1967,1,2,1,73,14.1739
1967,1,2,2,63,19.2159
1967,1,2,3,130,14.3617
1967,1,2,4,44,20.4734
1967,1,2,5,84,14.9988
1967,1,3,1,101,10.5749
1967,1,3,2,87,5.6818
1967,1,3,3,220,7.4461
1967,1,3,4,63,6.8861
1967,1,3,5,125,9.0932
1967,2,1,1,255,5.0256
1967,2,1,2,430,4.6088
1967,2,1,3,358,5.5409
1967,2,1,4,203,6.3552
1967,2,1,5,212,5.6192
1967,2,2,1,118,1.7592
1967,2,2,2,162,1.8117
1967,2,2,3,167,1.6327
1967,2,2,4,97,1.4032
1967,2,2,5,120,4.3390
1967,2,3,1,274,0.0002
1967,2,3,2,216,0.9728
1967,2,3,3,270,0.2524
1967,2,3,4,124,-0.6203
1967,2,3,5,147,5.0691
1967,3,1,1,309,6.5373
1967,3,1,2,555,6.4721
1967,3,1,3,419,7.4676
1967,3,1,4,310,7.7705
1967,3,1,5,316,7.6929
1967,3,2,1,161,6.2024
1967,3,2,2,232,5.2662
1967,3,2,3,197,6.6766
1967,3,2,4,135,6.2964
1967,3,2,5,160,7.3243
1967,3,3,1,324,4.8789
1967,3,3,2,284,3.5647
1967,3,3,3,304,3.7720
1967,3,3,4,183,4.2305
1967,3,3,5,191,5.9007
1967,4,1,1,352,3.9925
1967,4,1,2,589,3.8863
1967,4,1,3,515,4.0831
1967,4,1,4,371,5.6794
1967,4,1,5,351,6.0799
1967,4,2,1,194,2.2659
1967,4,2,2,257,2.9257
1967,4,2,3,239,3.5673
1967,4,2,4,167,4.1184
1967,4,2,5,190,4.6181
1967,4,3,1,357,5.5667
1967,4,3,2,330,3.2316
1967,4,3,3,342,3.8731
1967,4,3,4,199,6.2436
1967,4,3,5,217,5.0052
1967,5,1,1,408,1.3600
1967,5,1,2,631,-0.1722
1967,5,1,3,594,0.2629
1967,5,1,4,380,-1.3942
1967,5,1,5,390,-0.8444
1967,5,2,1,227,-1.7970
1967,5,2,2,303,-2.1967
1967,5,2,3,267,-0.9637
1967,5,2,4,184,-2.0076
1967,5,2,5,214,-1.3879
1967,5,3,1,402,-3.6625
1967,5,3,2,443,-4.0250
1967,5,3,3,393,-4.4311
1967,5,3,4,207,-5.0338
1967,5,3,5,240,-4.7844
1967,6,1,1,483,10.4918
1967,6,1,2,692,11.4875
1967,6,1,3,620,11.0619
1967,6,1,4,442,12.8094
1967,6,1,5,584,11.6990
1967,6,2,1,249,7.3347
1967,6,2,2,335,6.6872
1967,6,2,3,285,6.3361
1967,6,2,4,231,7.9261
1967,6,2,5,281,8.5447
1967,6,3,1,424,2.0651
1967,6,3,2,481,1.3798
1967,6,3,3,409,2.0201
1967,6,3,4,235,2.6014
1967,6,3,5,342,3.1541
1967,7,1,1,482,10.5662
1967,7,1,2,727,9.3246
1967,7,1,3,660,9.0546
1967,7,1,4,585,9.6082
1967,7,1,5,562,9.2311
1967,7,2,1,253,7.8551
1967,7,2,2,356,7.3486
1967,7,2,3,304,7.2722
1967,7,2,4,288,7.5991
1967,7,2,5,275,7.9613
1967,7,3,1,438,5.3096
1967,7,3,2,499,5.1521
1967,7,3,3,420,2.8447
1967,7,3,4,312,6.1314
1967,7,3,5,323,4.4164
1967,8,1,1,497,-0.1236
1967,8,1,2,716,0.2640
1967,8,1,3,685,0.3475
1967,8,1,4,666,0.7183
1967,8,1,5,578,0.5853
1967,8,2,1,270,-0.4468
1967,8,2,2,345,-0.4105
1967,8,2,3,319,0.2833
1967,8,2,4,337,0.0195
1967,8,2,5,280,-0.1693
1967,8,3,1,441,-0.8779
1967,8,3,2,473,-0.4870
1967,8,3,3,435,-0.2183
1967,8,3,4,388,-0.4135
1967,8,3,5,331,-0.5961
1967,9,1,1,489,8.3744
1967,9,1,2,689,7.9492
1967,9,1,3,670,8.5189
1967,9,1,4,661,7.9686
1967,9,1,5,608,7.7875
1967,9,2,1,258,4.8360
1967,9,2,2,342,4.6960
1967,9,2,3,298,5.0091
1967,9,2,4,338,5.0541
1967,9,2,5,297,5.0192
1967,9,3,1,436,3.7961
1967,9,3,2,443,2.2036
1967,9,3,3,345,2.4533
1967,9,3,4,392,3.8443
1967,9,3,5,345,3.8707
1967,10,1,1,492,-0.9191
1967,10,1,2,643,-1.6478
1967,10,1,3,648,-1.4674
1967,10,1,4,673,-1.3977
1967,10,1,5,581,-1.8605
1967,10,2,1,266,-3.6885
1967,10,2,2,328,-2.6637
1967,10,2,3,294,-3.2312
1967,10,2,4,342,-1.8327
1967,10,2,5,273,-2.7384
1967,10,3,1,441,-1.9126
1967,10,3,2,392,-5.0779
1967,10,3,3,328,-4.5013
1967,10,3,4,389,-2.8135
1967,10,3,5,336,-1.4665
1967,11,1,1,583,0.1139
1967,11,1,2,591,0.2326
1967,11,1,3,632,-0.1396
1967,11,1,4,665,0.5399
1967,11,1,5,565,0.3933
1967,11,2,1,324,0.8787
1967,11,2,2,300,0.7535
1967,11,2,3,320,0.8739
1967,11,2,4,322,0.7651
1967,11,2,5,257,1.5822
1967,11,3,1,494,0.5847
1967,11,3,2,385,0.9709
1967,11,3,3,437,-0.0237
1967,11,3,4,386,0.2383
1967,11,3,5,336,1.3547
1967,12,1,1,576,10.1212
1967,12,1,2,655,11.0082
1967,12,1,3,633,11.3133
1967,12,1,4,664,9.9699
1967,12,1,5,453,9.8819
1967,12,2,1,330,6.9870
1967,12,2,2,327,8.4430
1967,12,2,3,336,7.0025
1967,12,2,4,324,6.3517
1967,12,2,5,223,8.7008
1967,12,3,1,511,3.2914
1967,12,3,2,419,3.1333
1967,12,3,3,412,2.3822
1967,12,3,4,388,2.5071
1967,12,3,5,282,2.1012
1968,1,1,1,565,2.8324
1968,1,1,2,653,2.8065
1968,1,1,3,657,4.0309
1968,1,1,4,738,3.2689
1968,1,1,5,393,3.5423
1968,1,2,1,342,-1.2036
1968,1,2,2,351,-1.3911
1968,1,2,3,349,-0.2376
1968,1,2,4,353,-1.8928
1968,1,2,5,196,-1.0545
1968,1,3,1,508,-4.8271
1968,1,3,2,442,-4.4689
1968,1,3,3,433,-2.4883
1968,1,3,4,431,-3.8304
1968,1,3,5,231,-7.6106
1968,2,1,1,536,-6.9143
1968,2,1,2,603,-6.7534
1968,2,1,3,650,-6.2511
1968,2,1,4,683,-5.6137
1968,2,1,5,420,-7.4272
1968,2,2,1,322,-4.6603
1968,2,2,2,337,-5.5493
1968,2,2,3,338,-4.8006
1968,2,2,4,317,-4.4695
1968,2,2,5,220,-7.0979
1968,2,3,1,486,-3.6028
1968,2,3,2,451,-3.4218
1968,2,3,3,422,-2.7284
1968,2,3,4,409,-2.8185
1968,2,3,5,333,-3.1152
1968,3,1,1,660,-1.9431
1968,3,1,2,533,-1.9893
1968,3,1,3,610,-1.2805
1968,3,1,4,706,-1.1281
1968,3,1,5,418,-1.7576
1968,3,2,1,357,-1.9376
1968,3,2,2,295,-1.8902
1968,3,2,3,322,-1.3682
1968,3,2,4,333,-0.2146
1968,3,2,5,230,-0.2260
1968,3,3,1,495,0.9009
1968,3,3,2,347,1.5761
1968,3,3,3,401,-0.8947
1968,3,3,4,418,0.5615
1968,3,3,5,353,2.3393
1968,4,1,1,631,15.8081
1968,4,1,2,548,15.1383
1968,4,1,3,617,15.0863
1968,4,1,4,718,17.4422
1968,4,1,5,427,16.5926
1968,4,2,1,338,14.3813
1968,4,2,2,307,14.5015
1968,4,2,3,328,13.2542
1968,4,2,4,339,14.9172
1968,4,2,5,230,14.6956
1968,4,3,1,489,9.2876
1968,4,3,2,381,9.4760
1968,4,3,3,399,9.4119
1968,4,3,4,421,7.5822
1968,4,3,5,352,10.4688
1968,5,1,1,597,11.2725
1968,5,1,2,562,11.3941
1968,5,1,3,483,11.3022
1968,5,1,4,686,13.3668
1968,5,1,5,409,13.0385
1968,5,2,1,323,6.9280
1968,5,2,2,302,7.2944
1968,5,2,3,282,6.6286
1968,5,2,4,322,6.9895
1968,5,2,5,220,6.0563
1968,5,3,1,464,1.6020
1968,5,3,2,376,1.9807
1968,5,3,3,337,1.8425
1968,5,3,4,407,0.9048
