year,month,rank_ME,rank_CM_1,nstocks,ret_vw
1979,7,1,1,70,2.4529
1979,7,1,2,71,-0.5030
1979,7,1,3,46,3.7875
1979,7,1,4,31,4.9023
1979,7,1,5,64,3.8888
1979,7,2,1,18,4.6450
1979,7,2,2,15,0.7768
1979,7,2,3,14,4.9644
1979,7,2,4,12,0.3049
1979,7,2,5,16,-0.5668
1979,7,3,1,10,2.2940
1979,7,3,2,12,1.1244
1979,7,3,3,14,3.6830
1979,7,3,4,9,1.0744
1979,7,3,5,17,0.6025
1979,8,1,1,82,6.1593
1979,8,1,2,40,10.3976
1979,8,1,3,50,6.4789
1979,8,1,4,46,7.7375
1979,8,1,5,65,11.7193
1979,8,2,1,18,3.4828
1979,8,2,2,10,4.4632
1979,8,2,3,13,8.4271
1979,8,2,4,17,9.3364
1979,8,2,5,11,5.9659
1979,8,3,1,6,2.9931
1979,8,3,2,11,3.7490
1979,8,3,3,16,7.9980
1979,8,3,4,13,5.1144
1979,8,3,5,16,6.3558
1979,9,1,1,70,0.8295
1979,9,1,2,39,0.7867
1979,9,1,3,58,-2.8297
1979,9,1,4,56,1.3074
1979,9,1,5,59,-2.7094
1979,9,2,1,19,0.5839
1979,9,2,2,12,-2.8423
1979,9,2,3,6,-3.3345
1979,9,2,4,14,-2.2880
1979,9,2,5,14,0.1142
1979,9,3,1,15,1.0786
1979,9,3,2,19,-0.8097
1979,9,3,3,10,-1.2381
1979,9,3,4,8,9.3983
1979,9,3,5,10,3.8593
1979,10,1,1,80,-11.1473
1979,10,1,2,59,-12.8718
1979,10,1,3,58,-10.3633
1979,10,1,4,30,-8.0139
1979,10,1,5,53,-9.9498
1979,10,2,1,12,-2.9459
1979,10,2,2,19,-10.4570
1979,10,2,3,13,-14.5965
1979,10,2,4,12,-9.0548
1979,10,2,5,9,-10.3519
1979,10,3,1,10,-8.3004
1979,10,3,2,12,-5.5131
1979,10,3,3,12,-4.0283
1979,10,3,4,12,-9.4929
1979,10,3,5,16,-10.1500
1979,11,1,1,56,9.6634
1979,11,1,2,36,1.2802
1979,11,1,3,34,13.1917
1979,11,1,4,58,7.4530
1979,11,1,5,93,10.0146
1979,11,2,1,13,9.2226
1979,11,2,2,11,1.1741
1979,11,2,3,12,9.3756
1979,11,2,4,15,5.7927
1979,11,2,5,17,9.4212
1979,11,3,1,17,3.6949
1979,11,3,2,10,1.7734
1979,11,3,3,10,7.9275
1979,11,3,4,9,8.6888
1979,11,3,5,16,12.4081
1979,12,1,1,52,5.6913
1979,12,1,2,46,9.2180
1979,12,1,3,57,4.9138
1979,12,1,4,61,12.6473
1979,12,1,5,56,12.3924
1979,12,2,1,11,0.5888
1979,12,2,2,12,7.2951
1979,12,2,3,7,4.1718
1979,12,2,4,22,4.2638
1979,12,2,5,19,7.4987
1979,12,3,1,15,4.7890
1979,12,3,2,7,3.0781
1979,12,3,3,9,2.8445
1979,12,3,4,17,6.0421
1979,12,3,5,15,4.2460
1980,1,1,1,59,11.6223
1980,1,1,2,35,14.0712
1980,1,1,3,56,7.5266
1980,1,1,4,56,10.9737
1980,1,1,5,57,13.6175
1980,1,2,1,19,10.8761
1980,1,2,2,8,12.5830
1980,1,2,3,17,11.5322
1980,1,2,4,12,9.2810
1980,1,2,5,21,11.5328
1980,1,3,1,16,7.7687
1980,1,3,2,14,1.3375
1980,1,3,3,8,6.5979
1980,1,3,4,14,10.4803
1980,1,3,5,10,15.8373
1980,2,1,1,63,-1.8725
1980,2,1,2,68,-0.9809
1980,2,1,3,43,-0.8457
1980,2,1,4,38,-3.4871
1980,2,1,5,49,0.3033
1980,2,2,1,9,3.1787
1980,2,2,2,14,-5.9631
1980,2,2,3,17,-5.4016
1980,2,2,4,13,-3.2103
1980,2,2,5,20,-0.8826
1980,2,3,1,12,5.6658
1980,2,3,2,13,0.0475
1980,2,3,3,14,0.1922
1980,2,3,4,15,3.3916
1980,2,3,5,12,0.7708
1980,3,1,1,61,-20.0958
1980,3,1,2,43,-15.9568
1980,3,1,3,37,-15.4722
1980,3,1,4,60,-18.6649
1980,3,1,5,55,-21.3756
1980,3,2,1,16,-18.4964
1980,3,2,2,17,-16.3390
1980,3,2,3,13,-12.6961
1980,3,2,4,13,-18.4530
1980,3,2,5,16,-21.0441
1980,3,3,1,10,-15.4173
1980,3,3,2,9,-12.8611
1980,3,3,3,14,-14.6349
1980,3,3,4,13,-14.7201
1980,3,3,5,20,-19.5754
1980,4,1,1,70,4.9468
1980,4,1,2,35,5.7527
1980,4,1,3,41,4.4780
1980,4,1,4,57,2.9323
1980,4,1,5,53,5.2441
1980,4,2,1,20,7.5980
1980,4,2,2,15,9.2691
1980,4,2,3,13,1.5662
1980,4,2,4,17,0.0243
1980,4,2,5,12,7.0793
1980,4,3,1,14,9.6678
1980,4,3,2,14,6.6801
1980,4,3,3,11,1.1267
1980,4,3,4,15,0.4109
1980,4,3,5,10,4.1419
1980,5,1,1,44,6.8878
1980,5,1,2,42,4.1105
1980,5,1,3,60,7.8938
1980,5,1,4,49,2.7274
1980,5,1,5,62,6.3044
1980,5,2,1,20,9.3487
1980,5,2,2,11,8.4689
1980,5,2,3,15,5.9839
1980,5,2,4,9,7.8630
1980,5,2,5,17,9.7264
1980,5,3,1,7,7.6456
1980,5,3,2,10,7.9185
1980,5,3,3,16,7.9025
1980,5,3,4,15,8.7648
1980,5,3,5,16,4.6025
1980,6,1,1,54,2.0172
1980,6,1,2,14,2.9125
1980,6,1,3,48,1.8477
1980,6,1,4,56,4.3160
1980,6,1,5,79,8.0552
1980,6,2,1,22,4.6033
1980,6,2,2,8,3.7197
1980,6,2,3,11,5.3462
1980,6,2,4,15,2.2926
1980,6,2,5,19,6.3677
1980,6,3,1,19,3.5358
1980,6,3,2,4,5.3290
1980,6,3,3,20,5.7904
1980,6,3,4,9,4.3752
1980,6,3,5,12,9.6013
1980,7,1,1,58,16.6817
1980,7,1,2,77,9.8408
1980,7,1,3,49,14.0649
1980,7,1,4,36,12.1489
1980,7,1,5,77,9.2782
1980,7,2,1,11,9.6833
1980,7,2,2,18,12.0536
1980,7,2,3,12,14.4316
1980,7,2,4,15,5.7189
1980,7,2,5,30,10.9953
1980,7,3,1,15,13.6175
1980,7,3,2,11,9.5962
1980,7,3,3,8,9.1520
1980,7,3,4,14,8.8303
1980,7,3,5,16,8.7473
1980,8,1,1,53,10.1201
1980,8,1,2,60,2.7082
1980,8,1,3,93,8.4970
1980,8,1,4,30,8.5073
1980,8,1,5,62,13.7020
1980,8,2,1,21,7.7126
1980,8,2,2,20,10.6142
1980,8,2,3,20,4.6165
1980,8,2,4,9,5.1645
1980,8,2,5,14,10.3290
1980,8,3,1,19,3.7714
1980,8,3,2,16,0.1648
1980,8,3,3,12,4.8834
1980,8,3,4,2,7.0881
1980,8,3,5,16,3.2531
1980,9,1,1,55,-0.6913
1980,9,1,2,67,5.7185
1980,9,1,3,53,4.6595
1980,9,1,4,49,7.5813
1980,9,1,5,70,4.8088
1980,9,2,1,11,4.1106
1980,9,2,2,22,3.8373
1980,9,2,3,23,3.4937
1980,9,2,4,14,1.4719
1980,9,2,5,19,7.5869
1980,9,3,1,10,5.8655
1980,9,3,2,13,4.3928
1980,9,3,3,15,5.2715
1980,9,3,4,13,0.8853
1980,9,3,5,13,6.9630
1980,10,1,1,86,5.7684
1980,10,1,2,52,2.2895
1980,10,1,3,21,-1.0966
1980,10,1,4,60,5.3643
1980,10,1,5,73,8.6397
1980,10,2,1,9,4.1031
1980,10,2,2,25,5.4160
1980,10,2,3,13,-2.2753
1980,10,2,4,15,2.9812
1980,10,2,5,28,9.2589
1980,10,3,1,7,2.0997
1980,10,3,2,20,3.5096
1980,10,3,3,4,2.8709
1980,10,3,4,18,3.3169
1980,10,3,5,14,3.7632
1980,11,1,1,61,5.4945
1980,11,1,2,24,4.1320
1980,11,1,3,51,4.2901
1980,11,1,4,77,12.3303
1980,11,1,5,69,11.6513
1980,11,2,1,19,8.6195
1980,11,2,2,7,4.8679
1980,11,2,3,13,10.0457
1980,11,2,4,27,14.9038
1980,11,2,5,28,21.0713
1980,11,3,1,13,6.3182
1980,11,3,2,9,14.5284
1980,11,3,3,11,12.8604
1980,11,3,4,12,15.3605
1980,11,3,5,20,18.8987
1980,12,1,1,57,-2.2769
1980,12,1,2,32,0.0403
1980,12,1,3,53,-2.9747
1980,12,1,4,51,-5.6342
1980,12,1,5,81,-4.8324
1980,12,2,1,19,-5.4953
1980,12,2,2,12,-6.4599
1980,12,2,3,14,-6.7120
1980,12,2,4,18,-3.9035
1980,12,2,5,34,-3.6064
1980,12,3,1,13,-1.4668
1980,12,3,2,5,-8.7432
1980,12,3,3,15,-4.4738
1980,12,3,4,12,-5.9768
1980,12,3,5,23,-2.8288
1981,1,1,1,59,-2.9631
1981,1,1,2,43,-4.1543
1981,1,1,3,76,2.2107
1981,1,1,4,47,-0.3797
1981,1,1,5,51,0.3212
1981,1,2,1,26,-3.6947
1981,1,2,2,18,-3.4475
1981,1,2,3,20,-2.8895
1981,1,2,4,10,-3.7162
1981,1,2,5,18,-4.4723
1981,1,3,1,21,-9.0416
1981,1,3,2,14,-4.3321
1981,1,3,3,22,-0.5561
1981,1,3,4,5,-3.0642
1981,1,3,5,10,-10.3009
1981,2,1,1,87,-5.1203
1981,2,1,2,62,-1.2439
1981,2,1,3,61,-0.0825
1981,2,1,4,20,3.4632
1981,2,1,5,49,3.4080
1981,2,2,1,31,-3.7084
1981,2,2,2,19,-0.6049
1981,2,2,3,13,0.0873
1981,2,2,4,16,3.2159
1981,2,2,5,15,3.0262
1981,2,3,1,19,-0.1277
1981,2,3,2,13,3.6039
1981,2,3,3,11,2.9195
1981,2,3,4,12,0.9456
1981,2,3,5,11,2.0056
1981,3,1,1,62,5.7626
1981,3,1,2,61,7.9092
1981,3,1,3,63,5.2128
1981,3,1,4,57,7.7453
1981,3,1,5,36,7.6216
1981,3,2,1,22,4.2677
1981,3,2,2,26,5.8724
1981,3,2,3,11,14.3279
1981,3,2,4,17,10.7699
1981,3,2,5,16,9.0150
1981,3,3,1,18,6.6026
1981,3,3,2,14,0.8799
1981,3,3,3,13,7.6019
1981,3,3,4,11,4.3172
1981,3,3,5,9,8.0795
1981,4,1,1,58,5.6581
1981,4,1,2,54,1.2208
1981,4,1,3,30,5.6264
1981,4,1,4,83,4.6865
1981,4,1,5,54,4.6373
1981,4,2,1,21,0.8257
1981,4,2,2,29,2.3803
1981,4,2,3,8,-0.6320
1981,4,2,4,17,2.5596
1981,4,2,5,12,-0.1808
1981,4,3,1,17,-5.3137
1981,4,3,2,21,-5.7646
1981,4,3,3,6,-5.0152
1981,4,3,4,15,2.5425
1981,4,3,5,7,4.1356
1981,5,1,1,67,3.9849
1981,5,1,2,42,2.9001
1981,5,1,3,54,6.6448
1981,5,1,4,40,4.8713
1981,5,1,5,72,8.4585
1981,5,2,1,27,4.3187
1981,5,2,2,17,9.5779
1981,5,2,3,20,6.3278
1981,5,2,4,10,9.4427
1981,5,2,5,13,10.0369
1981,5,3,1,16,-0.4630
1981,5,3,2,11,0.2050
1981,5,3,3,18,-3.4413
1981,5,3,4,8,3.1059
1981,5,3,5,12,2.1837
1981,6,1,1,62,-4.3765
1981,6,1,2,64,-0.5275
1981,6,1,3,61,-0.7948
1981,6,1,4,27,-1.0423
1981,6,1,5,56,-0.1939
1981,6,2,1,23,-7.0918
1981,6,2,2,20,-5.9748
1981,6,2,3,25,-0.7411
1981,6,2,4,8,-5.2155
1981,6,2,5,18,-4.9750
1981,6,3,1,15,-9.1330
1981,6,3,2,17,-0.8208
1981,6,3,3,12,-0.4004
1981,6,3,4,5,-2.7276
1981,6,3,5,15,-3.8045
1981,7,1,1,82,-5.4221
1981,7,1,2,39,-0.8733
1981,7,1,3,75,-3.1684
1981,7,1,4,51,-5.9267
1981,7,1,5,62,-1.6877
1981,7,2,1,28,-2.9637
1981,7,2,2,15,-2.7535
1981,7,2,3,18,-2.9362
1981,7,2,4,14,-5.2377
1981,7,2,5,27,6.9636
1981,7,3,1,18,3.5066
1981,7,3,2,5,-5.3008
1981,7,3,3,13,-4.6486
1981,7,3,4,8,1.1148
1981,7,3,5,22,7.0041
1981,8,1,1,74,-8.1969
1981,8,1,2,58,-8.6446
1981,8,1,3,30,-8.1782
1981,8,1,4,68,-8.2184
1981,8,1,5,74,-8.3881
1981,8,2,1,13,-6.5381
1981,8,2,2,14,-9.5447
1981,8,2,3,22,-7.7153
1981,8,2,4,20,-6.7143
1981,8,2,5,34,-8.1254
1981,8,3,1,16,-6.8019
1981,8,3,2,8,-6.7446
1981,8,3,3,7,-5.8977
1981,8,3,4,13,-5.3546
1981,8,3,5,22,-1.7647
1981,9,1,1,89,-12.7150
1981,9,1,2,33,-10.2389
1981,9,1,3,43,-8.4387
1981,9,1,4,68,-8.8754
1981,9,1,5,69,-13.0613
1981,9,2,1,19,-8.6210
1981,9,2,2,18,-8.5142
1981,9,2,3,19,-4.6368
1981,9,2,4,25,-8.9920
1981,9,2,5,22,-17.7687
1981,9,3,1,16,-7.0967
1981,9,3,2,9,-5.5951
1981,9,3,3,7,-9.7204
1981,9,3,4,13,-9.9554
1981,9,3,5,20,-11.4261
1981,10,1,1,99,11.3631
1981,10,1,2,76,7.6725
1981,10,1,3,41,8.6172
1981,10,1,4,50,10.7480
1981,10,1,5,39,15.7377
1981,10,2,1,35,6.1802
1981,10,2,2,25,8.1939
1981,10,2,3,9,7.2411
1981,10,2,4,15,7.3284
1981,10,2,5,15,6.7643
1981,10,3,1,14,8.2391
1981,10,3,2,18,6.2546
1981,10,3,3,10,2.8564
1981,10,3,4,10,6.3539
1981,10,3,5,12,22.1027
1981,11,1,1,37,4.7086
1981,11,1,2,62,-1.4330
1981,11,1,3,65,2.1170
1981,11,1,4,48,-1.2476
1981,11,1,5,89,2.1125
1981,11,2,1,13,-0.1728
1981,11,2,2,18,2.6415
1981,11,2,3,19,0.6750
1981,11,2,4,20,5.0079
1981,11,2,5,23,2.8868
1981,11,3,1,10,1.6409
1981,11,3,2,8,3.6668
1981,11,3,3,20,1.1549
1981,11,3,4,15,2.3535
1981,11,3,5,13,1.8373
1981,12,1,1,65,3.9389
1981,12,1,2,67,-1.3432
1981,12,1,3,49,-4.8389
1981,12,1,4,42,-1.8137
1981,12,1,5,72,-3.2955
1981,12,2,1,12,-2.9028
1981,12,2,2,20,-3.4840
1981,12,2,3,18,-2.3513
1981,12,2,4,13,-9.6370
1981,12,2,5,32,-3.1316
1981,12,3,1,14,-2.3044
1981,12,3,2,11,3.0768
1981,12,3,3,12,0.9304
1981,12,3,4,10,-3.1246
1981,12,3,5,21,-6.7497
1982,1,1,1,74,-2.5516
1982,1,1,2,43,1.3615
1982,1,1,3,51,-0.9684
1982,1,1,4,52,-0.0612
1982,1,1,5,71,-3.9522
1982,1,2,1,28,-7.0953
1982,1,2,2,19,-3.2042
1982,1,2,3,13,-0.7336
1982,1,2,4,19,-3.9032
1982,1,2,5,16,-4.8743
1982,1,3,1,18,-8.3350
1982,1,3,2,15,-5.3114
1982,1,3,3,8,-3.5405
1982,1,3,4,13,-6.2003
1982,1,3,5,11,-2.7850
1982,2,1,1,75,-9.0228
1982,2,1,2,58,-7.2965
1982,2,1,3,42,-5.3005
1982,2,1,4,59,-3.2110
1982,2,1,5,58,-3.3868
1982,2,2,1,24,-11.4218
1982,2,2,2,25,-6.2990
1982,2,2,3,13,-8.7231
1982,2,2,4,15,-5.2625
1982,2,2,5,14,-4.6959
1982,2,3,1,21,-9.8298
1982,2,3,2,16,-4.6433
1982,2,3,3,12,-6.1349
1982,2,3,4,12,-6.4358
1982,2,3,5,4,-4.6273
1982,3,1,1,75,-0.3893
1982,3,1,2,69,-3.6488
1982,3,1,3,38,-2.6632
1982,3,1,4,40,-3.7669
1982,3,1,5,67,-1.7493
1982,3,2,1,26,-6.7858
1982,3,2,2,18,-4.1385
1982,3,2,3,14,-4.2735
1982,3,2,4,17,0.7617
1982,3,2,5,19,-0.2825
1982,3,3,1,12,-0.4095
1982,3,3,2,19,-3.0071
1982,3,3,3,8,1.2093
1982,3,3,4,9,-2.8611
1982,3,3,5,11,-2.7068
1982,4,1,1,85,8.8881
1982,4,1,2,65,4.3103
1982,4,1,3,54,3.2760
1982,4,1,4,60,3.9229
1982,4,1,5,32,5.6881
1982,4,2,1,24,4.0630
1982,4,2,2,14,9.0404
1982,4,2,3,20,7.9045
1982,4,2,4,19,6.2721
1982,4,2,5,7,1.6253
1982,4,3,1,16,7.7400
1982,4,3,2,17,5.5238
1982,4,3,3,11,3.5383
1982,4,3,4,12,3.8514
1982,4,3,5,4,14.1930
1982,5,1,1,79,-2.5994
1982,5,1,2,39,1.3691
1982,5,1,3,58,-2.6006
1982,5,1,4,49,-4.5957
1982,5,1,5,71,-2.6312
1982,5,2,1,32,-2.4498
1982,5,2,2,5,-3.0157
1982,5,2,3,17,-0.2047
1982,5,2,4,12,3.4899
1982,5,2,5,21,-3.6596
1982,5,3,1,14,-2.5572
1982,5,3,2,11,-2.7956
1982,5,3,3,10,-5.6098
1982,5,3,4,10,-2.1751
1982,5,3,5,11,-2.2751
1982,6,1,1,66,-5.2789
1982,6,1,2,71,-2.5956
1982,6,1,3,63,-2.2691
1982,6,1,4,43,-4.2013
1982,6,1,5,50,-2.3742
1982,6,2,1,21,-1.7387
1982,6,2,2,14,-3.7737
1982,6,2,3,16,-6.5429
1982,6,2,4,11,-4.8709
1982,6,2,5,21,-3.2219
1982,6,3,1,12,-5.9752
1982,6,3,2,10,-2.2131
1982,6,3,3,9,-3.8728
1982,6,3,4,15,-2.7508
1982,6,3,5,12,-4.8148
1982,7,1,1,110,-1.2501
1982,7,1,2,68,-0.9981
1982,7,1,3,79,-4.0726
1982,7,1,4,41,4.5123
1982,7,1,5,60,-0.0175
1982,7,2,1,21,-4.5326
1982,7,2,2,22,-6.0721
1982,7,2,3,23,-3.4389
1982,7,2,4,11,0.9067
1982,7,2,5,13,4.3548
1982,7,3,1,19,-6.5637
1982,7,3,2,11,0.8759
1982,7,3,3,16,-3.1117
1982,7,3,4,5,-5.2805
1982,7,3,5,5,-3.6968
1982,8,1,1,106,3.6084
1982,8,1,2,40,3.8428
1982,8,1,3,41,10.0733
1982,8,1,4,69,4.7164
1982,8,1,5,99,7.3093
1982,8,2,1,28,7.1579
1982,8,2,2,14,8.2656
1982,8,2,3,14,10.3542
1982,8,2,4,19,4.8647
1982,8,2,5,16,15.2387
1982,8,3,1,13,11.0043
1982,8,3,2,10,13.9987
1982,8,3,3,11,13.4836
1982,8,3,4,15,14.2704
1982,8,3,5,7,13.6994
1982,9,1,1,95,4.7022
