year,month,rank_ME,rank_dEF_12,nstocks,ret_vw
1976,3,1,1,9,1.8728
1976,3,1,2,1,-6.0976
1976,3,1,3,2,-9.1943
1976,3,1,4,7,-2.8410
1976,3,1,5,8,2.0599
1976,3,2,1,15,1.9753
1976,3,2,2,11,-0.8813
1976,3,2,3,7,1.4536
1976,3,2,4,2,-4.0290
1976,3,2,5,18,0.8042
1976,3,3,1,24,-3.3049
1976,3,3,2,36,4.8437
1976,3,3,3,34,-0.0864
1976,3,3,4,35,2.4274
1976,3,3,5,25,6.4987
1976,4,1,1,12,-0.9813
1976,4,1,2,4,-1.3381
1976,4,1,3,2,-6.0643
1976,4,1,4,8,-6.3109
1976,4,1,5,12,-2.3991
1976,4,2,1,36,0.0913
1976,4,2,2,15,-1.7806
1976,4,2,3,8,1.5691
1976,4,2,4,14,-1.5001
1976,4,2,5,33,-1.3441
1976,4,3,1,61,-4.0492
1976,4,3,2,89,-2.3604
1976,4,3,3,83,-0.8235
1976,4,3,4,77,-2.5858
1976,4,3,5,59,-1.5460
1976,5,1,1,20,-3.0961
1976,5,1,2,4,-7.9754
1976,5,1,3,5,-1.0904
1976,5,1,4,8,-7.0978
1976,5,1,5,19,-4.9342
1976,5,2,1,49,-1.4933
1976,5,2,2,21,-1.4304
1976,5,2,3,17,-5.8526
1976,5,2,4,29,4.1615
1976,5,2,5,61,-5.5628
1976,5,3,1,108,-0.4517
1976,5,3,2,144,-1.6520
1976,5,3,3,145,-0.5525
1976,5,3,4,137,-2.2429
1976,5,3,5,103,-2.2921
1976,6,1,1,25,6.7684
1976,6,1,2,5,-1.2767
1976,6,1,3,6,0.3116
1976,6,1,4,11,2.4608
1976,6,1,5,23,3.8014
1976,6,2,1,64,5.1015
1976,6,2,2,30,6.9897
1976,6,2,3,26,7.1180
1976,6,2,4,42,8.4940
1976,6,2,5,71,6.2888
1976,6,3,1,148,6.2010
1976,6,3,2,185,4.2636
1976,6,3,3,185,4.0474
1976,6,3,4,175,4.7067
1976,6,3,5,142,3.5739
1976,7,1,1,43,-0.1324
1976,7,1,2,5,-0.6935
1976,7,1,3,6,4.1217
1976,7,1,4,13,0.2162
1976,7,1,5,26,0.2303
1976,7,2,1,79,-1.5830
1976,7,2,2,38,-1.8046
1976,7,2,3,35,-0.7038
1976,7,2,4,53,-2.1664
1976,7,2,5,88,-1.0758
1976,7,3,1,182,-2.2755
1976,7,3,2,223,-0.9953
1976,7,3,3,223,-0.4127
1976,7,3,4,222,-2.0450
1976,7,3,5,177,-2.0790
1976,8,1,1,46,-7.2487
1976,8,1,2,5,-0.2423
1976,8,1,3,10,-0.7078
1976,8,1,4,13,-0.0324
1976,8,1,5,26,-1.9063
1976,8,2,1,94,-2.8501
1976,8,2,2,47,-3.1570
1976,8,2,3,42,-5.0961
1976,8,2,4,64,-2.1040
1976,8,2,5,105,-2.5568
1976,8,3,1,215,-1.8097
1976,8,3,2,252,0.3436
1976,8,3,3,262,0.2541
1976,8,3,4,265,-0.2963
1976,8,3,5,209,-0.7781
1976,9,1,1,48,0.4347
1976,9,1,2,7,0.8208
1976,9,1,3,10,0.4784
1976,9,1,4,13,0.4370
1976,9,1,5,29,-0.0946
1976,9,2,1,110,3.3545
1976,9,2,2,48,5.1976
1976,9,2,3,46,5.0886
1976,9,2,4,76,4.7771
1976,9,2,5,115,2.9875
1976,9,3,1,236,2.9470
1976,9,3,2,270,1.2364
1976,9,3,3,285,2.6972
1976,9,3,4,288,2.2291
1976,9,3,5,229,3.8470
1976,10,1,1,54,-2.9484
1976,10,1,2,7,-3.9480
1976,10,1,3,11,1.0817
1976,10,1,4,15,-2.0661
1976,10,1,5,45,-4.9700
1976,10,2,1,117,-3.6194
1976,10,2,2,58,-3.5035
1976,10,2,3,59,-3.3375
1976,10,2,4,85,-4.8494
1976,10,2,5,127,-3.2685
1976,10,3,1,257,-3.4416
1976,10,3,2,292,-2.2477
1976,10,3,3,309,-2.5812
1976,10,3,4,308,-2.3529
1976,10,3,5,243,-1.9259
1976,11,1,1,59,4.1508
