year,month,rank_ME,rank_ILE_1,nstocks,ret_vw
1967,1,1,1,151,18.9732
1967,1,1,2,265,19.6930
1967,1,1,3,157,17.8326
1967,1,1,4,137,23.4479
1967,1,1,5,170,18.8266
1967,1,2,1,77,16.9327
1967,1,2,2,93,15.6777
1967,1,2,3,90,13.4218
1967,1,2,4,54,17.0555
1967,1,2,5,86,16.7208
1967,1,3,1,82,11.5144
1967,1,3,2,132,9.8215
1967,1,3,3,164,8.6411
1967,1,3,4,73,10.4023
1967,1,3,5,156,9.8317
1967,2,1,1,196,3.4924
1967,2,1,2,331,5.6617
1967,2,1,3,176,8.5216
1967,2,1,4,92,5.0603
1967,2,1,5,130,4.9226
1967,2,2,1,108,1.8530
1967,2,2,2,111,1.4472
1967,2,2,3,59,3.1450
1967,2,2,4,59,5.9502
1967,2,2,5,67,6.6888
1967,2,3,1,118,2.3437
1967,2,3,2,132,2.1615
1967,2,3,3,88,1.7365
1967,2,3,4,72,1.1182
1967,2,3,5,202,3.2356
1967,3,1,1,216,9.2274
1967,3,1,2,288,6.7656
1967,3,1,3,193,7.1595
1967,3,1,4,98,7.1649
1967,3,1,5,125,10.1484
1967,3,2,1,113,9.0043
1967,3,2,2,98,6.2761
1967,3,2,3,73,6.7733
1967,3,2,4,59,11.0047
1967,3,2,5,69,7.4728
1967,3,3,1,123,7.1100
1967,3,3,2,113,6.5412
1967,3,3,3,113,4.7018
1967,3,3,4,76,4.6206
1967,3,3,5,188,4.1040
1967,4,1,1,282,3.3079
1967,4,1,2,192,6.9972
1967,4,1,3,207,3.9499
1967,4,1,4,110,8.1416
1967,4,1,5,125,3.5385
1967,4,2,1,132,2.6359
1967,4,2,2,80,4.6945
1967,4,2,3,66,3.7463
1967,4,2,4,69,4.1098
1967,4,2,5,69,4.2270
1967,4,3,1,144,8.3828
1967,4,3,2,94,5.1043
1967,4,3,3,101,6.7988
1967,4,3,4,84,3.8833
1967,4,3,5,187,6.5159
1967,5,1,1,238,-1.0207
1967,5,1,2,213,1.1790
1967,5,1,3,180,-0.8747
1967,5,1,4,177,-0.2019
1967,5,1,5,97,-2.8710
1967,5,2,1,90,-0.4898
1967,5,2,2,94,-0.9240
1967,5,2,3,93,-1.5054
1967,5,2,4,79,-2.9520
1967,5,2,5,64,-4.7423
1967,5,3,1,68,-2.9433
1967,5,3,2,143,-3.5299
1967,5,3,3,100,-1.8263
1967,5,3,4,207,-3.8902
1967,5,3,5,93,-4.0012
1967,6,1,1,299,8.9513
1967,6,1,2,212,11.3979
1967,6,1,3,149,12.8771
1967,6,1,4,150,8.8750
1967,6,1,5,96,14.7260
1967,6,2,1,110,6.6496
1967,6,2,2,111,7.8983
1967,6,2,3,73,8.0487
1967,6,2,4,68,6.4547
1967,6,2,5,64,11.1107
1967,6,3,1,91,3.4930
1967,6,3,2,139,3.4506
1967,6,3,3,104,3.7891
1967,6,3,4,186,3.3234
1967,6,3,5,87,4.7729
1967,7,1,1,296,10.5710
1967,7,1,2,197,7.4660
1967,7,1,3,141,8.9261
1967,7,1,4,157,8.5720
1967,7,1,5,102,9.6297
1967,7,2,1,109,6.3158
1967,7,2,2,111,5.9251
1967,7,2,3,66,8.1133
1967,7,2,4,87,8.8299
1967,7,2,5,63,5.9963
1967,7,3,1,99,5.2617
1967,7,3,2,129,4.6168
1967,7,3,3,75,5.1220
1967,7,3,4,211,2.4830
1967,7,3,5,90,5.0525
1967,8,1,1,277,1.7923
1967,8,1,2,176,0.1550
1967,8,1,3,187,0.4572
1967,8,1,4,114,-0.0854
1967,8,1,5,95,1.7373
1967,8,2,1,125,0.5670
1967,8,2,2,88,-1.1074
1967,8,2,3,103,-1.0157
1967,8,2,4,61,-0.9860
1967,8,2,5,54,2.6993
1967,8,3,1,119,-0.5992
1967,8,3,2,105,1.2940
1967,8,3,3,127,-0.3931
1967,8,3,4,97,-1.2222
1967,8,3,5,151,-0.6925
1967,9,1,1,277,10.8486
1967,9,1,2,154,7.3501
1967,9,1,3,202,8.3655
1967,9,1,4,126,8.4364
1967,9,1,5,82,4.8879
1967,9,2,1,128,6.8793
1967,9,2,2,87,5.9081
1967,9,2,3,97,6.0823
1967,9,2,4,57,7.2035
1967,9,2,5,59,4.2853
1967,9,3,1,116,4.5953
1967,9,3,2,101,2.6612
1967,9,3,3,130,3.0076
1967,9,3,4,91,4.6486
1967,9,3,5,159,1.7924
1967,10,1,1,277,-1.1312
1967,10,1,2,144,-2.4241
1967,10,1,3,173,-1.4578
1967,10,1,4,179,-1.2849
1967,10,1,5,83,-6.4446
1967,10,2,1,128,-5.2026
1967,10,2,2,75,-3.9820
1967,10,2,3,73,-2.8182
1967,10,2,4,93,-2.0872
1967,10,2,5,66,-1.2291
1967,10,3,1,115,-4.3329
1967,10,3,2,103,-2.3077
1967,10,3,3,80,0.4686
1967,10,3,4,144,-2.5203
1967,10,3,5,154,-2.5617
1967,11,1,1,170,-0.1900
1967,11,1,2,267,-0.6636
1967,11,1,3,147,2.3522
1967,11,1,4,168,0.5834
1967,11,1,5,95,0.1345
1967,11,2,1,93,-1.6605
1967,11,2,2,138,-0.4781
1967,11,2,3,65,1.0823
1967,11,2,4,89,2.2330
1967,11,2,5,40,1.3479
1967,11,3,1,88,-1.5034
1967,11,3,2,150,-0.5615
1967,11,3,3,83,2.3834
1967,11,3,4,159,0.0044
1967,11,3,5,117,2.7298
1967,12,1,1,169,10.2693
1967,12,1,2,189,8.6044
1967,12,1,3,235,10.1596
1967,12,1,4,133,10.0535
1967,12,1,5,127,13.5394
1967,12,2,1,92,6.3521
1967,12,2,2,106,8.1962
1967,12,2,3,92,8.0902
1967,12,2,4,77,6.2283
1967,12,2,5,54,7.9891
1967,12,3,1,88,1.6307
1967,12,3,2,118,3.7522
1967,12,3,3,112,3.3078
1967,12,3,4,152,2.0169
1967,12,3,5,127,3.5227
1968,1,1,1,175,2.8626
1968,1,1,2,179,2.7538
1968,1,1,3,219,2.4579
1968,1,1,4,164,2.3377
1968,1,1,5,116,5.0505
1968,1,2,1,89,-0.4166
1968,1,2,2,115,-0.7656
1968,1,2,3,94,-2.1015
1968,1,2,4,85,-2.5096
1968,1,2,5,53,-1.7345
1968,1,3,1,85,-2.8081
1968,1,3,2,119,-4.2611
1968,1,3,3,117,-6.0259
1968,1,3,4,148,-3.4428
1968,1,3,5,128,-5.2641
1968,2,1,1,93,-8.3313
1968,2,1,2,257,-6.4929
1968,2,1,3,239,-7.4743
1968,2,1,4,139,-7.1861
1968,2,1,5,118,-5.2783
1968,2,2,1,62,-4.3259
1968,2,2,2,128,-6.3023
1968,2,2,3,106,-5.1372
1968,2,2,4,90,-6.5256
1968,2,2,5,52,-4.9852
1968,2,3,1,72,-4.1808
1968,2,3,2,162,-4.1237
1968,2,3,3,86,-4.1289
1968,2,3,4,174,-6.4148
1968,2,3,5,100,-3.1199
1968,3,1,1,96,-0.4961
1968,3,1,2,255,-2.1934
1968,3,1,3,257,-3.0315
1968,3,1,4,133,-1.3555
1968,3,1,5,124,-1.6341
1968,3,2,1,62,-0.5342
1968,3,2,2,127,-1.6023
1968,3,2,3,113,-1.0940
1968,3,2,4,82,-0.1866
1968,3,2,5,48,-0.1556
1968,3,3,1,71,1.1755
1968,3,3,2,137,0.9653
1968,3,3,3,103,0.5465
1968,3,3,4,174,2.4706
1968,3,3,5,99,2.0392
1968,4,1,1,102,15.4611
1968,4,1,2,261,17.1898
1968,4,1,3,236,18.1987
1968,4,1,4,172,13.8364
1968,4,1,5,93,15.9214
1968,4,2,1,67,10.5459
1968,4,2,2,126,15.9033
1968,4,2,3,93,18.9426
1968,4,2,4,86,14.2951
1968,4,2,5,48,14.4144
1968,4,3,1,84,9.5011
1968,4,3,2,141,9.8240
1968,4,3,3,89,12.2628
1968,4,3,4,181,12.8081
1968,4,3,5,92,11.1675
1968,5,1,1,222,12.1039
1968,5,1,2,234,11.9972
1968,5,1,3,108,11.8351
1968,5,1,4,206,16.5457
1968,5,1,5,96,13.4612
1968,5,2,1,107,5.3258
1968,5,2,2,117,7.8433
1968,5,2,3,49,8.0998
1968,5,2,4,73,6.8106
1968,5,2,5,73,1.6774
1968,5,3,1,107,2.8002
1968,5,3,2,142,2.0931
1968,5,3,3,83,3.8258
1968,5,3,4,93,4.9590
1968,5,3,5,170,2.7682
1968,6,1,1,174,1.9158
1968,6,1,2,280,0.8135
1968,6,1,3,109,0.5073
1968,6,1,4,92,0.8294
1968,6,1,5,213,0.3681
1968,6,2,1,101,-0.4792
1968,6,2,2,127,-0.5221
1968,6,2,3,50,2.2576
1968,6,2,4,72,0.5127
1968,6,2,5,74,0.4393
1968,6,3,1,120,1.9659
1968,6,3,2,125,-1.4243
1968,6,3,3,79,-2.4919
1968,6,3,4,150,-0.0838
1968,6,3,5,118,1.4916
1968,7,1,1,234,-5.5297
1968,7,1,2,221,-6.0927
1968,7,1,3,88,-4.1718
1968,7,1,4,98,-1.9723
1968,7,1,5,214,-2.2242
1968,7,2,1,109,-3.6821
1968,7,2,2,117,-4.5434
1968,7,2,3,48,-6.6423
1968,7,2,4,48,-0.9889
1968,7,2,5,110,0.4698
1968,7,3,1,130,-4.3197
1968,7,3,2,114,-2.4631
1968,7,3,3,79,-5.4070
1968,7,3,4,76,-6.1850
1968,7,3,5,192,-2.3533
1968,8,1,1,154,3.0691
1968,8,1,2,186,2.3266
1968,8,1,3,145,4.5813
1968,8,1,4,143,5.8370
1968,8,1,5,226,5.0155
1968,8,2,1,89,5.4594
1968,8,2,2,86,2.4848
1968,8,2,3,73,2.3244
1968,8,2,4,88,4.2033
1968,8,2,5,84,3.8670
1968,8,3,1,110,4.4007
1968,8,3,2,109,1.4705
1968,8,3,3,88,2.5490
1968,8,3,4,156,1.3346
1968,8,3,5,131,1.8672
1968,9,1,1,215,6.3488
1968,9,1,2,166,8.3698
1968,9,1,3,165,5.4527
1968,9,1,4,183,7.6438
1968,9,1,5,126,10.8258
1968,9,2,1,98,7.8075
1968,9,2,2,90,5.3956
1968,9,2,3,89,8.2895
1968,9,2,4,94,4.4263
1968,9,2,5,52,7.5501
1968,9,3,1,120,7.9602
1968,9,3,2,109,5.2823
1968,9,3,3,103,6.0143
1968,9,3,4,143,6.7149
1968,9,3,5,120,3.2526
1968,10,1,1,161,2.3221
1968,10,1,2,216,-2.3178
1968,10,1,3,199,-0.2852
1968,10,1,4,124,0.2136
1968,10,1,5,150,0.0823
1968,10,2,1,69,0.2185
1968,10,2,2,127,1.5444
1968,10,2,3,92,0.1194
1968,10,2,4,77,-1.2425
1968,10,2,5,64,3.9204
1968,10,3,1,93,-0.2353
1968,10,3,2,149,2.1185
1968,10,3,3,95,-0.7257
1968,10,3,4,144,-0.5361
1968,10,3,5,114,-0.2983
1968,11,1,1,220,6.3693
1968,11,1,2,244,6.3650
1968,11,1,3,166,4.0282
1968,11,1,4,157,6.9334
1968,11,1,5,114,6.9128
1968,11,2,1,132,8.4370
1968,11,2,2,125,7.7207
1968,11,2,3,74,8.3632
1968,11,2,4,60,9.2126
1968,11,2,5,42,8.6456
1968,11,3,1,193,6.9722
1968,11,3,2,150,6.1676
1968,11,3,3,91,7.1292
1968,11,3,4,110,5.2337
1968,11,3,5,52,4.1652
1968,12,1,1,226,-0.2645
1968,12,1,2,158,4.0013
1968,12,1,3,236,1.4505
1968,12,1,4,185,1.4305
1968,12,1,5,93,3.2218
1968,12,2,1,133,-2.3714
1968,12,2,2,86,1.0025
1968,12,2,3,97,0.9263
1968,12,2,4,96,-2.7906
1968,12,2,5,33,1.5197
1968,12,3,1,191,-5.6936
1968,12,3,2,125,-2.0883
1968,12,3,3,108,-3.6786
1968,12,3,4,122,-2.8387
1968,12,3,5,46,0.4392
1969,1,1,1,228,-1.7459
1969,1,1,2,194,-0.7594
1969,1,1,3,282,-3.4337
1969,1,1,4,82,0.8585
1969,1,1,5,113,-0.4032
1969,1,2,1,137,-1.4662
1969,1,2,2,95,0.5049
1969,1,2,3,122,-1.5067
1969,1,2,4,45,-2.1299
1969,1,2,5,43,-1.8322
1969,1,3,1,188,0.5389
1969,1,3,2,124,-2.0439
1969,1,3,3,143,-0.1698
1969,1,3,4,87,-3.2915
1969,1,3,5,51,-2.1378
1969,2,1,1,129,-10.0258
1969,2,1,2,215,-9.2699
1969,2,1,3,366,-9.9991
1969,2,1,4,120,-9.9117
1969,2,1,5,79,-8.4642
1969,2,2,1,71,-9.1360
1969,2,2,2,83,-9.0950
1969,2,2,3,161,-10.0158
1969,2,2,4,93,-9.1466
1969,2,2,5,37,-8.4474
1969,2,3,1,102,-7.1045
1969,2,3,2,96,-5.5892
1969,2,3,3,189,-6.5645
1969,2,3,4,167,-6.0098
1969,2,3,5,48,-5.4530
1969,3,1,1,150,2.0385
1969,3,1,2,223,3.4092
1969,3,1,3,299,1.4566
1969,3,1,4,171,1.7577
1969,3,1,5,83,1.0702
1969,3,2,1,73,0.9405
1969,3,2,2,81,2.7832
1969,3,2,3,168,1.3653
1969,3,2,4,84,2.1719
1969,3,2,5,37,2.4245
1969,3,3,1,108,-0.4936
1969,3,3,2,90,1.3769
1969,3,3,3,264,2.7159
1969,3,3,4,92,2.0578
1969,3,3,5,45,4.2653
1969,4,1,1,172,-0.4756
1969,4,1,2,223,-0.4258
1969,4,1,3,298,-0.7031
1969,4,1,4,111,-1.5529
1969,4,1,5,126,-0.1289
1969,4,2,1,81,1.5415
1969,4,2,2,85,-4.6898
1969,4,2,3,141,2.8940
1969,4,2,4,92,-0.8706
1969,4,2,5,40,2.9019
1969,4,3,1,93,-0.3536
1969,4,3,2,105,-0.4144
1969,4,3,3,191,2.1099
1969,4,3,4,161,1.7273
1969,4,3,5,52,2.2080
1969,5,1,1,88,-1.5017
1969,5,1,2,197,2.5932
1969,5,1,3,348,0.6527
1969,5,1,4,186,-0.4486
1969,5,1,5,115,2.7218
1969,5,2,1,42,-4.3886
1969,5,2,2,123,-1.9987
1969,5,2,3,150,-0.3348
1969,5,2,4,86,-1.7741
1969,5,2,5,58,2.4951
1969,5,3,1,59,-3.8968
1969,5,3,2,185,1.8264
1969,5,3,3,138,0.3888
1969,5,3,4,106,-0.3134
1969,5,3,5,117,1.4665
1969,6,1,1,87,-11.2450
1969,6,1,2,320,-12.0026
1969,6,1,3,258,-14.6439
1969,6,1,4,153,-12.1298
1969,6,1,5,109,-13.4570
1969,6,2,1,52,-10.1352
1969,6,2,2,153,-12.6559
1969,6,2,3,119,-10.9099
1969,6,2,4,85,-12.3528
1969,6,2,5,55,-10.7424
1969,6,3,1,69,-9.5060
1969,6,3,2,210,-9.6104
1969,6,3,3,123,-5.9758
1969,6,3,4,162,-7.8947
1969,6,3,5,46,-8.0913
1969,7,1,1,160,-13.5849
1969,7,1,2,188,-11.8584
1969,7,1,3,300,-10.8575
1969,7,1,4,186,-11.5788
1969,7,1,5,114,-10.7501
1969,7,2,1,62,-9.4861
1969,7,2,2,95,-9.8927
1969,7,2,3,153,-8.3922
1969,7,2,4,81,-10.4138
1969,7,2,5,70,-8.6880
1969,7,3,1,63,-6.3479
1969,7,3,2,128,-6.0282
1969,7,3,3,200,-5.5172
1969,7,3,4,118,-6.0976
1969,7,3,5,100,-7.4044
1969,8,1,1,186,6.6393
1969,8,1,2,162,4.8794
1969,8,1,3,310,3.6560
1969,8,1,4,186,5.0954
1969,8,1,5,114,6.5141
1969,8,2,1,84,4.5227
1969,8,2,2,91,4.7665
1969,8,2,3,152,5.2006
1969,8,2,4,81,6.8408
1969,8,2,5,52,8.6273
1969,8,3,1,85,4.7308
1969,8,3,2,134,6.0355
1969,8,3,3,185,4.6815
1969,8,3,4,122,5.5087
1969,8,3,5,85,9.5542
1969,9,1,1,120,-3.5040
1969,9,1,2,201,-2.4136
1969,9,1,3,261,-3.5157
1969,9,1,4,265,-3.1976
1969,9,1,5,120,-3.6350
1969,9,2,1,64,1.8254
