year,month,rank_ME,rank_ILR_12,nstocks,ret_vw
1967,1,1,1,226,17.9445
1967,1,1,2,245,20.4465
1967,1,1,3,205,21.2213
1967,1,1,4,203,19.3788
1967,1,1,5,54,14.8750
1967,1,2,1,81,14.8602
1967,1,2,2,103,14.6813
1967,1,2,3,101,14.7438
1967,1,2,4,109,15.2710
1967,1,2,5,21,18.0330
1967,1,3,1,130,11.4292
1967,1,3,2,149,9.7375
1967,1,3,3,213,11.7260
1967,1,3,4,104,11.3208
1967,1,3,5,18,6.3291
1967,2,1,1,298,5.8454
1967,2,1,2,284,6.3563
1967,2,1,3,384,4.3977
1967,2,1,4,371,6.0873
1967,2,1,5,192,5.0211
1967,2,2,1,128,4.1650
1967,2,2,2,125,4.5238
1967,2,2,3,164,2.4383
1967,2,2,4,196,3.1963
1967,2,2,5,66,3.4998
1967,2,3,1,290,0.8551
1967,2,3,2,205,2.3892
1967,2,3,3,261,1.6241
1967,2,3,4,189,1.1707
1967,2,3,5,74,3.0259
1967,3,1,1,414,8.9195
1967,3,1,2,435,8.8742
1967,3,1,3,484,7.9392
1967,3,1,4,494,8.5226
1967,3,1,5,235,9.3037
1967,3,2,1,211,5.5346
1967,3,2,2,196,7.4884
1967,3,2,3,216,8.0941
1967,3,2,4,245,7.0690
1967,3,2,5,89,8.8021
1967,3,3,1,364,3.0611
1967,3,3,2,315,5.2110
1967,3,3,3,341,5.6872
1967,3,3,4,252,4.9477
1967,3,3,5,102,5.8051
1967,4,1,1,481,3.4905
1967,4,1,2,577,5.2886
1967,4,1,3,625,4.3928
1967,4,1,4,526,4.8018
1967,4,1,5,386,4.5703
1967,4,2,1,237,1.7200
1967,4,2,2,239,3.9899
1967,4,2,3,288,3.3601
1967,4,2,4,264,4.5098
1967,4,2,5,183,4.3381
1967,4,3,1,373,5.3651
1967,4,3,2,378,4.8879
1967,4,3,3,434,5.0304
1967,4,3,4,306,5.4078
1967,4,3,5,169,9.9058
1967,5,1,1,573,1.1032
1967,5,1,2,640,0.7355
1967,5,1,3,767,0.4410
1967,5,1,4,578,-0.5853
1967,5,1,5,509,-0.3280
1967,5,2,1,272,-0.5371
1967,5,2,2,284,-1.7745
1967,5,2,3,360,-0.8694
1967,5,2,4,298,-2.1974
1967,5,2,5,227,-1.8839
1967,5,3,1,424,-1.8150
1967,5,3,2,416,-2.8926
1967,5,3,3,521,-3.0735
1967,5,3,4,360,-2.8211
1967,5,3,5,219,-2.5014
1967,6,1,1,746,8.7495
1967,6,1,2,740,10.8279
1967,6,1,3,849,11.2054
1967,6,1,4,615,10.6040
1967,6,1,5,529,11.2781
1967,6,2,1,350,7.3027
1967,6,2,2,343,7.1703
1967,6,2,3,394,9.2155
1967,6,2,4,317,7.9732
1967,6,2,5,241,8.8722
1967,6,3,1,503,2.5362
1967,6,3,2,532,2.7377
1967,6,3,3,590,3.2564
1967,6,3,4,366,2.6715
1967,6,3,5,234,5.5786
1967,7,1,1,780,8.1002
1967,7,1,2,738,8.2736
1967,7,1,3,867,9.2879
1967,7,1,4,661,8.5376
1967,7,1,5,529,8.7973
1967,7,2,1,383,7.0792
1967,7,2,2,352,8.5568
1967,7,2,3,427,7.7368
1967,7,2,4,334,6.6634
1967,7,2,5,245,7.5936
1967,7,3,1,550,5.7366
1967,7,3,2,530,4.7470
1967,7,3,3,600,4.8817
1967,7,3,4,377,5.1820
1967,7,3,5,238,3.0424
1967,8,1,1,809,0.2370
1967,8,1,2,731,-0.0834
1967,8,1,3,864,0.6350
1967,8,1,4,761,0.8322
1967,8,1,5,559,1.4541
1967,8,2,1,396,-0.2622
1967,8,2,2,356,-0.5035
1967,8,2,3,443,-0.8122
1967,8,2,4,394,-0.7401
1967,8,2,5,267,-0.0477
1967,8,3,1,558,-1.4553
1967,8,3,2,530,-0.8852
1967,8,3,3,600,0.4719
1967,8,3,4,465,-0.5679
1967,8,3,5,257,-1.7649
1967,9,1,1,829,7.8617
1967,9,1,2,745,8.1690
1967,9,1,3,869,8.4811
1967,9,1,4,861,7.7563
1967,9,1,5,637,8.9841
1967,9,2,1,411,4.4879
1967,9,2,2,376,5.9594
1967,9,2,3,454,5.9996
1967,9,2,4,437,5.4226
1967,9,2,5,304,5.4920
1967,9,3,1,567,2.3932
1967,9,3,2,546,2.9719
1967,9,3,3,599,3.7949
1967,9,3,4,502,3.8639
1967,9,3,5,276,4.4049
1967,10,1,1,844,-2.8463
1967,10,1,2,832,-2.4792
1967,10,1,3,899,-1.6899
1967,10,1,4,875,-2.9168
1967,10,1,5,633,-1.7116
1967,10,2,1,426,-2.5137
1967,10,2,2,425,-3.3669
1967,10,2,3,470,-1.5062
1967,10,2,4,454,-2.5285
1967,10,2,5,308,0.2591
1967,10,3,1,579,-3.8308
1967,10,3,2,579,-2.7886
1967,10,3,3,607,-2.6306
1967,10,3,4,508,-2.5690
1967,10,3,5,275,-2.0455
1967,11,1,1,849,0.2513
1967,11,1,2,835,-0.1916
1967,11,1,3,911,-0.2761
1967,11,1,4,899,-0.0769
1967,11,1,5,627,0.1523
1967,11,2,1,433,0.3103
1967,11,2,2,437,1.7166
1967,11,2,3,479,0.4695
1967,11,2,4,464,0.9931
1967,11,2,5,305,1.6639
1967,11,3,1,587,0.5177
1967,11,3,2,582,0.3462
