year,month,rank_ME,rank_IM_6,nstocks,ret_vw
1967,1,1,1,201,18.8954
1967,1,1,2,250,18.3305
1967,1,1,3,245,18.7585
1967,1,1,4,128,19.1101
1967,1,1,5,110,20.3770
1967,1,2,1,70,18.4894
1967,1,2,2,117,17.0066
1967,1,2,3,108,14.3903
1967,1,2,4,44,14.6497
1967,1,2,5,76,13.1313
1967,1,3,1,84,11.6611
1967,1,3,2,117,13.2087
1967,1,3,3,126,12.5785
1967,1,3,4,95,6.9152
1967,1,3,5,192,7.8405
1967,2,1,1,244,5.6022
1967,2,1,2,332,4.3395
1967,2,1,3,391,5.3433
1967,2,1,4,274,5.3143
1967,2,1,5,183,5.6722
1967,2,2,1,99,1.6504
1967,2,2,2,150,2.8973
1967,2,2,3,176,3.0818
1967,2,2,4,87,4.8248
1967,2,2,5,114,4.9629
1967,2,3,1,109,0.3015
1967,2,3,2,159,0.9544
1967,2,3,3,335,0.5284
1967,2,3,4,148,3.6617
1967,2,3,5,248,3.2653
1967,3,1,1,250,7.5213
1967,3,1,2,435,7.9334
1967,3,1,3,449,8.9307
1967,3,1,4,385,10.0519
1967,3,1,5,258,9.1300
1967,3,2,1,103,3.1523
1967,3,2,2,192,7.9974
1967,3,2,3,223,8.1087
1967,3,2,4,151,9.2692
1967,3,2,5,126,8.3569
1967,3,3,1,110,1.2984
1967,3,3,2,252,6.1093
1967,3,3,3,391,4.9196
1967,3,3,4,207,5.8105
1967,3,3,5,253,6.0432
1967,4,1,1,304,3.9077
1967,4,1,2,471,5.5691
1967,4,1,3,533,3.5723
1967,4,1,4,404,4.7010
1967,4,1,5,279,6.6767
1967,4,2,1,143,2.9789
1967,4,2,2,221,2.9201
1967,4,2,3,274,2.9908
1967,4,2,4,165,3.8566
1967,4,2,5,137,5.2500
1967,4,3,1,247,6.9112
1967,4,3,2,305,4.4782
1967,4,3,3,433,4.5088
1967,4,3,4,226,6.4459
1967,4,3,5,256,7.8300
1967,5,1,1,363,1.4440
1967,5,1,2,631,0.6398
1967,5,1,3,581,0.4898
1967,5,1,4,414,-0.1150
1967,5,1,5,276,-1.7429
1967,5,2,1,173,-0.8492
1967,5,2,2,293,-1.1520
1967,5,2,3,294,-1.8584
1967,5,2,4,180,-2.4744
1967,5,2,5,141,-0.9279
1967,5,3,1,306,-2.3652
1967,5,3,2,393,-3.0134
1967,5,3,3,448,-3.3417
1967,5,3,4,233,-2.7568
1967,5,3,5,258,-1.6616
1967,6,1,1,367,7.6585
1967,6,1,2,682,9.5125
1967,6,1,3,618,10.1591
1967,6,1,4,445,12.7693
1967,6,1,5,280,12.3607
1967,6,2,1,177,8.2690
1967,6,2,2,314,7.0626
1967,6,2,3,323,8.4334
1967,6,2,4,193,7.9624
1967,6,2,5,145,8.8081
1967,6,3,1,329,1.8722
1967,6,3,2,409,1.8352
1967,6,3,3,464,3.0427
1967,6,3,4,237,4.0121
1967,6,3,5,255,6.0516
1967,7,1,1,377,8.0708
1967,7,1,2,605,8.4840
1967,7,1,3,707,9.9164
1967,7,1,4,393,8.5827
1967,7,1,5,220,6.5525
1967,7,2,1,198,7.8667
1967,7,2,2,298,7.7690
1967,7,2,3,368,8.4500
1967,7,2,4,196,6.5865
1967,7,2,5,104,7.0130
1967,7,3,1,362,6.6287
1967,7,3,2,400,4.5526
1967,7,3,3,482,5.7361
1967,7,3,4,192,4.6199
1967,7,3,5,108,1.6624
1967,8,1,1,383,-1.1475
1967,8,1,2,584,0.6012
1967,8,1,3,616,-0.2509
1967,8,1,4,316,1.8601
1967,8,1,5,171,1.0950
1967,8,2,1,206,0.3934
1967,8,2,2,293,-0.3217
1967,8,2,3,335,-1.4853
1967,8,2,4,186,-1.3987
1967,8,2,5,77,1.2555
1967,8,3,1,371,-2.4624
1967,8,3,2,397,-0.2003
1967,8,3,3,399,-0.9957
1967,8,3,4,170,0.5542
1967,8,3,5,70,-0.9563
1967,9,1,1,380,7.2221
1967,9,1,2,535,8.7171
1967,9,1,3,628,7.4056
1967,9,1,4,394,9.0781
1967,9,1,5,190,10.9859
1967,9,2,1,210,4.1467
1967,9,2,2,260,4.9834
1967,9,2,3,325,5.8666
1967,9,2,4,206,8.2894
1967,9,2,5,89,3.5701
1967,9,3,1,374,2.3573
1967,9,3,2,369,2.6190
1967,9,3,3,333,3.1672
1967,9,3,4,182,4.5585
1967,9,3,5,75,5.2960
1967,10,1,1,220,-3.0373
1967,10,1,2,534,-2.6441
1967,10,1,3,626,-1.2473
1967,10,1,4,420,-1.4212
1967,10,1,5,186,-0.2877
1967,10,2,1,154,-3.8206
1967,10,2,2,260,-4.2886
1967,10,2,3,327,-2.7389
1967,10,2,4,225,-0.9335
1967,10,2,5,90,0.3961
1967,10,3,1,315,-4.2821
1967,10,3,2,358,-3.6467
1967,10,3,3,343,-3.7724
1967,10,3,4,187,-0.4089
1967,10,3,5,71,-0.4453
1967,11,1,1,223,0.3511
1967,11,1,2,534,-0.4088
1967,11,1,3,642,0.4774
1967,11,1,4,405,0.5320
1967,11,1,5,226,1.2579
1967,11,2,1,158,-0.5406
1967,11,2,2,259,0.8027
1967,11,2,3,313,1.7589
1967,11,2,4,210,0.8014
1967,11,2,5,103,1.6430
1967,11,3,1,315,-0.3297
1967,11,3,2,370,-0.7491
1967,11,3,3,358,1.0004
1967,11,3,4,185,0.1034
1967,11,3,5,90,3.1757
1967,12,1,1,245,7.5205
1967,12,1,2,441,10.2166
1967,12,1,3,622,8.6192
1967,12,1,4,437,9.2964
1967,12,1,5,250,11.8445
1967,12,2,1,175,5.2085
1967,12,2,2,232,5.6538
1967,12,2,3,302,6.5090
1967,12,2,4,228,10.0142
1967,12,2,5,115,9.2960
1967,12,3,1,311,2.7651
1967,12,3,2,336,2.9181
1967,12,3,3,360,2.0777
1967,12,3,4,196,3.1680
1967,12,3,5,100,7.6318
1968,1,1,1,228,3.3665
1968,1,1,2,465,2.8412
1968,1,1,3,650,1.7687
1968,1,1,4,474,2.9899
1968,1,1,5,250,3.2351
1968,1,2,1,167,0.6821
1968,1,2,2,276,-0.5997
1968,1,2,3,325,-0.7800
1968,1,2,4,249,-2.3629
1968,1,2,5,117,-5.3332
1968,1,3,1,305,-3.2333
1968,1,3,2,420,-4.8001
1968,1,3,3,380,-3.6333
1968,1,3,4,221,-4.5821
1968,1,3,5,104,-6.3015
1968,2,1,1,267,-6.4249
1968,2,1,2,473,-7.2341
1968,2,1,3,660,-5.9476
1968,2,1,4,594,-4.9686
1968,2,1,5,236,-8.0256
1968,2,2,1,182,-5.9202
1968,2,2,2,276,-3.9699
1968,2,2,3,363,-6.3431
1968,2,2,4,287,-4.9492
1968,2,2,5,111,-6.5680
1968,2,3,1,313,-3.7818
1968,2,3,2,429,-3.0785
1968,2,3,3,479,-3.3040
1968,2,3,4,295,-3.1839
1968,2,3,5,85,-8.6122
1968,3,1,1,271,-1.7992
1968,3,1,2,474,-2.6238
1968,3,1,3,576,-0.8451
1968,3,1,4,554,-0.9796
1968,3,1,5,261,-2.5015
1968,3,2,1,182,-1.5485
1968,3,2,2,279,-1.5428
1968,3,2,3,309,-0.4986
1968,3,2,4,258,-1.2385
1968,3,2,5,115,-1.3576
1968,3,3,1,308,0.9280
1968,3,3,2,427,1.4124
1968,3,3,3,402,1.3481
1968,3,3,4,250,1.8639
1968,3,3,5,89,1.2461
1968,4,1,1,258,14.3823
1968,4,1,2,442,14.9358
1968,4,1,3,579,14.8709
1968,4,1,4,540,15.2535
1968,4,1,5,326,18.2187
1968,4,2,1,173,13.3450
1968,4,2,2,267,11.6964
1968,4,2,3,311,14.4796
1968,4,2,4,249,13.7668
1968,4,2,5,133,20.7830
1968,4,3,1,291,9.4340
1968,4,3,2,379,9.5093
1968,4,3,3,389,10.2462
1968,4,3,4,253,10.8884
1968,4,3,5,109,13.9486
1968,5,1,1,259,9.8686
1968,5,1,2,447,11.6904
1968,5,1,3,594,13.2116
1968,5,1,4,535,13.6772
1968,5,1,5,330,14.0505
1968,5,2,1,176,6.1421
1968,5,2,2,273,6.0874
1968,5,2,3,306,6.6199
1968,5,2,4,247,6.2499
1968,5,2,5,138,7.5200
1968,5,3,1,287,3.4938
1968,5,3,2,386,2.4607
1968,5,3,3,396,2.6558
1968,5,3,4,267,3.6477
1968,5,3,5,114,5.3814
1968,6,1,1,248,-0.4186
1968,6,1,2,468,-0.3536
1968,6,1,3,546,1.6957
1968,6,1,4,595,0.8323
1968,6,1,5,332,0.3705
1968,6,2,1,175,-0.9190
1968,6,2,2,281,-0.5244
1968,6,2,3,294,0.8877
1968,6,2,4,265,0.7643
1968,6,2,5,140,-0.0069
1968,6,3,1,268,-0.7795
1968,6,3,2,429,0.9088
1968,6,3,3,402,0.4633
1968,6,3,4,305,-1.3039
1968,6,3,5,116,0.0214
1968,7,1,1,283,-0.4783
1968,7,1,2,437,-4.1553
1968,7,1,3,509,-4.0755
1968,7,1,4,476,-3.8428
1968,7,1,5,330,-4.7388
1968,7,2,1,185,-5.7316
1968,7,2,2,274,-4.4280
1968,7,2,3,280,-3.2566
1968,7,2,4,213,-2.0062
1968,7,2,5,143,-3.3715
1968,7,3,1,289,-5.1609
1968,7,3,2,421,-4.5105
1968,7,3,3,402,-3.2515
1968,7,3,4,234,-4.3135
1968,7,3,5,118,-6.6563
1968,8,1,1,339,1.6132
1968,8,1,2,469,3.6096
1968,8,1,3,529,4.0919
1968,8,1,4,465,5.4441
1968,8,1,5,382,3.4300
1968,8,2,1,197,1.5662
1968,8,2,2,291,2.9110
1968,8,2,3,286,2.4819
1968,8,2,4,215,4.1926
1968,8,2,5,174,5.7162
1968,8,3,1,288,1.6562
1968,8,3,2,433,1.1400
1968,8,3,3,414,2.1382
1968,8,3,4,238,2.2248
1968,8,3,5,156,2.3240
1968,9,1,1,347,8.6284
1968,9,1,2,517,7.5126
1968,9,1,3,674,6.7767
1968,9,1,4,475,7.5233
1968,9,1,5,353,7.7747
1968,9,2,1,211,6.1165
1968,9,2,2,303,5.6688
1968,9,2,3,342,6.5787
1968,9,2,4,228,7.1135
