year,month,rank_ME,rank_NEI_1,nstocks,ret_vw
1969,1,1,1,220,-1.5720
1969,1,1,2,126,-0.2138
1969,1,1,3,102,-1.8579
1969,1,1,4,83,-1.9604
1969,1,1,5,7,3.0065
1969,1,2,1,111,-0.1781
1969,1,2,2,58,-0.9370
1969,1,2,3,70,-0.8820
1969,1,2,4,49,-1.5793
1969,1,2,5,12,-0.9992
1969,1,3,1,185,-0.6312
1969,1,3,2,86,-0.0240
1969,1,3,3,93,-0.8872
1969,1,3,4,71,-0.0305
1969,1,3,5,72,-2.5460
1969,2,1,1,222,-9.2470
1969,2,1,2,95,-8.6010
1969,2,1,3,97,-9.6570
1969,2,1,4,97,-8.6905
1969,2,1,5,10,-7.4059
1969,2,2,1,93,-9.1577
1969,2,2,2,65,-7.2686
1969,2,2,3,70,-9.4252
1969,2,2,4,62,-7.2787
1969,2,2,5,14,-7.3556
1969,2,3,1,133,-5.7059
1969,2,3,2,112,-5.5641
1969,2,3,3,96,-4.7103
1969,2,3,4,83,-3.3016
1969,2,3,5,76,-3.9019
1969,3,1,1,226,0.1347
1969,3,1,2,104,2.3378
1969,3,1,3,96,3.2252
1969,3,1,4,103,4.9243
1969,3,1,5,9,-1.0493
1969,3,2,1,95,2.1805
1969,3,2,2,65,1.7765
1969,3,2,3,67,5.4133
1969,3,2,4,59,2.5719
1969,3,2,5,18,1.4307
1969,3,3,1,127,0.1835
1969,3,3,2,115,2.4717
1969,3,3,3,94,3.8501
1969,3,3,4,84,3.4829
1969,3,3,5,78,6.1570
1969,4,1,1,227,-1.1012
1969,4,1,2,111,-1.2029
1969,4,1,3,98,-0.0843
1969,4,1,4,95,-0.9852
1969,4,1,5,9,-3.3857
1969,4,2,1,92,-0.0393
1969,4,2,2,65,0.8716
1969,4,2,3,70,0.0007
1969,4,2,4,59,3.2185
1969,4,2,5,20,0.1716
1969,4,3,1,129,3.6541
1969,4,3,2,115,2.7590
1969,4,3,3,98,2.8291
1969,4,3,4,84,1.3008
1969,4,3,5,75,1.5793
1969,5,1,1,262,-0.6681
1969,5,1,2,124,0.8610
1969,5,1,3,92,2.5893
1969,5,1,4,73,3.2125
1969,5,1,5,21,-3.4353
1969,5,2,1,97,-1.2687
1969,5,2,2,62,-0.3564
1969,5,2,3,75,-0.3855
1969,5,2,4,60,-0.6183
1969,5,2,5,30,-0.5198
1969,5,3,1,160,-0.0458
1969,5,3,2,65,1.3093
1969,5,3,3,132,0.9949
1969,5,3,4,80,-0.2988
1969,5,3,5,77,1.2487
1969,6,1,1,270,-13.3730
1969,6,1,2,115,-14.3247
1969,6,1,3,96,-13.0699
1969,6,1,4,67,-11.2972
1969,6,1,5,20,-14.6421
1969,6,2,1,97,-9.6366
1969,6,2,2,57,-10.9762
1969,6,2,3,78,-11.1202
1969,6,2,4,56,-12.6119
1969,6,2,5,31,-8.8337
1969,6,3,1,157,-6.8225
1969,6,3,2,66,-6.6983
1969,6,3,3,138,-6.2426
1969,6,3,4,81,-5.6938
1969,6,3,5,79,-4.0898
1969,7,1,1,265,-11.1150
1969,7,1,2,120,-11.4268
1969,7,1,3,108,-11.3160
1969,7,1,4,57,-11.9317
1969,7,1,5,24,-9.9487
1969,7,2,1,100,-9.4468
1969,7,2,2,50,-9.2460
1969,7,2,3,74,-8.4831
1969,7,2,4,60,-7.8525
1969,7,2,5,33,-9.7775
1969,7,3,1,158,-6.4257
1969,7,3,2,66,-5.3920
1969,7,3,3,137,-4.4593
1969,7,3,4,81,-6.6670
1969,7,3,5,79,-6.3181
1969,8,1,1,244,3.2373
1969,8,1,2,112,4.3867
1969,8,1,3,100,5.4641
1969,8,1,4,60,6.1024
1969,8,1,5,29,5.9999
1969,8,2,1,85,5.8002
1969,8,2,2,55,4.2876
1969,8,2,3,68,6.5158
1969,8,2,4,59,7.0554
1969,8,2,5,38,9.7243
1969,8,3,1,120,4.5980
1969,8,3,2,95,3.1225
1969,8,3,3,125,4.1382
1969,8,3,4,71,5.5861
1969,8,3,5,87,5.5385
1969,9,1,1,239,-3.9086
1969,9,1,2,120,-4.6784
1969,9,1,3,107,-2.8451
1969,9,1,4,59,-3.5995
1969,9,1,5,27,-5.0855
1969,9,2,1,88,-0.2929
1969,9,2,2,61,-1.1021
1969,9,2,3,63,-0.8916
1969,9,2,4,61,-1.4251
1969,9,2,5,40,1.2449
1969,9,3,1,122,-4.9837
1969,9,3,2,93,-3.3734
1969,9,3,3,120,-0.6389
1969,9,3,4,75,-2.9658
1969,9,3,5,89,-1.9484
1969,10,1,1,237,10.2935
1969,10,1,2,120,11.4164
1969,10,1,3,109,10.5898
1969,10,1,4,59,10.2301
1969,10,1,5,29,15.4065
1969,10,2,1,89,7.7931
1969,10,2,2,58,7.3675
1969,10,2,3,68,6.9663
1969,10,2,4,58,8.2751
1969,10,2,5,41,4.9726
1969,10,3,1,117,5.2035
1969,10,3,2,97,5.5994
1969,10,3,3,119,5.5437
1969,10,3,4,78,7.3136
1969,10,3,5,90,3.8981
1969,11,1,1,259,-8.0983
1969,11,1,2,148,-6.0695
1969,11,1,3,119,-7.0647
1969,11,1,4,65,-6.5635
1969,11,1,5,32,-5.9825
1969,11,2,1,108,-6.5716
1969,11,2,2,54,-2.7703
1969,11,2,3,66,-3.8726
1969,11,2,4,56,-4.3739
1969,11,2,5,48,-4.6628
1969,11,3,1,139,-4.2868
1969,11,3,2,80,-2.6835
1969,11,3,3,107,-1.4428
1969,11,3,4,114,-1.9805
1969,11,3,5,98,-2.8454
1969,12,1,1,265,-10.7404
1969,12,1,2,137,-7.0685
1969,12,1,3,117,-7.5552
1969,12,1,4,70,-7.0063
1969,12,1,5,35,-7.1187
1969,12,2,1,110,-6.9527
1969,12,2,2,54,-6.6760
1969,12,2,3,66,-4.3737
1969,12,2,4,54,-5.2622
1969,12,2,5,51,-3.7695
1969,12,3,1,138,-2.8797
1969,12,3,2,81,-2.3633
1969,12,3,3,105,-3.5494
1969,12,3,4,115,-1.1691
1969,12,3,5,97,1.1902
1970,1,1,1,273,-0.6607
1970,1,1,2,131,-0.5415
1970,1,1,3,115,-2.9749
1970,1,1,4,69,-3.8980
1970,1,1,5,33,-8.1285
1970,1,2,1,109,-5.7661
1970,1,2,2,56,-4.0964
1970,1,2,3,65,-5.0372
1970,1,2,4,55,-7.1486
1970,1,2,5,50,-7.7656
1970,1,3,1,142,-8.9894
1970,1,3,2,75,-8.5444
1970,1,3,3,102,-5.1658
1970,1,3,4,117,-6.2521
1970,1,3,5,96,-8.8394
1970,2,1,1,296,2.9534
1970,2,1,2,86,2.7692
1970,2,1,3,116,4.4235
1970,2,1,4,73,1.1214
1970,2,1,5,32,3.5838
1970,2,2,1,121,2.7842
1970,2,2,2,56,4.8708
