year,month,rank_ME,rank_P52W_6,nstocks,ret_vw
1967,1,1,1,446,26.5446
1967,1,1,2,157,18.2188
1967,1,1,3,124,16.4024
1967,1,1,4,83,11.0923
1967,1,1,5,61,11.6931
1967,1,2,1,94,24.5103
1967,1,2,2,87,17.2512
1967,1,2,3,83,13.7184
1967,1,2,4,69,9.7491
1967,1,2,5,60,10.9829
1967,1,3,1,58,13.8391
1967,1,3,2,89,15.0153
1967,1,3,3,113,7.3815
1967,1,3,4,155,7.0667
1967,1,3,5,188,4.9857
1967,2,1,1,492,4.3640
1967,2,1,2,248,3.8495
1967,2,1,3,201,5.9055
1967,2,1,4,161,5.0125
1967,2,1,5,113,8.3171
1967,2,2,1,115,0.8003
1967,2,2,2,132,2.7428
1967,2,2,3,125,2.0415
1967,2,2,4,106,2.2742
1967,2,2,5,105,4.0172
1967,2,3,1,75,-1.5309
1967,2,3,2,140,-0.7847
1967,2,3,3,178,0.5470
1967,2,3,4,225,0.6811
1967,2,3,5,240,2.7493
1967,3,1,1,502,6.2108
1967,3,1,2,325,6.3515
1967,3,1,3,284,7.8812
1967,3,1,4,221,7.0668
1967,3,1,5,169,8.2252
1967,3,2,1,129,6.8393
1967,3,2,2,156,5.8081
1967,3,2,3,166,5.0592
1967,3,2,4,139,5.8086
1967,3,2,5,139,7.1267
1967,3,3,1,93,3.6465
1967,3,3,2,177,5.2017
1967,3,3,3,228,3.7601
1967,3,3,4,285,4.5373
1967,3,3,5,285,4.4063
1967,4,1,1,533,2.6922
1967,4,1,2,401,4.5708
1967,4,1,3,337,5.6737
1967,4,1,4,274,5.5729
1967,4,1,5,228,6.5958
1967,4,2,1,143,2.1839
1967,4,2,2,188,2.7841
1967,4,2,3,203,3.7935
1967,4,2,4,179,4.0463
1967,4,2,5,167,4.8628
1967,4,3,1,115,9.4814
1967,4,3,2,206,4.2047
1967,4,3,3,277,3.9627
1967,4,3,4,333,2.5819
1967,4,3,5,325,4.0484
1967,5,1,1,564,-0.3698
1967,5,1,2,472,1.3389
1967,5,1,3,388,0.7612
1967,5,1,4,323,0.3114
1967,5,1,5,285,-2.0766
1967,5,2,1,161,-2.4303
1967,5,2,2,217,-1.4562
1967,5,2,3,230,-1.1785
1967,5,2,4,206,-1.2106
1967,5,2,5,215,-1.3230
1967,5,3,1,123,-6.2660
1967,5,3,2,237,-3.7532
1967,5,3,3,321,-3.6464
1967,5,3,4,378,-4.0754
1967,5,3,5,380,-4.1434
1967,6,1,1,609,10.4872
1967,6,1,2,537,11.4785
1967,6,1,3,435,11.0127
1967,6,1,4,367,11.3636
1967,6,1,5,323,13.0940
1967,6,2,1,191,5.8419
1967,6,2,2,255,7.2222
1967,6,2,3,263,6.8370
1967,6,2,4,234,7.4027
1967,6,2,5,244,8.1534
1967,6,3,1,143,0.9189
1967,6,3,2,292,1.1492
1967,6,3,3,380,2.1412
1967,6,3,4,408,1.4704
1967,6,3,5,412,3.1970
1967,7,1,1,587,11.5564
1967,7,1,2,528,8.7690
1967,7,1,3,473,9.0717
1967,7,1,4,376,7.7980
1967,7,1,5,403,7.7979
1967,7,2,1,184,8.4626
1967,7,2,2,268,8.2300
1967,7,2,3,265,7.0784
1967,7,2,4,241,7.1243
1967,7,2,5,287,6.7235
1967,7,3,1,164,8.3165
1967,7,3,2,327,6.1053
1967,7,3,3,399,4.2411
1967,7,3,4,418,3.3374
1967,7,3,5,412,3.9369
1967,8,1,1,591,1.4481
1967,8,1,2,551,0.4770
1967,8,1,3,504,0.2919
1967,8,1,4,415,-0.3306
1967,8,1,5,461,0.0644
1967,8,2,1,198,-0.0020
1967,8,2,2,270,-0.3160
1967,8,2,3,267,0.5475
1967,8,2,4,260,-0.1277
1967,8,2,5,315,-0.4616
1967,8,3,1,198,0.0887
1967,8,3,2,355,-0.8524
1967,8,3,3,402,-0.5722
1967,8,3,4,412,-0.7405
1967,8,3,5,439,-0.9737
1967,9,1,1,626,8.1976
1967,9,1,2,556,8.0628
1967,9,1,3,510,8.0500
1967,9,1,4,423,8.3454
1967,9,1,5,493,8.6012
1967,9,2,1,208,3.3665
1967,9,2,2,269,3.2364
1967,9,2,3,281,5.2721
1967,9,2,4,264,5.1595
1967,9,2,5,326,5.8925
1967,9,3,1,212,4.2015
1967,9,3,2,369,3.4841
1967,9,3,3,400,2.7301
1967,9,3,4,421,1.9321
1967,9,3,5,445,3.7443
1967,10,1,1,636,-1.5093
1967,10,1,2,560,-0.9046
1967,10,1,3,532,-1.7349
1967,10,1,4,424,-1.6781
1967,10,1,5,533,-1.3111
1967,10,2,1,210,-4.7301
1967,10,2,2,255,-3.7486
1967,10,2,3,281,-2.0431
1967,10,2,4,257,-2.1615
1967,10,2,5,341,-1.4926
1967,10,3,1,218,-5.7509
1967,10,3,2,366,-3.8875
1967,10,3,3,396,-3.0724
1967,10,3,4,413,-2.9795
1967,10,3,5,455,-0.3979
1967,11,1,1,611,0.0276
1967,11,1,2,557,-0.2232
1967,11,1,3,549,-0.6845
1967,11,1,4,430,0.8657
1967,11,1,5,507,1.1182
1967,11,2,1,215,0.7328
1967,11,2,2,236,0.9173
1967,11,2,3,287,1.1928
1967,11,2,4,266,-0.0443
1967,11,2,5,331,1.7101
1967,11,3,1,236,0.7707
1967,11,3,2,371,1.0813
1967,11,3,3,394,0.6609
1967,11,3,4,401,-0.1606
1967,11,3,5,417,1.1893
1967,12,1,1,585,10.6122
1967,12,1,2,539,11.3245
1967,12,1,3,539,10.3875
1967,12,1,4,443,9.1851
1967,12,1,5,499,10.3520
1967,12,2,1,203,7.7430
1967,12,2,2,231,7.4236
1967,12,2,3,271,6.1810
1967,12,2,4,272,6.3662
1967,12,2,5,330,7.1469
1967,12,3,1,230,2.6647
1967,12,3,2,356,3.1912
1967,12,3,3,389,2.8341
1967,12,3,4,381,2.6305
1967,12,3,5,398,2.4497
1968,1,1,1,550,3.6366
1968,1,1,2,530,4.2499
1968,1,1,3,523,5.0284
1968,1,1,4,458,3.4519
1968,1,1,5,506,2.4345
1968,1,2,1,198,-1.6237
1968,1,2,2,232,0.4937
1968,1,2,3,265,0.1123
1968,1,2,4,278,0.0242
1968,1,2,5,330,-1.5552
1968,1,3,1,221,-4.5112
1968,1,3,2,347,-2.4389
1968,1,3,3,379,-2.9926
1968,1,3,4,383,-4.3164
1968,1,3,5,399,-5.8448
1968,2,1,1,526,-7.9840
1968,2,1,2,536,-6.8524
1968,2,1,3,538,-6.3305
1968,2,1,4,467,-5.2856
1968,2,1,5,517,-5.7469
1968,2,2,1,213,-6.6244
1968,2,2,2,246,-4.5029
1968,2,2,3,257,-4.9075
1968,2,2,4,281,-4.9089
1968,2,2,5,303,-4.7439
1968,2,3,1,237,-4.0827
1968,2,3,2,350,-3.0571
1968,2,3,3,390,-3.0201
1968,2,3,4,371,-2.5975
1968,2,3,5,361,-2.7639
1968,3,1,1,514,-2.0244
1968,3,1,2,552,-1.5383
1968,3,1,3,536,-1.7776
1968,3,1,4,471,-0.8000
1968,3,1,5,500,-0.2147
1968,3,2,1,207,-1.8761
1968,3,2,2,239,-2.2407
1968,3,2,3,251,-0.8182
1968,3,2,4,273,-0.8727
1968,3,2,5,298,-0.8066
1968,3,3,1,230,0.0104
1968,3,3,2,351,-0.2519
1968,3,3,3,385,-0.1918
1968,3,3,4,377,1.1356
1968,3,3,5,352,1.8848
1968,4,1,1,527,15.3433
1968,4,1,2,542,14.6824
1968,4,1,3,512,14.6563
1968,4,1,4,469,16.3593
1968,4,1,5,441,17.8338
1968,4,2,1,199,14.9675
1968,4,2,2,233,12.4570
1968,4,2,3,244,12.8028
1968,4,2,4,266,13.7933
1968,4,2,5,271,14.2218
1968,4,3,1,217,11.1364
1968,4,3,2,352,7.6443
1968,4,3,3,370,7.5419
1968,4,3,4,361,9.1351
1968,4,3,5,327,8.9935
1968,5,1,1,521,11.6902
1968,5,1,2,515,12.7886
1968,5,1,3,477,11.8492
1968,5,1,4,456,10.8533
1968,5,1,5,445,13.1180
1968,5,2,1,197,8.4272
1968,5,2,2,235,6.4420
1968,5,2,3,247,5.2308
1968,5,2,4,264,6.3982
1968,5,2,5,274,7.0605
1968,5,3,1,203,2.1733
1968,5,3,2,338,0.5330
1968,5,3,3,372,1.4554
1968,5,3,4,356,2.5543
1968,5,3,5,336,2.3478
1968,6,1,1,479,-0.6415
1968,6,1,2,518,1.8912
1968,6,1,3,481,2.3218
1968,6,1,4,460,0.8005
1968,6,1,5,500,0.5873
1968,6,2,1,192,-2.1104
1968,6,2,2,228,0.8519
1968,6,2,3,250,1.6764
1968,6,2,4,257,1.3346
1968,6,2,5,272,0.5624
1968,6,3,1,197,-1.1231
1968,6,3,2,327,1.7872
1968,6,3,3,365,2.3815
1968,6,3,4,351,1.1217
1968,6,3,5,333,0.2250
1968,7,1,1,452,-5.5482
1968,7,1,2,536,-3.3151
1968,7,1,3,482,-2.1579
1968,7,1,4,438,-2.6772
1968,7,1,5,456,-2.5017
1968,7,2,1,175,-6.3772
1968,7,2,2,237,-3.6816
1968,7,2,3,274,-2.9673
1968,7,2,4,245,-2.7064
1968,7,2,5,258,-2.3053
1968,7,3,1,194,-4.9129
1968,7,3,2,314,-2.7402
1968,7,3,3,362,-1.9461
1968,7,3,4,347,-1.6287
1968,7,3,5,332,-0.6918
1968,8,1,1,480,2.6284
1968,8,1,2,560,4.6252
