year,month,rank_ME,rank_R11_6,nstocks,ret_vw
1967,1,1,1,299,24.8184
1967,1,1,2,141,19.4862
1967,1,1,3,104,22.1974
1967,1,1,4,145,14.3297
1967,1,1,5,163,16.5106
1967,1,2,1,82,21.5009
1967,1,2,2,87,14.7271
1967,1,2,3,78,14.1144
1967,1,2,4,58,14.9725
1967,1,2,5,85,13.8403
1967,1,3,1,80,13.7050
1967,1,3,2,93,8.4418
1967,1,3,3,134,6.3331
1967,1,3,4,144,6.5298
1967,1,3,5,149,6.9779
1967,2,1,1,399,3.9121
1967,2,1,2,241,3.3169
1967,2,1,3,184,4.5390
1967,2,1,4,215,5.8989
1967,2,1,5,198,8.3294
1967,2,2,1,117,0.7398
1967,2,2,2,127,2.8047
1967,2,2,3,115,1.9163
1967,2,2,4,106,2.8990
1967,2,2,5,106,3.8717
1967,2,3,1,96,-1.4056
1967,2,3,2,149,-0.7352
1967,2,3,3,209,0.2412
1967,2,3,4,218,0.5233
1967,2,3,5,188,3.6401
1967,3,1,1,452,6.0417
1967,3,1,2,322,5.8922
1967,3,1,3,269,8.5148
1967,3,1,4,267,7.0395
1967,3,1,5,237,8.5496
1967,3,2,1,139,6.4764
1967,3,2,2,159,6.1536
1967,3,2,3,147,4.9095
1967,3,2,4,146,5.6328
1967,3,2,5,137,7.5340
1967,3,3,1,118,3.8884
1967,3,3,2,189,4.8760
1967,3,3,3,254,3.3705
1967,3,3,4,266,4.1903
1967,3,3,5,209,4.9592
1967,4,1,1,489,2.8918
1967,4,1,2,390,5.0288
1967,4,1,3,328,4.1532
1967,4,1,4,315,5.1479
1967,4,1,5,270,6.6774
1967,4,2,1,155,2.7093
1967,4,2,2,191,3.1908
1967,4,2,3,175,2.9185
1967,4,2,4,173,4.1416
1967,4,2,5,153,4.5632
1967,4,3,1,138,8.6616
1967,4,3,2,230,4.8991
1967,4,3,3,291,2.1677
1967,4,3,4,300,2.3986
1967,4,3,5,221,5.2232
1967,5,1,1,540,0.0974
1967,5,1,2,443,0.7360
1967,5,1,3,381,0.3800
1967,5,1,4,375,0.3238
1967,5,1,5,300,-1.5757
1967,5,2,1,167,-2.8290
1967,5,2,2,219,-2.1582
1967,5,2,3,210,-1.1231
1967,5,2,4,195,-1.1662
1967,5,2,5,175,-0.2740
1967,5,3,1,153,-6.0562
1967,5,3,2,269,-4.0947
1967,5,3,3,319,-3.6678
1967,5,3,4,343,-4.1984
1967,5,3,5,247,-3.8774
1967,6,1,1,561,9.9968
