year,month,rank_ME,rank_Resid11_6,nstocks,ret_vw
1967,1,1,1,150,22.1914
1967,1,1,2,135,19.3984
1967,1,1,3,147,19.3779
1967,1,1,4,133,20.7786
1967,1,1,5,121,17.4385
1967,1,2,1,76,17.7601
1967,1,2,2,73,15.2961
1967,1,2,3,54,15.7150
1967,1,2,4,56,16.0879
1967,1,2,5,62,13.2793
1967,1,3,1,96,11.1388
1967,1,3,2,97,11.4154
1967,1,3,3,116,6.4451
1967,1,3,4,127,6.0011
1967,1,3,5,128,7.2035
1967,2,1,1,211,2.1534
1967,2,1,2,236,3.4788
1967,2,1,3,238,4.8516
1967,2,1,4,209,5.7887
1967,2,1,5,160,7.1662
1967,2,2,1,104,0.7628
1967,2,2,2,126,2.1305
1967,2,2,3,97,3.2703
1967,2,2,4,93,2.8292
1967,2,2,5,90,2.7174
1967,2,3,1,131,-0.9000
1967,2,3,2,167,0.0920
1967,2,3,3,188,1.6739
1967,2,3,4,196,0.5352
1967,2,3,5,175,2.1310
1967,3,1,1,268,5.7509
1967,3,1,2,329,6.6073
1967,3,1,3,314,6.9729
1967,3,1,4,278,7.4795
1967,3,1,5,203,8.2930
1967,3,2,1,131,5.5974
1967,3,2,2,150,6.0068
1967,3,2,3,126,4.8539
1967,3,2,4,134,4.5307
1967,3,2,5,112,8.3051
1967,3,3,1,160,4.3308
1967,3,3,2,222,4.2214
1967,3,3,3,258,4.4698
1967,3,3,4,253,3.6247
1967,3,3,5,215,4.2318
1967,4,1,1,316,2.9645
1967,4,1,2,382,3.6178
1967,4,1,3,383,5.0695
1967,4,1,4,339,4.5402
1967,4,1,5,229,6.9167
1967,4,2,1,147,2.4907
1967,4,2,2,173,2.6857
1967,4,2,3,158,3.9459
1967,4,2,4,162,3.0726
1967,4,2,5,136,4.6149
1967,4,3,1,179,7.9975
1967,4,3,2,259,3.7848
1967,4,3,3,304,2.9035
1967,4,3,4,296,3.3547
1967,4,3,5,232,3.6865
1967,5,1,1,360,0.9160
1967,5,1,2,427,0.4526
1967,5,1,3,429,0.9087
1967,5,1,4,380,0.0389
1967,5,1,5,266,-1.9087
1967,5,2,1,164,-1.4835
1967,5,2,2,201,-1.1831
1967,5,2,3,192,-1.5614
1967,5,2,4,193,-2.0185
1967,5,2,5,151,-1.4062
1967,5,3,1,211,-5.6961
1967,5,3,2,310,-4.2275
1967,5,3,3,352,-3.3807
1967,5,3,4,347,-4.1882
1967,5,3,5,262,-3.8559
1967,6,1,1,381,9.5069
1967,6,1,2,456,10.4689
1967,6,1,3,458,12.0448
1967,6,1,4,424,12.4212
1967,6,1,5,285,13.0210
1967,6,2,1,175,5.9781
1967,6,2,2,218,5.7326
1967,6,2,3,200,6.4599
1967,6,2,4,211,7.5276
1967,6,2,5,162,8.8687
1967,6,3,1,228,1.1048
1967,6,3,2,332,1.2440
1967,6,3,3,384,1.8711
1967,6,3,4,361,2.2070
1967,6,3,5,272,3.0705
1967,7,1,1,365,10.2719
1967,7,1,2,447,10.0510
1967,7,1,3,429,9.1813
1967,7,1,4,423,9.2540
1967,7,1,5,281,8.9008
1967,7,2,1,170,7.2533
1967,7,2,2,207,7.9060
1967,7,2,3,208,7.7327
1967,7,2,4,209,8.0172
1967,7,2,5,165,7.7174
1967,7,3,1,221,6.4233
1967,7,3,2,325,5.4470
1967,7,3,3,377,5.1879
1967,7,3,4,356,4.0946
1967,7,3,5,264,2.6672
1967,8,1,1,344,1.0249
1967,8,1,2,416,-0.4065
1967,8,1,3,426,0.4446
1967,8,1,4,428,0.2614
1967,8,1,5,272,-0.6482
1967,8,2,1,160,0.7496
1967,8,2,2,199,-0.0983
1967,8,2,3,212,-0.4153
1967,8,2,4,205,-0.6398
1967,8,2,5,173,0.3797
1967,8,3,1,220,-0.4208
1967,8,3,2,325,-0.7845
1967,8,3,3,366,-0.5743
1967,8,3,4,353,-0.8258
1967,8,3,5,247,-0.7958
1967,9,1,1,316,5.8750
1967,9,1,2,391,8.8127
1967,9,1,3,439,8.9572
1967,9,1,4,429,8.7634
1967,9,1,5,288,8.4642
1967,9,2,1,158,5.1426
1967,9,2,2,193,3.2672
1967,9,2,3,216,3.3637
1967,9,2,4,208,4.0864
1967,9,2,5,169,5.4431
1967,9,3,1,225,4.4528
1967,9,3,2,331,2.7907
1967,9,3,3,362,1.9438
1967,9,3,4,345,2.1911
1967,9,3,5,235,3.5948
1967,10,1,1,302,-2.3408
1967,10,1,2,396,0.1460
1967,10,1,3,406,-0.7820
1967,10,1,4,416,-1.3178
1967,10,1,5,290,-1.1597
1967,10,2,1,156,-3.2412
1967,10,2,2,196,-3.6180
1967,10,2,3,212,-3.1123
1967,10,2,4,207,-2.8687
1967,10,2,5,162,-1.5216
1967,10,3,1,215,-3.6398
1967,10,3,2,324,-3.6266
1967,10,3,3,358,-3.5726
1967,10,3,4,335,-3.4393
1967,10,3,5,244,-0.1459
