year,month,rank_ME,rank_SIM_1,nstocks,ret_vw
1967,1,1,1,218,20.4910
1967,1,1,2,132,23.9454
1967,1,1,3,255,17.3156
1967,1,1,4,148,19.6408
1967,1,1,5,128,19.6671
1967,1,2,1,85,15.5484
1967,1,2,2,72,18.5482
1967,1,2,3,98,13.4477
1967,1,2,4,66,17.2795
1967,1,2,5,73,15.7213
1967,1,3,1,137,9.2933
1967,1,3,2,84,13.1324
1967,1,3,3,129,8.7326
1967,1,3,4,78,8.6500
1967,1,3,5,168,3.7856
1967,2,1,1,138,5.5412
1967,2,1,2,162,3.5520
1967,2,1,3,165,7.6884
1967,2,1,4,270,5.7000
1967,2,1,5,144,2.8648
1967,2,2,1,85,1.6656
1967,2,2,2,87,0.5656
1967,2,2,3,60,3.8199
1967,2,2,4,102,3.3126
1967,2,2,5,59,2.3720
1967,2,3,1,215,-0.3234
1967,2,3,2,96,0.3090
1967,2,3,3,83,4.8577
1967,2,3,4,137,1.3269
1967,2,3,5,65,-0.4242
1967,3,1,1,183,7.9410
1967,3,1,2,102,7.7756
1967,3,1,3,146,7.4042
1967,3,1,4,295,5.8501
1967,3,1,5,144,6.7284
1967,3,2,1,104,6.7185
1967,3,2,2,67,4.5405
1967,3,2,3,80,5.6872
1967,3,2,4,95,5.3197
1967,3,2,5,54,9.4385
1967,3,3,1,112,5.9951
1967,3,3,2,175,4.0090
1967,3,3,3,98,3.7887
1967,3,3,4,148,3.5289
1967,3,3,5,62,5.4989
1967,4,1,1,162,3.0761
1967,4,1,2,273,4.1340
1967,4,1,3,159,5.6263
1967,4,1,4,148,4.9045
1967,4,1,5,123,5.3255
1967,4,2,1,82,2.4758
1967,4,2,2,96,2.4793
1967,4,2,3,87,4.5169
1967,4,2,4,80,4.1488
1967,4,2,5,56,3.8175
1967,4,3,1,193,3.6244
1967,4,3,2,128,2.6260
1967,4,3,3,105,6.8357
1967,4,3,4,111,4.4082
1967,4,3,5,55,7.3101
1967,5,1,1,179,0.7461
1967,5,1,2,242,0.9706
1967,5,1,3,144,-0.4186
1967,5,1,4,127,-0.2287
1967,5,1,5,167,-0.9413
1967,5,2,1,108,-3.0696
1967,5,2,2,106,-0.4958
1967,5,2,3,54,-1.6279
1967,5,2,4,60,-1.9112
1967,5,2,5,73,-1.9433
1967,5,3,1,237,-3.0791
1967,5,3,2,105,-5.0801
1967,5,3,3,69,-4.9134
1967,5,3,4,86,-5.1425
1967,5,3,5,95,-4.7520
1967,6,1,1,174,11.9184
1967,6,1,2,122,13.1076
1967,6,1,3,130,12.3577
1967,6,1,4,128,11.0523
1967,6,1,5,292,8.5739
1967,6,2,1,65,7.7975
1967,6,2,2,66,7.6618
1967,6,2,3,80,8.7083
1967,6,2,4,62,5.9431
1967,6,2,5,130,6.5969
1967,6,3,1,80,0.9628
1967,6,3,2,68,3.2898
1967,6,3,3,99,3.4176
1967,6,3,4,167,0.8665
1967,6,3,5,173,2.7193
1967,7,1,1,125,7.4796
1967,7,1,2,177,9.4315
1967,7,1,3,139,10.6172
1967,7,1,4,267,10.4148
1967,7,1,5,122,9.9467
1967,7,2,1,59,7.6982
1967,7,2,2,112,7.3987
1967,7,2,3,67,7.8487
1967,7,2,4,105,6.2130
1967,7,2,5,67,8.7515
1967,7,3,1,73,4.7188
1967,7,3,2,165,5.8899
1967,7,3,3,96,3.3340
1967,7,3,4,118,5.4407
1967,7,3,5,133,3.6798
1967,8,1,1,217,0.8963
1967,8,1,2,195,0.0297
1967,8,1,3,168,-0.6004
1967,8,1,4,156,-0.7083
1967,8,1,5,144,2.1543
1967,8,2,1,99,-0.0801
1967,8,2,2,109,-0.8855
1967,8,2,3,72,-1.8392
1967,8,2,4,80,2.4971
1967,8,2,5,79,-0.5542
1967,8,3,1,205,-0.5864
1967,8,3,2,165,-1.1357
1967,8,3,3,79,0.8232
1967,8,3,4,56,-0.1953
1967,8,3,5,90,-0.8216
1967,9,1,1,194,7.4371
1967,9,1,2,167,6.7574
1967,9,1,3,259,9.9981
1967,9,1,4,138,5.4248
1967,9,1,5,118,9.6770
1967,9,2,1,87,4.9521
1967,9,2,2,117,3.6131
1967,9,2,3,108,6.4338
1967,9,2,4,74,5.0444
1967,9,2,5,50,3.8904
1967,9,3,1,135,2.6830
1967,9,3,2,218,1.1021
1967,9,3,3,126,5.8303
1967,9,3,4,74,3.1669
1967,9,3,5,41,3.5905
1967,10,1,1,176,-3.7980
1967,10,1,2,146,-2.1560
1967,10,1,3,108,-1.9978
1967,10,1,4,281,-0.4895
1967,10,1,5,162,-0.7981
1967,10,2,1,118,-4.7902
1967,10,2,2,93,-3.0515
1967,10,2,3,49,-0.7176
1967,10,2,4,104,-1.9086
1967,10,2,5,66,-3.5792
1967,10,3,1,192,-5.5186
1967,10,3,2,92,-7.4899
1967,10,3,3,61,-4.1625
1967,10,3,4,117,-2.1589
1967,10,3,5,129,0.4471
1967,11,1,1,132,0.1846
1967,11,1,2,128,0.1499
1967,11,1,3,139,-0.0297
1967,11,1,4,170,0.0133
1967,11,1,5,292,0.7245
1967,11,2,1,79,0.1641
1967,11,2,2,79,1.9515
1967,11,2,3,85,0.8192
1967,11,2,4,89,0.9342
1967,11,2,5,96,0.8614
1967,11,3,1,75,-1.3231
1967,11,3,2,82,-0.1907
1967,11,3,3,151,2.3919
1967,11,3,4,145,0.8301
1967,11,3,5,138,0.8803
1967,12,1,1,101,13.3396
1967,12,1,2,139,9.0861
1967,12,1,3,325,11.2240
1967,12,1,4,121,9.2902
1967,12,1,5,171,8.9560
1967,12,2,1,40,6.8182
1967,12,2,2,87,8.6005
1967,12,2,3,117,7.0234
1967,12,2,4,67,9.5144
1967,12,2,5,111,6.1706
1967,12,3,1,45,6.5320
1967,12,3,2,117,4.0182
1967,12,3,3,113,1.8340
1967,12,3,4,69,0.7375
1967,12,3,5,247,2.5051
1968,1,1,1,170,1.0316
1968,1,1,2,137,4.6507
1968,1,1,3,131,3.3228
1968,1,1,4,122,3.4986
1968,1,1,5,281,5.2615
1968,1,2,1,80,-1.7651
1968,1,2,2,97,-1.0035
1968,1,2,3,63,-0.8455
1968,1,2,4,80,-0.8217
1968,1,2,5,110,0.7158
1968,1,3,1,83,-7.0687
1968,1,3,2,181,-3.4394
1968,1,3,3,59,-4.5058
1968,1,3,4,112,-8.0224
1968,1,3,5,152,-2.0305
1968,2,1,1,171,-9.8414
1968,2,1,2,126,-7.8394
1968,2,1,3,147,-4.1733
1968,2,1,4,110,-4.6176
1968,2,1,5,278,-4.6822
1968,2,2,1,87,-8.0391
1968,2,2,2,64,-6.0118
1968,2,2,3,96,-4.8270
1968,2,2,4,82,-1.4294
1968,2,2,5,98,-4.6275
1968,2,3,1,116,-3.7078
1968,2,3,2,114,-2.8132
1968,2,3,3,92,-3.3101
1968,2,3,4,143,-2.6291
1968,2,3,5,115,-1.8036
1968,3,1,1,288,-0.0506
1968,3,1,2,108,-1.1561
1968,3,1,3,159,-2.1750
1968,3,1,4,152,-3.0793
1968,3,1,5,136,-2.2007
1968,3,2,1,108,0.1238
1968,3,2,2,59,-0.2836
1968,3,2,3,74,-1.3246
1968,3,2,4,74,-0.1831
1968,3,2,5,100,-2.1974
1968,3,3,1,137,0.8396
1968,3,3,2,87,1.5254
1968,3,3,3,123,2.5669
1968,3,3,4,78,0.9393
1968,3,3,5,151,-2.4513
1968,4,1,1,115,13.3471
1968,4,1,2,189,17.7261
1968,4,1,3,106,16.0838
1968,4,1,4,283,14.8644
1968,4,1,5,150,18.6322
1968,4,2,1,96,9.2306
1968,4,2,2,74,16.2071
1968,4,2,3,52,16.0348
1968,4,2,4,125,13.5216
1968,4,2,5,62,17.1090
1968,4,3,1,142,4.7560
1968,4,3,2,68,10.5365
1968,4,3,3,103,10.4542
1968,4,3,4,159,8.6981
1968,4,3,5,105,8.9038
1968,5,1,1,131,10.3401
1968,5,1,2,120,11.1961
1968,5,1,3,153,12.9769
1968,5,1,4,136,12.0872
1968,5,1,5,291,13.3382
1968,5,2,1,112,4.8307
1968,5,2,2,62,9.0208
1968,5,2,3,76,6.9129
1968,5,2,4,46,5.9486
1968,5,2,5,112,7.2119
1968,5,3,1,154,1.0975
1968,5,3,2,71,0.2400
1968,5,3,3,87,4.9119
1968,5,3,4,105,2.7309
1968,5,3,5,161,1.2707
1968,6,1,1,182,0.3840
1968,6,1,2,138,0.2125
1968,6,1,3,251,1.5236
1968,6,1,4,97,1.4452
1968,6,1,5,162,0.8414
1968,6,2,1,79,-0.5592
1968,6,2,2,91,1.7368
1968,6,2,3,98,0.0748
1968,6,2,4,56,0.8130
1968,6,2,5,79,0.4298
1968,6,3,1,135,0.3680
1968,6,3,2,161,1.0027
1968,6,3,3,130,1.0940
1968,6,3,4,67,0.8307
1968,6,3,5,83,1.9635
1968,7,1,1,202,-3.1585
1968,7,1,2,144,-4.3013
1968,7,1,3,97,-1.8007
1968,7,1,4,105,-4.6015
1968,7,1,5,263,-3.2851
1968,7,2,1,69,-3.6648
1968,7,2,2,83,-3.8205
1968,7,2,3,55,-2.9837
1968,7,2,4,57,-2.5383
1968,7,2,5,141,-3.5501
1968,7,3,1,100,-4.0200
1968,7,3,2,78,-3.8881
1968,7,3,3,64,-4.7358
1968,7,3,4,96,-3.6648
1968,7,3,5,233,0.6181
1968,8,1,1,230,2.6283
1968,8,1,2,112,2.7425
1968,8,1,3,199,4.7687
1968,8,1,4,201,7.2099
1968,8,1,5,143,4.1930
1968,8,2,1,109,1.7766
1968,8,2,2,54,3.9610
1968,8,2,3,85,4.7805
1968,8,2,4,85,5.8973
1968,8,2,5,98,0.9939
1968,8,3,1,135,0.8089
1968,8,3,2,37,4.1708
1968,8,3,3,128,1.1902
1968,8,3,4,110,1.6532
1968,8,3,5,182,1.2811
1968,9,1,1,153,5.1130
1968,9,1,2,174,5.7162
1968,9,1,3,191,6.9134
1968,9,1,4,217,7.5637
1968,9,1,5,147,9.0370
1968,9,2,1,114,5.4552
1968,9,2,2,85,5.7876
1968,9,2,3,93,6.4028
1968,9,2,4,82,7.8808
1968,9,2,5,59,9.0128
1968,9,3,1,249,2.4834
1968,9,3,2,91,5.0155
1968,9,3,3,91,7.5005
1968,9,3,4,87,4.8485
1968,9,3,5,71,5.2009
1968,10,1,1,141,-2.6182
1968,10,1,2,166,-0.3877
1968,10,1,3,136,-0.4936
1968,10,1,4,133,0.3232
1968,10,1,5,293,1.3165
1968,10,2,1,92,1.4289
1968,10,2,2,83,0.3805
1968,10,2,3,73,0.8389
1968,10,2,4,59,-0.7454
1968,10,2,5,125,1.8211
1968,10,3,1,173,-0.9539
1968,10,3,2,129,1.4464
1968,10,3,3,72,3.0264
1968,10,3,4,85,0.5600
1968,10,3,5,132,1.0314
1968,11,1,1,178,6.5831
1968,11,1,2,228,9.0027
1968,11,1,3,201,6.3640
1968,11,1,4,136,6.8049
1968,11,1,5,130,6.3367
1968,11,2,1,93,7.8666
1968,11,2,2,107,8.3005
1968,11,2,3,82,8.3561
1968,11,2,4,83,8.9995
1968,11,2,5,58,6.5553
1968,11,3,1,222,7.3215
1968,11,3,2,114,5.9054
1968,11,3,3,102,6.4349
1968,11,3,4,73,3.0089
1968,11,3,5,74,-0.0189
1968,12,1,1,126,4.1260
1968,12,1,2,128,0.1732
1968,12,1,3,146,2.3834
1968,12,1,4,226,2.0327
1968,12,1,5,235,1.7633
1968,12,2,1,75,-2.1367
1968,12,2,2,54,-2.3443
1968,12,2,3,67,0.4634
1968,12,2,4,99,-0.9343
1968,12,2,5,137,-0.6301
1968,12,3,1,63,-2.9670
1968,12,3,2,78,-2.8124
1968,12,3,3,78,-3.9511
1968,12,3,4,155,-4.7952
1968,12,3,5,206,-4.0192
1969,1,1,1,128,-0.0119
1969,1,1,2,255,-1.0724
1969,1,1,3,184,-0.5447
1969,1,1,4,136,-2.0097
1969,1,1,5,151,0.2939
1969,1,2,1,81,-1.4021
1969,1,2,2,108,-1.8000
1969,1,2,3,74,-1.5248
1969,1,2,4,79,0.1991
1969,1,2,5,82,1.1673
1969,1,3,1,127,-1.1977
1969,1,3,2,130,-0.8793
1969,1,3,3,90,-2.6989
1969,1,3,4,131,0.9874
1969,1,3,5,104,-0.5742
1969,2,1,1,218,-11.6007
1969,2,1,2,146,-9.3347
1969,2,1,3,118,-8.7138
1969,2,1,4,209,-9.8899
1969,2,1,5,150,-8.8979
1969,2,2,1,84,-9.4148
1969,2,2,2,88,-9.1045
1969,2,2,3,51,-8.9783
1969,2,2,4,96,-9.3428
1969,2,2,5,105,-6.7543
1969,2,3,1,88,-4.1671
1969,2,3,2,125,-5.0794
1969,2,3,3,65,-3.3373
1969,2,3,4,151,-4.6383
1969,2,3,5,152,-5.4416
1969,3,1,1,250,1.4508
1969,3,1,2,196,1.9726
1969,3,1,3,168,1.0474
1969,3,1,4,134,3.1577
1969,3,1,5,94,2.3092
1969,3,2,1,118,2.8961
1969,3,2,2,102,1.7757
1969,3,2,3,56,2.1207
1969,3,2,4,87,1.3686
1969,3,2,5,57,4.6966
1969,3,3,1,143,2.0779
1969,3,3,2,117,4.7808
1969,3,3,3,86,1.8073
1969,3,3,4,141,1.1030
1969,3,3,5,88,5.4427
1969,4,1,1,159,-2.2605
1969,4,1,2,170,-2.3514
1969,4,1,3,124,0.4917
1969,4,1,4,119,-2.8450
1969,4,1,5,263,1.2464
1969,4,2,1,72,-1.0154
1969,4,2,2,122,-0.8650
1969,4,2,3,49,1.5974
1969,4,2,4,68,-0.4749
1969,4,2,5,100,2.7327
1969,4,3,1,74,1.7624
1969,4,3,2,225,1.3806
1969,4,3,3,46,2.9843
1969,4,3,4,80,3.3095
1969,4,3,5,155,2.2734
1969,5,1,1,148,-1.2543
1969,5,1,2,123,-0.3843
1969,5,1,3,189,1.4154
1969,5,1,4,168,-0.5634
1969,5,1,5,195,5.1354
1969,5,2,1,72,-1.3071
1969,5,2,2,64,-2.2898
1969,5,2,3,124,-0.3219
1969,5,2,4,59,-1.5473
1969,5,2,5,101,1.8973
1969,5,3,1,105,0.6955
1969,5,3,2,53,-0.5776
1969,5,3,3,195,1.6924
1969,5,3,4,105,-0.7101
1969,5,3,5,121,0.2796
1969,6,1,1,135,-12.2529
1969,6,1,2,192,-13.8091
1969,6,1,3,151,-12.1775
1969,6,1,4,229,-14.1081
1969,6,1,5,105,-13.5290
1969,6,2,1,60,-10.8525
1969,6,2,2,78,-13.0697
1969,6,2,3,76,-11.5231
1969,6,2,4,111,-12.2175
1969,6,2,5,97,-8.7596
1969,6,3,1,110,-2.4163
1969,6,3,2,72,-4.7527
1969,6,3,3,105,-6.5597
1969,6,3,4,137,-5.5588
1969,6,3,5,158,-8.3751
1969,7,1,1,134,-11.0100
1969,7,1,2,234,-11.9812
1969,7,1,3,146,-12.1911
1969,7,1,4,199,-13.0629
1969,7,1,5,111,-9.7185
1969,7,2,1,75,-9.3048
1969,7,2,2,110,-10.7634
1969,7,2,3,63,-10.7447
1969,7,2,4,114,-7.4962
1969,7,2,5,50,-7.7668
1969,7,3,1,134,-7.4743
1969,7,3,2,120,-6.7528
1969,7,3,3,65,-8.7360
1969,7,3,4,158,-4.4682
1969,7,3,5,103,-4.4137
1969,8,1,1,292,6.2379
1969,8,1,2,148,3.2327
1969,8,1,3,156,5.7009
1969,8,1,4,235,4.9873
1969,8,1,5,93,2.4955
1969,8,2,1,157,7.4380
1969,8,2,2,64,3.9170
1969,8,2,3,74,6.3119
1969,8,2,4,89,7.6193
1969,8,2,5,66,3.7721
1969,8,3,1,206,5.5591
1969,8,3,2,75,4.0863
1969,8,3,3,62,1.5959
1969,8,3,4,133,6.6621
1969,8,3,5,127,2.2686
1969,9,1,1,148,-3.7352
1969,9,1,2,158,-5.0178
1969,9,1,3,153,-5.3098
1969,9,1,4,187,-1.6174
1969,9,1,5,273,-1.6357
1969,9,2,1,105,-2.0549
1969,9,2,2,47,-3.1453
1969,9,2,3,78,0.4119
1969,9,2,4,75,1.3957
1969,9,2,5,147,-0.6357
1969,9,3,1,150,-2.2885
1969,9,3,2,56,-3.6823
1969,9,3,3,78,-0.2641
1969,9,3,4,146,-3.0545
1969,9,3,5,169,-2.3780
1969,10,1,1,153,9.2697
1969,10,1,2,151,7.4552
1969,10,1,3,139,7.5747
1969,10,1,4,243,12.9456
1969,10,1,5,222,14.4418
1969,10,2,1,115,4.8720
1969,10,2,2,68,5.7714
1969,10,2,3,72,7.9372
1969,10,2,4,95,8.5257
1969,10,2,5,103,12.0082
1969,10,3,1,197,3.6948
1969,10,3,2,86,4.4391
1969,10,3,3,77,4.8819
1969,10,3,4,106,5.8663
1969,10,3,5,135,6.3543
1969,11,1,1,164,-8.5514
1969,11,1,2,148,-6.8682
1969,11,1,3,130,-5.2619
1969,11,1,4,249,-5.9622
1969,11,1,5,212,-7.4689
1969,11,2,1,113,-5.8628
1969,11,2,2,64,-4.5360
1969,11,2,3,86,-4.5708
1969,11,2,4,115,-3.3568
1969,11,2,5,75,-5.3360
1969,11,3,1,157,-4.3433
1969,11,3,2,75,-4.6098
1969,11,3,3,121,-3.7958
1969,11,3,4,158,-1.3970
1969,11,3,5,94,-1.6328
1969,12,1,1,188,-9.6454
1969,12,1,2,136,-9.0753
1969,12,1,3,227,-7.7192
1969,12,1,4,167,-9.0648
1969,12,1,5,183,-9.0451
1969,12,2,1,105,-8.7556
1969,12,2,2,74,-5.4580
1969,12,2,3,94,-3.8169
1969,12,2,4,106,-5.1035
1969,12,2,5,71,-4.0252
1969,12,3,1,128,-2.5995
1969,12,3,2,65,-2.1835
1969,12,3,3,101,-3.8482
1969,12,3,4,150,-0.0178
1969,12,3,5,160,-0.3660
1970,1,1,1,217,-1.2722
1970,1,1,2,86,-2.8753
1970,1,1,3,196,-1.7124
1970,1,1,4,255,-3.0410
1970,1,1,5,148,-3.0890
1970,1,2,1,92,-6.4744
1970,1,2,2,74,-4.5620
1970,1,2,3,63,-7.9886
1970,1,2,4,112,-8.6243
1970,1,2,5,102,-4.2613
1970,1,3,1,129,-9.4031
1970,1,3,2,98,-5.4589
1970,1,3,3,72,-8.9967
1970,1,3,4,103,-8.0738
1970,1,3,5,198,-6.9392
1970,2,1,1,303,1.2321
1970,2,1,2,152,4.3438
1970,2,1,3,152,2.2932
1970,2,1,4,158,2.3760
1970,2,1,5,142,3.1346
1970,2,2,1,137,4.1606
1970,2,2,2,45,6.6375
1970,2,2,3,89,1.5669
1970,2,2,4,74,3.9635
1970,2,2,5,89,4.4507
1970,2,3,1,158,7.6873
1970,2,3,2,107,3.9844
1970,2,3,3,126,3.7039
1970,2,3,4,67,10.2913
1970,2,3,5,141,7.4545
1970,3,1,1,159,-3.4268
1970,3,1,2,302,-4.8106
1970,3,1,3,129,-3.8784
1970,3,1,4,151,-3.7889
1970,3,1,5,161,-1.5713
1970,3,2,1,88,-3.0081
1970,3,2,2,122,-2.8383
1970,3,2,3,59,-3.9980
1970,3,2,4,69,-1.0399
1970,3,2,5,98,0.7649
1970,3,3,1,131,-0.8536
1970,3,3,2,153,-1.3296
1970,3,3,3,87,-0.3163
1970,3,3,4,66,3.0956
1970,3,3,5,165,1.2728
1970,4,1,1,321,-18.0741
1970,4,1,2,184,-22.1600
1970,4,1,3,131,-17.8105
1970,4,1,4,179,-14.9371
1970,4,1,5,91,-17.4344
1970,4,2,1,139,-18.1082
1970,4,2,2,81,-18.5639
1970,4,2,3,72,-15.1887
1970,4,2,4,94,-11.3779
1970,4,2,5,44,-13.9299
1970,4,3,1,187,-10.3335
1970,4,3,2,126,-10.3640
1970,4,3,3,85,-7.6237
1970,4,3,4,145,-8.5108
1970,4,3,5,55,-8.7218
1970,5,1,1,309,-10.2143
1970,5,1,2,219,-10.3884
1970,5,1,3,114,-8.1233
1970,5,1,4,166,-8.3726
1970,5,1,5,103,-7.7161
1970,5,2,1,140,-10.2629
1970,5,2,2,92,-12.7438
1970,5,2,3,73,-8.6002
1970,5,2,4,70,-9.7083
1970,5,2,5,50,-10.0393
1970,5,3,1,168,-3.2913
1970,5,3,2,148,-7.8871
1970,5,3,3,127,-7.4790
1970,5,3,4,87,-6.6821
1970,5,3,5,63,-4.8350
1970,6,1,1,242,-11.5633
1970,6,1,2,277,-8.0925
1970,6,1,3,128,-10.8276
1970,6,1,4,134,-8.8778
1970,6,1,5,124,-7.7867
1970,6,2,1,105,-10.0094
1970,6,2,2,114,-6.9615
1970,6,2,3,34,-6.1327
1970,6,2,4,69,-10.3653
1970,6,2,5,105,-5.0574
1970,6,3,1,100,-9.0709
1970,6,3,2,138,-2.6706
1970,6,3,3,50,-4.4012
1970,6,3,4,66,-7.8012
1970,6,3,5,236,-3.0752
1970,7,1,1,214,3.4848
1970,7,1,2,144,3.6738
1970,7,1,3,250,6.0771
1970,7,1,4,163,5.7399
1970,7,1,5,125,4.2470
1970,7,2,1,106,4.7378
1970,7,2,2,71,8.0625
1970,7,2,3,118,8.6262
1970,7,2,4,71,9.8177
1970,7,2,5,57,8.1889
1970,7,3,1,138,6.4667
1970,7,3,2,58,5.8984
1970,7,3,3,120,7.0450
1970,7,3,4,150,8.9457
1970,7,3,5,125,7.9161
1970,8,1,1,139,5.3230
1970,8,1,2,162,6.4816
1970,8,1,3,124,5.7824
1970,8,1,4,123,7.9554
1970,8,1,5,345,5.9376
1970,8,2,1,58,3.3788
1970,8,2,2,76,7.9708
1970,8,2,3,55,5.7020
1970,8,2,4,44,11.3712
1970,8,2,5,165,6.8329
1970,8,3,1,71,3.4682
1970,8,3,2,62,3.8141
1970,8,3,3,89,2.1878
1970,8,3,4,62,5.7921
1970,8,3,5,269,5.3309
1970,9,1,1,127,13.7741
1970,9,1,2,125,14.9566
1970,9,1,3,133,15.4348
1970,9,1,4,321,15.5005
1970,9,1,5,181,17.8660
