year,month,rank_ME,rank_SM_1,nstocks,ret_vw
1977,7,1,1,70,0.5007
1977,7,1,2,62,-0.0625
1977,7,1,3,56,-2.2174
1977,7,1,4,55,1.5896
1977,7,1,5,83,-3.5373
1977,7,2,1,35,0.0168
1977,7,2,2,30,-1.5645
1977,7,2,3,28,-1.0810
1977,7,2,4,33,-1.6414
1977,7,2,5,29,-2.1205
1977,7,3,1,52,-3.6756
1977,7,3,2,43,-3.3852
1977,7,3,3,50,-1.9578
1977,7,3,4,54,-3.4810
1977,7,3,5,59,-2.0671
1977,8,1,1,69,-1.1063
1977,8,1,2,52,-2.2232
1977,8,1,3,61,-2.8169
1977,8,1,4,63,-4.0582
1977,8,1,5,83,-1.7315
1977,8,2,1,38,-3.0929
1977,8,2,2,25,-2.1854
1977,8,2,3,30,-2.0782
1977,8,2,4,26,-0.2377
1977,8,2,5,32,-1.9769
1977,8,3,1,49,-2.4358
1977,8,3,2,58,-4.2156
1977,8,3,3,52,1.7808
1977,8,3,4,58,0.0596
1977,8,3,5,42,-2.1278
1977,9,1,1,55,1.3338
1977,9,1,2,53,-0.6106
1977,9,1,3,61,-1.6882
1977,9,1,4,64,0.6125
1977,9,1,5,90,1.9973
1977,9,2,1,29,2.6942
1977,9,2,2,36,2.5155
1977,9,2,3,32,3.4592
1977,9,2,4,26,-0.5220
1977,9,2,5,32,0.3648
1977,9,3,1,64,0.0782
1977,9,3,2,46,0.3708
1977,9,3,3,42,-1.4339
1977,9,3,4,57,-1.3158
1977,9,3,5,49,-1.4512
1977,10,1,1,79,-3.6597
1977,10,1,2,50,-4.6912
1977,10,1,3,60,-2.6053
1977,10,1,4,62,-1.5889
1977,10,1,5,74,-2.9225
1977,10,2,1,35,-1.8905
1977,10,2,2,30,-1.1793
1977,10,2,3,27,-2.5781
1977,10,2,4,31,-3.0327
1977,10,2,5,26,-2.6759
1977,10,3,1,41,-2.1310
1977,10,3,2,55,-3.6560
1977,10,3,3,55,-4.8789
1977,10,3,4,53,-4.3529
1977,10,3,5,56,-4.9248
1977,11,1,1,76,7.0865
1977,11,1,2,61,8.3984
1977,11,1,3,59,8.9698
1977,11,1,4,64,7.4250
1977,11,1,5,67,10.8128
1977,11,2,1,31,8.0197
1977,11,2,2,24,9.5606
1977,11,2,3,27,4.4814
1977,11,2,4,30,8.9243
1977,11,2,5,38,7.4515
1977,11,3,1,54,3.3415
1977,11,3,2,60,4.8759
1977,11,3,3,52,5.2066
1977,11,3,4,53,4.8158
1977,11,3,5,39,5.7038
1977,12,1,1,36,5.6937
1977,12,1,2,70,0.3106
1977,12,1,3,70,3.6930
1977,12,1,4,89,1.3002
1977,12,1,5,67,2.5510
1977,12,2,1,21,-1.6796
1977,12,2,2,26,1.4282
1977,12,2,3,28,-0.4654
1977,12,2,4,39,2.9284
1977,12,2,5,33,3.5944
1977,12,3,1,68,-0.7347
1977,12,3,2,48,1.2990
1977,12,3,3,51,0.0541
1977,12,3,4,43,1.2009
1977,12,3,5,48,1.0934
1978,1,1,1,66,-1.8769
1978,1,1,2,85,-2.2494
1978,1,1,3,56,0.3068
1978,1,1,4,67,-0.1185
1978,1,1,5,54,-4.8103
1978,1,2,1,39,-1.7547
1978,1,2,2,29,-5.4028
1978,1,2,3,26,-4.1129
1978,1,2,4,29,-2.9856
1978,1,2,5,26,-4.7512
1978,1,3,1,40,-7.4183
1978,1,3,2,54,-5.8213
1978,1,3,3,54,-5.7349
1978,1,3,4,47,-7.6566
1978,1,3,5,63,-7.0361
1978,2,1,1,79,3.0166
1978,2,1,2,61,1.5562
1978,2,1,3,74,1.3215
1978,2,1,4,56,3.8561
1978,2,1,5,55,3.6412
1978,2,2,1,31,2.2250
1978,2,2,2,22,3.5452
1978,2,2,3,30,2.2437
1978,2,2,4,36,1.3783
1978,2,2,5,33,-0.2906
1978,2,3,1,49,-1.5695
1978,2,3,2,63,-2.5650
1978,2,3,3,51,-2.0251
1978,2,3,4,46,0.5214
1978,2,3,5,47,-3.1003
1978,3,1,1,52,4.3538
1978,3,1,2,85,6.7584
1978,3,1,3,61,8.9321
1978,3,1,4,64,8.2270
1978,3,1,5,67,7.1343
1978,3,2,1,20,5.0574
1978,3,2,2,34,5.5355
1978,3,2,3,29,7.1460
1978,3,2,4,28,6.4003
1978,3,2,5,36,8.3655
1978,3,3,1,64,2.4924
1978,3,3,2,43,2.1737
1978,3,3,3,54,4.3464
1978,3,3,4,51,5.6363
1978,3,3,5,45,4.3247
1978,4,1,1,71,7.4703
1978,4,1,2,52,10.8309
1978,4,1,3,70,8.4136
1978,4,1,4,56,8.7939
1978,4,1,5,81,8.2988
1978,4,2,1,31,7.6356
1978,4,2,2,30,6.2962
1978,4,2,3,29,9.8525
1978,4,2,4,34,9.8451
1978,4,2,5,23,8.4806
1978,4,3,1,57,7.9351
1978,4,3,2,53,10.9516
1978,4,3,3,48,10.0119
1978,4,3,4,50,10.7379
1978,4,3,5,48,11.5258
1978,5,1,1,51,4.9390
1978,5,1,2,64,11.8084
1978,5,1,3,75,5.3703
1978,5,1,4,51,7.4911
1978,5,1,5,90,8.9325
1978,5,2,1,22,6.6987
1978,5,2,2,32,5.1399
1978,5,2,3,36,6.2130
1978,5,2,4,29,7.8517
1978,5,2,5,29,5.9677
1978,5,3,1,60,1.9617
1978,5,3,2,44,0.9975
1978,5,3,3,45,2.9220
1978,5,3,4,63,4.2898
1978,5,3,5,46,4.5488
1978,6,1,1,41,2.0564
1978,6,1,2,41,-0.9210
1978,6,1,3,89,0.5731
1978,6,1,4,80,-0.5913
1978,6,1,5,79,-1.5049
1978,6,2,1,32,-2.4387
1978,6,2,2,24,2.8171
1978,6,2,3,30,-3.4935
1978,6,2,4,29,-2.3724
1978,6,2,5,33,4.2436
1978,6,3,1,59,-3.3787
1978,6,3,2,58,-1.0985
1978,6,3,3,42,0.4432
1978,6,3,4,55,-2.0305
1978,6,3,5,45,-1.4070
1978,7,1,1,148,4.7764
1978,7,1,2,117,4.7193
1978,7,1,3,100,6.3604
1978,7,1,4,129,4.6165
1978,7,1,5,128,5.9181
1978,7,2,1,53,2.6262
1978,7,2,2,40,7.0366
1978,7,2,3,55,7.2712
1978,7,2,4,47,7.1830
1978,7,2,5,43,6.8765
1978,7,3,1,82,4.6479
1978,7,3,2,66,5.6844
1978,7,3,3,79,7.9060
1978,7,3,4,69,5.7636
1978,7,3,5,89,7.4790
1978,8,1,1,105,8.9307
1978,8,1,2,125,7.1455
1978,8,1,3,111,9.6965
1978,8,1,4,116,9.9707
1978,8,1,5,164,12.3508
1978,8,2,1,44,8.1404
1978,8,2,2,47,6.8727
1978,8,2,3,49,8.9126
1978,8,2,4,55,7.5825
1978,8,2,5,50,9.9021
1978,8,3,1,92,4.4935
1978,8,3,2,75,5.7292
1978,8,3,3,71,3.9615
1978,8,3,4,72,1.2887
1978,8,3,5,69,4.4404
1978,9,1,1,79,0.1970
1978,9,1,2,105,-0.0601
1978,9,1,3,115,-0.9090
1978,9,1,4,108,-0.6006
1978,9,1,5,207,-1.3945
1978,9,2,1,39,0.1887
1978,9,2,2,47,-1.8153
1978,9,2,3,45,-2.3223
1978,9,2,4,55,-3.1101
1978,9,2,5,61,-2.6931
1978,9,3,1,90,-1.8704
1978,9,3,2,77,-0.8007
1978,9,3,3,79,0.1927
1978,9,3,4,77,-0.2693
1978,9,3,5,58,-4.0653
1978,10,1,1,184,-26.6354
1978,10,1,2,132,-22.9956
1978,10,1,3,90,-24.4872
1978,10,1,4,113,-21.8790
1978,10,1,5,93,-26.5435
1978,10,2,1,61,-23.3825
1978,10,2,2,48,-20.3522
1978,10,2,3,46,-17.7108
1978,10,2,4,53,-21.9984
1978,10,2,5,47,-21.7386
1978,10,3,1,63,-8.6479
1978,10,3,2,74,-11.3824
1978,10,3,3,80,-11.2093
1978,10,3,4,72,-10.2047
