year,month,rank_ME,rank_CIM_6,nstocks,ret_vw
1967,1,1,1,199,18.4024
1967,1,1,2,174,22.9693
1967,1,1,3,272,17.9890
1967,1,1,4,101,20.1545
1967,1,1,5,136,21.8911
1967,1,2,1,73,14.1776
1967,1,2,2,63,19.2277
1967,1,2,3,130,14.3703
1967,1,2,4,44,20.4919
1967,1,2,5,84,15.0041
1967,1,3,1,101,10.5756
1967,1,3,2,87,5.6840
1967,1,3,3,220,7.4506
1967,1,3,4,63,6.8868
1967,1,3,5,125,9.0945
1967,2,1,1,255,5.1214
1967,2,1,2,430,4.6098
1967,2,1,3,358,5.5370
1967,2,1,4,203,6.3496
1967,2,1,5,212,5.6222
1967,2,2,1,118,1.7570
1967,2,2,2,162,1.8067
1967,2,2,3,167,1.6299
1967,2,2,4,97,1.3990
1967,2,2,5,120,4.3384
1967,2,3,1,274,-0.0112
1967,2,3,2,216,0.9633
1967,2,3,3,270,0.2501
1967,2,3,4,124,-0.6284
1967,2,3,5,147,5.0728
1967,3,1,1,309,6.5353
1967,3,1,2,555,6.4750
1967,3,1,3,419,7.4737
1967,3,1,4,310,7.7729
1967,3,1,5,316,7.6957
1967,3,2,1,161,6.2078
1967,3,2,2,232,5.2737
1967,3,2,3,197,6.6804
1967,3,2,4,135,6.2975
1967,3,2,5,160,7.3277
1967,3,3,1,324,4.8803
1967,3,3,2,284,3.5662
1967,3,3,3,304,3.7748
1967,3,3,4,183,4.2290
1967,3,3,5,191,5.9037
1967,4,1,1,352,3.9964
1967,4,1,2,589,3.8892
1967,4,1,3,515,4.0879
1967,4,1,4,371,5.6821
1967,4,1,5,351,6.0831
1967,4,2,1,194,2.2681
1967,4,2,2,257,2.9297
1967,4,2,3,239,3.5700
1967,4,2,4,167,4.1243
1967,4,2,5,190,4.6225
1967,4,3,1,357,5.5693
1967,4,3,2,330,3.2332
1967,4,3,3,342,3.8777
1967,4,3,4,199,6.2455
1967,4,3,5,217,5.0071
1967,5,1,1,408,1.3588
1967,5,1,2,631,-0.1744
1967,5,1,3,594,0.2565
1967,5,1,4,380,-1.3993
1967,5,1,5,390,-0.8488
1967,5,2,1,227,-1.8054
1967,5,2,2,303,-2.2071
1967,5,2,3,267,-0.9738
1967,5,2,4,184,-2.0159
1967,5,2,5,214,-1.3972
1967,5,3,1,402,-3.6868
1967,5,3,2,443,-4.0473
1967,5,3,3,393,-4.4422
1967,5,3,4,207,-5.0556
1967,5,3,5,240,-4.7962
1967,6,1,1,484,10.7045
1967,6,1,2,694,11.5626
1967,6,1,3,635,11.3789
1967,6,1,4,462,12.7572
1967,6,1,5,586,11.9446
1967,6,2,1,249,7.3447
1967,6,2,2,335,6.6927
1967,6,2,3,297,6.4958
1967,6,2,4,240,7.8441
1967,6,2,5,281,8.5525
1967,6,3,1,424,2.0662
1967,6,3,2,481,1.3803
1967,6,3,3,417,2.1412
1967,6,3,4,259,2.4553
1967,6,3,5,342,3.1557
1967,7,1,1,482,10.5681
1967,7,1,2,727,9.3277
1967,7,1,3,672,9.0075
1967,7,1,4,604,9.5570
1967,7,1,5,562,9.2351
1967,7,2,1,253,7.8587
1967,7,2,2,356,7.3532
1967,7,2,3,315,7.3327
1967,7,2,4,297,7.5720
1967,7,2,5,275,7.9651
1967,7,3,1,438,5.3101
1967,7,3,2,499,5.1534
1967,7,3,3,428,2.6735
1967,7,3,4,336,5.9841
1967,7,3,5,323,4.4175
1967,8,1,1,497,-0.1238
1967,8,1,2,717,0.2547
1967,8,1,3,699,0.3430
1967,8,1,4,670,0.7224
1967,8,1,5,578,0.4521
1967,8,2,1,270,-0.4446
1967,8,2,2,345,-0.4101
1967,8,2,3,330,0.1021
1967,8,2,4,332,0.1887
1967,8,2,5,280,-0.2383
1967,8,3,1,441,-0.8876
1967,8,3,2,473,-0.4933
1967,8,3,3,443,-0.1666
1967,8,3,4,384,-0.6065
1967,8,3,5,330,-0.5713
1967,9,1,1,489,8.3759
1967,9,1,2,689,7.9542
1967,9,1,3,683,9.1210
1967,9,1,4,668,7.5971
1967,9,1,5,607,7.7380
1967,9,2,1,258,4.8419
1967,9,2,2,342,4.7018
1967,9,2,3,309,5.2240
1967,9,2,4,340,4.9357
1967,9,2,5,296,5.0057
1967,9,3,1,437,3.7962
1967,9,3,2,443,2.2038
1967,9,3,3,354,2.6463
1967,9,3,4,394,3.4563
1967,9,3,5,345,3.8548
1967,10,1,1,492,-0.9224
1967,10,1,2,643,-1.6452
1967,10,1,3,661,-1.7886
1967,10,1,4,680,-1.2255
1967,10,1,5,580,-1.8046
1967,10,2,1,266,-3.6917
1967,10,2,2,328,-2.6738
1967,10,2,3,305,-2.9843
1967,10,2,4,344,-2.1001
1967,10,2,5,273,-2.7548
1967,10,3,1,441,-1.9164
1967,10,3,2,392,-5.0793
1967,10,3,3,337,-4.3430
1967,10,3,4,390,-3.0003
1967,10,3,5,335,-1.4458
1967,11,1,1,586,0.0772
1967,11,1,2,592,0.2065
1967,11,1,3,647,-0.0309
1967,11,1,4,673,0.2959
1967,11,1,5,568,0.4615
1967,11,2,1,324,0.8840
1967,11,2,2,301,0.7345
1967,11,2,3,331,1.0443
1967,11,2,4,324,0.6596
1967,11,2,5,258,1.5072
1967,11,3,1,494,0.5890
1967,11,3,2,385,0.9752
1967,11,3,3,446,0.0115
1967,11,3,4,387,0.2849
1967,11,3,5,336,1.2970
1967,12,1,1,577,10.1224
1967,12,1,2,656,10.9802
1967,12,1,3,681,11.2914
1967,12,1,4,686,9.9749
1967,12,1,5,453,9.9246
1967,12,2,1,330,6.9944
1967,12,2,2,327,8.4651
1967,12,2,3,357,7.1009
1967,12,2,4,353,6.2896
1967,12,2,5,224,8.6888
1967,12,3,1,511,3.2932
1967,12,3,2,419,3.1402
1967,12,3,3,448,2.3466
1967,12,3,4,473,2.5396
1967,12,3,5,282,2.0925
1968,1,1,1,569,2.9645
1968,1,1,2,656,2.8106
1968,1,1,3,664,4.2790
1968,1,1,4,763,3.2894
1968,1,1,5,394,3.6438
1968,1,2,1,342,-1.2056
1968,1,2,2,351,-1.3688
1968,1,2,3,354,-0.3884
