year,month,rank_ME,rank_CM_12,nstocks,ret_vw
1979,7,1,1,70,2.4540
1979,7,1,2,71,-0.5032
1979,7,1,3,46,3.7955
1979,7,1,4,31,4.8985
1979,7,1,5,65,3.9202
1979,7,2,1,18,4.6523
1979,7,2,2,15,0.7748
1979,7,2,3,14,4.9716
1979,7,2,4,12,0.3059
1979,7,2,5,16,-0.5633
1979,7,3,1,10,2.2989
1979,7,3,2,12,1.1236
1979,7,3,3,14,3.6936
1979,7,3,4,9,1.0981
1979,7,3,5,17,0.6025
1979,8,1,1,129,7.1157
1979,8,1,2,91,8.1746
1979,8,1,3,93,7.8571
1979,8,1,4,72,8.7827
1979,8,1,5,107,10.8633
1979,8,2,1,32,4.6410
1979,8,2,2,21,4.4879
1979,8,2,3,26,8.0048
1979,8,2,4,24,7.3255
1979,8,2,5,23,7.1636
1979,8,3,1,16,5.5281
1979,8,3,2,22,4.7395
1979,8,3,3,28,5.8620
1979,8,3,4,18,4.4059
1979,8,3,5,28,6.8045
1979,9,1,1,153,-0.0063
1979,9,1,2,104,0.1405
1979,9,1,3,139,-0.7550
1979,9,1,4,111,-0.3486
1979,9,1,5,143,-0.6717
1979,9,2,1,40,-1.4873
1979,9,2,2,22,-3.0316
1979,9,2,3,30,-0.7336
1979,9,2,4,33,-0.6076
1979,9,2,5,30,-0.2126
1979,9,3,1,23,2.5745
1979,9,3,2,29,-1.0288
1979,9,3,3,35,-0.8129
1979,9,3,4,22,8.1075
1979,9,3,5,31,2.2990
1979,10,1,1,169,-10.2195
1979,10,1,2,151,-10.5507
1979,10,1,3,177,-8.7374
1979,10,1,4,131,-9.7098
1979,10,1,5,165,-10.0071
1979,10,2,1,43,-9.6536
1979,10,2,2,40,-11.3666
1979,10,2,3,37,-10.1798
1979,10,2,4,39,-8.8500
1979,10,2,5,37,-9.1235
1979,10,3,1,27,-7.0928
1979,10,3,2,37,-8.4957
1979,10,3,3,40,-7.6675
1979,10,3,4,32,-4.4881
1979,10,3,5,41,-8.4830
1979,11,1,1,192,9.1687
1979,11,1,2,164,4.0462
1979,11,1,3,193,8.6012
1979,11,1,4,154,8.4908
1979,11,1,5,202,12.1430
1979,11,2,1,51,7.6630
1979,11,2,2,46,3.2146
1979,11,2,3,45,4.0098
1979,11,2,4,46,9.9817
1979,11,2,5,45,9.3556
1979,11,3,1,35,8.2173
1979,11,3,2,38,3.7900
1979,11,3,3,44,5.8066
1979,11,3,4,36,4.6770
1979,11,3,5,46,12.1478
1979,12,1,1,213,7.0432
1979,12,1,2,186,9.1185
1979,12,1,3,198,7.8462
1979,12,1,4,174,11.2019
1979,12,1,5,206,11.3355
1979,12,2,1,55,2.1387
1979,12,2,2,52,3.7840
1979,12,2,3,48,5.3411
1979,12,2,4,54,4.7138
1979,12,2,5,52,7.3232
1979,12,3,1,45,5.0464
1979,12,3,2,39,4.5658
1979,12,3,3,48,4.2481
1979,12,3,4,43,3.3279
1979,12,3,5,48,5.4240
1980,1,1,1,235,11.9393
1980,1,1,2,195,10.9206
1980,1,1,3,212,10.6875
1980,1,1,4,199,12.4080
1980,1,1,5,213,14.4857
1980,1,2,1,62,10.7196
1980,1,2,2,53,9.5586
1980,1,2,3,50,8.9018
1980,1,2,4,60,11.9455
1980,1,2,5,57,11.7142
1980,1,3,1,49,8.6603
1980,1,3,2,42,2.5729
1980,1,3,3,52,6.5953
1980,1,3,4,47,9.6082
1980,1,3,5,49,11.0711
1980,2,1,1,240,-1.3543
1980,2,1,2,211,-1.9250
1980,2,1,3,222,-0.0417
1980,2,1,4,219,-2.2291
1980,2,1,5,225,0.4348
1980,2,2,1,63,-2.6892
1980,2,2,2,58,-4.1657
1980,2,2,3,54,-3.1223
1980,2,2,4,66,-1.8065
1980,2,2,5,60,-0.2903
1980,2,3,1,54,3.2668
1980,2,3,2,46,-0.7495
1980,2,3,3,54,1.2179
1980,2,3,4,55,2.0477
1980,2,3,5,52,1.4417
1980,3,1,1,242,-19.2114
1980,3,1,2,218,-17.3426
1980,3,1,3,225,-19.4220
1980,3,1,4,227,-18.4609
1980,3,1,5,227,-19.7368
1980,3,2,1,65,-18.2889
1980,3,2,2,63,-17.8700
1980,3,2,3,56,-16.9420
1980,3,2,4,70,-19.9211
1980,3,2,5,62,-19.3699
1980,3,3,1,55,-15.5374
1980,3,3,2,48,-13.5548
1980,3,3,3,55,-14.0521
1980,3,3,4,56,-16.8164
1980,3,3,5,55,-17.4476
1980,4,1,1,261,6.0125
1980,4,1,2,225,5.8136
1980,4,1,3,229,6.4243
1980,4,1,4,238,7.0728
1980,4,1,5,251,7.2231
1980,4,2,1,74,3.0505
1980,4,2,2,70,2.3392
1980,4,2,3,59,2.3047
1980,4,2,4,75,6.6171
1980,4,2,5,67,8.3999
1980,4,3,1,60,3.5282
1980,4,3,2,55,4.0630
1980,4,3,3,56,3.7595
1980,4,3,4,57,4.1952
1980,4,3,5,57,5.5506
1980,5,1,1,263,6.4127
1980,5,1,2,225,4.3846
