year,month,rank_ME,rank_dEF_6,nstocks,ret_vw
1976,3,1,1,9,1.8696
1976,3,1,2,1,-6.0976
1976,3,1,3,2,-9.1943
1976,3,1,4,7,-2.8411
1976,3,1,5,8,2.0521
1976,3,2,1,15,1.9746
1976,3,2,2,11,-0.9067
1976,3,2,3,7,1.4582
1976,3,2,4,2,-4.0290
1976,3,2,5,18,0.7982
1976,3,3,1,24,-3.3161
1976,3,3,2,36,4.8454
1976,3,3,3,33,-0.1198
1976,3,3,4,35,2.4356
1976,3,3,5,25,6.4964
1976,4,1,1,12,-0.9813
1976,4,1,2,4,-1.3381
1976,4,1,3,2,-6.0714
1976,4,1,4,8,-6.3109
1976,4,1,5,12,-2.3886
1976,4,2,1,36,0.0922
1976,4,2,2,15,-1.7827
1976,4,2,3,8,1.5683
1976,4,2,4,14,-1.4986
1976,4,2,5,33,-1.3455
1976,4,3,1,61,-4.0501
1976,4,3,2,89,-2.3616
1976,4,3,3,82,-0.8313
1976,4,3,4,77,-2.6472
1976,4,3,5,59,-1.5495
1976,5,1,1,20,-3.1004
1976,5,1,2,4,-7.9754
1976,5,1,3,5,-1.0925
1976,5,1,4,8,-7.0978
1976,5,1,5,19,-4.9378
1976,5,2,1,49,-1.5082
1976,5,2,2,21,-1.4347
1976,5,2,3,17,-5.8674
1976,5,2,4,29,4.1685
1976,5,2,5,61,-5.5769
1976,5,3,1,108,-0.4567
1976,5,3,2,144,-1.6520
1976,5,3,3,144,-0.5461
1976,5,3,4,137,-2.2103
1976,5,3,5,102,-2.2755
1976,6,1,1,25,6.7735
1976,6,1,2,5,-1.2672
1976,6,1,3,6,0.3116
1976,6,1,4,11,2.4565
1976,6,1,5,23,3.8004
1976,6,2,1,64,5.1081
1976,6,2,2,29,7.3286
1976,6,2,3,27,6.7316
1976,6,2,4,41,8.6943
1976,6,2,5,72,6.1652
1976,6,3,1,148,6.2153
1976,6,3,2,184,4.2908
1976,6,3,3,185,4.0612
1976,6,3,4,175,4.6755
1976,6,3,5,141,3.5765
1976,7,1,1,43,-0.1330
1976,7,1,2,5,-0.6935
1976,7,1,3,6,4.1202
1976,7,1,4,13,0.2212
1976,7,1,5,26,0.2315
1976,7,2,1,79,-1.5823
1976,7,2,2,37,-1.9291
1976,7,2,3,36,-0.5527
1976,7,2,4,52,-2.1593
1976,7,2,5,88,-1.1068
1976,7,3,1,180,-2.2901
1976,7,3,2,221,-1.0121
1976,7,3,3,223,-0.3883
1976,7,3,4,222,-1.9831
1976,7,3,5,176,-2.0350
1976,8,1,1,49,-7.2822
1976,8,1,2,5,-0.2390
1976,8,1,3,10,-0.6844
1976,8,1,4,13,-0.0309
1976,8,1,5,29,-1.9425
1976,8,2,1,95,-2.9607
1976,8,2,2,49,-3.3424
1976,8,2,3,43,-5.0008
1976,8,2,4,64,-2.3124
1976,8,2,5,105,-2.4607
1976,8,3,1,214,-1.8249
1976,8,3,2,250,0.3387
1976,8,3,3,262,0.2619
1976,8,3,4,265,-0.3076
1976,8,3,5,208,-0.7780
1976,9,1,1,43,-0.7036
1976,9,1,2,6,2.9470
1976,9,1,3,8,1.3391
1976,9,1,4,7,1.1245
1976,9,1,5,25,-0.1200
1976,9,2,1,107,2.5234
1976,9,2,2,42,5.2061
