year,month,rank_ME,rank_ILR_1,nstocks,ret_vw
1967,1,1,1,226,17.9528
1967,1,1,2,245,20.4515
1967,1,1,3,206,21.1480
1967,1,1,4,203,19.3867
1967,1,1,5,54,14.8769
1967,1,2,1,81,14.8707
1967,1,2,2,103,14.6865
1967,1,2,3,101,14.7518
1967,1,2,4,109,15.2747
1967,1,2,5,21,18.0396
1967,1,3,1,130,11.4331
1967,1,3,2,149,9.7395
1967,1,3,3,213,11.7267
1967,1,3,4,104,11.3306
1967,1,3,5,18,6.3309
1967,2,1,1,144,4.0492
1967,2,1,2,77,6.0281
1967,2,1,3,306,4.9588
1967,2,1,4,246,7.4544
1967,2,1,5,164,5.5799
1967,2,2,1,73,5.3178
1967,2,2,2,40,4.5126
1967,2,2,3,121,2.7434
1967,2,2,4,127,3.2070
1967,2,2,5,53,1.9409
1967,2,3,1,210,1.9700
1967,2,3,2,91,3.0196
1967,2,3,3,141,1.4976
1967,2,3,4,115,0.1224
1967,2,3,5,58,2.0626
1967,3,1,1,136,7.2676
1967,3,1,2,238,6.8905
1967,3,1,3,245,12.4575
1967,3,1,4,200,7.2030
1967,3,1,5,113,8.9030
1967,3,2,1,109,5.7458
1967,3,2,2,101,5.8449
1967,3,2,3,94,8.0816
1967,3,2,4,83,7.7130
1967,3,2,5,36,10.1601
1967,3,3,1,174,2.2337
1967,3,3,2,190,3.5706
1967,3,3,3,122,6.6080
1967,3,3,4,93,5.1738
1967,3,3,5,36,7.4399
1967,4,1,1,201,2.5745
1967,4,1,2,253,3.8186
1967,4,1,3,227,7.2184
1967,4,1,4,58,3.2865
1967,4,1,5,189,5.0259
1967,4,2,1,84,2.8163
1967,4,2,2,89,5.2426
1967,4,2,3,110,2.8553
1967,4,2,4,36,3.8826
1967,4,2,5,108,3.8985
1967,4,3,1,134,7.9234
1967,4,3,2,173,3.6588
1967,4,3,3,143,5.1747
1967,4,3,4,88,3.6927
1967,4,3,5,74,9.6690
1967,5,1,1,117,1.7466
1967,5,1,2,180,1.5119
1967,5,1,3,275,1.4030
1967,5,1,4,161,-2.3378
1967,5,1,5,190,0.1029
1967,5,2,1,67,0.4248
1967,5,2,2,84,-3.0919
1967,5,2,3,133,-1.5644
1967,5,2,4,77,-2.4167
1967,5,2,5,70,-2.5465
1967,5,3,1,162,-0.9419
1967,5,3,2,143,-2.5240
1967,5,3,3,140,-3.8743
1967,5,3,4,103,-3.5551
1967,5,3,5,67,-4.4463
1967,6,1,1,214,12.1744
1967,6,1,2,206,7.7250
1967,6,1,3,246,11.6802
1967,6,1,4,132,9.6358
1967,6,1,5,120,12.2062
1967,6,2,1,88,6.1996
1967,6,2,2,107,7.1139
1967,6,2,3,148,9.2519
1967,6,2,4,61,8.2074
1967,6,2,5,34,10.3548
1967,6,3,1,93,3.9025
1967,6,3,2,228,1.8664
1967,6,3,3,205,2.0192
1967,6,3,4,59,4.0520
1967,6,3,5,24,6.3977
1967,7,1,1,136,6.8984
1967,7,1,2,197,9.7082
1967,7,1,3,345,8.7367
1967,7,1,4,123,8.2178
1967,7,1,5,105,10.7952
1967,7,2,1,101,5.3000
1967,7,2,2,106,10.1336
1967,7,2,3,156,10.6621
1967,7,2,4,50,4.5509
1967,7,2,5,37,6.6658
1967,7,3,1,198,4.5102
1967,7,3,2,170,5.8560
1967,7,3,3,131,5.7803
1967,7,3,4,76,4.4487
1967,7,3,5,34,2.6603
1967,8,1,1,70,2.0062
1967,8,1,2,80,-0.2090
1967,8,1,3,356,0.4630
1967,8,1,4,311,-0.4985
1967,8,1,5,87,0.8028
1967,8,2,1,50,2.8443
1967,8,2,2,58,-1.2062
1967,8,2,3,133,-0.8155
1967,8,2,4,163,-0.1893
1967,8,2,5,44,-2.5557
1967,8,3,1,125,0.8678
1967,8,3,2,109,-1.7269
1967,8,3,3,144,1.0327
1967,8,3,4,176,-0.3080
1967,8,3,5,53,-4.2829
1967,9,1,1,44,3.6489
1967,9,1,2,151,6.1205
1967,9,1,3,219,11.2036
1967,9,1,4,281,7.1234
1967,9,1,5,212,9.3286
1967,9,2,1,25,5.6591
1967,9,2,2,96,4.6332
1967,9,2,3,107,8.3644
1967,9,2,4,125,4.5509
1967,9,2,5,96,6.9029
1967,9,3,1,25,2.9019
1967,9,3,2,218,1.3471
