year,month,rank_ME,rank_IM_1,nstocks,ret_vw
1967,1,1,1,201,18.9039
1967,1,1,2,250,18.3386
1967,1,1,3,246,18.6814
1967,1,1,4,135,20.3378
1967,1,1,5,103,19.2957
1967,1,2,1,70,18.5012
1967,1,2,2,117,17.0118
1967,1,2,3,108,14.3964
1967,1,2,4,52,16.0797
1967,1,2,5,68,11.8712
1967,1,3,1,84,11.6685
1967,1,3,2,117,13.2211
1967,1,3,3,126,12.5789
1967,1,3,4,100,8.3860
1967,1,3,5,187,6.5338
1967,2,1,1,218,6.6282
1967,2,1,2,207,4.1654
1967,2,1,3,244,4.9065
1967,2,1,4,157,5.1807
1967,2,1,5,112,6.0255
1967,2,2,1,88,1.0491
1967,2,2,2,102,2.3405
1967,2,2,3,115,4.4382
1967,2,2,4,46,4.6666
1967,2,2,5,63,4.7973
1967,2,3,1,100,-0.9273
1967,2,3,2,115,1.7279
1967,2,3,3,254,0.2735
1967,2,3,4,59,4.0309
1967,2,3,5,87,3.4661
1967,3,1,1,223,7.6893
1967,3,1,2,213,8.5243
1967,3,1,3,200,11.4160
1967,3,1,4,168,7.6441
1967,3,1,5,129,7.8098
1967,3,2,1,85,2.0282
1967,3,2,2,91,8.5910
1967,3,2,3,122,9.5626
1967,3,2,4,83,7.8369
1967,3,2,5,42,9.1717
1967,3,3,1,103,0.3622
1967,3,3,2,142,5.7023
1967,3,3,3,242,6.8663
1967,3,3,4,86,6.6259
1967,3,3,5,42,4.5848
1967,4,1,1,242,3.3060
1967,4,1,2,186,5.0989
1967,4,1,3,222,2.7921
1967,4,1,4,150,5.7523
1967,4,1,5,129,6.7856
1967,4,2,1,103,1.5593
1967,4,2,2,78,3.3724
1967,4,2,3,124,3.2449
1967,4,2,4,81,5.6672
1967,4,2,5,41,4.8134
1967,4,3,1,201,5.8210
1967,4,3,2,144,2.6719
1967,4,3,3,158,3.7955
1967,4,3,4,83,7.9549
1967,4,3,5,26,9.9417
1967,5,1,1,117,0.3734
1967,5,1,2,283,1.6816
1967,5,1,3,239,1.6050
1967,5,1,4,161,-1.1484
1967,5,1,5,124,-0.9515
1967,5,2,1,66,-3.1371
1967,5,2,2,120,-1.4229
1967,5,2,3,116,-1.7665
1967,5,2,4,84,-1.7890
1967,5,2,5,45,-1.3412
1967,5,3,1,199,-2.8804
1967,5,3,2,165,-5.3782
1967,5,3,3,135,-2.7002
1967,5,3,4,78,-2.7911
1967,5,3,5,38,-1.3516
1967,6,1,1,125,7.2696
1967,6,1,2,340,9.6923
1967,6,1,3,162,11.9048
1967,6,1,4,172,13.6655
1967,6,1,5,120,10.2383
1967,6,2,1,72,10.2934
1967,6,2,2,135,5.9735
1967,6,2,3,105,6.7496
1967,6,2,4,91,9.7762
1967,6,2,5,35,8.4120
1967,6,3,1,213,3.4512
1967,6,3,2,190,0.6680
1967,6,3,3,104,3.6839
1967,6,3,4,87,3.4857
1967,6,3,5,15,8.2061
1967,7,1,1,129,7.6174
1967,7,1,2,222,7.7442
1967,7,1,3,283,10.9504
1967,7,1,4,149,6.5468
1967,7,1,5,124,9.2922
1967,7,2,1,91,8.9743
1967,7,2,2,110,6.4943
1967,7,2,3,126,8.2519
1967,7,2,4,83,7.8221
1967,7,2,5,40,6.4057
1967,7,3,1,231,5.7611
1967,7,3,2,172,6.0072
1967,7,3,3,90,5.5773
1967,7,3,4,93,4.2645
1967,7,3,5,23,1.0940
1967,8,1,1,144,-0.1649
1967,8,1,2,236,0.7910
1967,8,1,3,265,0.4362
1967,8,1,4,126,0.6533
1967,8,1,5,134,0.2162
1967,8,2,1,103,1.0124
1967,8,2,2,108,-2.7129
1967,8,2,3,110,0.5693
1967,8,2,4,83,-0.6992
1967,8,2,5,44,0.3988
1967,8,3,1,240,-1.8552
1967,8,3,2,141,-1.3710
1967,8,3,3,107,1.2376
1967,8,3,4,85,-0.9446
1967,8,3,5,34,-0.3757
1967,9,1,1,97,6.1123
1967,9,1,2,219,7.6819
1967,9,1,3,224,9.2682
1967,9,1,4,257,10.6099
1967,9,1,5,111,7.1458
1967,9,2,1,88,4.5372
1967,9,2,2,85,5.0793
1967,9,2,3,112,8.7014
1967,9,2,4,115,4.7325
1967,9,2,5,49,6.6942
1967,9,3,1,195,1.2534
1967,9,3,2,138,2.9100
1967,9,3,3,136,4.1757
1967,9,3,4,106,4.7958
1967,9,3,5,32,6.3342
1967,10,1,1,93,-3.6809
1967,10,1,2,245,-4.7560
1967,10,1,3,286,-2.3821
1967,10,1,4,145,-1.4692
1967,10,1,5,144,2.3505
1967,10,2,1,80,-3.2135
1967,10,2,2,115,-5.5118
1967,10,2,3,130,-2.9611
1967,10,2,4,78,-1.8376
1967,10,2,5,47,0.2486
1967,10,3,1,171,-4.7124
1967,10,3,2,207,-4.2593
1967,10,3,3,135,-4.5722
1967,10,3,4,55,1.1253
1967,10,3,5,36,3.4822
1967,11,1,1,147,0.1435
1967,11,1,2,82,0.3804
1967,11,1,3,417,-1.2947
1967,11,1,4,117,0.6361
1967,11,1,5,152,0.9481
1967,11,2,1,119,-1.5876
1967,11,2,2,43,2.5606
1967,11,2,3,177,0.4774
1967,11,2,4,65,1.4290
1967,11,2,5,45,1.8058
1967,11,3,1,211,1.4121
1967,11,3,2,90,0.1705
1967,11,3,3,214,-0.7549
1967,11,3,4,50,-1.6108
1967,11,3,5,42,2.9394
1967,12,1,1,121,7.2277
1967,12,1,2,159,10.3807
1967,12,1,3,312,8.3346
1967,12,1,4,189,9.9509
1967,12,1,5,136,14.0013
1967,12,2,1,103,4.9103
1967,12,2,2,89,4.9601
1967,12,2,3,122,7.9373
1967,12,2,4,83,7.5906
1967,12,2,5,50,13.0317
1967,12,3,1,183,2.9357
1967,12,3,2,150,3.1755
1967,12,3,3,152,1.7818
1967,12,3,4,73,3.1542
1967,12,3,5,50,8.2375
1968,1,1,1,70,0.5891
1968,1,1,2,182,2.7791
1968,1,1,3,325,3.7559
1968,1,1,4,173,6.0253
1968,1,1,5,159,3.1447
1968,1,2,1,52,-1.2801
1968,1,2,2,124,0.1694
1968,1,2,3,152,1.0159
1968,1,2,4,79,-1.2285
1968,1,2,5,52,-7.5885
1968,1,3,1,80,-4.2202
1968,1,3,2,209,-5.2149
1968,1,3,3,153,-3.4119
1968,1,3,4,112,-4.0806
1968,1,3,5,52,-3.6026
1968,2,1,1,168,-7.8497
1968,2,1,2,129,-5.8621
1968,2,1,3,188,-7.2716
1968,2,1,4,258,-5.3599
1968,2,1,5,158,-4.9099
1968,2,2,1,86,-9.2612
1968,2,2,2,70,-1.6945
1968,2,2,3,133,-4.7550
1968,2,2,4,110,-6.4429
1968,2,2,5,60,-4.9385
1968,2,3,1,127,-4.5675
1968,2,3,2,97,-3.0185
1968,2,3,3,210,-2.9757
1968,2,3,4,131,-4.5589
1968,2,3,5,35,-6.6318
1968,3,1,1,174,-2.9313
1968,3,1,2,146,-2.2660
1968,3,1,3,238,-1.1499
1968,3,1,4,221,-0.0297
1968,3,1,5,139,-2.1311
1968,3,2,1,87,-1.3808
1968,3,2,2,92,-1.7519
1968,3,2,3,140,-0.2550
1968,3,2,4,77,0.0942
1968,3,2,5,56,-0.8707
1968,3,3,1,98,2.1112
1968,3,3,2,127,2.2648
1968,3,3,3,210,0.3444
1968,3,3,4,102,0.5792
1968,3,3,5,57,-0.1748
1968,4,1,1,164,14.1027
1968,4,1,2,182,16.8606
1968,4,1,3,235,15.0569
1968,4,1,4,150,15.0813
1968,4,1,5,197,15.4647
1968,4,2,1,86,14.2518
1968,4,2,2,99,16.5115
1968,4,2,3,127,12.4899
1968,4,2,4,54,10.7867
1968,4,2,5,80,18.3885
1968,4,3,1,104,10.7251
1968,4,3,2,123,9.9982
1968,4,3,3,203,11.6540
1968,4,3,4,79,11.2203
1968,4,3,5,89,10.9595
1968,5,1,1,157,9.7095
1968,5,1,2,210,12.0193
1968,5,1,3,152,13.0313
1968,5,1,4,170,14.3660
1968,5,1,5,239,14.7973
1968,5,2,1,77,6.2552
1968,5,2,2,146,5.4026
1968,5,2,3,59,7.8355
1968,5,2,4,75,3.4878
1968,5,2,5,89,8.8006
1968,5,3,1,113,1.2587
1968,5,3,2,257,3.4408
1968,5,3,3,77,3.6104
1968,5,3,4,79,4.3243
1968,5,3,5,76,4.4476
1968,6,1,1,141,-0.5871
1968,6,1,2,266,-0.9061
1968,6,1,3,75,-0.5685
1968,6,1,4,239,3.0512
1968,6,1,5,209,0.3611
1968,6,2,1,95,1.3048
1968,6,2,2,140,0.4124
1968,6,2,3,43,0.3548
1968,6,2,4,95,-0.0144
1968,6,2,5,75,-0.3006
1968,6,3,1,158,0.2508
