year,month,rank_ME,rank_P52W_12,nstocks,ret_vw
1967,1,1,1,447,26.5350
1967,1,1,2,157,18.2283
1967,1,1,3,124,16.4060
1967,1,1,4,83,11.0952
1967,1,1,5,61,11.6944
1967,1,2,1,94,24.5309
1967,1,2,2,87,17.2551
1967,1,2,3,84,13.7067
1967,1,2,4,68,9.7248
1967,1,2,5,60,10.9862
1967,1,3,1,58,13.8413
1967,1,3,2,89,15.0227
1967,1,3,3,113,7.3354
1967,1,3,4,155,7.1005
1967,1,3,5,188,4.9867
1967,2,1,1,492,4.3655
1967,2,1,2,249,3.8444
1967,2,1,3,201,5.9674
1967,2,1,4,161,5.0292
1967,2,1,5,114,8.3262
1967,2,2,1,115,0.8002
1967,2,2,2,132,2.7364
1967,2,2,3,126,2.0309
1967,2,2,4,106,2.2764
1967,2,2,5,105,4.0169
1967,2,3,1,76,-1.5387
1967,2,3,2,140,-0.8048
1967,2,3,3,177,0.3946
1967,2,3,4,225,0.7648
1967,2,3,5,240,2.7500
1967,3,1,1,502,6.2085
1967,3,1,2,324,6.3671
1967,3,1,3,284,7.8705
1967,3,1,4,219,7.1040
1967,3,1,5,170,8.2023
1967,3,2,1,129,6.8458
1967,3,2,2,157,5.8340
1967,3,2,3,166,5.0360
1967,3,2,4,139,5.8235
1967,3,2,5,139,7.1309
1967,3,3,1,94,3.6441
1967,3,3,2,176,5.2285
1967,3,3,3,227,3.7966
1967,3,3,4,285,4.5248
1967,3,3,5,286,4.4047
1967,4,1,1,533,2.7521
1967,4,1,2,400,4.4786
1967,4,1,3,334,5.4888
1967,4,1,4,274,5.6192
1967,4,1,5,229,6.7747
1967,4,2,1,143,2.1890
1967,4,2,2,190,2.7687
1967,4,2,3,202,3.8442
1967,4,2,4,179,4.0363
1967,4,2,5,167,4.8669
1967,4,3,1,115,9.4960
1967,4,3,2,205,4.1765
1967,4,3,3,277,3.9865
1967,4,3,4,333,2.6029
1967,4,3,5,326,4.0373
1967,5,1,1,564,-0.4044
1967,5,1,2,470,1.3759
1967,5,1,3,385,0.8111
1967,5,1,4,324,0.3030
1967,5,1,5,286,-2.1041
1967,5,2,1,161,-2.4372
1967,5,2,2,221,-1.4461
1967,5,2,3,228,-1.1494
1967,5,2,4,207,-1.2321
1967,5,2,5,216,-1.3439
1967,5,3,1,123,-6.3052
1967,5,3,2,237,-3.8263
1967,5,3,3,322,-3.6326
1967,5,3,4,378,-4.1035
1967,5,3,5,382,-4.1384
1967,6,1,1,612,10.4479
1967,6,1,2,538,11.5448
1967,6,1,3,435,11.3499
1967,6,1,4,369,11.5797
1967,6,1,5,325,13.1578
1967,6,2,1,191,5.8430
1967,6,2,2,260,7.2452
1967,6,2,3,260,6.7875
1967,6,2,4,234,7.3565
1967,6,2,5,245,8.2065
1967,6,3,1,143,0.9195
1967,6,3,2,292,1.1226
1967,6,3,3,381,2.1691
1967,6,3,4,408,1.4610
1967,6,3,5,414,3.2153
1967,7,1,1,628,11.5328
1967,7,1,2,574,8.5788
1967,7,1,3,495,8.9002
1967,7,1,4,405,7.9500
1967,7,1,5,409,7.3415
1967,7,2,1,201,8.5452
1967,7,2,2,281,8.2355
1967,7,2,3,288,7.0222
1967,7,2,4,259,6.9249
1967,7,2,5,297,6.9085
1967,7,3,1,169,8.3220
1967,7,3,2,344,6.0272
1967,7,3,3,425,4.6588
1967,7,3,4,452,3.0595
1967,7,3,5,434,3.9692
1967,8,1,1,655,1.2655
1967,8,1,2,618,0.2817
1967,8,1,3,548,0.1389
1967,8,1,4,461,0.0416
1967,8,1,5,492,0.0670
1967,8,2,1,219,-0.0348
1967,8,2,2,299,-0.4551
1967,8,2,3,312,0.3865
1967,8,2,4,291,-0.1859
1967,8,2,5,338,-0.6218
1967,8,3,1,212,0.1249
1967,8,3,2,383,-0.8380
1967,8,3,3,450,-0.5303
1967,8,3,4,474,-0.7558
1967,8,3,5,479,-0.9953
1967,9,1,1,698,8.4708
1967,9,1,2,653,7.9692
1967,9,1,3,593,7.8214
1967,9,1,4,499,8.4103
1967,9,1,5,542,8.9963
