year,month,rank_ME,rank_R6_6,nstocks,ret_vw
1967,1,1,1,405,24.5301
1967,1,1,2,196,19.5513
1967,1,1,3,126,17.8493
1967,1,1,4,91,13.2951
1967,1,1,5,72,14.5389
1967,1,2,1,94,21.9568
1967,1,2,2,79,16.2502
1967,1,2,3,78,15.6739
1967,1,2,4,72,11.9852
1967,1,2,5,73,12.1404
1967,1,3,1,68,13.2797
1967,1,3,2,94,13.5720
1967,1,3,3,121,7.1884
1967,1,3,4,155,6.0433
1967,1,3,5,169,5.8743
1967,2,1,1,501,4.2774
1967,2,1,2,283,4.5241
1967,2,1,3,200,5.6207
1967,2,1,4,157,5.9547
1967,2,1,5,118,8.0862
1967,2,2,1,133,1.1331
1967,2,2,2,134,2.0478
1967,2,2,3,125,2.3978
1967,2,2,4,107,2.1307
1967,2,2,5,96,4.2372
1967,2,3,1,89,1.0636
1967,2,3,2,150,-1.0660
1967,2,3,3,199,-0.0478
1967,2,3,4,243,1.1829
1967,2,3,5,223,2.0974
1967,3,1,1,556,5.4081
1967,3,1,2,377,6.9267
1967,3,1,3,298,7.7083
1967,3,1,4,229,8.0052
1967,3,1,5,194,8.9601
1967,3,2,1,160,6.0020
1967,3,2,2,184,5.9691
1967,3,2,3,170,4.6839
1967,3,2,4,149,7.1682
1967,3,2,5,139,7.3894
1967,3,3,1,129,3.7420
1967,3,3,2,216,5.5001
1967,3,3,3,275,4.3322
1967,3,3,4,322,3.5635
1967,3,3,5,260,4.7638
1967,4,1,1,589,3.3541
1967,4,1,2,443,3.6133
1967,4,1,3,383,4.2581
1967,4,1,4,332,6.0564
1967,4,1,5,298,7.2960
1967,4,2,1,179,2.7191
1967,4,2,2,214,2.8382
1967,4,2,3,201,2.8880
1967,4,2,4,190,4.6921
1967,4,2,5,167,4.1365
1967,4,3,1,162,6.3985
1967,4,3,2,271,6.1340
1967,4,3,3,348,2.0231
1967,4,3,4,358,2.9325
1967,4,3,5,284,6.0032
1967,5,1,1,617,-0.4142
1967,5,1,2,498,0.9106
1967,5,1,3,444,0.2112
1967,5,1,4,407,-0.1875
1967,5,1,5,354,-0.9491
1967,5,2,1,203,-1.9845
1967,5,2,2,235,-1.4605
1967,5,2,3,221,-1.5937
1967,5,2,4,225,-1.2233
1967,5,2,5,196,-1.5489
1967,5,3,1,212,-5.4781
1967,5,3,2,329,-4.9636
1967,5,3,3,386,-3.6106
1967,5,3,4,396,-3.8859
1967,5,3,5,309,-3.7529
1967,6,1,1,624,8.6253
1967,6,1,2,533,8.0469
1967,6,1,3,511,9.1420
1967,6,1,4,468,11.8945
1967,6,1,5,409,17.7431
1967,6,2,1,219,4.6550
1967,6,2,2,252,6.3116
1967,6,2,3,259,5.8326
1967,6,2,4,250,6.8576
1967,6,2,5,218,10.6834
1967,6,3,1,270,1.0537
1967,6,3,2,370,1.1866
1967,6,3,3,422,1.2332
1967,6,3,4,430,2.9088
1967,6,3,5,318,4.5901
1967,7,1,1,587,9.9027
1967,7,1,2,500,9.8212
1967,7,1,3,515,9.4810
1967,7,1,4,496,10.7012
1967,7,1,5,450,7.0685
1967,7,2,1,206,7.2934
1967,7,2,2,247,7.5174
1967,7,2,3,254,7.7081
1967,7,2,4,260,7.7324
1967,7,2,5,245,7.2096
1967,7,3,1,288,5.6203
1967,7,3,2,365,5.4397
1967,7,3,3,424,3.8113
1967,7,3,4,411,4.0647
1967,7,3,5,304,5.2709
1967,8,1,1,488,1.0305
1967,8,1,2,442,1.2395
1967,8,1,3,497,1.5702
1967,8,1,4,522,0.1612
1967,8,1,5,496,-0.9442
1967,8,2,1,189,-0.0233
1967,8,2,2,225,1.1584
1967,8,2,3,253,0.1644
1967,8,2,4,257,-0.2926
1967,8,2,5,250,-1.1262
1967,8,3,1,292,-0.5377
1967,8,3,2,377,-0.4587
1967,8,3,3,402,-0.5988
1967,8,3,4,367,-1.0097
1967,8,3,5,250,-1.2257
1967,9,1,1,402,8.0151
1967,9,1,2,412,6.3996
1967,9,1,3,480,7.0498
1967,9,1,4,531,8.2501
1967,9,1,5,533,10.1035
1967,9,2,1,177,3.2841
1967,9,2,2,216,4.0417
1967,9,2,3,246,3.7087
1967,9,2,4,257,4.6633
1967,9,2,5,256,6.5993
1967,9,3,1,294,3.4035
1967,9,3,2,371,2.0401
1967,9,3,3,398,2.4352
1967,9,3,4,330,4.6228
1967,9,3,5,229,3.3279
1967,10,1,1,365,-3.0237
1967,10,1,2,421,-2.8155
1967,10,1,3,482,-2.0451
1967,10,1,4,521,-2.0569
1967,10,1,5,543,0.1106
1967,10,2,1,161,-3.7882
1967,10,2,2,221,-3.6165
1967,10,2,3,236,-3.3659
1967,10,2,4,260,-2.8163
1967,10,2,5,253,-1.2389
1967,10,3,1,283,-4.1986
1967,10,3,2,361,-3.5175
1967,10,3,3,368,-3.0467
1967,10,3,4,315,-0.3496
1967,10,3,5,224,-0.2469
1967,11,1,1,325,-0.6547
1967,11,1,2,394,-0.4384
1967,11,1,3,473,0.2058
1967,11,1,4,538,0.1688
1967,11,1,5,573,0.5809
1967,11,2,1,151,-0.1527
1967,11,2,2,222,0.7815
1967,11,2,3,242,0.6996
1967,11,2,4,254,0.6977
1967,11,2,5,263,1.9800
1967,11,3,1,280,1.1710
1967,11,3,2,362,-0.4826
1967,11,3,3,358,0.4451
1967,11,3,4,326,1.6910
1967,11,3,5,227,1.8501
1967,12,1,1,305,7.2527
1967,12,1,2,381,6.7567
1967,12,1,3,458,8.1697
1967,12,1,4,524,9.6514
1967,12,1,5,588,14.3583
1967,12,2,1,156,5.4062
1967,12,2,2,216,5.9412
1967,12,2,3,247,6.1389
1967,12,2,4,264,6.1285
1967,12,2,5,261,9.5814
1967,12,3,1,289,2.3863
1967,12,3,2,358,2.9489
1967,12,3,3,361,3.0779
1967,12,3,4,313,2.2349
1967,12,3,5,216,3.0927
1968,1,1,1,310,3.7665
1968,1,1,2,381,4.9867
1968,1,1,3,457,4.2179
1968,1,1,4,521,4.3276
1968,1,1,5,579,2.5182
1968,1,2,1,167,0.3789
1968,1,2,2,216,2.6610
1968,1,2,3,251,0.4002
1968,1,2,4,260,-1.2179
1968,1,2,5,262,-3.3242
1968,1,3,1,294,-1.9517
1968,1,3,2,362,-3.0457
1968,1,3,3,347,-5.0025
1968,1,3,4,297,-6.8785
1968,1,3,5,218,-7.4798
1968,2,1,1,334,-6.4797
1968,2,1,2,377,-3.9985
1968,2,1,3,442,-4.7724
1968,2,1,4,507,-5.0909
1968,2,1,5,571,-8.9196
1968,2,2,1,180,-4.4196
1968,2,2,2,217,-2.4245
1968,2,2,3,241,-3.4588
1968,2,2,4,255,-4.5595
1968,2,2,5,263,-8.7109
1968,2,3,1,294,-3.0069
1968,2,3,2,362,-2.3354
1968,2,3,3,369,-2.7564
1968,2,3,4,302,-2.8474
1968,2,3,5,214,-5.7332
1968,3,1,1,341,-2.7768
1968,3,1,2,385,-1.4608
1968,3,1,3,456,-1.4165
1968,3,1,4,508,-1.7074
1968,3,1,5,599,-0.8215
1968,3,2,1,193,-1.8535
1968,3,2,2,234,-2.1497
1968,3,2,3,239,-1.7798
1968,3,2,4,260,-0.6337
