year,month,rank_ME,rank_RE_6,nstocks,ret_vw
1976,7,1,1,24,0.8127
1976,7,1,2,18,1.9501
1976,7,1,3,8,-1.9946
1976,7,1,4,4,-2.0302
1976,7,1,5,12,2.2316
1976,7,2,1,45,0.0395
1976,7,2,2,39,0.3488
1976,7,2,3,29,-2.1925
1976,7,2,4,17,1.0062
1976,7,2,5,47,-0.6392
1976,7,3,1,91,-0.8591
1976,7,3,2,88,-1.6251
1976,7,3,3,123,-1.0162
1976,7,3,4,111,-0.6824
1976,7,3,5,78,-0.9587
1976,8,1,1,30,-3.5366
1976,8,1,2,21,-2.6306
1976,8,1,3,12,0.9362
1976,8,1,4,6,-0.9503
1976,8,1,5,14,1.3023
1976,8,2,1,57,-2.6802
1976,8,2,2,49,-1.5615
1976,8,2,3,35,-3.7557
1976,8,2,4,29,-2.1613
1976,8,2,5,60,-3.3146
1976,8,3,1,106,-0.9977
1976,8,3,2,119,0.4537
1976,8,3,3,158,-0.3794
1976,8,3,4,149,1.0412
1976,8,3,5,94,-0.6773
1976,9,1,1,29,1.5893
1976,9,1,2,27,1.6828
1976,9,1,3,12,3.4205
1976,9,1,4,7,1.2307
1976,9,1,5,16,2.0319
1976,9,2,1,60,2.7475
1976,9,2,2,55,3.9074
1976,9,2,3,43,4.9641
1976,9,2,4,35,3.3015
1976,9,2,5,67,3.0298
1976,9,3,1,116,3.4362
1976,9,3,2,147,2.1732
1976,9,3,3,176,1.8174
1976,9,3,4,172,2.5732
1976,9,3,5,104,4.9657
1976,10,1,1,33,-4.1180
1976,10,1,2,28,-3.6102
1976,10,1,3,16,-3.6047
1976,10,1,4,8,-3.2887
1976,10,1,5,22,-6.5716
1976,10,2,1,65,-3.4678
1976,10,2,2,66,-3.5701
1976,10,2,3,50,-3.7395
1976,10,2,4,45,-4.0040
1976,10,2,5,74,-2.1694
1976,10,3,1,133,-3.2258
1976,10,3,2,179,-3.0680
1976,10,3,3,210,-2.3283
1976,10,3,4,199,-1.6954
1976,10,3,5,116,-1.6803
1976,11,1,1,39,3.3808
1976,11,1,2,34,2.7947
1976,11,1,3,16,-0.0294
1976,11,1,4,11,6.1077
1976,11,1,5,25,5.9613
1976,11,2,1,71,2.8848
1976,11,2,2,78,2.6876
1976,11,2,3,61,4.9796
1976,11,2,4,54,4.5371
1976,11,2,5,80,5.7897
1976,11,3,1,146,2.1853
1976,11,3,2,195,-2.8082
1976,11,3,3,230,0.1913
1976,11,3,4,230,1.1539
1976,11,3,5,125,1.5691
1976,12,1,1,39,16.1590
1976,12,1,2,36,15.1287
1976,12,1,3,23,12.2520
1976,12,1,4,14,7.7371
1976,12,1,5,30,10.0064
1976,12,2,1,79,9.8510
1976,12,2,2,94,9.4183
1976,12,2,3,76,8.0739
1976,12,2,4,67,10.2227
1976,12,2,5,88,7.6298
1976,12,3,1,158,6.9961
1976,12,3,2,226,4.4640
1976,12,3,3,251,3.6125
1976,12,3,4,246,5.2520
1976,12,3,5,142,6.7280
1977,1,1,1,42,4.1495
1977,1,1,2,39,2.5201
1977,1,1,3,28,0.9990
1977,1,1,4,16,1.5231
1977,1,1,5,37,3.7248
1977,1,2,1,81,-0.9339
1977,1,2,2,90,-0.2912
1977,1,2,3,82,-1.9655
1977,1,2,4,79,-0.2763
1977,1,2,5,90,-0.2815
1977,1,3,1,159,-1.3348
1977,1,3,2,239,-6.5436
1977,1,3,3,260,-6.1970
1977,1,3,4,249,-3.9989
1977,1,3,5,150,-3.8146
1977,2,1,1,45,-3.3483
1977,2,1,2,42,-1.7280
1977,2,1,3,30,-4.0737
1977,2,1,4,20,-1.3287
1977,2,1,5,39,-3.4238
1977,2,2,1,83,-1.0043
1977,2,2,2,98,-0.7107
1977,2,2,3,96,-2.5309
1977,2,2,4,92,-1.5078
1977,2,2,5,98,-1.7436
1977,2,3,1,169,-2.4291
1977,2,3,2,253,-1.2131
1977,2,3,3,272,-1.2546
1977,2,3,4,256,-1.7953
1977,2,3,5,154,-1.7605
1977,3,1,1,49,3.6467
1977,3,1,2,38,2.4496
1977,3,1,3,29,0.8739
1977,3,1,4,19,-1.6924
1977,3,1,5,39,1.5049
1977,3,2,1,79,-0.6744
1977,3,2,2,95,0.2025
1977,3,2,3,91,0.1058
1977,3,2,4,93,0.8060
1977,3,2,5,101,-0.3425
1977,3,3,1,163,-1.4638
1977,3,3,2,246,-2.0117
1977,3,3,3,263,-1.3539
1977,3,3,4,245,-0.1612
1977,3,3,5,157,-1.8991
1977,4,1,1,48,0.5331
1977,4,1,2,36,-0.8163
1977,4,1,3,34,4.3898
1977,4,1,4,22,0.5789
1977,4,1,5,39,1.0369
1977,4,2,1,84,-0.1379
1977,4,2,2,95,0.1996
1977,4,2,3,95,0.1613
1977,4,2,4,89,0.5229
1977,4,2,5,101,2.6386
1977,4,3,1,161,0.8662
1977,4,3,2,255,-1.1232
1977,4,3,3,266,-2.0845
1977,4,3,4,249,0.2880
1977,4,3,5,162,2.7778
1977,5,1,1,49,-1.6772
1977,5,1,2,30,0.8831
1977,5,1,3,38,1.4050
1977,5,1,4,22,2.5910
1977,5,1,5,38,1.0416
1977,5,2,1,87,-1.2347
1977,5,2,2,85,0.1179
1977,5,2,3,89,-0.8193
1977,5,2,4,89,-0.6213
1977,5,2,5,100,-0.0140
1977,5,3,1,155,-2.5606
1977,5,3,2,254,-2.0294
1977,5,3,3,271,-1.4223
1977,5,3,4,255,-1.3003
1977,5,3,5,172,0.2070
1977,6,1,1,47,5.5450
1977,6,1,2,25,6.2970
1977,6,1,3,40,10.1933
1977,6,1,4,21,5.5465
1977,6,1,5,39,7.4624
1977,6,2,1,84,5.4440
1977,6,2,2,87,7.4003
1977,6,2,3,89,7.8770
1977,6,2,4,88,7.3223
1977,6,2,5,99,9.1269
1977,6,3,1,141,2.7465
1977,6,3,2,242,4.1514
1977,6,3,3,250,6.6274
1977,6,3,4,249,6.0120
1977,6,3,5,168,3.3885
1977,7,1,1,49,0.8521
1977,7,1,2,23,1.6780
1977,7,1,3,37,0.5703
