year,month,rank_ME,rank_SIM_1,nstocks,ret_vw
1967,1,1,1,218,20.4947
1967,1,1,2,132,23.9552
1967,1,1,3,256,17.3122
1967,1,1,4,148,19.6460
1967,1,1,5,128,19.6685
1967,1,2,1,85,15.5526
1967,1,2,2,72,18.5541
1967,1,2,3,98,13.4575
1967,1,2,4,66,17.2883
1967,1,2,5,73,15.7351
1967,1,3,1,137,9.2963
1967,1,3,2,84,13.1341
1967,1,3,3,129,8.7361
1967,1,3,4,78,8.6534
1967,1,3,5,168,3.7858
1967,2,1,1,138,5.6599
1967,2,1,2,162,3.5524
1967,2,1,3,165,7.6931
1967,2,1,4,270,5.6974
1967,2,1,5,144,2.8607
1967,2,2,1,85,1.6615
1967,2,2,2,87,0.5602
1967,2,2,3,60,3.8208
1967,2,2,4,102,3.3094
1967,2,2,5,59,2.3718
1967,2,3,1,215,-0.3358
1967,2,3,2,96,0.3049
1967,2,3,3,83,4.8607
1967,2,3,4,137,1.3233
1967,2,3,5,65,-0.4318
1967,3,1,1,183,7.9387
1967,3,1,2,102,7.7881
1967,3,1,3,146,7.4048
1967,3,1,4,295,5.8539
1967,3,1,5,144,6.7310
1967,3,2,1,104,6.7263
1967,3,2,2,67,4.5456
1967,3,2,3,80,5.6947
1967,3,2,4,95,5.3207
1967,3,2,5,54,9.4468
1967,3,3,1,112,5.9976
1967,3,3,2,175,4.0132
1967,3,3,3,98,3.7852
1967,3,3,4,148,3.5301
1967,3,3,5,62,5.4999
1967,4,1,1,162,3.0796
1967,4,1,2,273,4.1390
1967,4,1,3,159,5.6319
1967,4,1,4,148,4.9077
1967,4,1,5,123,5.3263
1967,4,2,1,82,2.4811
1967,4,2,2,96,2.4808
1967,4,2,3,87,4.5208
1967,4,2,4,80,4.1523
1967,4,2,5,56,3.8194
1967,4,3,1,193,3.6254
1967,4,3,2,128,2.6286
1967,4,3,3,105,6.8369
1967,4,3,4,111,4.4100
1967,4,3,5,55,7.3210
1967,5,1,1,179,0.7421
1967,5,1,2,242,0.9689
1967,5,1,3,144,-0.4228
1967,5,1,4,127,-0.2368
1967,5,1,5,167,-0.9451
1967,5,2,1,108,-3.0813
1967,5,2,2,106,-0.4982
1967,5,2,3,54,-1.6344
1967,5,2,4,60,-1.9242
1967,5,2,5,73,-1.9587
1967,5,3,1,237,-3.1043
1967,5,3,2,105,-5.0879
1967,5,3,3,69,-4.9260
1967,5,3,4,86,-5.1605
1967,5,3,5,95,-4.7727
1967,6,1,1,174,11.9123
1967,6,1,2,123,13.0740
1967,6,1,3,130,12.3608
1967,6,1,4,128,11.0572
1967,6,1,5,293,8.9451
1967,6,2,1,65,7.8112
1967,6,2,2,66,7.6655
1967,6,2,3,80,8.7164
1967,6,2,4,62,5.9438
1967,6,2,5,130,6.6013
1967,6,3,1,80,0.9639
1967,6,3,2,68,3.2899
1967,6,3,3,99,3.4205
1967,6,3,4,167,0.8671
1967,6,3,5,173,2.7213
1967,7,1,1,125,7.4827
1967,7,1,2,177,9.4340
1967,7,1,3,139,10.6201
