year,month,rank_ME,rank_ATOq_1,nstocks,ret_vw
1972,1,1,1,24,15.7551
1972,1,1,2,17,16.5865
1972,1,1,3,12,13.9238
1972,1,1,4,12,13.4985
1972,1,1,5,16,11.0513
1972,1,2,1,8,9.3568
1972,1,2,2,7,10.7195
1972,1,2,3,11,6.4399
1972,1,2,4,6,6.3481
1972,1,2,5,9,4.8389
1972,1,3,1,7,7.0799
1972,1,3,2,9,5.8025
1972,1,3,3,7,5.1836
1972,1,3,4,13,2.0177
1972,1,3,5,6,-1.0092
1972,2,1,1,29,3.8082
1972,2,1,2,19,1.9270
1972,2,1,3,16,2.5932
1972,2,1,4,18,6.8465
1972,2,1,5,23,4.7166
1972,2,2,1,8,0.6253
1972,2,2,2,9,-0.2293
1972,2,2,3,13,2.9031
1972,2,2,4,14,8.1170
1972,2,2,5,13,1.6456
1972,2,3,1,15,4.7983
1972,2,3,2,14,1.3005
1972,2,3,3,14,4.2507
1972,2,3,4,14,6.2781
1972,2,3,5,10,5.8571
1972,3,1,1,32,-1.5431
1972,3,1,2,26,-0.1472
1972,3,1,3,20,0.5382
1972,3,1,4,27,-1.8313
1972,3,1,5,29,-2.5701
1972,3,2,1,11,-2.4055
1972,3,2,2,9,-0.5778
1972,3,2,3,19,-1.2500
1972,3,2,4,17,-0.4900
1972,3,2,5,18,-1.5676
1972,3,3,1,20,-1.1710
1972,3,3,2,21,-0.4404
1972,3,3,3,15,1.4886
1972,3,3,4,21,2.0279
1972,3,3,5,14,-1.4993
1972,4,1,1,36,3.1521
1972,4,1,2,28,0.5038
1972,4,1,3,28,4.8068
1972,4,1,4,33,2.5415
1972,4,1,5,35,-3.9003
1972,4,2,1,12,0.7591
1972,4,2,2,9,1.5599
1972,4,2,3,18,3.6748
1972,4,2,4,20,-0.2422
1972,4,2,5,19,3.2508
1972,4,3,1,22,0.7060
1972,4,3,2,23,0.0692
1972,4,3,3,18,0.8339
1972,4,3,4,22,0.7450
1972,4,3,5,17,-0.3495
1972,5,1,1,39,-2.8498
1972,5,1,2,43,-0.9276
1972,5,1,3,62,-4.4497
1972,5,1,4,77,-1.1878
1972,5,1,5,84,-2.4803
1972,5,2,1,30,-0.7417
1972,5,2,2,32,-2.0923
