year,month,rank_ME,rank_CLA,nstocks,ret_vw
1967,1,1,1,139,20.9337
1967,1,1,2,61,19.9697
1967,1,1,3,62,18.2224
1967,1,1,4,34,17.4080
1967,1,1,5,40,13.9244
1967,1,2,1,46,21.5974
1967,1,2,2,47,18.5499
1967,1,2,3,46,16.1445
1967,1,2,4,33,12.3262
1967,1,2,5,28,14.6346
1967,1,3,1,49,11.1541
1967,1,3,2,73,7.1658
1967,1,3,3,70,6.9442
1967,1,3,4,98,8.2954
1967,1,3,5,103,8.9305
1967,2,1,1,139,5.7660
1967,2,1,2,61,6.2078
1967,2,1,3,62,3.4938
1967,2,1,4,34,2.5383
1967,2,1,5,40,5.2372
1967,2,2,1,46,1.4585
1967,2,2,2,47,1.9109
1967,2,2,3,46,2.4742
1967,2,2,4,33,2.8680
1967,2,2,5,28,2.2887
1967,2,3,1,49,1.7346
1967,2,3,2,73,-0.4015
1967,2,3,3,70,0.9347
1967,2,3,4,98,-0.3213
1967,2,3,5,103,2.4731
1967,3,1,1,140,7.3324
1967,3,1,2,61,7.4810
1967,3,1,3,62,7.7008
1967,3,1,4,34,4.2126
1967,3,1,5,40,2.8812
1967,3,2,1,46,10.4035
1967,3,2,2,47,7.6609
1967,3,2,3,46,4.5248
1967,3,2,4,33,7.9383
1967,3,2,5,28,7.1918
1967,3,3,1,49,4.8893
1967,3,3,2,73,4.7774
1967,3,3,3,70,3.4931
1967,3,3,4,98,5.0238
1967,3,3,5,103,4.9337
1967,4,1,1,140,6.1803
1967,4,1,2,61,4.8276
1967,4,1,3,62,2.0666
1967,4,1,4,34,5.3066
1967,4,1,5,40,6.6571
1967,4,2,1,46,5.3496
1967,4,2,2,47,3.5824
1967,4,2,3,46,3.2049
1967,4,2,4,33,3.4324
1967,4,2,5,28,6.0712
1967,4,3,1,49,8.1357
1967,4,3,2,73,4.3618
1967,4,3,3,70,2.4627
1967,4,3,4,98,3.2564
1967,4,3,5,103,6.3740
1967,5,1,1,140,0.1163
1967,5,1,2,61,0.4052
1967,5,1,3,62,2.3777
1967,5,1,4,34,2.8794
1967,5,1,5,40,-1.4055
1967,5,2,1,46,-3.0744
1967,5,2,2,47,-1.7627
1967,5,2,3,46,-1.5135
1967,5,2,4,33,-1.8696
1967,5,2,5,28,-1.9810
1967,5,3,1,49,-4.4140
1967,5,3,2,73,-5.1399
1967,5,3,3,70,-4.8302
1967,5,3,4,98,-2.8042
1967,5,3,5,103,-5.1004
1967,6,1,1,138,14.9895
1967,6,1,2,61,13.8151
1967,6,1,3,62,9.2517
1967,6,1,4,34,7.6783
1967,6,1,5,40,11.9148
1967,6,2,1,46,10.7885
1967,6,2,2,47,6.6987
1967,6,2,3,46,8.6755
1967,6,2,4,33,5.1038
1967,6,2,5,28,4.1583
1967,6,3,1,48,5.2114
1967,6,3,2,73,2.3730
1967,6,3,3,70,2.6525
1967,6,3,4,98,1.1884
1967,6,3,5,103,1.9137
1967,7,1,1,128,9.5197
1967,7,1,2,98,8.6097
1967,7,1,3,56,9.5032
1967,7,1,4,62,13.1717
1967,7,1,5,51,10.8054
1967,7,2,1,58,8.9118
1967,7,2,2,38,8.7886
1967,7,2,3,56,8.5742
1967,7,2,4,39,9.6761
1967,7,2,5,43,7.2235
1967,7,3,1,60,5.0368
1967,7,3,2,72,10.6071
1967,7,3,3,79,6.9107
