year,month,rank_ME,rank_CLAq_12,nstocks,ret_vw
1976,1,1,1,79,28.4102
1976,1,1,2,80,23.6236
1976,1,1,3,32,23.0667
1976,1,1,4,36,24.7676
1976,1,1,5,53,26.0824
1976,1,2,1,29,22.9318
1976,1,2,2,31,18.8860
1976,1,2,3,39,17.9639
1976,1,2,4,17,22.3738
1976,1,2,5,39,24.1035
1976,1,3,1,39,12.2542
1976,1,3,2,46,14.0736
1976,1,3,3,45,12.0124
1976,1,3,4,61,16.2047
1976,1,3,5,52,10.4377
1976,2,1,1,142,12.1845
1976,2,1,2,121,11.6892
1976,2,1,3,72,10.7382
1976,2,1,4,60,15.0099
1976,2,1,5,90,16.5996
1976,2,2,1,56,8.3264
1976,2,2,2,57,8.5353
1976,2,2,3,58,7.1255
1976,2,2,4,37,6.3791
1976,2,2,5,52,8.4839
1976,2,3,1,56,1.8823
1976,2,3,2,74,2.8070
1976,2,3,3,77,-0.0174
1976,2,3,4,103,-0.1945
1976,2,3,5,88,-0.9794
1976,3,1,1,166,0.9786
1976,3,1,2,153,2.9682
1976,3,1,3,93,0.9964
1976,3,1,4,77,2.9225
1976,3,1,5,102,2.1104
1976,3,2,1,64,2.1952
1976,3,2,2,62,3.9199
1976,3,2,3,65,2.9432
1976,3,2,4,45,1.2087
1976,3,2,5,60,1.7657
1976,3,3,1,72,2.8050
1976,3,3,2,84,3.3951
1976,3,3,3,89,3.3974
1976,3,3,4,109,2.1580
1976,3,3,5,94,5.2439
1976,4,1,1,183,-2.2623
1976,4,1,2,160,-3.7123
1976,4,1,3,100,-0.5930
1976,4,1,4,86,-1.9951
1976,4,1,5,115,-2.7522
1976,4,2,1,74,-1.2807
1976,4,2,2,68,-0.7925
1976,4,2,3,71,-0.1608
1976,4,2,4,54,-0.7959
1976,4,2,5,65,-1.9102
1976,4,3,1,83,-1.8553
1976,4,3,2,90,-1.2065
1976,4,3,3,95,-0.8953
1976,4,3,4,114,0.6618
1976,4,3,5,99,-0.9810
1976,5,1,1,267,-3.2435
1976,5,1,2,221,-4.1794
1976,5,1,3,207,-2.0225
1976,5,1,4,131,-3.1112
1976,5,1,5,157,-2.9254
1976,5,2,1,122,-1.6892
1976,5,2,2,96,-1.3468
1976,5,2,3,97,-2.0684
1976,5,2,4,83,1.2670
1976,5,2,5,95,-1.7387
1976,5,3,1,140,-2.4516
1976,5,3,2,145,-2.6579
1976,5,3,3,137,-0.2713
1976,5,3,4,154,0.1270
1976,5,3,5,136,1.6092
1976,6,1,1,277,2.8219
1976,6,1,2,235,4.0863
1976,6,1,3,229,3.7814
1976,6,1,4,146,4.8956
1976,6,1,5,171,4.1395
1976,6,2,1,130,3.1428
1976,6,2,2,105,4.9803
1976,6,2,3,109,4.1699
1976,6,2,4,90,5.2023
1976,6,2,5,101,5.6831
1976,6,3,1,147,4.1282
1976,6,3,2,156,4.5263
1976,6,3,3,143,4.8156
1976,6,3,4,165,3.0044
1976,6,3,5,143,3.7372
1976,7,1,1,281,-0.8541
1976,7,1,2,248,-0.2295
1976,7,1,3,243,1.0609
1976,7,1,4,155,-0.0334
1976,7,1,5,177,-0.8695
1976,7,2,1,135,-1.2756
1976,7,2,2,112,-1.7337
1976,7,2,3,118,0.0164
1976,7,2,4,92,-0.6795
1976,7,2,5,104,0.3702
1976,7,3,1,148,-1.6026
1976,7,3,2,160,-1.8149
1976,7,3,3,148,-2.4087
1976,7,3,4,172,-1.1902
1976,7,3,5,150,-0.8484
1976,8,1,1,337,-3.7866
1976,8,1,2,300,-3.5612
1976,8,1,3,250,-2.1843
1976,8,1,4,183,-3.6916
1976,8,1,5,196,-3.2257
1976,8,2,1,190,-2.6441
1976,8,2,2,167,-2.3629
1976,8,2,3,154,-3.2039
1976,8,2,4,132,-2.7357
1976,8,2,5,144,-1.3107
1976,8,3,1,182,0.0571
1976,8,3,2,214,-0.2226
1976,8,3,3,216,-0.9038
1976,8,3,4,232,-1.5580
1976,8,3,5,219,-0.6343
1976,9,1,1,374,1.4932
1976,9,1,2,314,2.0503
1976,9,1,3,259,2.6709
1976,9,1,4,190,2.4216
1976,9,1,5,214,2.5557
1976,9,2,1,205,3.1866
1976,9,2,2,175,1.4558
1976,9,2,3,163,2.5022
1976,9,2,4,139,3.5737
1976,9,2,5,149,3.7944
1976,9,3,1,186,3.0337
1976,9,3,2,219,2.1968
1976,9,3,3,221,2.4376
1976,9,3,4,238,2.9279
1976,9,3,5,225,3.1166
1976,10,1,1,463,-3.0863
1976,10,1,2,383,-2.6214
1976,10,1,3,323,-1.7502
1976,10,1,4,243,-1.6837
1976,10,1,5,266,-2.3185
1976,10,2,1,211,-2.7193
1976,10,2,2,182,-3.6032
1976,10,2,3,172,-2.4017
1976,10,2,4,145,-2.6009
1976,10,2,5,160,-3.0463
1976,10,3,1,193,-1.4269
