year,month,rank_ME,rank_COP,nstocks,ret_vw
1967,1,1,1,129,21.0218
1967,1,1,2,67,18.2336
1967,1,1,3,58,20.9578
1967,1,1,4,38,15.9209
1967,1,1,5,44,13.5497
1967,1,2,1,48,21.7225
1967,1,2,2,42,18.6480
1967,1,2,3,47,14.7168
1967,1,2,4,33,14.6699
1967,1,2,5,30,13.9585
1967,1,3,1,52,11.3062
1967,1,3,2,73,6.8039
1967,1,3,3,75,8.1060
1967,1,3,4,92,7.5066
1967,1,3,5,101,8.8367
1967,2,1,1,129,5.5922
1967,2,1,2,67,6.6603
1967,2,1,3,58,3.5468
1967,2,1,4,38,2.2732
1967,2,1,5,44,5.3345
1967,2,2,1,48,1.5517
1967,2,2,2,42,1.9106
1967,2,2,3,47,2.7367
1967,2,2,4,33,1.9772
1967,2,2,5,30,2.7356
1967,2,3,1,52,1.8589
1967,2,3,2,73,-0.4508
1967,2,3,3,75,1.1307
1967,2,3,4,92,0.0101
1967,2,3,5,101,2.4232
1967,3,1,1,130,7.5774
1967,3,1,2,67,7.6050
1967,3,1,3,58,5.0985
1967,3,1,4,38,7.1987
1967,3,1,5,44,3.7151
1967,3,2,1,48,9.8388
1967,3,2,2,42,7.4494
1967,3,2,3,47,4.8371
1967,3,2,4,33,8.6951
1967,3,2,5,30,6.9721
1967,3,3,1,52,5.3315
1967,3,3,2,73,4.5694
1967,3,3,3,75,4.0359
1967,3,3,4,92,4.4251
1967,3,3,5,101,4.8295
1967,4,1,1,130,6.1415
1967,4,1,2,67,4.6232
1967,4,1,3,58,3.5435
1967,4,1,4,38,3.7228
1967,4,1,5,44,5.9113
1967,4,2,1,48,5.4438
1967,4,2,2,42,4.5611
1967,4,2,3,47,1.7553
1967,4,2,4,33,3.6971
1967,4,2,5,30,6.2440
1967,4,3,1,52,7.3848
1967,4,3,2,73,5.2687
1967,4,3,3,75,4.2523
1967,4,3,4,92,2.1174
1967,4,3,5,101,6.1936
1967,5,1,1,130,-0.1330
1967,5,1,2,67,2.9228
1967,5,1,3,58,-0.5578
1967,5,1,4,38,4.2145
1967,5,1,5,44,-1.4015
1967,5,2,1,48,-3.1078
1967,5,2,2,42,-1.6080
1967,5,2,3,47,-1.0332
1967,5,2,4,33,-2.9814
1967,5,2,5,30,-1.4459
1967,5,3,1,52,-4.1287
1967,5,3,2,73,-4.6011
1967,5,3,3,75,-4.5855
1967,5,3,4,92,-3.9802
1967,5,3,5,101,-4.9537
1967,6,1,1,129,14.8765
1967,6,1,2,66,13.7023
1967,6,1,3,58,10.2807
1967,6,1,4,38,8.3859
1967,6,1,5,44,10.2399
1967,6,2,1,48,10.6155
1967,6,2,2,42,7.6373
1967,6,2,3,47,7.8513
1967,6,2,4,33,6.3231
1967,6,2,5,30,2.9370
1967,6,3,1,51,5.4298
1967,6,3,2,73,2.2381
1967,6,3,3,75,2.4289
1967,6,3,4,92,1.5198
1967,6,3,5,101,1.9933
1967,7,1,1,123,8.7918
1967,7,1,2,98,9.7840
1967,7,1,3,58,10.6667
1967,7,1,4,59,9.7663
1967,7,1,5,57,12.7120
1967,7,2,1,57,8.9423
1967,7,2,2,43,7.0940
1967,7,2,3,54,9.8219
1967,7,2,4,38,10.4546
1967,7,2,5,42,6.7382
1967,7,3,1,62,5.1434
1967,7,3,2,76,9.5811
1967,7,3,3,79,6.9245
