year,month,rank_ME,rank_CTO,nstocks,ret_vw
1967,1,1,1,30,14.8276
1967,1,1,2,55,18.5301
1967,1,1,3,68,17.4713
1967,1,1,4,72,19.9257
1967,1,1,5,132,18.5342
1967,1,2,1,50,13.3971
1967,1,2,2,27,14.8480
1967,1,2,3,42,16.6058
1967,1,2,4,59,15.9096
1967,1,2,5,53,19.4393
1967,1,3,1,114,4.3290
1967,1,3,2,113,7.2406
1967,1,3,3,98,9.2501
1967,1,3,4,85,10.2384
1967,1,3,5,86,9.5641
1967,2,1,1,30,1.6123
1967,2,1,2,55,4.4015
1967,2,1,3,68,6.5794
1967,2,1,4,72,4.5840
1967,2,1,5,132,4.6936
1967,2,2,1,50,2.3529
1967,2,2,2,27,0.9969
1967,2,2,3,42,2.8895
1967,2,2,4,59,1.4923
1967,2,2,5,53,2.0324
1967,2,3,1,114,-0.4891
1967,2,3,2,113,0.9880
1967,2,3,3,98,2.0714
1967,2,3,4,85,0.3299
1967,2,3,5,86,2.9288
1967,3,1,1,31,10.6577
1967,3,1,2,55,7.2129
1967,3,1,3,68,5.3718
1967,3,1,4,72,7.1118
1967,3,1,5,132,5.4539
1967,3,2,1,50,3.8646
1967,3,2,2,27,6.2204
1967,3,2,3,42,8.1471
1967,3,2,4,59,8.7559
1967,3,2,5,53,5.4538
1967,3,3,1,114,2.6532
1967,3,3,2,113,4.5998
1967,3,3,3,98,4.8127
1967,3,3,4,85,4.5097
1967,3,3,5,86,5.7634
1967,4,1,1,31,4.8431
1967,4,1,2,55,4.2559
1967,4,1,3,68,6.6224
1967,4,1,4,72,6.3647
1967,4,1,5,132,3.2712
1967,4,2,1,50,2.8228
1967,4,2,2,27,2.7072
1967,4,2,3,42,3.5292
1967,4,2,4,59,4.3516
1967,4,2,5,53,5.4633
1967,4,3,1,114,0.9490
1967,4,3,2,113,3.6358
1967,4,3,3,98,3.6406
1967,4,3,4,85,9.9079
1967,4,3,5,86,5.6757
1967,5,1,1,31,1.2160
1967,5,1,2,55,0.2464
1967,5,1,3,68,1.2296
1967,5,1,4,72,1.7619
1967,5,1,5,132,0.0654
1967,5,2,1,50,-1.0729
1967,5,2,2,27,-5.2075
1967,5,2,3,42,-2.0683
1967,5,2,4,59,-1.4892
