year,month,rank_ME,rank_dROA_6,nstocks,ret_vw
1973,1,1,1,22,-7.5164
1973,1,1,2,10,-4.7672
1973,1,1,3,10,-2.0955
1973,1,1,4,16,-3.0631
1973,1,1,5,33,-2.0493
1973,1,2,1,6,-5.2389
1973,1,2,2,5,-13.4346
1973,1,2,3,8,-11.3761
1973,1,2,4,10,-8.5176
1973,1,2,5,13,-5.9067
1973,1,3,1,12,-6.3726
1973,1,3,2,12,-2.8833
1973,1,3,3,11,0.6698
1973,1,3,4,12,-6.0422
1973,1,3,5,7,-7.8517
1973,2,1,1,32,-8.3992
1973,2,1,2,17,-10.5738
1973,2,1,3,15,-11.7526
1973,2,1,4,23,-8.8618
1973,2,1,5,50,-13.0807
1973,2,2,1,7,-4.5933
1973,2,2,2,7,2.0404
1973,2,2,3,12,-9.4814
1973,2,2,4,19,-11.2492
1973,2,2,5,21,-9.0823
1973,2,3,1,21,-7.9798
1973,2,3,2,20,-6.3160
1973,2,3,3,20,-7.9345
1973,2,3,4,20,-3.3168
1973,2,3,5,13,-3.1943
1973,3,1,1,41,-7.0993
1973,3,1,2,25,-7.3586
1973,3,1,3,20,2.4821
1973,3,1,4,39,-5.4491
1973,3,1,5,58,-1.7171
1973,3,2,1,12,-7.0558
1973,3,2,2,13,-6.9887
1973,3,2,3,18,-9.1507
1973,3,2,4,21,-5.1426
1973,3,2,5,25,-1.4463
1973,3,3,1,24,-3.9194
1973,3,3,2,26,-5.5372
1973,3,3,3,27,-2.5913
1973,3,3,4,27,-3.0728
1973,3,3,5,18,-1.2525
1973,4,1,1,49,-8.2544
1973,4,1,2,30,-11.6702
1973,4,1,3,25,-6.9127
1973,4,1,4,46,-10.4136
1973,4,1,5,68,-7.9736
1973,4,2,1,14,-5.2883
1973,4,2,2,14,-10.6239
1973,4,2,3,20,-9.4250
1973,4,2,4,23,-8.0096
1973,4,2,5,29,-6.0513
1973,4,3,1,28,-8.0522
1973,4,3,2,28,-7.1070
1973,4,3,3,31,-9.3368
1973,4,3,4,31,-7.7330
1973,4,3,5,23,-4.9683
1973,5,1,1,104,-14.2659
1973,5,1,2,77,-11.1765
1973,5,1,3,78,-3.3178
1973,5,1,4,86,-10.1268
1973,5,1,5,149,-10.2993
1973,5,2,1,62,-9.8562
1973,5,2,2,52,-10.4576
1973,5,2,3,52,-8.5422
1973,5,2,4,57,-9.2494
1973,5,2,5,64,-9.8531
1973,5,3,1,79,-5.7660
1973,5,3,2,97,-4.6550
1973,5,3,3,105,-2.5385
1973,5,3,4,104,-3.1024
1973,5,3,5,91,-3.8209
1973,6,1,1,165,-3.7114
1973,6,1,2,101,-5.5818
1973,6,1,3,94,-3.4960
1973,6,1,4,116,-1.4974
1973,6,1,5,187,-4.4347
1973,6,2,1,76,-8.4992
1973,6,2,2,66,-7.5870
1973,6,2,3,57,-3.6814
1973,6,2,4,65,-2.6472
1973,6,2,5,74,-3.9310
1973,6,3,1,95,-1.3863
1973,6,3,2,118,-1.0466
1973,6,3,3,122,-3.0768
1973,6,3,4,120,-2.9711
1973,6,3,5,101,-5.7439
1973,7,1,1,183,15.0020
1973,7,1,2,105,16.4865
1973,7,1,3,93,12.0059
1973,7,1,4,115,16.2035
1973,7,1,5,199,15.9110
1973,7,2,1,83,13.0721
1973,7,2,2,69,13.5614
1973,7,2,3,58,13.2598
1973,7,2,4,68,13.5646
1973,7,2,5,79,14.0276
1973,7,3,1,100,10.9893
1973,7,3,2,119,8.5727
1973,7,3,3,120,8.3474
1973,7,3,4,123,9.5061
1973,7,3,5,100,8.9176
1973,8,1,1,190,-7.1453
1973,8,1,2,110,-7.5701
1973,8,1,3,99,-5.3451
1973,8,1,4,117,-5.6288
1973,8,1,5,199,-4.8185
1973,8,2,1,86,-2.8066
1973,8,2,2,72,-6.1122
1973,8,2,3,59,-5.3450
1973,8,2,4,69,-4.1397
1973,8,2,5,85,-0.7353
1973,8,3,1,106,-6.2526
1973,8,3,2,120,-4.0275
1973,8,3,3,124,-2.5655
1973,8,3,4,120,-1.7162
1973,8,3,5,102,-1.5562
1973,9,1,1,204,8.7481
1973,9,1,2,121,11.6807
1973,9,1,3,104,7.1558
1973,9,1,4,120,10.3728
1973,9,1,5,203,9.3529
1973,9,2,1,95,9.5922
1973,9,2,2,76,11.2214
1973,9,2,3,64,12.8000
1973,9,2,4,70,12.6979
1973,9,2,5,84,12.5846
1973,9,3,1,106,7.0487
1973,9,3,2,125,0.7779
1973,9,3,3,128,5.8635
1973,9,3,4,120,7.6098
1973,9,3,5,103,5.5334
1973,10,1,1,196,-1.2590
1973,10,1,2,118,-3.9451
1973,10,1,3,97,-2.2106
1973,10,1,4,102,1.2607
1973,10,1,5,182,5.0818
1973,10,2,1,94,-2.1412
1973,10,2,2,72,-2.5346
1973,10,2,3,54,-2.4779
1973,10,2,4,64,1.8461
1973,10,2,5,80,4.3893
1973,10,3,1,101,-1.5209
1973,10,3,2,109,1.6727
1973,10,3,3,119,0.6645
1973,10,3,4,110,2.2220
1973,10,3,5,98,0.1804
1973,11,1,1,200,-20.7932
1973,11,1,2,145,-19.2885
1973,11,1,3,119,-21.4878
1973,11,1,4,115,-21.0680
1973,11,1,5,193,-21.1260
1973,11,2,1,94,-20.1312
1973,11,2,2,82,-21.7331
1973,11,2,3,62,-19.0069
1973,11,2,4,69,-18.9283
1973,11,2,5,88,-21.1022
1973,11,3,1,106,-10.4580
1973,11,3,2,111,-9.5546
1973,11,3,3,133,-12.5350
1973,11,3,4,120,-14.7557
1973,11,3,5,99,-14.1063
1973,12,1,1,212,-8.2506
1973,12,1,2,158,-6.5025
1973,12,1,3,127,-4.7197
1973,12,1,4,120,-2.4719
1973,12,1,5,204,-3.1857
1973,12,2,1,99,-5.7590
1973,12,2,2,83,-6.1391
1973,12,2,3,70,-3.5492
1973,12,2,4,68,-1.5074
1973,12,2,5,92,4.9024
1973,12,3,1,100,-3.0420
1973,12,3,2,114,-0.8373
1973,12,3,3,135,1.4537
1973,12,3,4,123,4.5828
1973,12,3,5,100,3.8408
1974,1,1,1,209,22.8282
1974,1,1,2,151,15.2057
1974,1,1,3,126,16.5862
1974,1,1,4,119,15.4140
1974,1,1,5,201,17.6453
1974,1,2,1,93,11.7443
1974,1,2,2,75,12.8541
1974,1,2,3,66,13.4005
1974,1,2,4,69,13.0159
1974,1,2,5,85,9.1531
1974,1,3,1,91,-1.6049
1974,1,3,2,110,-1.4354
1974,1,3,3,128,1.1684
1974,1,3,4,121,1.3326
1974,1,3,5,102,0.3923
1974,2,1,1,211,-3.7460
1974,2,1,2,147,-1.4966
1974,2,1,3,117,-1.8785
1974,2,1,4,121,2.0221
1974,2,1,5,210,0.1557
1974,2,2,1,93,-2.7677
1974,2,2,2,78,0.3578
1974,2,2,3,65,-1.4783
1974,2,2,4,75,1.5314
1974,2,2,5,87,1.2045
1974,2,3,1,94,0.2620
1974,2,3,2,125,0.5276
1974,2,3,3,140,-0.0480
1974,2,3,4,127,2.0924
1974,2,3,5,109,3.4421
1974,3,1,1,216,1.1871
1974,3,1,2,147,1.1969
1974,3,1,3,124,2.1104
1974,3,1,4,123,0.0142
1974,3,1,5,211,-0.4491
1974,3,2,1,94,1.5274
1974,3,2,2,80,0.1639
1974,3,2,3,66,-2.9428
1974,3,2,4,71,-1.4385
1974,3,2,5,91,-1.4753
1974,3,3,1,93,-0.8648
1974,3,3,2,137,-2.1106
1974,3,3,3,149,-3.4055
1974,3,3,4,136,-2.6933
1974,3,3,5,113,-3.3593
1974,4,1,1,122,-9.2128
1974,4,1,2,76,-7.5165
1974,4,1,3,66,-4.9251
1974,4,1,4,69,-4.2230
1974,4,1,5,113,-3.1163
1974,4,2,1,48,-6.5869
1974,4,2,2,38,-6.4207
1974,4,2,3,41,-5.9579
1974,4,2,4,36,-6.5326
1974,4,2,5,50,-0.6310
1974,4,3,1,39,0.2124
1974,4,3,2,64,-5.2140
1974,4,3,3,62,-6.5801
1974,4,3,4,57,-4.5670
1974,4,3,5,44,-2.9844
1974,5,1,1,189,-9.7621
1974,5,1,2,110,-8.2983
1974,5,1,3,106,-8.9935
1974,5,1,4,113,-8.9475
1974,5,1,5,161,-6.4089
1974,5,2,1,94,-11.4378
1974,5,2,2,86,-7.3162
1974,5,2,3,77,-6.6550
1974,5,2,4,87,-4.8950
1974,5,2,5,88,-7.3586
1974,5,3,1,117,-0.4299
1974,5,3,2,137,-4.1771
1974,5,3,3,156,-3.3756
1974,5,3,4,122,-4.4905
1974,5,3,5,151,-4.0623
1974,6,1,1,254,-3.7256
1974,6,1,2,135,-3.2031
1974,6,1,3,135,-2.7720
1974,6,1,4,141,-3.9024
1974,6,1,5,189,-1.0556
1974,6,2,1,110,-3.0298
1974,6,2,2,97,-2.9466
1974,6,2,3,89,-2.6882
1974,6,2,4,100,-1.1043
1974,6,2,5,106,-0.5729
1974,6,3,1,131,-1.3454
1974,6,3,2,153,-3.7580
1974,6,3,3,174,-3.3478
1974,6,3,4,145,-2.1560
1974,6,3,5,169,-3.1710
1974,7,1,1,263,-5.1512
1974,7,1,2,140,-5.0260
1974,7,1,3,139,-5.2751
1974,7,1,4,142,-3.4432
1974,7,1,5,184,-2.3998
1974,7,2,1,115,-6.7391
1974,7,2,2,99,-3.1938
1974,7,2,3,92,-3.0659
1974,7,2,4,101,-4.0408
1974,7,2,5,105,-2.0145
1974,7,3,1,134,-8.6919
1974,7,3,2,153,-7.4851
1974,7,3,3,174,-7.6427
1974,7,3,4,147,-5.4570
1974,7,3,5,167,-3.3344
1974,8,1,1,271,-8.1826
1974,8,1,2,140,-6.3061
1974,8,1,3,144,-8.9780
1974,8,1,4,145,-6.3367
1974,8,1,5,183,-6.3422
1974,8,2,1,121,-8.5862
1974,8,2,2,103,-7.9264
1974,8,2,3,97,-7.2194
1974,8,2,4,110,-6.9906
1974,8,2,5,112,-5.0045
1974,8,3,1,138,-9.7815
1974,8,3,2,159,-10.5249
1974,8,3,3,188,-10.2001
1974,8,3,4,159,-7.8195
1974,8,3,5,168,-7.8663
1974,9,1,1,280,-8.2049
1974,9,1,2,144,-6.9591
1974,9,1,3,147,-7.1628
1974,9,1,4,149,-9.2831
1974,9,1,5,189,-6.4125
1974,9,2,1,127,-12.1720
1974,9,2,2,102,-8.6739
1974,9,2,3,105,-6.4476
1974,9,2,4,110,-7.4842
1974,9,2,5,110,-9.3401
1974,9,3,1,133,-13.8261
1974,9,3,2,157,-10.2089
1974,9,3,3,195,-11.7360
1974,9,3,4,165,-12.9202
1974,9,3,5,171,-9.0594
1974,10,1,1,271,6.9786
1974,10,1,2,133,9.2479
1974,10,1,3,140,5.3997
1974,10,1,4,143,7.1732
1974,10,1,5,164,11.4192
1974,10,2,1,117,7.1679
1974,10,2,2,95,8.6092
1974,10,2,3,103,7.7975
1974,10,2,4,106,9.6329
1974,10,2,5,102,16.3529
1974,10,3,1,125,9.1572
1974,10,3,2,142,17.4514
1974,10,3,3,184,19.0373
1974,10,3,4,151,19.3449
1974,10,3,5,156,20.5387
1974,11,1,1,268,-8.6827
1974,11,1,2,144,-7.2411
1974,11,1,3,142,-4.4243
1974,11,1,4,157,-5.2417
1974,11,1,5,180,-3.2669
1974,11,2,1,125,-8.0034
1974,11,2,2,94,-4.0879
1974,11,2,3,105,-4.4343
1974,11,2,4,106,-2.4954
1974,11,2,5,115,-3.2215
1974,11,3,1,136,-4.1322
1974,11,3,2,149,-4.7472
1974,11,3,3,193,-3.7055
1974,11,3,4,171,-3.2017
1974,11,3,5,173,-3.7328
1974,12,1,1,284,-11.2980
1974,12,1,2,154,-8.0463
1974,12,1,3,143,-8.0030
1974,12,1,4,173,-9.6321
1974,12,1,5,177,-8.2726
1974,12,2,1,125,-5.5765
1974,12,2,2,99,-5.4919
1974,12,2,3,104,-4.0118
1974,12,2,4,106,-6.0990
1974,12,2,5,121,-8.3872
1974,12,3,1,139,-4.6275
1974,12,3,2,147,-2.3150
1974,12,3,3,190,-3.8387
1974,12,3,4,175,-2.4098
1974,12,3,5,175,-1.9151
1975,1,1,1,282,37.7141
1975,1,1,2,144,35.0293
1975,1,1,3,134,34.5605
1975,1,1,4,168,31.8839
1975,1,1,5,172,29.9144
1975,1,2,1,124,34.1830
1975,1,2,2,91,30.3537
1975,1,2,3,99,26.5023
1975,1,2,4,95,27.1976
1975,1,2,5,121,21.7003
1975,1,3,1,136,22.8205
