year,month,rank_ME,rank_dROE_12,nstocks,ret_vw
1967,1,1,1,12,23.4957
1967,1,1,2,5,19.4983
1967,1,1,3,6,16.1468
1967,1,1,4,4,14.8742
1967,1,1,5,6,20.5141
1967,1,2,1,34,21.5928
1967,1,2,2,14,11.8528
1967,1,2,3,16,10.8034
1967,1,2,4,16,13.6953
1967,1,2,5,19,20.5258
1967,1,3,1,61,10.7316
1967,1,3,2,87,7.9227
1967,1,3,3,80,3.3342
1967,1,3,4,85,7.4308
1967,1,3,5,81,9.7924
1967,2,1,1,17,2.6087
1967,2,1,2,9,0.5029
1967,2,1,3,8,0.4654
1967,2,1,4,7,3.6671
1967,2,1,5,12,2.7965
1967,2,2,1,45,0.4593
1967,2,2,2,27,2.1649
1967,2,2,3,26,2.5415
1967,2,2,4,26,1.8516
1967,2,2,5,26,1.0782
1967,2,3,1,96,-0.6738
1967,2,3,2,134,1.7788
1967,2,3,3,135,-0.5736
1967,2,3,4,130,1.6478
1967,2,3,5,107,1.8699
1967,3,1,1,17,4.6061
1967,3,1,2,10,3.9744
1967,3,1,3,9,2.0307
1967,3,1,4,8,8.6561
1967,3,1,5,13,11.7698
1967,3,2,1,49,6.7794
1967,3,2,2,29,2.9932
1967,3,2,3,29,3.8593
1967,3,2,4,26,4.4643
1967,3,2,5,32,7.9447
1967,3,3,1,103,5.9643
1967,3,3,2,140,4.5261
1967,3,3,3,140,2.6915
1967,3,3,4,135,3.5309
1967,3,3,5,111,4.2968
1967,4,1,1,21,2.8650
1967,4,1,2,10,-0.0217
1967,4,1,3,12,0.8063
1967,4,1,4,9,4.1322
1967,4,1,5,14,4.4579
1967,4,2,1,50,4.2361
1967,4,2,2,33,3.9794
1967,4,2,3,29,3.4620
1967,4,2,4,30,4.1029
1967,4,2,5,33,3.3121
1967,4,3,1,105,8.3430
1967,4,3,2,148,4.1531
1967,4,3,3,147,2.3082
1967,4,3,4,137,3.7793
1967,4,3,5,113,7.0968
1967,5,1,1,29,4.9094
1967,5,1,2,19,0.7772
1967,5,1,3,16,3.4882
1967,5,1,4,12,-0.8508
1967,5,1,5,21,3.4868
1967,5,2,1,62,-4.2015
1967,5,2,2,47,-2.1072
1967,5,2,3,40,-3.7018
1967,5,2,4,40,-0.5227
1967,5,2,5,46,-1.6293
1967,5,3,1,142,-6.3931
1967,5,3,2,191,-3.8746
1967,5,3,3,190,-3.7380
1967,5,3,4,189,-4.4545
1967,5,3,5,155,-5.1767
1967,6,1,1,29,9.9608
1967,6,1,2,19,3.3647
1967,6,1,3,18,1.9470
1967,6,1,4,13,9.0641
1967,6,1,5,24,12.1295
1967,6,2,1,65,7.6329
1967,6,2,2,49,4.2638
1967,6,2,3,40,3.5259
1967,6,2,4,42,5.3911
1967,6,2,5,48,7.4449
1967,6,3,1,144,0.6570
1967,6,3,2,198,3.2017
1967,6,3,3,196,0.2191
1967,6,3,4,201,1.6226
1967,6,3,5,160,2.6228
1967,7,1,1,32,7.7785
1967,7,1,2,20,9.2778
1967,7,1,3,18,9.9625
1967,7,1,4,13,9.7182
1967,7,1,5,25,7.1475
1967,7,2,1,68,7.7478
1967,7,2,2,54,7.8850
1967,7,2,3,41,6.9286
1967,7,2,4,42,6.8863
1967,7,2,5,50,10.2448
1967,7,3,1,147,6.3458
1967,7,3,2,201,4.1912
1967,7,3,3,202,5.0254
1967,7,3,4,205,6.2239
1967,7,3,5,164,5.0115
1967,8,1,1,40,3.3572
1967,8,1,2,25,0.8487
1967,8,1,3,25,3.2260
1967,8,1,4,18,-1.6416
1967,8,1,5,34,-0.9191
1967,8,2,1,80,0.6566
1967,8,2,2,65,1.3125
1967,8,2,3,53,0.4369
1967,8,2,4,52,-0.4783
1967,8,2,5,64,-1.5946
1967,8,3,1,169,-0.4002
1967,8,3,2,235,-0.3779
1967,8,3,3,239,-0.8846
1967,8,3,4,234,-1.6679
1967,8,3,5,201,-0.7165
1967,9,1,1,40,5.1568
1967,9,1,2,27,3.6507
1967,9,1,3,25,6.1295
1967,9,1,4,18,10.1658
1967,9,1,5,36,6.1750
1967,9,2,1,81,1.8128
1967,9,2,2,65,5.3283
1967,9,2,3,57,0.7852
1967,9,2,4,54,4.2372
1967,9,2,5,70,5.1635
1967,9,3,1,171,4.0424
1967,9,3,2,242,5.3941
1967,9,3,3,241,2.7728
1967,9,3,4,238,1.9708
1967,9,3,5,203,2.8413
1967,10,1,1,42,-0.4558
1967,10,1,2,29,-0.6405
1967,10,1,3,25,-3.6201
1967,10,1,4,18,-4.3852
1967,10,1,5,36,-2.6369
1967,10,2,1,82,-2.5143
1967,10,2,2,67,-4.1433
1967,10,2,3,58,-1.6956
1967,10,2,4,55,-2.6542
1967,10,2,5,75,-4.4116
1967,10,3,1,173,-4.5440
1967,10,3,2,245,-0.0608
