year,month,rank_ME,rank_FP_6,nstocks,ret_vw
1976,1,1,1,6,21.1311
1976,1,1,2,7,20.3648
1976,1,1,3,11,31.8875
1976,1,1,4,5,15.7614
1976,1,1,5,22,25.1681
1976,1,2,1,7,21.4952
1976,1,2,2,2,6.9687
1976,1,2,3,17,19.0633
1976,1,2,4,15,17.3435
1976,1,2,5,10,16.0578
1976,1,3,1,8,19.6515
1976,1,3,2,13,11.5725
1976,1,3,3,15,10.4088
1976,1,3,4,8,14.7394
1976,1,3,5,6,12.5493
1976,2,1,1,20,17.0621
1976,2,1,2,15,11.7676
1976,2,1,3,35,9.4012
1976,2,1,4,58,5.0068
1976,2,1,5,98,18.0945
1976,2,2,1,26,5.8475
1976,2,2,2,24,9.9950
1976,2,2,3,42,8.5253
1976,2,2,4,55,6.1369
1976,2,2,5,58,4.6787
1976,2,3,1,75,1.7393
1976,2,3,2,74,-0.1055
1976,2,3,3,70,1.7922
1976,2,3,4,51,4.2175
1976,2,3,5,26,7.0732
1976,3,1,1,27,-1.8147
1976,3,1,2,29,-0.5358
1976,3,1,3,54,1.7904
1976,3,1,4,82,3.6130
1976,3,1,5,119,-0.0127
1976,3,2,1,31,0.7807
1976,3,2,2,36,-0.6095
1976,3,2,3,54,2.9126
1976,3,2,4,71,1.0195
1976,3,2,5,72,2.0149
1976,3,3,1,92,3.0665
1976,3,3,2,104,2.6885
1976,3,3,3,98,3.6356
1976,3,3,4,67,0.5726
1976,3,3,5,32,7.0469
1976,4,1,1,32,-1.5688
1976,4,1,2,42,-1.2106
1976,4,1,3,66,-1.3865
1976,4,1,4,94,-1.7719
1976,4,1,5,131,-1.5673
1976,4,2,1,34,0.4148
1976,4,2,2,43,-0.7264
1976,4,2,3,67,0.1369
1976,4,2,4,82,-0.5859
1976,4,2,5,82,-1.1193
1976,4,3,1,103,-2.5587
1976,4,3,2,126,0.1294
1976,4,3,3,106,-0.1352
1976,4,3,4,78,1.1703
1976,4,3,5,35,-2.6791
1976,5,1,1,40,-3.1993
1976,5,1,2,59,-4.3870
1976,5,1,3,93,-3.6157
1976,5,1,4,123,-2.5880
1976,5,1,5,177,-2.6447
