year,month,rank_ME,rank_Fq_12,nstocks,ret_vw
1985,1,1,1,82,13.7477
1985,1,1,2,77,17.6735
1985,1,1,3,82,14.5138
1985,1,1,4,77,12.9293
1985,1,1,5,62,11.1963
1985,1,2,1,15,17.9413
1985,1,2,2,21,12.1851
1985,1,2,3,21,13.0144
1985,1,2,4,13,13.4275
1985,1,2,5,18,11.9927
1985,1,3,1,6,8.6345
1985,1,3,2,16,11.9353
1985,1,3,3,14,4.1255
1985,1,3,4,13,8.9248
1985,1,3,5,13,8.7141
1985,2,1,1,154,3.3155
1985,2,1,2,147,2.5859
1985,2,1,3,164,3.2114
1985,2,1,4,136,5.6327
1985,2,1,5,108,3.2879
1985,2,2,1,24,-1.7386
1985,2,2,2,36,2.6870
1985,2,2,3,37,1.9526
1985,2,2,4,25,0.8100
1985,2,2,5,28,1.5190
1985,2,3,1,11,4.5588
1985,2,3,2,20,-1.2338
1985,2,3,3,25,1.7758
1985,2,3,4,30,3.7268
1985,2,3,5,27,-1.2371
1985,3,1,1,188,-5.2830
1985,3,1,2,171,-3.1173
1985,3,1,3,185,-3.8539
1985,3,1,4,154,-1.7663
1985,3,1,5,139,-4.2648
1985,3,2,1,32,-2.3489
1985,3,2,2,41,-7.4353
1985,3,2,3,47,-5.3357
1985,3,2,4,35,-2.9272
1985,3,2,5,35,-3.8959
1985,3,3,1,12,1.7260
1985,3,3,2,25,-5.8934
1985,3,3,3,30,-2.5514
1985,3,3,4,33,0.8760
1985,3,3,5,29,-4.5080
1985,4,1,1,207,-2.9581
1985,4,1,2,193,-5.6252
1985,4,1,3,210,-2.5065
1985,4,1,4,174,-2.0495
1985,4,1,5,160,-1.8897
1985,4,2,1,36,-5.8769
1985,4,2,2,47,-5.3315
1985,4,2,3,53,-5.1103
1985,4,2,4,42,-2.5622
1985,4,2,5,40,-2.5970
1985,4,3,1,17,-4.9849
1985,4,3,2,28,-5.5119
1985,4,3,3,34,-3.2666
1985,4,3,4,35,-0.9452
1985,4,3,5,33,-4.0597
1985,5,1,1,458,-1.6887
1985,5,1,2,425,0.5458
1985,5,1,3,436,0.7732
1985,5,1,4,358,1.0286
1985,5,1,5,360,3.5566
1985,5,2,1,101,0.4266
1985,5,2,2,121,2.3844
1985,5,2,3,131,3.2353
1985,5,2,4,107,3.6975
1985,5,2,5,96,3.7170
1985,5,3,1,59,7.7112
1985,5,3,2,109,6.7544
1985,5,3,3,114,5.2680
1985,5,3,4,139,5.4448
1985,5,3,5,123,4.8860
1985,6,1,1,503,-1.0301
1985,6,1,2,471,-0.2376
1985,6,1,3,495,-0.2909
1985,6,1,4,398,0.4377
1985,6,1,5,385,1.0297
1985,6,2,1,114,-1.3053
1985,6,2,2,135,0.6812
1985,6,2,3,139,1.6728
1985,6,2,4,125,2.4308
1985,6,2,5,109,1.1400
1985,6,3,1,69,2.8394
1985,6,3,2,122,3.2081
1985,6,3,3,124,1.9236
1985,6,3,4,142,1.0793
1985,6,3,5,126,1.3455
1985,7,1,1,516,2.0729
1985,7,1,2,483,1.8159
1985,7,1,3,523,2.3042
1985,7,1,4,416,3.1709
1985,7,1,5,405,2.6343
1985,7,2,1,120,3.4313
1985,7,2,2,139,3.0332
1985,7,2,3,147,3.8894
1985,7,2,4,132,3.8265
1985,7,2,5,121,4.3026
1985,7,3,1,73,-1.3926
1985,7,3,2,128,-1.7017
1985,7,3,3,130,1.7733
1985,7,3,4,146,2.1876
1985,7,3,5,128,0.0617
1985,8,1,1,730,-1.9645
1985,8,1,2,723,-0.1727
1985,8,1,3,774,-0.7336
1985,8,1,4,608,-0.5566
1985,8,1,5,516,-0.6561
1985,8,2,1,175,-2.4874
1985,8,2,2,207,-1.6923
1985,8,2,3,220,-2.5507
1985,8,2,4,188,-1.6520
1985,8,2,5,147,-1.1904
1985,8,3,1,110,2.9329
1985,8,3,2,182,-1.0222
1985,8,3,3,209,-0.3501
1985,8,3,4,200,-0.5477
1985,8,3,5,159,-1.2602
1985,9,1,1,775,-7.2255
1985,9,1,2,785,-6.1005
1985,9,1,3,815,-6.2419
1985,9,1,4,649,-5.4963
1985,9,1,5,548,-4.9986
1985,9,2,1,180,-8.0543
1985,9,2,2,219,-7.5360
1985,9,2,3,235,-6.7387
1985,9,2,4,204,-5.3669
1985,9,2,5,154,-5.9253
1985,9,3,1,117,-4.7750
1985,9,3,2,193,-3.9595
1985,9,3,3,216,-2.7159
1985,9,3,4,206,-3.5067
1985,9,3,5,168,-4.1541
1985,10,1,1,816,1.8720
1985,10,1,2,838,1.8565
1985,10,1,3,858,3.2549
1985,10,1,4,684,4.0934
1985,10,1,5,570,3.3914
1985,10,2,1,189,3.1290
1985,10,2,2,232,4.3333
1985,10,2,3,247,2.2317
1985,10,2,4,219,4.2966
1985,10,2,5,158,3.6000
1985,10,3,1,121,3.0849
1985,10,3,2,200,7.5256
1985,10,3,3,218,4.7322
1985,10,3,4,211,3.4859
1985,10,3,5,176,3.6441
1985,11,1,1,979,5.9342
1985,11,1,2,1023,5.6735
1985,11,1,3,1029,6.2859
1985,11,1,4,832,6.6384
1985,11,1,5,681,6.0535
1985,11,2,1,223,7.2423
1985,11,2,2,286,7.3608
1985,11,2,3,299,8.1378
1985,11,2,4,263,7.2286
1985,11,2,5,189,7.3246
1985,11,3,1,142,5.9757
1985,11,3,2,244,6.7648
1985,11,3,3,277,7.2377
1985,11,3,4,251,6.9741
1985,11,3,5,214,6.6235
1985,12,1,1,994,3.0783
1985,12,1,2,1048,2.9872
1985,12,1,3,1078,3.9072
1985,12,1,4,866,3.9536
1985,12,1,5,713,4.5245
1985,12,2,1,236,4.0465
1985,12,2,2,291,5.6676
1985,12,2,3,313,4.6271
1985,12,2,4,269,5.2704
1985,12,2,5,196,4.2209
1985,12,3,1,149,3.4871
1985,12,3,2,252,4.0762
1985,12,3,3,285,4.3124
1985,12,3,4,257,4.4388
1985,12,3,5,216,4.5114
1986,1,1,1,1000,2.3122
1986,1,1,2,1041,1.1199
1986,1,1,3,1087,3.1251
1986,1,1,4,865,2.6395
1986,1,1,5,714,2.5736
1986,1,2,1,243,-0.4007
1986,1,2,2,299,1.1407
1986,1,2,3,320,0.8833
1986,1,2,4,277,0.3207
1986,1,2,5,200,1.7688
1986,1,3,1,147,0.5859
1986,1,3,2,251,1.1060
1986,1,3,3,283,0.9326
1986,1,3,4,265,0.4475
1986,1,3,5,215,-0.7909
1986,2,1,1,1101,5.1123
1986,2,1,2,1185,6.0368
1986,2,1,3,1232,6.1824
1986,2,1,4,1005,7.2122
1986,2,1,5,802,6.9190
1986,2,2,1,269,6.9763
1986,2,2,2,335,7.4663
1986,2,2,3,349,7.3797
1986,2,2,4,313,7.6266
1986,2,2,5,219,6.0250
1986,2,3,1,188,8.2211
1986,2,3,2,278,6.9258
1986,2,3,3,316,7.8631
1986,2,3,4,289,7.9509
1986,2,3,5,235,7.8948
1986,3,1,1,1126,4.7234
1986,3,1,2,1219,4.4150
1986,3,1,3,1260,4.9025
1986,3,1,4,1038,4.9494
1986,3,1,5,812,4.8432
1986,3,2,1,276,4.8728
1986,3,2,2,343,5.5838
1986,3,2,3,363,5.2111
1986,3,2,4,320,5.7766
1986,3,2,5,224,5.6709
1986,3,3,1,187,4.3173
1986,3,3,2,284,4.3920
1986,3,3,3,322,4.6505
1986,3,3,4,293,6.9757
1986,3,3,5,236,6.7215
1986,4,1,1,1135,1.6707
