year,month,rank_ME,rank_GLAq_12,nstocks,ret_vw
1976,1,1,1,85,27.4371
1976,1,1,2,46,21.2540
1976,1,1,3,39,24.8438
1976,1,1,4,58,23.0287
1976,1,1,5,90,27.6323
1976,1,2,1,36,21.6343
1976,1,2,2,37,20.7950
1976,1,2,3,31,17.4142
1976,1,2,4,31,25.7788
1976,1,2,5,43,19.0893
1976,1,3,1,48,13.6899
1976,1,3,2,68,12.2824
1976,1,3,3,60,15.3315
1976,1,3,4,59,9.8220
1976,1,3,5,61,12.4280
1976,2,1,1,120,13.1241
1976,2,1,2,96,12.2680
1976,2,1,3,75,13.0265
1976,2,1,4,84,16.8933
1976,2,1,5,125,11.7321
1976,2,2,1,62,8.0044
1976,2,2,2,58,6.9040
1976,2,2,3,46,9.6228
1976,2,2,4,57,6.6328
1976,2,2,5,57,7.8430
1976,2,3,1,75,2.3101
1976,2,3,2,98,1.2213
1976,2,3,3,98,1.1403
1976,2,3,4,88,-0.0258
1976,2,3,5,81,-2.1953
1976,3,1,1,144,-0.4492
1976,3,1,2,107,2.0710
1976,3,1,3,90,2.2383
1976,3,1,4,101,0.4575
1976,3,1,5,145,3.2810
1976,3,2,1,66,1.6310
1976,3,2,2,64,0.0878
1976,3,2,3,51,3.7541
1976,3,2,4,59,0.9822
1976,3,2,5,65,2.6286
1976,3,3,1,85,1.5230
1976,3,3,2,108,3.7625
1976,3,3,3,105,0.7574
1976,3,3,4,95,4.6467
1976,3,3,5,86,4.3386
1976,4,1,1,160,-1.9128
1976,4,1,2,111,-1.4715
1976,4,1,3,97,-0.5460
1976,4,1,4,107,-2.5849
1976,4,1,5,156,-3.8336
1976,4,2,1,75,0.2465
1976,4,2,2,67,0.8809
1976,4,2,3,56,0.1770
1976,4,2,4,66,-0.8241
1976,4,2,5,71,-3.1028
1976,4,3,1,91,-0.3250
1976,4,3,2,112,1.6381
1976,4,3,3,110,0.8232
1976,4,3,4,98,-0.9959
1976,4,3,5,89,-4.5138
1976,5,1,1,251,-2.0930
1976,5,1,2,178,-2.0055
1976,5,1,3,152,-2.6514
1976,5,1,4,161,-2.2320
1976,5,1,5,190,-4.8439
1976,5,2,1,128,-1.2184
1976,5,2,2,96,0.7269
1976,5,2,3,92,-0.1569
1976,5,2,4,81,-1.1735
1976,5,2,5,88,-3.4092
1976,5,3,1,160,-2.1159
1976,5,3,2,159,-0.5087
1976,5,3,3,146,0.3184
1976,5,3,4,128,1.5863
1976,5,3,5,105,-2.6278
1976,6,1,1,261,2.8990
1976,6,1,2,188,5.3109
1976,6,1,3,163,3.5732
1976,6,1,4,171,4.4139
1976,6,1,5,215,3.0954
1976,6,2,1,136,5.3659
1976,6,2,2,103,3.3291
1976,6,2,3,105,5.8779
1976,6,2,4,88,5.6018
1976,6,2,5,94,3.3764
1976,6,3,1,166,4.5804
1976,6,3,2,162,4.0529
1976,6,3,3,153,2.9470
1976,6,3,4,134,3.7027
1976,6,3,5,114,4.4425
1976,7,1,1,263,-0.0157
1976,7,1,2,196,0.2652
1976,7,1,3,167,-0.2769
1976,7,1,4,182,-0.1189
1976,7,1,5,224,-0.4535
1976,7,2,1,139,-1.7122
1976,7,2,2,107,-0.1997
1976,7,2,3,107,-1.0453
1976,7,2,4,89,-0.1791
1976,7,2,5,102,-0.1052
1976,7,3,1,167,-0.5741
1976,7,3,2,165,-0.8853
1976,7,3,3,157,-1.8562
1976,7,3,4,138,-1.1458
1976,7,3,5,118,-1.5490
1976,8,1,1,298,-3.2520
1976,8,1,2,237,-3.9739
1976,8,1,3,210,-3.4615
1976,8,1,4,231,-3.6246
1976,8,1,5,260,-2.4550
1976,8,2,1,181,-2.4636
1976,8,2,2,153,-3.7843
1976,8,2,3,146,-2.2839
1976,8,2,4,136,-1.6390
1976,8,2,5,140,-2.2575
1976,8,3,1,209,0.4525
1976,8,3,2,212,0.1959
1976,8,3,3,215,-1.6911
1976,8,3,4,198,-0.2720
1976,8,3,5,170,0.0578
1976,9,1,1,326,2.4903
1976,9,1,2,259,2.1361
1976,9,1,3,229,2.3042
1976,9,1,4,250,1.7171
1976,9,1,5,282,1.7455
1976,9,2,1,194,3.3562
1976,9,2,2,165,3.5584
1976,9,2,3,159,3.3724
1976,9,2,4,150,3.1211
1976,9,2,5,148,2.0586
1976,9,3,1,216,2.2628
1976,9,3,2,219,3.5766
1976,9,3,3,227,3.2368
1976,9,3,4,208,3.0432
1976,9,3,5,177,0.1723
1976,10,1,1,395,-2.7149
1976,10,1,2,315,-2.4921
1976,10,1,3,297,-1.1823
1976,10,1,4,310,-1.9990
1976,10,1,5,340,-3.4543
1976,10,2,1,199,-2.2432
1976,10,2,2,172,-2.5947
1976,10,2,3,165,-2.8405
1976,10,2,4,157,-1.9413
1976,10,2,5,154,-3.7676
1976,10,3,1,220,-1.6874
1976,10,3,2,231,-1.1599
1976,10,3,3,232,-2.0413
1976,10,3,4,217,-2.6187
1976,10,3,5,180,-2.8184
1976,11,1,1,446,2.2052
1976,11,1,2,350,1.3351
1976,11,1,3,346,1.9185
1976,11,1,4,350,3.7066
1976,11,1,5,385,3.5814
1976,11,2,1,216,5.2073
1976,11,2,2,200,4.5460
1976,11,2,3,181,4.5379
1976,11,2,4,174,3.7759
1976,11,2,5,165,4.0632
1976,11,3,1,244,1.1424
1976,11,3,2,258,1.1484
1976,11,3,3,262,-0.2339
